0:1:4|0:1:6|The morning sun shines on the lake, sparkling on the water.
0:1:7|0:1:12|A swordsman appears above the valley, his fingers lightly gripping the sword handle.
0:1:12|0:1:18|Facing him stood a swordsman, with narrow eyes that seemed melancholic, yet the killing intent in his eyes was particularly evident.
0:1:18|0:1:22|Both [Ouyang Feng] and [Murong Yan] drew their swords at the same time, and the valley was instantly filled with swirling dust.
0:1:22|0:1:31|Their figures moved like wandering dragons, with only the sounds of fighting in their ears but no visible actions, their speed was extremely fast, and a round ended quickly.
0:1:31|0:1:44|At this moment, the swordsman has sheathed his weapon, and the warrior he was facing slowly opens his narrowed eyes. The red-faced river at the foot of the mountain continues to flow, shimmering as if nothing has happened.
0:1:44|0:1:51|The scene shifts, and a swordsman is seen holding a long sword, with several figures flashing past him, a contemptuous smile playing on his lips.
0:2:7|0:2:24|Seeing the swordsman fighting vigorously, the old man beside him was full of anger. Another wave of assassins rushed forward, attacking while secretly releasing hidden weapons. Despite being surrounded, the swordsman still handled the situation with ease, dodging close-range attacks, blocking the hidden weapons with his sword, and swiftly turning around.
0:2:24|0:2:32|The assassins blocking the way suddenly dodged, as a sword sheath swiftly flashed and plunged into the body of one of the assassins, nailing him to a nearby wooden stake.
0:2:33|0:2:43|One person tried to sneak attack from behind, but the swordsman raised his sword to block it. Surrounded by a large number of opponents attacking from all directions, he remained focused and calm as he swung his sword again.
0:2:43|0:2:49|At this moment, the old man suddenly jumped up, tightly gripped his cane and chopped it down towards the ground, causing the scattered wooden sticks to instantly bounce up.
0:2:51|0:3:6|Swords clashed as the swordsman leaped into the air, a palm strike burst out from his dantian, and a wooden stick shot out in the opposite direction, hitting the old man in the lower body. In his pain, the swordsman took advantage of the situation and intentionally stabbed off target. The old man collapsed to the ground, and the swordsman turned and walked away, his desolate figure gradually fading into the distance.
0:3:8|0:3:16|The scene shifts to the desert, a group of horse bandits wearing straw hats gallop towards the camera, with a mysterious figure standing at the edge of a sand dune.
0:3:16|0:3:22|Soon, the leader of the bandits noticed a suspicious figure, and the entire team immediately came to a halt.
0:3:22|0:3:28|The camera zooms in, and the person standing in front is the [Blind Swordsman] who previously fought with the swordsman.
0:3:28|0:3:31|The leader lowered his mask and looked at the person blocking the way in confusion.
0:3:32|0:3:39|The other side was still unaware of what was happening, but [Ouyang Feng] had already glared angrily, raised his long sword, and slashed towards the group.
0:3:39|0:3:43|The sword energy roared and shook, like a thunderous sound.
0:3:43|0:3:48|In an instant, the sky was filled with swirling sand and dust, causing the entire band of horse bandits to fall into chaos.
0:3:48|0:3:53|[Ouyang Feng]'s internal energy surged, stirring up a layer of sand waves, causing some horses to lose their balance and fall straight down.
0:3:53|0:3:58|The man on the horse fell down, and after a moment, only [Blind Swordsman] rode away gracefully on a horse.
0:4:16|0:4:18|So many years later,
0:4:21|0:4:25|The silhouette of [Blind Swordsman] fades into the distance and disappears completely on the horizon.
0:4:34|0:4:37|After [Ouyang Feng] finished speaking, he revealed a meaningful smile.
0:5:7|0:5:8|After speaking, he stared straight at the other person.
0:5:48|0:5:55|The scene shifts, and [Ouyang Feng] is seen wiping a wine bottle as a figure on horseback appears in the desert.
0:6:1|0:6:4|His name is [Huang Yaoshi].
0:6:13|0:6:19|The night gradually enveloped the sky, [Huang Yaoshi] led his horse to where [Ouyang Feng] lived.
0:6:19|0:6:21|He sat at the table and spoke.
0:6:26|0:6:29|He then got up and sat on the other side, picking up a bottle of wine.
0:6:31|0:6:31|After drinking.
0:6:44|0:6:47|[Huang Yaoshi] carefully observes while leaning on the table.
0:7:2|0:7:9|[Ouyang Feng] behind him did not answer, but looked up at the sky.
0:7:9|0:7:13|[Huang Yaoshi] lovingly caressed the bottle neck.
0:7:13|0:7:17|He smiled at the wine in front of him.
0:7:17|0:7:23|He glanced at [Ouyang Feng] and tore the wind paper with his hand.
0:7:23|0:7:26|[Ouyang Feng] picked up the wine and took a sniff.
0:7:29|0:7:32|He put down the wine cup and pondered for a moment.
0:7:36|0:7:40|Since that night, [Huang Yaoshi] forgot many things.
0:7:40|0:7:44|Seeing [Huang Yaoshi] gradually waking up in the corner, [Ouyang Feng] looked at him and asked.
0:7:48|0:7:54|[Ouyang Feng] crossed his arms and looked at [Huang Yaoshi] sitting on the ground, furrowing his brow as he continued to ask.
0:8:5|0:8:7|The two fell silent as they watched the birdcage.
0:8:7|0:8:15|At night, [Huang Yaoshi] once again drank himself into a stupor, his whole body sprawled on the table, but one of his hands tightly gripped the accessory placed on the table.
0:8:17|0:8:25|In a simple hut, the flickering candlelight cast a faint glow, and apart from the trembling flames, everything else was as silent as death.
0:8:25|0:8:44|At this moment, a delicate hand suddenly appeared beside [Huang Yaoshi]'s face, gently tidying up the scattered hair on his forehead. The gentle fingertips lightly brushed across his cheek, but couldn't help but linger on his firm nose tip, then turned to tidy up the scattered hair around him. This time, the hands did not stop.
0:8:44|0:8:48|Soon, a figure flashed by, decisively leaving.
0:8:48|0:8:57|Lying on the table, [Huang Yaoshi] quickly opened his eyes and looked up, only to see the figure of a woman.
0:9:13|0:9:18|Standing in front of the door, [Ouyang Feng] lightly touched his cheek and watched [Huang Yaoshi] leave.
0:9:18|0:9:22|The scene shifts, with the light shining through the branches casting mottled patterns on both banks.
0:9:22|0:9:24|One month later,
0:9:29|0:9:32|[Huang Yaoshi] smiled as he watched the woman with her back to him.
0:9:45|0:9:53|The girl's hair was disheveled, dressed in coarse clothes. Tears welled up in her eyes when she heard the noise behind her.
0:9:55|0:9:59|After a moment, she tidied the hair piled beside her face and stood up.
0:9:59|0:10:9|She stood with her back to the person behind her, trying hard to control her emotions. Then she took a deep breath, but the mixed emotions still surged up in her heart.
0:10:9|0:10:14|She lifted her head, restraining the tears that wanted to rush out, and forcefully swallowed the grievances in her heart.
0:10:15|0:10:21|The girl quickly regained her composure and turned to look as if nothing had happened.
0:10:21|0:10:30|[Huang Yaoshi] was sitting on a horse, silently watching her. The woman stared at him from a distance for a long time, but soon her eyes became extremely cold.
0:10:30|0:10:39|She turned around, her eyes fixed on [Huang Yaoshi], but without lingering, she immediately turned her head and led the horse forward.
0:10:39|0:10:44|She stubbornly pulled the reins, forcefully dragging the motionless steed, striding in the opposite direction.
0:10:46|0:10:51|In the quiet night, the girl is seen riding on a horse, constantly stroking the horse's neck.
0:10:51|0:10:54|Her eyes were unfocused, revealing a faint smile.
0:10:54|0:11:0|Her legs were placed next to the horse's belly for a moment, then slowly lifted up, repeating this motion continuously.
