0:0:57|0:1:2|Although it is already spring, the trees are still bare, without a single leaf.
0:1:2|0:1:15|A young woman in a cheongsam dress is slowly walking towards from the overgrown path with a basket in her hand. The surrounding environment is in ruins, the once sturdy city walls made of stone bricks have long lost their former strictness.
0:1:16|0:1:29|Now, only the broken walls are left struggling to support, like an old man guarding the city tremblingly. Under the hard branches, this stumbling path appears even more lifeless, as if spring has never visited this place.
0:1:29|0:1:41|In the next scene, in a small courtyard, a clean-shaven man in a robe struggles to move a plaque from a corner filled with clutter, and hangs it on a pillar on the side.
0:1:41|0:1:52|The strenuous movements caused the neatly arranged wood in the corner to scatter, making a loud noise as it fell to the ground. However, the man paid no attention to the scattered wood, focusing only on the task at hand.
0:1:52|0:1:59|His movements were extremely clumsy, with occasional coughs interrupting his unskilled actions, making him look very awkward.
0:1:59|0:2:6|Although the courtyard may look a bit run-down now, upon closer inspection, whether it's the intricately carved cloisters in the yard or the exquisite pavilion, they are all very exquisite.
0:2:7|0:2:14|In the distance, the sound of a train whistle suddenly came. [Zhou Yuwen] looked surprised in the direction of the whistle, but she still didn't let go of the fire in her hand.
0:2:14|0:2:22|At the same time, inside the train station, a train slowly came to a stop at the platform, and a man in a suit stepped down from the train.
0:2:22|0:2:29|He was wearing a three-piece suit, holding a suitcase in each hand. After getting off the car, he looked around and then walked steadily towards the small path on the left.
0:2:29|0:2:32|He walked briskly, showing no signs of fatigue from the long journey.
0:3:11|0:3:19|The wind chime hanging at the entrance of the pharmacy swayed with the wind, making a clear and pleasant sound, and faint cries of selling medicine and bargaining could still be heard.
0:3:19|0:3:26|The woman in cheongsam skillfully stepped over the threshold, took the wrapped Chinese medicine from the outer wall, put the medicine into the vegetable basket, and then turned and left.
0:3:29|0:3:35|Accompanied by bird songs and truck horns, at this moment, [Zhang Zhichen] has arrived at the path by the lake.
0:3:35|0:3:39|Sunlight falls on him, his steps swift like a flying sword, his spirits high.
0:3:39|0:3:46|In the courtyard, [Lao Huang] has found the young master, who turns out to be the flat-headed man who was just arranging the plaques.
0:3:46|0:3:53|Master Zhou Yuwen was only wearing a long robe, and Lao Huang quickened his pace, showing a slightly reproachful concern.
0:3:58|0:4:9|The master borrowed a scarf, tied it around his neck, and walked towards the seats in the pavilion, slowly sitting down in the shade of the long bench.
0:4:9|0:4:13|He looked at the flowers and trees in the courtyard, lost in thought as he murmured to himself.
0:5:21|0:5:26|[Lao Huang] took the scarf handed to him by the young master and stood behind him, nodding in agreement.
0:5:26|0:5:36|The two were talking when a woman in a cheongsam appeared at the end of the dark and narrow alley, pushing open the courtyard gate with her unbarred hand and walking quietly into the courtyard.
0:5:36|0:5:42|The old wooden door creaked as she moved.
0:5:42|0:5:48|The woman entered the room, ignoring the young master and the old man in the pavilion, and walked straight ahead without looking sideways.
0:6:7|0:6:11|[Zhou Yuwen] heard Dad was about to leave, and the young master quickly stopped him.
0:6:23|0:6:29|[Zhou Yuwen] heard this and turned to walk to the young master's side, handing him the medicine packet at the top of the basket.
0:6:29|0:6:37|Young Master Zhou Yuwen took the herbal medicine package wrapped in oil paper, sighed with a sense of loss.
0:6:49|0:6:53|[Zhou Yuwen] slings the basket back onto her arm, instructing that her younger sister will come back for lunch.
0:6:53|0:6:56|After she finished explaining the situation, she turned around and left.
0:6:56|0:7:2|After the young master sighed and threw the medicine pouch on the ground, he turned his head to the side.
0:7:2|0:7:8|[Zhou Yuwen] could only pick up the medicine packet from the ground and say to the young master.
0:7:18|0:7:26|Upon hearing Zhou Yuwen's words, Young Master paused for a moment, lowered his head without making eye contact with Yuwen, and turned away somewhat helplessly.
0:7:26|0:7:31|[Zhou Yuwen] handed the medicine she had just picked up to the young master before turning around and leaving again.
0:7:31|0:7:35|After taking the medicine, Master Zhou Yuwen childishly threw the medicine packet on the ground again.
0:7:35|0:7:40|This time, [Zhou Yuwen] did not turn back to pick up the medicine bag, but left without looking back.
0:7:40|0:7:47|The young master saw him leave without any reluctance, then turned back to the pavilion and sat down, looking straight ahead.
0:7:47|0:8:1|The man in a suit has arrived at a desolate village, which looks like it has just experienced a war. There is not a single intact wall to be seen, the whole village is empty and lifeless, except for a few bird calls bringing some vitality to the village.
0:8:2|0:8:15|He stopped in front of a relatively intact courtyard, put down a suitcase, and skillfully walked to the front door. After peering inside through the crack in the door, he raised his hand and knocked heavily on the latch.
0:8:15|0:8:22|In the room, [Zhou Yuwen] had changed into a cheongsam. She was buttoning up the dress while walking around the thin partition towards the dressing table.
0:8:24|0:8:31|He didn't sit down in a hurry, but stood in front of the mirror for a long time to carefully tidy himself up, and then slowly bent down to sit down.
0:8:31|0:8:42|Upon hearing the knocking at the door, he did not react hastily. Instead, he picked up the refreshing oil from the dressing table, dabbed a little with his pinky finger, and gently placed it in front of his finely embroidered nose.
0:8:42|0:8:47|Unfortunately, the cooling oil didn't work, and [Zhou Yuwen] still yawned.
0:8:47|0:8:52|The knocking on the door grew louder and louder, prompting him to shout loudly at [Lao Huang] outside the door.
0:9:1|0:9:10|The man in a suit, finding no one to open the door, skillfully carried the box and walked into the alley, passing by [Lao Huang] who had just arrived to open the door.
0:9:10|0:9:20|[Lao Huang] pushed open the door, found no one around, and came out of the courtyard in confusion. After looking around the empty space in front of the courtyard gate for a while and making sure there was no one, he returned to the courtyard and closed the door again.
0:9:21|0:9:28|In the attic of the courtyard, [Zhou Yuwen] opened the bamboo curtain and sat elegantly on the bench below the window, embroidering.
0:9:28|0:9:34|Her movements were gentle and smooth, as if she was holding not a piece of silk, but a precious Western treasure.
0:9:34|0:9:42|The delicate embroidery needle weaved through the silk fabric, accompanied by the chirping of birds, making her appear elegant and refined, a true lady of high society.
0:9:44|0:9:48|At the alley entrance, the man in a suit arrived at the back door where [Zhou Yuwen] had just passed by.
0:9:48|0:9:52|After confirming at the door, the luggage was placed on the steps.
0:9:52|0:9:57|After looking around the alley for a few moments, [Zhou Yuwen] knocked on the door latch.
0:9:57|0:9:59|After a long time, the young master's voice was finally heard.
0:10:2|0:10:8|When he was at his wit's end, he suddenly found a hole in the wall, so he entered through the hole.
0:10:8|0:10:12|In the courtyard, just as she entered, she encountered the young master who came to open the door.
0:10:12|0:10:15|He walked quickly to the young master's side and said excitedly.
0:11:9|0:11:12|[Zhou Yuwen] did not respond, so [Lao Huang] raised his voice.
0:11:38|0:11:41|In the courtyard, [Dai Liyan] and [Zhang Zhichen] were still reminiscing.
0:13:7|0:13:11|[Zhang Zhichen] picks up the luggage in the corner, and [Lao Huang] quickly says.
0:13:41|0:13:45|[Lao Huang] said, "Just leave."
0:13:45|0:13:50|Dai Liyan and Zhang Zhichen sat down in the pavilion, and Zhang Zhichen suddenly thought of something.
0:13:59|0:14:1|In the pavilion, Lao Huang found Yuwen.
0:14:26|0:14:32|After Lao Huang left, Zhou Yuwen returned to her room and carefully dressed up in front of a large dressing mirror.
0:14:50|0:14:59|He was wearing a dark floral cheongsam, with a beautifully crafted jade bracelet on his wrist, and a small jade pendant dangling from his delicate earlobes.
0:14:59|0:15:7|At this moment, [Zhou Yuwen] is delicately spraying perfume on both sides of her slender neck, slowly tying a scarf that matches her cheongsam dress by her side.
0:15:8|0:15:13|On the originally empty ring finger, he also put on a shiny diamond ring.
0:15:13|0:15:23|After finishing dressing up, [Zhou Yuwen] glanced at the half-height mirror, made sure everything was in place, and then walked out the door leisurely, with the sun shining just right at that moment.
0:15:23|0:15:28|[Zhou Yuwen] walked through the sunlit stone corridor and turned a corner to enter the courtyard.
0:15:28|0:15:35|Dai [Zhang Zhichen] and [Zhou Yuwen] were still catching up, while Dai Liyan heard their conversation and walked towards them in silence.
0:15:36|0:15:42|At this moment, [Zhang Zhichen], who was leaning against the back of the chair in the pavilion, noticed [Zhou Yuwen] approaching.
0:15:42|0:15:44|He quickly stood up to greet them.
0:15:44|0:15:47|His actions interrupted the speech of the agent Yan.
0:15:47|0:15:50|Dai Liyan also saw Zhou Yuwen following his actions.
0:15:50|0:15:52|He led [Zhang Zhichen] towards [Zhou Yuwen] and introduced.
0:16:35|0:16:39|After Dai Liyan spoke, Zhou Yuwen had no choice but to return the suitcase to Zhang Zhichen.
0:16:39|0:16:46|Seeing Zhichen taking the box, Dai Liyan then bent over Zhichen's shoulder and walked up the corridor towards the inner room.
0:16:46|0:16:53|[Zhou Yuwen] did not rush to catch up with them. Instead, it was Zhang Zhichen who, as he turned the corner of the corridor, took a deep look at [Zhou Yuwen].
0:16:57|0:17:3|[Zhou Yuwen] immediately lowered her head and stopped looking at [Zhang Zhichen] the moment she saw his eyes.
0:17:3|0:17:6|He followed the two at an extremely slow pace.
0:17:6|0:17:15|[Lao Huang] pushed open the door, ushered [Dai Liyan] and [Zhang Zhichen] into the house, and then opened the windows one by one, letting the sunlight pour in and illuminate the dim room.
0:17:54|0:18:0|After Dai Liyan finished speaking with a bitter smile, he walked into the dressing room, followed quickly by [Zhang Zhichen].
0:18:0|0:18:7|The furnishings in the room were very simple, indicating that it had been uninhabited for a long time.
0:18:7|0:18:13|Dai Liyan casually grabbed the spider web hanging on the wooden cabinet and said nostalgically to Zhang Zhichen.
0:18:33|0:18:36|They were talking, but looking at Zhou Yuwen outside the window.
0:18:58|0:19:0|[Zhang Zhichen] hesitated for a few seconds before speaking.
0:19:25|0:19:35|Outside the bed, [Zhou Yuwen] carefully brushed away the dust on the carved wooden door with courage, the sunlight shining on her veiled face, so gentle and tranquil.
0:19:35|0:19:37|In the backyard, a little girl runs into the courtyard.
0:19:55|0:20:3|Every time Lao Huang finishes speaking, the little girl rushes into the study. Zhou Yuwen sees the little girl running over in a hurry and greets her.
0:20:26|0:20:29|The little girl ran into [Zhang Zhichen] after passing [Dai Liyan].
0:20:33|0:20:39|The little girl who hit someone was a bit at a loss. She came to the outer room with [Zhang Zhichen] and secretly lit a pillow.
0:20:39|0:20:42|[Zhang Zhichen] smiled gently, indicating something.
0:21:52|0:22:2|[Zhang Zhichen] looked at the flowers without saying a word, then [Lao Huang] continued.
0:22:2|0:22:9|[Zhang Zhichen] walked up to the orchid carefully, listening to the sound of water being poured into the basin by [Lao Huang], and turned his head to speak.
0:22:33|0:22:45|In Dai Liyan's room, she was reading by the dim light of a desk lamp, with a candlestick standing by unlit. The occasional coughing reminded Dai Liyan of her frail physical condition.
0:22:48|0:22:59|[Zhou Yuwen] walked past the room where [Dai Liyan] was acting as a substitute for salt. She heard the voice, stood by the window for a moment, but did not enter the room to check. She continued walking along the corridor towards elsewhere.
0:22:59|0:23:8|He was still wearing the cheongsam with a dark floral pattern that he wore during the day, with moonlight shining on his back, the pattern on the cheongsam faintly visible, making him look elegant and graceful.
0:23:10|0:23:19|In the study, [Zhang Zhichen] felt like he had lost his soul since [Lao Huang] left. He closed the door, sat down by the orchid shelf, and pondered with his head down.
0:23:19|0:23:25|After a while, a gentle knocking sound came from the door. He shook himself out of his daze and walked to the door in three steps.
0:23:30|0:23:34|[Zhou Yuwen] walked slowly into the room and placed the hot water kettle on the table.
0:23:34|0:23:37|Zhang Zhichen saw the hot water bottle in his hand.
0:23:38|0:23:40|[Zhou Yuwen] glanced at Zhang Zhichen.
0:23:45|0:23:47|[Zhou Yuwen] pushed the water bottle onto the table.
0:23:53|0:23:58|[Zhou Yuwen] ignored these words and instead turned around, casting a glance at the dim room.
0:24:5|0:24:10|Zhang Zhichen slowly walked up behind [Zhou Yuwen], who had her back to him.
0:24:10|0:24:12|Neither of them spoke a word.
0:24:12|0:24:18|After maintaining this posture for a long time, Zhang Zhichen slowly began to speak.
0:24:30|0:24:39|[Zhou Yuwen] put down the candle, walked to the other side of the table to the shelf with orchids, and opened the distance with [Zhang Zhichen].
0:24:39|0:24:44|Half turned, looking at Zhang Zhichen who was standing with his arm around the waist.
0:24:45|0:24:48|Zhang Zhichen immediately caught up with Zhou Yuwen.
0:24:55|0:24:59|Zhang Zhichen awkwardly tried to stop Zhou Yuwen.
0:25:4|0:25:5|Yuwen Zhou smiled lightly.
0:25:6|0:25:8|Utterance, Yuwen walks out of the room.
0:25:12|0:25:18|Zhang Zhichen watched Zhou Yuwen leave, standing by the window and gazing at her until her figure disappeared in the moonlight.
0:25:21|0:25:25|After a while, Zhou Yuwen appeared in the corridor wearing a small coat.
0:25:25|0:25:32|He had a heavy blanket draped over his arm as he passed by [Dai Liyan]'s room, where the sound of his rapid coughing could be heard.
0:25:32|0:25:37|[Zhou Yuwen] stopped at the door, sighed, then quietly left with the blanket tucked under her arm.
0:25:40|0:25:46|In the study, Zhang Zhichen saw Zhou Yuwen bringing a blanket from outside and quickly went up to open the door for him.
0:25:46|0:25:54|[Zhou Yuwen] entered the room and did not pay attention to Zhang Zhichen, but walked towards the bed and carefully spread out the blanket.
0:25:54|0:26:1|Zhang Zhichen also remained silent, quietly standing behind [Zhou Yuwen], waiting for her to speak.
0:26:1|0:26:5|[Zhou Yuwen] asked only after making the bed.
0:26:10|0:26:18|Zhang Zhichen nervously twirled the needle.
0:26:18|0:26:25|Zhang Zhichen looked confidently at [Zhou Yuwen].
0:26:25|0:26:28|[Zhou Yuwen] did not show a happy expression.
0:26:28|0:26:33|Until the two finished speaking, [Zhou Yuwen] did not turn around, but looked directly at Zhang Zhichen.
0:26:33|0:26:37|Zhang Zhichen kept staring at Zhou Yuwen as if he wanted to see through him.
0:26:39|0:26:42|The two maintained this posture, remaining silent.
0:26:42|0:26:48|Finally, Zhang Zhichen turned around and looked out the window when he saw that he had no response.
0:26:48|0:27:0|[Lao Huang] has finished patrolling the courtyard at this time. He is carrying an oil lamp and decisively extinguishes the outdoor lights. With a creak, he closes the old wooden gate from the inside.
0:27:0|0:27:7|His body is getting weaker and his temper is getting worse.
0:27:17|0:27:20|Yuwen Zhou let go of their hands held together.
0:27:22|0:27:27|Zhang Zhichen noticed Zhou Yuwen's movements and quietly took a step back.
0:27:56|0:28:7|[Zhou Yuwen] said, "Turn around and quickly pull the light above your head."
0:28:7|0:28:19|[Zhou Yuwen] picked up the bamboo stand on the small table and walked towards the desk with candles. Skillfully assembling the bamboo stand and candle, she took the match from [Zhang Zhichen] and lit the candle with a hiss.
0:28:22|0:28:25|The candlelight and the lamplight illuminated them in a gentle manner.
0:28:25|0:28:30|Zhang Zhichen looks at [Zhou Yuwen].
0:28:31|0:28:34|[Zhou Yuwen] extinguished the match in her hand.
0:28:34|0:28:40|Zhang Zhichen picked up a stool to hand it to [Zhou Yuwen], only to see that [Zhou Yuwen] had already sat down at the foot of the bed.
0:28:40|0:28:46|He came to the bedside, wanting to sit next to [Zhou Yuwen], but [Zhou Yuwen] shrank back slightly in resistance.
0:28:47|0:28:55|Zhang Zhichen awkwardly tidied up the bedding, then turned around and walked to the other corner of the bed.
0:28:55|0:29:0|Zhang Zhichen sat down and nervously rubbed his hands.
0:29:3|0:29:8|He was speaking when the overhead light suddenly flickered and went out.
0:29:8|0:29:12|The room suddenly darkened, with only a candle as the sole source of light.
0:29:14|0:29:19|[Zhou Yuwen] saw the room darken and, letting down her guard, she quietly sobbed.
0:29:19|0:29:23|He covered his face with one hand, preventing tears from flowing.
0:29:23|0:29:26|Zhang Zhichen, upon seeing the situation, immediately stood up to comfort him.
0:29:26|0:29:31|He had just placed his left hand on Zhou Yuwen's shoulder, but Zhou Yuwen suddenly wanted to leave.
0:29:31|0:29:35|Zhang Zhichen followed behind him blankly, saying nothing.
0:29:35|0:29:39|[Zhou Yuwen] raised her hand to stop Zhang Zhichen and said.
0:29:42|0:29:46|[Zhou Yuwen] said, "Open the door, and walked out of the study without looking back."
0:29:46|0:29:53|Zhang Zhichen came to his senses and quickly caught up with Zhou Yuwen's footsteps, standing outside the door staring blankly at Zhou Yuwen's disappearing figure.
0:29:56|0:30:5|Early the next morning, [Zhou Yuwen] changed into a simple cheongsam, her hair tied up with a square scarf fluttering in the wind. At this moment, she was standing by the city wall, gazing into the distance.
0:30:5|0:30:15|In the misty morning of the small town, the distant scenery was not very clear. He kept looking up from time to time, making it hard to tell what was on his mind at the moment.
0:30:15|0:30:18|Outside the designated driver's yard, [Lao Huang] is opening the door to dump last night's medicine residue.
0:30:20|0:30:23|In the courtyard, Zhang Zhichen also changed into a new suit.
0:30:23|0:30:28|As soon as the door opened, he ran into [Dai Xiu] who came to find him.
0:32:21|0:32:30|Don't rush to hand the hand warmer to [Dai Liyan].
0:33:42|0:33:46|[Dai Xiu] accidentally said the wrong thing and quickly corrected herself.
0:34:42|0:34:46|On the small road leading to Xuzhuang, [Dai Liyan] and [Zhang Zhichen] were panting as they ran from behind.
0:34:58|0:35:9|Dai Liyan stumbled while going downhill, Zhang Zhichen quickly reached out to help, but accidentally ended up catching Dai Xiu and Zhou Yuwen who were walking behind.
0:35:9|0:35:12|Down the slope, [Zhou Yuwen] let go of [Zhang Zhichen]'s hand as if being electrified.
0:35:22|0:35:35|Dai Xiaomei urged on, as Zhou Yuwen struggled up the hill. Zhang Zhichen glanced back at the lagging Zhou Yuwen, but did not help her. Instead, Dai Xiaomei reached out and gave Zhou Yuwen a hand.
0:35:35|0:35:41|On the vast and boundless lake, they set sail in a boat, and the singing of [Dai Xiu] drifted over like a flute.
0:37:1|0:37:7|The group had a great time, singing with the younger sister, while [Zhang Zhichen] rowed the boat reluctantly.
0:37:7|0:37:12|Late at night, after finishing washing up, [Dai Liyan] walked up to the mirror in his pajamas and spoke to his reflection.
0:37:47|0:37:51|[Dai Xiu] took the medicine from [Zhou Yuwen]'s hand, but immediately spat it out after taking a sip.
0:37:51|0:37:56|[Zhou Yuwen] quickly handed him the prepared handkerchief, [Dai Xiu] wiped his mouth and threw the handkerchief on the table.
0:37:58|0:38:5|[Zhou Yuwen] heard this without saying a word, tidied up the table that was messed up by taking medicine just now, picked up the tray and turned to leave.
0:38:5|0:38:10|[Dai Xiu] did not try to stop him when he left, instead she pulled up the blanket and leaned against the head of the bed, deep in thought.
0:38:12|0:38:21|The entire Dai family compound was ready to go to sleep, the courtyard was quiet and peaceful. [Zhang Zhichen], who was staying in the study, was washing and wiping his body.
0:38:21|0:38:30|[Zhou Yuwen] returned to the room and had already freshened up. At this moment, taking advantage of the electricity not being cut off yet, she sat in front of the half-height dressing mirror carefully tidying up.
0:38:30|0:38:36|As he was about to wipe his face, [Dai Xiu], who had just finished showering, walked in while drying his hair.
0:38:40|0:38:46|After closing the door, Da Xiaomei bounced over to stand behind [Zhou Yuwen], placing her hand on Zhou Yuwen's shoulder.
0:38:48|0:38:52|[Zhou Yuwen] smiled slightly upon hearing this, stood up, and gave up her seat.
0:38:52|0:38:59|Zhou Yuwen took the towel from Damao's hand and gently dried her wet hair in front of the dressing table.
0:39:2|0:39:5|Zhou Yuwen glanced at the large mirror in front of her and continued speaking.
0:39:32|0:39:34|Dai Xiaomei turned her head shyly to look at [Zhou Yuwen].
0:39:40|0:39:42|[Zhou Yuwen] unscrewed the bottle of hair oil in her hand.
0:39:42|0:39:49|[Zhang Zhichen], he lives in a big city and has seen the world.
0:40:4|0:40:6|[Zhou Yuwen] leaned against the desk and joked around.
