0:0:26|0:0:31|The family consists of thirteen members, and today is the annual New Year's Day.
0:0:31|0:0:37|Uncle Cheng returned home after being away for half a year, filled with joy to reunite with his family.
0:0:37|0:0:47|The children and grandchildren didn't all return home until the first day of the lunar new year. They thought they could finally enjoy a happy reunion meal with the family, but one unpleasant incident after another occurred.
0:0:48|0:0:59|This year, [Father] and [Mother] also lost interest in celebrating the New Year. Everyone kept talking about money, and the reunion dinner that only happened once a year ended in embarrassment and awkwardness.
0:0:59|0:1:10|The scene of breaking up without spending money has always haunted [Father], so one day after the farce, he and his wife flew away, leaving the home where they had lived for a lifetime.
0:1:13|0:1:18|The [Big Brother] of the elderly couple admired Teacher Muna since he was young, but ended up with a fierce and domineering daughter-in-law.
0:1:18|0:1:23|[Second Sister's Husband] is a well-known official, but he can't seem to shake off his habit of being a womanizer.
0:1:23|0:1:32|There is Second Sister, who was once determined to marry a man of status, causing a lot of trouble at home. The couple now supports themselves and live a peaceful life.
0:1:33|0:1:46|But the worst was yet to come. Their [Younger Son] indulged in all kinds of pleasures without working, and even found a girlfriend who was also unemployed and famous for nothing. All she did was ask for money and seek enjoyment every day.
0:1:46|0:1:55|[Father] and [Mother] recalled the scene of last year's New Year's Eve dinner, with [Sister-in-law] angrily smashing a mirror, everyone else arguing loudly, and the dinner ending in discord.
0:1:56|0:2:3|Chinese families may be the most intriguing, a reality that people are reluctant to admit but have to face.
0:2:3|0:2:7|Once-a-year reunion dinner, also a mirror reflecting the Chinese-style family dynamics.
0:2:7|0:2:16|At the dinner table, behind the filial piety of [Father] and the love between brothers, is actually a group of relatives who have been estranged for generations.
0:2:16|0:2:19|Fortunately, not all families are like this.
0:2:19|0:2:25|After watching this movie, you will have a deeper understanding of the rural folk life in China after the reform and opening up.
0:2:26|0:2:35|Actress [Zhao Lirong] won the Best Actress award at the 4th Tokyo International Film Festival and the 15th Hundred Flowers Awards for this film.
0:2:35|0:2:40|Even though filmed in the 1990s, it still remains a classic today.
0:2:42|0:2:48|The story begins in a bustling market, where the crowd is noisy and filled with people shopping for the New Year.
0:2:48|0:2:55|A woman is rushing home, panting heavily, with a tired look on her face, dragging a cart full of meat and other New Year goods behind her.
0:2:55|0:2:59|She couldn't move it by herself, and there were enthusiastic children helping her push the New Year goods behind her.
0:3:8|0:3:14|The sound of bargaining in the market seemed out of place, with smiles on everyone's faces around.
0:3:16|0:3:28|The woman in this scene is [Mrs. Cheng], with the children following behind her, exerting all their strength to help her push the cart. She awkwardly opens her wallet while walking towards home.
0:3:28|0:3:33|[Mrs. Cheng] just arrived home, on the other side is the old [Father] of the [Cheng family], [Mrs. Cheng] is back.
0:3:34|0:3:38|He skis gracefully down the snow-covered mountain top with a hunched back.
0:3:38|0:3:41|This is his first time returning home after being away for over half a year.
0:3:41|0:3:47|This time back home, he bought a bunch of New Year goods with his homemade climbing pears, preparing to celebrate the New Year with his children.
0:3:47|0:3:53|Uncle Jiancheng stumbled down the high snow slope, and the two lanterns he was carrying swayed in the wind after he climbed up.
0:3:53|0:3:56|He cheered himself on as he descended the mountain.
0:4:3|0:4:10|Even though a shot was fired, he still burst into laughter. As he dragged [Father] towards home, they heard the sound of fast-paced wooden clappers coming from the courtyard.
0:4:28|0:4:50|It turned out that there were three or five comic actors trying to please the audience. I saw [Middle-aged Woman] reluctantly take out a five yuan note from her small cloth bag.
0:4:50|0:4:52|Mother took out a ten yuan note again.
0:5:8|0:5:15|He didn't know that [Uncle Cheng] was already at the doorstep, when a familiar voice could be heard not far away.
0:5:15|0:5:20|He turned around and all the wrinkles smoothed out instantly, it turned out to be [Uncle Cheng] who had returned.
0:5:34|0:5:37|Uncle Cheng raised his hand and put it back on him, his eyes full of indulgence.
0:5:37|0:5:47|Uncle Cheng takes out the prepared silver goods.
0:5:53|0:6:18|[Mrs. Cheng] asked in confusion. Then, [Mrs. Cheng] turned around and added another sentence. [Mr. Cheng] looked disdainful. He then packed up the New Year goods. He awkwardly unloaded a bicycle from the pear tree, his face filled with disappointment and anger, and asked.
0:6:27|0:6:32|[Mother] walked back home in a daze.
