0:0:38|0:0:41|On a remote country road, a bus speeds by.
0:0:45|0:1:0|Please don't hesitate to like, subscribe, share, and support the "Bright Mirror" and "Dots" programs.
0:1:22|0:1:28|Accompanied by cheerful music, the bus carrying the girls who came to work from the city drives through the tunnel.
0:1:28|0:1:42|The small road, lined with rice fields on both sides, stretches towards the countryside, and the buildings not far away gradually transition from tall buildings in the city to unique rural houses.
0:1:42|0:1:43|The road in the village is getting bumpier.
0:2:20|0:2:28|[Sung Daxiong] put down his phone, turned around and looked at the girls who were still immersed in the excitement, and loudly introduced them.
0:2:40|0:2:46|[Sung Daxiong] finished speaking, swaying happily in his seat to the music.
0:2:46|0:2:52|The friend who had just asked the question immediately deflated upon hearing it, and stood expressionless, heavily leaning against the backrest.
0:2:52|0:2:55|The bus drove around the winding mountain road, passing by a grove and a pond.
0:3:35|0:3:39|Accompanied by the girls' laughter and playfulness, the bus was getting closer and closer to its destination.
0:3:39|0:3:47|He didn't stay quiet for long, only to see the bus suddenly brake, a girl holding a silver rod not holding it steady, and water spilled out a lot.
0:3:47|0:3:54|The culprit of all this is a wooden barrel leisurely riding on a cow, slowly passing by in front of the bus.
0:4:31|0:4:49|After a long time, the bus finally arrived at the destination, swiftly passing through the village entrance with a banner hanging above. It read "Wushan Nest, where civilization, stone flowers, and wine fragrance drift." Driving further in, as the bus approached, the children playing at the village entrance spontaneously lined up into two rows to make way for the bus, then playfully chased after the departing bus.
0:4:52|0:4:59|After a long journey, the group finally arrived at the village. The girls carried their suitcases and walked unsteadily to the open space in the village.
0:4:59|0:5:8|At this moment, many villagers have gathered here, each one scrutinizing and sizing up these stylish city girls.
0:5:8|0:5:14|The girls are wearing tight jeans and cropped tops, completely different from the village women in loose shirts.
0:5:34|0:5:40|The girls who were shouting to go to the bathroom were stunned by [Song Daxiong] in a chrome jacket, and they all walked back again.
0:6:9|0:6:15|In the village committee, a middle-aged man with a thick beard is carefully weighing the neatly arranged tea leaves on the table.
0:6:15|0:6:19|He carefully picked up a pinch of tea leaves and savored them in his mouth.
0:6:19|0:6:25|As he picked up the hot water kettle to prepare a cup of hot tea, a middle-aged man wearing glasses rushed in anxiously.
0:6:31|0:6:35|The village chief was startled, hot boiling water spilled on his hand, and the teacup fell to the ground.
0:6:51|0:7:0|On the vast edge of Changyuan, [Song Daxiong] on the co-pilot of the bus was writing the words "sprout tea" on a blackboard.
0:7:0|0:7:4|His surroundings were filled with nosy villagers and city girls who came for the training.
0:8:1|0:8:5|The girls dispersed in a commotion, eagerly pushing open the dormitory door.
0:8:5|0:8:10|You disrupted the dormitory with your words, causing a commotion while assigning beds.
0:8:10|0:8:14|The girl holding the fish tank almost got into a fight with the girl holding the cat.
0:8:14|0:8:19|The plain room was quickly adorned with stylish posters and small animal decorations by the girls, making it warm and cozy.
0:8:20|0:8:28|The one leading them in, [Luo Minying], stood at the door awkwardly stirring the clothes with his hands, watching their smooth movements in a daze.
0:8:40|0:8:48|Luo Mingying was stunned by this question, and the noisy girls instantly quieted down, turning their heads together to look at [Zhang Lilei] who asked the question.
0:8:48|0:8:53|[Zhang Lilei] didn't expect this kind of ending either, innocently pouted and didn't say anything more.
0:8:53|0:9:3|After the girls finished packing up, they returned to the previous open space and lined up to receive the tea-picking baskets and aprons from Luo Mingying and [Song Daxiong].
0:9:15|0:9:19|The girls followed the villagers to the tea garden with [Song Daxiong].
0:9:19|0:9:21|Both sides of the road in the tea plantation are lined with flags.
0:9:21|0:9:29|On a high platform, two children, a boy and a girl, are dressed in rattan costumes performing tea art at a table with a stove.
0:9:29|0:9:37|High toss, turn around, catch the teapot, bend down, pour water, a copper teapot with a spout about one meter long in their hands seems to come to life.
0:9:38|0:9:44|As they moved, the drama flowed down with their actions, but landed steadily into the cup.
0:9:44|0:9:56|The audience below widened their eyes in astonishment at their superb skills. After the tea ceremony performance, [Song Daxiong] and his sister Xiaojuan walked up to the stage with their mother holding a tray.
0:9:56|0:10:0|The tray was covered with a luxurious cloth, making it impossible to see what was inside.
0:10:0|0:10:4|After they stepped onto the stage, [Song Daxiong] slowly lifted the cloth.
0:10:4|0:10:8|Inside, there was a set of glass tea ware and a full canister of tea leaves.
