0:0:47|0:0:51|A ship sailed by as [Cheng Yi] was smoking at home.
0:0:51|0:0:55|There are two photos and a plaster statue on the windowsill.
0:1:14|0:1:27|Sheet music and newspapers scattered on the ground, [Cheng Yi] with his legs crossed on a stool, occasionally rubbing his feet. He held a pen in one hand writing on the paper, and raised a cigarette in the other hand, taking a deep drag.
0:1:27|0:1:33|The fan in front of him was not enough to dispel the heat, so he took a piece of paper and wiped the sweat off his hands.
0:1:33|0:1:42|After wiping, he casually threw the roll of paper on the table, picked up the written score, stood up and walked to the piano, placing his newly written score on it.
0:1:57|0:1:58|Li Xiaolu looks earnestly towards the door.
0:1:58|0:2:1|The landlord walked up the steps and sat down.
0:2:33|0:2:44|[Cheng Yi] took out the paper ball that was just stuffed into his left ear, leaned towards the door and then turned around to take out the paper ball from his right ear. The scene shifted to the restaurant, where a man with glasses was holding a ring box.
0:2:59|0:3:11|The man with glasses held the ring box tightly in his hand, smiling. He looked outside the shop and happily stood up, but his smile disappeared when he heard his girlfriend speak.
0:3:35|0:3:55|The man with glasses looked sadly as his girlfriend walked away, while on the other side, [Cheng Yi] sat on a chair, picked up the water bottle on the ground, took a sip, and ran his hand through his hair.
0:4:30|0:4:33|[Cheng Yi] hung up the phone and put the mobile phone into his pocket.
0:4:34|0:4:39|He looked towards the door, got up from the chair, and walked towards the door with light steps.
0:4:39|0:4:49|He pushed aside the thin gauze curtain, peeked forward, listened intently, then returned to the bedroom to change clothes, fidgeted and opened the door.
0:4:49|0:5:1|He first peeked out, noticed the landlord sleeping on the steps, took a breath, silently dug a bit, quickly flashed out of the door, gently closed the iron door with a fierce look on his face, and only breathed a sigh of relief after walking out of the building.
0:5:2|0:5:7|[Cheng Yi] walked on the street, and a man in a suit with his son approached him.
0:6:11|0:6:12|Glasses-wearing man Ah Hui ended up pouring a drink for [Cheng Yi].
0:7:57|0:7:59|[Cheng Yi] took a sip of wine and put down the glass.
0:9:12|0:9:19|[A Ling] put away the perfume and looked towards [Cheng Yi], who nodded and smiled at her. She walked up to [Cheng Yi] with a smile.
0:9:32|0:9:35|[Cheng Yi] shivered next to [A Ling].
0:9:47|0:9:55|[Cheng Yi] called out to [A Ling], approaching her as she turned around.
0:9:55|0:10:1|[A Ling] returned to the counter with a slightly embarrassed smile and nodded at [Cheng Yi], who was looking at her.
0:10:1|0:10:4|The scene shifts to outside the Shenzhen high-speed rail station, where a bright figure is exerting all their strength.
0:10:6|0:10:19|[Cheng Yi] walked out of the high-speed rail station with a bag of pan-fried buns on his back, crossed the road, looked around, adjusted his glasses, took a deep breath, and continued walking. In no time, he arrived at a high-end hotel restaurant where he played the piano on stage.
0:10:38|0:10:44|With the sound of [Cheng Yi]'s qin, a man from Zhongshan Village walked into the hotel with a man wearing sunglasses and a beautiful woman.
0:10:47|0:10:55|At this moment, the men from Zhongshan Village arrived at the restaurant. With his hands in his pockets, Li Xiaolu glanced over, and A Ling also noticed them.
0:10:55|0:10:58|The man from Zhongshan Villa turned around and said to the man in sunglasses.
0:11:1|0:11:12|The beauty linked arms with the big brother, following [Cheng Yi] up the steps, with two bodyguards behind. The three of them took their seats one after another, and [Li Xiaolu] kept an eye on them.
0:11:40|0:11:42|The big brother is hugging the beauty [NIKOLE].
0:11:45|0:11:47|The big brother took out a gift box.
0:12:31|0:12:35|[NICOLE] walked towards [Cheng Yi] with a handbag in one hand, swaying her hips.
0:12:35|0:12:39|He walked up the steps, and Li Xiaolu looked at him.
0:12:39|0:12:49|At this moment, a group of people rushed into the restaurant, with the long-haired man at the front bowing to the big brother with folded hands.
0:12:49|0:12:51|Zhou Biao pointed at the man in Zhongshan suit.
0:12:58|0:13:1|It seems like they are discussing business, but what illegal activities they are actually up to, only the heavens know.
0:14:13|0:14:21|After speaking, [NICOLE] walked down the steps in high heels, [Li Xiaolu] watched her return to Zhou Biao's side and sit down, showing a smile.
0:14:24|0:14:28|He thought for a moment, let out a sigh, then lowered his head to continue playing the piano.
0:14:28|0:14:34|The next day, [Cheng Yi] arrived at the music store, where [Li Xiaolu] put down the instrument she was polishing and greeted him.
0:14:41|0:14:49|[Cheng Yi] heard the sound of the piano and walked towards the piano inside, only to find [NICOLE] playing the piano, his fingers skillfully moving on the keys.
0:14:54|0:14:59|[NICOLE] stepped aside and stood listening as the music flowed from [CHENG YI]'s fingertips.
0:15:37|0:15:40|Li Xiaolu and A Ling met each other with a smile.
0:15:40|0:15:45|[Cheng Yi] watched as [Li Xiaolu] left, glanced at the piano, and then looked at the address.
0:16:0|0:16:7|Cars were passing by on the street, [Cheng Yi] was carrying a bag of fruits back to Hong Kong, and coincidentally ran into [A Ling] coming out.
0:16:28|0:16:30|[A Ling]'s mother, who is also the landlady, walked out of the building, straightened her clothes, touched her hair, and asked.
0:16:53|0:17:3|Saying that, [Li Xiaolu] took the fruit from [A Ling]'s hand and threw it on the ground. [Lin Zai] hid behind the wall watching everything, only to see a man walking up to [A Ling] and her daughter, then leading [A Ling] into the car.
0:17:10|0:17:13|[Cheng Yi] leaned against the wall and muttered to himself.
0:17:13|0:17:17|[Cheng Yi] bit his lip and walked to the front of the building, slowly swallowing.
0:17:17|0:17:27|After pausing in the air for a moment, [Li Xiaolu] picked up the fruit from the ground, wiped a pear that had fallen outside on her chest, and then stuffed it into the bag.
0:17:27|0:17:31|He then held the fruit and watched [A Ling] and her daughter leave in the car.
0:17:31|0:17:36|[Cheng Yi] changed his clothes and arrived at the Purple Gold Flower Square, holding his phone and waiting.
0:17:41|0:17:43|Walking towards the sea while waiting, Li Xiaolu looked out at the sea again.
0:18:24|0:18:26|The big-eyed beauty took the sincere phone call.
0:18:39|0:18:41|Li Xiaolu extends a sincere hand, and the beautiful woman with big eyes turns her head.
0:19:2|0:19:6|The big-eyed beauty dialed the number again, but this time no one answered.
0:19:6|0:19:9|Chengyi wanted to say something but stopped himself.
0:19:9|0:19:16|[Li Xiaolu] waited while casting a sidelong glance at [A Ling] with her big eyes. She sighed as she watched [A Ling] put down her arms in disappointment, hands in pockets.
0:19:16|0:19:17|Li Xiaolu squats down in surprise and picks up the phone.
0:19:29|0:19:39|The big-eyed beauty Li Xiaolu was about to leave, but Lin Zai opened his phone and shook it. Then he arrived at a bar where the dancer was performing on stage.
0:19:39|0:19:44|Ahui wiped the wine glass while talking to [Cheng Yi] at the bar.
0:20:12|0:20:17|Ahui looked up and saw his ex-girlfriend [Anjiu] walking in with a man.
0:20:17|0:20:21|[Andrei] also saw him, but lowered his head and looked past him sincerely.
0:20:25|0:20:35|Chengyi turned his head and clapped his hands, saying, Ahui watched his ex-girlfriend walk away as the dancers accompanied the intense music with their dance.
0:20:57|0:21:2|At this moment, [Li Xiaolu], the big-eyed beauty, walked in and casually pushed her glasses up with no enthusiasm.
0:21:2|0:21:9|The big-eyed beauty looked around and spotted the sincerity on the bar. She walked up and patted Sincerity on the shoulder.
0:21:24|0:21:27|The big-eyed beauty turned around and leaned against the bar.
0:21:46|0:21:49|The prince spoke to the thug.
0:21:49|0:21:50|The big-eyed beauty noticed over here.
0:21:55|0:21:59|She rushed up to [Li Xiaolu] with a sincere look.
0:22:10|0:22:16|[Li Xiaolu] embraces and rescues [A Ling].
0:22:16|0:22:20|When they left, Chengyi rushed to [A Ling] and supported him earnestly.
0:22:34|0:22:41|Later, [Li Xiaolu] arrived at a villa area according to the address provided by [NICOLE].
0:22:41|0:22:44|Climbing up a small slope, they arrived at the entrance of a villa.
0:22:44|0:22:48|He looked inside, checked the address, and then reached out to greet them.
0:22:48|0:22:49|The bodyguard at the door came over and asked.
0:22:50|0:22:50|The bodyguard opens the gate, showing sincerity.
0:23:7|0:23:9|Li Xiaolu walks along the path, glancing at the luxurious villa, while the bodyguard stops in front of the glass door.
0:23:9|0:23:10|Li Xiaolu walks in with sincerity, while a few bodyguards patrol outside the door.
0:23:10|0:23:11|He glanced around the room and saw the piano filled with dust not far from the entrance.
0:23:31|0:23:39|Picking up the music score on the piano, [Li Xiaolu] naturally sat down, arranged the score, glanced around the living room, and then started playing the piano absentmindedly.
0:23:51|0:23:54|Li Xiaolu was actually discussing business with the man with long hair in the living room.
0:24:20|0:24:23|The old man walked towards the outside of the house, with [Li Xiaolu] nodding slightly behind them.
0:24:44|0:24:45|The man with long hair followed and walked down the stairs.
0:24:53|0:24:57|Li Xiaolu and A Ling sat down by the pool, and soon a waiter brought over drinks.
0:25:39|0:25:43|The two walked to the side, and A Ling patted Li Xiaolu's chest.
0:25:57|0:26:9|Ruan Ji turned and walked away, unexpectedly pulling out a gun with a turn, and the bodyguard behind [Cheng Yi] immediately raised his gun as well. [Cheng Yi] chuckled, and at this moment, the henchmen on both sides were all holding guns.
0:26:9|0:26:14|[Cheng Yi] grabbed the money bag on the table and left under the protection of the bodyguard.
0:26:14|0:26:18|A bodyguard was hit by a soft drink and fell into the swimming pool.
0:26:18|0:26:20|[Cheng Yi] looked up at the noise outside.
0:26:52|0:27:3|Outside the house, a fierce battle was raging, and Li Xiaolu's music seemed to have turned into the background music for each person falling down, until several people ran past the glass door, Li Xiaolu stopped playing and stood up.
0:27:3|0:27:5|Soon, Li Xiaolu, A Ling, and Lin Zai were caught up by the thugs with chairs and bodyguards.
0:27:8|0:27:15|Ruan Jiulian fired several shots, leaving two gunshot wounds on Zhou Biao's back, while the [Chengyi] alliance hid behind the piano.
0:27:15|0:27:26|The glass door was also shattered by Ruan Jiu. After Zhou Biao fired a few more shots, he still managed to turn around and fired several shots at Ruan Jiu, but staggered back several steps himself.
0:27:26|0:27:30|[Cheng Yi] furrowed his brow, wanting to see the situation but not daring to show himself.
0:27:30|0:27:39|In the end, Ruan Jiu and Zhou Biao both fell to the ground, the gunshots ceased, and [Cheng Yi] dared to show his head, only to see several people already lying outside.
0:27:39|0:27:44|Zhou Biao spat out blood, and when he saw [Cheng Yi], he reached out his hand to try to climb over to him.
0:27:44|0:27:51|[Cheng Yi] looked around, made sure no one was there, got up and ran towards the door. He looked around at the door before finally daring to walk out.
0:27:57|0:28:4|He didn't notice him under his feet, and was grabbed by Zhou Biao on the calf. He turned a few times without breaking free, and then squatted down to help Zhou Biao.
