0:3:12|0:3:17|In the alleyway, two little boys walked hand in hand to the entrance of the grocery store.
0:3:17|0:3:20|Younger brother Xiaochong excitedly stopped in front of the freezer.
0:3:27|0:3:33|Brother [A Xuan] led his younger brother Xiaochong into the grocery store, where the owner was dozing off.
0:3:33|0:3:37|[A Xuan] secretly opened the small drawer where the money was kept.
0:3:37|0:3:44|The little bug accidentally made a noise, and [A Xuan] quickly pulled out a few banknotes.
0:3:44|0:3:50|Before leaving, Fang Chongyu couldn't resist opening the freezer.
0:3:50|0:3:51|At this moment, the boss woke up.
0:3:57|0:4:0|The boss chased after the two of them from behind, cursing as they ran.
0:4:0|0:4:17|They accidentally bumped into an old lady on the way, Xiao Chongyu helped the old lady up and bowed to apologize.
0:4:17|0:4:23|The boss hugged Little Bug from behind, and [A Xuan] threw stones hitting the boss's head, allowing Little Bug to escape.
0:4:28|0:4:33|The two sat on the high steps eating popsicles, with the vast sea in front of them.
0:4:56|0:5:0|The little bug grew up unknowingly.
0:5:0|0:5:7|He pulled back the curtains and looked out the window with determination.
0:5:7|0:5:12|He was ready to go out with his backpack, and his father asked.
0:5:26|0:5:34|Dad took out a trophy from the cabinet and placed it in front of Little Worm.
0:5:35|0:5:37|Dad slammed the trophy on the ground.
0:5:50|0:6:0|Dad pointed at the bug's chest with his finger, and the bug argued back.
0:6:0|0:6:6|The little bug turned and ran out of the house, while Dad angrily swung his fist.
0:6:6|0:6:12|On the high school playground, the track team is training, and [Zhou Yiqing] rides a motorcycle straight to the edge of the track and stops.
0:6:14|0:6:21|Coach Pan saw him and signaled the players to stop. The players greeted Coach Pan.
0:6:21|0:6:26|Zhou Yiqing took off her helmet and walked to Coach Pan's side.
0:7:30|0:7:35|The little bug took out a marathon poster from the schoolbag and continued to stare at [A Xuan], asking.
0:7:57|0:8:3|[A Xuan] pushed the little bug to the ground, gave him a fierce look, and then ran off to training.
0:8:3|0:8:7|At this moment, [Fang Chongyu] walked over and reached out a hand to the little bug.
0:8:7|0:8:11|The little bug saw the scar on Fang Chongyu's arm and stood up.
0:8:17|0:8:19|He looked towards the direction where the track team was training.
0:8:19|0:8:24|Zhou Yiqing looked at him with a thoughtful expression.
0:8:24|0:8:32|The track team ran over, with the chubby one in the front kicking the little bug's backpack on the track to the side.
0:8:36|0:8:39|Zhou Yiqing tries to grab the angry little bug, but the bug shakes off his hand.
0:8:58|0:9:10|Little [Chong] ran away while chaos ensued, and [Coach Pan] ran over.
0:9:15|0:9:19|[Zhou Yiqing] walked up to the coach and watched the direction in which Xiao Chong ran.
0:10:5|0:10:9|Yiqing lowered her head in silence.
0:10:20|0:10:28|Fang Chongyu was amused by Coach Pan's words.
0:10:28|0:10:33|The smile on Fang Chongyu's face disappeared instantly.
0:10:33|0:10:39|Fang Chongyu turned his head and shouted at the team members.
0:10:39|0:10:43|The team members sitting on the ground stood up defiantly.
0:11:0|0:11:5|Under the gaze of [Fang Chongyu] and the team members, the two of them stood at the starting line.
0:11:5|0:11:10|The little bug pulled [Zhou Yiqing] to the inside of the runway, and [Zhou Yiqing] smiled as she accepted her gentlemanly gesture.
0:11:10|0:11:17|[A Xuan] walked forward to instruct the little bug.
0:11:17|0:11:21|[A Xuan] did not follow his brother's instructions.
0:11:21|0:11:23|[Zhou Yiqing] is ready in the starting position.
0:11:27|0:11:33|At the beginning, Xiao Chong took the lead, but the two did not open up a big gap.
0:11:33|0:11:40|[A Xuan] frowned when he noticed that the little bug was not on the inner circle.
0:11:40|0:11:49|In the final sprint stage, [Zhou Yiqing] started to exert force. Little Bug couldn't keep up and was overtaken by [Zhou Yiqing]. The team members clapped and cheered.
0:11:49|0:11:53|[Zhou Yiqing], who crossed the finish line, covered her chest and gasped for breath.
0:11:56|0:12:5|[A Xuan] walked over and patted the shoulder of the little bug.
0:12:5|0:12:12|The epidemic calmed down, took a breath, turned around, walked over, and jingled the keys.
0:12:12|0:12:17|The little bug was still unwilling, with [A Xuan] putting his arm around his shoulder.
0:12:17|0:12:20|The bug pushed [A Xuan] aside and took a few steps forward.
0:12:20|0:12:23|[A Xuan] looked at the little bug and left helplessly.
0:12:25|0:12:32|On the way home, [Fang Chongyu] sat on the back of [Zhou Yiqing]'s motorcycle and vented. [Fang Chongyu] jumped off the motorcycle, and [Zhou Yiqing] quickly hit the brakes.
0:12:56|0:13:6|[Zhou Yiqing] got off the car and watched as Xiaochong hobbled away, the wind tousling her hair and covering half of her face.
0:13:6|0:13:14|She made up her mind and shouted at the little bug.
0:13:31|0:13:48|[Zhou Yiqing] got on the motorcycle, turned around and threw a line, then changed the direction of the motorcycle and roared away. The bug with a helmet on shouted and chased after the motorcycle.
0:13:57|0:14:2|Upon returning to school, [Zhou Yiqing] cleared out a bit of space in the storage room for Xiaochong.
0:14:2|0:14:6|Seeing the panting little bug running back, [Zhou Yiqing] said.
0:14:18|0:14:25|[Zhou Yiqing] gave the little bug a glance, squatted down, struck a match, and lit the incense.
0:14:25|0:14:35|The little bug's gaze fell on [Zhou Yiqing]'s mouth, ears, and eyes, causing the corners of her mouth to unconsciously lift.
0:14:35|0:14:39|[Zhou Yiqing] looked up at the little bug, and the bug quickly dodged her gaze.
0:14:40|0:14:48|[Zhou Yiqing] blew out the match and stood up to walk to the left, the little bug also went left. When [Zhou Yiqing] turned right, the bug also turned right.
0:14:48|0:14:51|The strange tacit understanding between the two made the atmosphere a bit ambiguous.
0:14:51|0:14:53|The little bug sidled up to the table and sat down.
0:14:54|0:14:57|[Zhou Yiqing] turned around and threw a pillow at him.
0:14:57|0:15:4|[Zhou Yiqing] smiled and turned around, watching him leave with a twinkle in her eye.
0:15:4|0:15:11|At night, [A Xuan] knocked on the window of his girlfriend Xiao Ke.
0:15:15|0:15:17|[A Xuan] lay on the bed and complained.
0:15:59|0:16:3|[A Xuan] brought the pregnancy test stick in Xiaoke's hand up to his eyes.
0:16:3|0:16:6|[A Xuan] stood still.
0:16:6|0:16:10|In the early morning, [Zhou Yiqing] trains on the mountain path with a small bug.
0:16:10|0:16:17|After the training, Xiaochong painfully stretched her legs, while [Zhou Yiqing] read a book and pressed on her back.
0:16:33|0:16:38|The little bug didn't hold steady, almost causing [Zhou Yiqing] to fall down.
0:16:38|0:16:48|[Zhou Yiqing] extended her right index finger and poked it on her forehead.
0:17:1|0:17:4|The bug grabbed [Zhou Yiqing]'s hand and moved it away from its forehead.
0:17:4|0:17:15|[Zhou Yiqing] gave a wink, and the little bug smirked mischievously as it released its fingers and sat down.
0:17:15|0:17:18|[Zhou Yiqing] picked up a stick and hit the small bug with it.
0:17:24|0:17:36|The little bug was about to get up in helplessness, but was immediately stopped by [Zhou Yiqing] as he bent down.
0:17:36|0:17:43|[Zhou Yiqing] looked at the small bug's worn-out sneakers and asked.
0:17:43|0:17:51|[Zhou Yiqing] frowned, lost in thought.
0:17:56|0:18:5|At night, in the office, [Zhou Yiqing] takes out a shoebox from the drawer.
0:18:5|0:18:8|In the box are a pair of red sneakers.
0:18:8|0:18:22|She tenderly caressed these red sneakers, thinking of her brother.
0:18:50|0:18:54|Fang Chongyu's clothes have been soaked with sweat for most of it.
0:18:54|0:18:54|[Zhou Yiqing] looks at him.
0:19:10|0:19:16|In a gloomy old building, [Fang Chongyu] takes Xiao Ke to see the quack doctor for an abortion.
0:19:16|0:19:20|Xiao Ke clung tightly to Fang Chongyu's arm in fear.
0:19:20|0:19:21|Walking through the dilapidated corridor.
0:19:21|0:19:23|[Fang Chongyu] knocked on the door of the consultation room.
0:19:26|0:19:28|The two pushed open the door and entered.
0:19:43|0:19:49|[Fang Chongyu] sat by the hospital bed, and the strange doctor walked over to him and said.
0:19:59|0:20:3|Xiao Ke sobbed as he watched [A Xuan] leave.
0:20:3|0:20:8|The eccentric doctor sat down.
0:20:8|0:20:17|Outside the clinic room, [A Xuan] closed the door, regretfully pounding the wall, holding back tears.
0:20:17|0:20:24|After a moment of inner struggle, he rushed in and lifted Xiao Ke up from the sickbed.
0:20:24|0:20:25|The strange doctor turned around and shouted.
0:20:31|0:20:41|[A Xuan] sat on the bed in Xiaoke's house, Xiaoke's father was emotional.
0:20:41|0:20:51|Xiao Ke's father closed the door, sat across from [A Xuan], while Xiao Ke and his mother peeked anxiously through a crack in the door from outside.
0:20:51|0:20:56|They locked eyes for a moment, and [A Xuan] said sincerely.
0:20:59|0:21:11|Dad angrily beats [A Xuan], while Xiao Ke and Mom rush in to stop him.
0:21:11|0:21:20|Dad pushed Xiao Ke away, and [A Xuan] hurried over. Xiao Ke held his stomach, and [A Xuan] helped him onto a chair.
0:21:20|0:21:22|Xiao Ke shook his head and hugged A Xuan.
0:21:25|0:21:35|From this moment on, older brother [A Xuan] will shoulder the responsibility of a family, while younger brother Xiaochong can still pursue his dreams without any worries.
0:21:35|0:21:40|In the mountains and forests, small insects cross over mud puddles and overcome numerous obstacles.
0:21:40|0:21:49|On the beach, [Fang Chongyu] tied a rope around his waist and dragged a heavy tire to practice diligently. He swung his arms with force, his eyes determined.
0:21:49|0:21:55|After a while, Xiaochong was running on the road, with [Zhou Yiqing] riding a motorcycle beside him, timing him.
0:22:12|0:22:17|The little bug continued to run forward, and before long, it accidentally fell down.
0:22:17|0:22:21|[Zhou Yiqing] stopped the car, took off the helmet, and walked over to check the injuries.
0:22:28|0:22:33|Zhou Yiqing frowned as she looked at his bleeding knee.
0:22:46|0:22:52|Zhou Yiqing disdainfully punched Little Bug and then turned to get a medical kit from the motorcycle to hand it to Little Bug.
0:22:54|0:22:57|The little bug unzipped the zipper and searched inside for things one by one.
0:22:57|0:23:1|Yiqing helps Xiaochong with the wound.
0:23:1|0:23:5|The little bug grimaced in pain.
0:23:5|0:23:13|The bug poked his forehead with his right index finger.
0:23:13|0:23:17|Yiqing looked at [Zhou Yiqing], untied his shoelace, and tied it to the gauze.
0:23:23|0:23:42|Tightly tied a knot on purpose before, and patted the small bug's leg.
0:23:42|0:23:50|The little bug stood up and approached [Fang Chongyu], and the two of them awkwardly locked eyes.
0:23:50|0:23:51|The bug backed off a bit.
0:23:59|0:24:11|Zhou Yiqing gets on the motorcycle and puts on a helmet.
0:24:11|0:24:19|Zhou Yiqing started the motorcycle and left, Xiaochong took a few steps forward and shouted.
0:24:19|0:24:23|Zhou Yiqing parked the car in front of the orphanage, with A Xuan quietly following behind her.
0:24:25|0:24:30|Yiqing noticed that someone seemed to be following behind, but when she turned around, there was no one in sight.
0:24:30|0:24:36|She walked to the outside of the classroom, and a few children ran out from the classroom, followed by the principal who came out to remind them.
0:24:39|0:24:42|Yiqing gestured to the dean to keep it a secret.
0:24:49|0:24:52|Xiaomi saw the little bug, and Yiqing asked.
0:24:58|0:25:4|Xiaomi grabbed Yiqing, who leaned forward and whispered to Xiaomi.
0:25:4|0:25:19|In Xiaoke's home, [A Xuan] leans his head against Xiaoke's belly, shaking the plush teddy bear in his hand and talking to the baby inside the belly.
0:25:19|0:25:21|Xiao Ke took out a roll of money from behind Xiao Xiong.
0:25:34|0:25:37|[A Xuan] stood up and responded helplessly.
0:25:54|0:25:59|Xiao Ke turned his head angrily, and [A Xuan] also stubbornly didn't respond.
0:25:59|0:26:11|The little bug dressed in formal attire, holding a white rose, came to fulfill Yiqing's invitation.
0:26:11|0:26:15|Standing at the entrance of the restaurant, [Zhou Yiqing] adjusts her clothes in front of the glass.
0:26:15|0:26:19|[Zhou Yiqing] and Xiao Mi saw this scene inside and smiled at each other.
0:26:20|0:26:25|The little bug was outside the door, practicing what to say when meeting someone.
0:26:25|0:26:37|After speaking, he sighed, and [Zhou Yiqing] and Xiao Mi pushed open the door, trying to hold back their laughter.
0:26:37|0:26:40|Yiqin introduced Xiao Mi while holding her hand.
0:26:46|0:26:54|Xiaomi and Xiaochong made a secret gesture, and [Zhou Yiqing] smiled as she turned and walked into the room, while Xiaochong took two steps and then returned to close the door.
0:26:54|0:27:4|Xiaomi used her fingers to spread the cream on the little bug's nose, and [Zhou Yiqing] joined in the fun.
0:27:4|0:27:9|Xiaomi placed the hands of the two people together, patting Xiaochong's arm and said.
0:27:9|0:27:13|After Xiao Mi finished speaking and ran off, Xiao Chong smiled foolishly, and [Zhou Yiqing] reminded him.
0:27:20|0:27:32|Fang Chongyu holds Zhou Yiqing's right hand with his left hand, his right hand around her waist, while Zhou Yiqing's left hand rests on Fang Chongyu's right shoulder. They smile and dance sweetly to the music.
0:27:32|0:27:35|Xiaomi watched the two of them from a distance and also smiled happily.
0:27:48|0:27:54|As soon as the words fell, [Zhou Yiqing] stepped on a small bug.
0:27:54|0:27:58|Night falls, and the wonderful date is coming to an end.
0:27:58|0:28:5|[Zhou Yiqing] shields the sleeping Xiao Mi from the wind by propping open her coat with a small bug.
