0:0:25|0:0:32|A winding path on the Loess Plateau.
0:0:32|0:0:42|Young [You Tianming] followed behind his father [You Bensheng], they were on their way to the home of the blacksmith [Jiao Sanye] to apprentice and learn skills. [You Tianming] pouted, looking reluctant.
0:0:42|0:0:48|The father picked up a small stone and threw it towards [You Tianming], who dodged it.
0:0:51|0:0:56|They continued walking as the villagers herded their sheep past them.
0:0:56|0:1:2|Standing at a high place, Jiao Sanye stopped to catch his breath, the scorching sun making him sweat profusely.
0:1:2|0:1:5|The father looked at the village by the Yellow River below and said,
0:1:10|0:1:16|The father placed the package he carried with him on the ground, took off his sun hat, wiped the sweat with his sleeve, and began to fan himself with the hat.
0:1:16|0:1:17|Father and son arrived at the home of [Jiao Sanye]. The father cautiously opened a door crack and peered inside.
0:1:39|0:1:44|Then he opened the door and led [You Tianming] inside.
0:1:44|0:1:50|[Nuonuo], the dog raised by Jiao Sanye, heard the noise and ran out. The father and son were startled and hid behind the wall.
0:1:52|0:2:0|[Jiao Sanye] took Nuonuo back into the room, while the father led [You Tianming] into the courtyard.
0:2:0|0:2:4|The father stood in the yard, looking straight at the house.
0:2:4|0:2:9|[Jiao Sanye] took his time before slowly walking out and sitting on the wooden bench in front of the house.
0:2:14|0:2:21|Father took out a cigarette from his pocket and ran towards [Jiao Sanye], but he didn't notice the steps on the ground and fell hard.
0:2:36|0:2:42|Father's head was injured, [You Tianming] tenderly covered the wound, a tear rolled down from the corner of his eye.
0:2:42|0:2:53|[Jiao Sanye] looked thoughtful at the scene, as his father got up and picked up the wet cigarette from the puddle.
0:2:53|0:2:58|[Jiao Sanye] pointed to the pipe in his hand, and father awkwardly exchanged glances with [You Tianming].
0:3:0|0:3:9|The cicadas chirped, the sun was high in the sky, the father and son, along with Jiao Sanye, all unconsciously looked up at the sun.
0:3:15|0:3:22|Youbensheng lit a pipe for [Jiao Sanye], who took two deep puffs.
0:3:28|0:3:34|At this moment, [Shiniang] walked out of the house carrying two bowls of water.
0:3:34|0:3:42|Father and son took the water and drank it in big gulps, finishing it in one go.
0:4:19|0:4:26|[Shiniang] placed a water ladle on the small wooden table in the courtyard and handed a small section of reed to You Tianming.
