0:0:37|0:0:44|The film begins with a group of adorable puppies eagerly nursing from their mother.
0:0:44|0:0:45|They are little Labradors.
0:0:45|0:0:49|The Labrador Retriever is one of the smartest dogs in the world.
0:0:49|0:0:55|The puppies gradually grew up, lined up in a row, happily eating the dog food in their bowls.
0:0:56|0:1:0|On the far end of a row of puppies is our protagonist, [Xiao Q].
0:1:0|0:1:5|He wears a red collar and has a gray birthmark in the shape of a seagull on his stomach.
0:1:5|0:1:11|Obviously, [Chen Qi] is still very unfamiliar with this world, he likes to run around the house and look around.
0:1:11|0:1:19|He ran to the window, looked through the glass, and saw Mr. Li Baoting and his sister Li Baoer walking towards the door.
0:1:20|0:1:24|Mr. Li Baoting was still holding a cake in his hand, and Chen Qi looked a bit puzzled.
0:1:24|0:1:27|The female host Jessica opens the door, and the two warmly greet each other.
0:1:32|0:1:35|Male protagonist Ryan also warmly welcomed them.
0:1:55|0:1:55|Mr. Li Baoting is very angry.
0:2:10|0:2:16|Ryan took everyone to the garden outside and opened the cake box, revealing a delicate cream cake inside.
0:2:34|0:2:38|Ran gestured to [Li Baoer] to calm down Mr. [Li Baoting].
0:2:38|0:2:45|Little Q ran to the second-floor balcony and, through the cracks in the railing, saw Mr. [Li Baoting] and his sister sitting on the sofa in the garden.
0:2:47|0:2:53|Mr. Li Baoting took the red wine bottle, his right hand holding the bottle slightly trembling.
0:2:53|0:2:57|Not long ago, his vision began to deteriorate, and he could only see blurry lights.
0:2:57|0:3:1|Pouring himself a drink, he then struggled to pour some into his sister's glass.
0:3:6|0:3:8|He then raised his glass.
0:3:10|0:3:15|Due to poor visibility, Li Baoting accidentally knocked over his wine glass, spilling red wine onto his pants.
0:3:33|0:3:36|Qiao Qiao watched from the balcony, while squeezing through the gap in the railing.
0:3:36|0:3:49|Suddenly, he fell out from the crevice and landed right in the arms of [Li Baoting], who held him tightly.
0:3:49|0:3:54|[Li Baoting] was very indifferent, groping forward.
0:3:54|0:3:56|Little Qi looked at him, his eyes filled with innocence.
0:4:6|0:4:12|A car pulled up in front of Run's house, with "International Guide Dog Association" written on the side.
0:4:12|0:4:22|[Simon] and Bishan got out of the car.
0:4:22|0:4:29|Inside the house, the little dogs have made a mess. Jessica is carefully taking care of the little dogs, but facing so many mischievous little dogs.
0:4:33|0:4:36|Xiao Q ran out, with Simon and Luliao Bishan following Ryan in.
0:4:42|0:4:47|[Simon] and [Luliao Bishan] pick up one small dog after another and put them into cages.
0:4:54|0:4:58|Little Q was still playing with the ball under the table when he was picked up by [Simon].
0:5:8|0:5:14|[Ryan] and [Jessica] looked on, feeling a bit reluctant to leave.
0:5:14|0:5:21|Chen Qi was locked in a cage and he will go to the guide dog association with his partners for training.
0:5:21|0:5:25|The scene shifts to the Guide Dog Association holding a ceremony for guide dog foster families.
0:5:26|0:5:27|Little Q was placed in the arms of a young girl.
0:6:3|0:6:7|The little girl kisses Chen Qi, who happily licks her face.
0:6:7|0:6:10|Xiao Q followed [Chen Zhiqiao] and her family to her new home.
0:6:10|0:6:16|She brought little Qi into the bedroom again.
0:6:51|0:6:55|A teddy bear dog came down from upstairs and ran to [Chen Zhiqiao]'s side.
0:7:2|0:7:5|[Chen Qi] friendly licked [Ma Dongmei].
0:7:5|0:7:8|At night, only [Chen Qi] was seen crouching in the doghouse.
0:7:16|0:7:19|At night, [Chen Qi] is comfortably settled in his own little nest.
0:7:21|0:7:29|[Donggu] was called away by [Chen Zhiqiao].
0:7:34|0:7:38|Before long, [Chen Zhiqiao] walked out of the bedroom again.
0:7:38|0:7:40|He is holding a glowing crystal ball in his hand.
0:7:40|0:7:43|He placed the crystal ball next to [Chen Qi].
0:7:51|0:8:3|Under the warm lights of Starlight Inn, [Chen Zhiqiao] fell asleep quietly.
0:8:3|0:8:13|From then on, [Li Baoer] and [Chen Zhiqiao] became inseparable good buddies, doing everything together.
0:8:13|0:8:15|[Li Baoting] and Chen Qi are napping together on the bed.
0:8:17|0:8:29|[Li Baoting] was reading a book, with Xiao Q and Donggu accompanying him.
0:8:29|0:8:31|They often play in the garden.
0:8:31|0:8:40|[Li Baoting]'s bubbles blew out, emitting colorful light under the sunlight, falling little by little around Chen Zhiqiao.
0:8:40|0:8:43|One day it was raining, [Li Baoting], friends, and Little Q took shelter under a rock.
0:8:51|0:9:4|In the pouring rain, the children happily swing on the swings, with Li Baoer also sitting on one. They then climb up the slide together and slide down quickly.
0:9:4|0:9:10|They turned around and returned home, with [Chen Kangyaner] giving Little Q an injection, causing Little Q to shiver with eyes closed.
0:9:14|0:9:15|Chen Kangyaner said to Li Baoting again.
0:9:23|0:9:24|Xiao Q is still trembling.
0:9:42|0:9:48|At night, the lights were turned off. [Li Baoer] came to Little Q's nest with her pillow and blanket.
0:9:48|0:10:1|He placed the pillow on the ground, covered the blanket, and fell asleep with [Xiao Q] in the dog's nest.
0:10:1|0:10:6|The scene shifts to the International Guide Dog Association, where [Simon] meets [Luliao Bishan] and [Chen Qi] again.
0:10:12|0:10:16|The door opens, and many Labrador Retrievers are led into the training hall.
0:10:16|0:10:22|[Li Qi] saw his former brothers and sisters, and rushed over, extremely happy, the dogs were wrestling together.
0:10:31|0:10:33|The trainers have dog food strapped around their waists.
0:10:33|0:10:42|[Simon] and [Bishan] demonstrate to everyone how to teach dogs to sit, stand up, stay still, and other actions.
0:10:42|0:10:47|[Mrs. Chen] is training [Li Baoting], who learns quickly and always gets some dog food as a reward.
0:10:50|0:11:6|Back at home, [Luliao Bishan] also prepared a pile of rewards for the dog.
0:11:6|0:11:15|Upon hearing the command, the little dogs obediently lay down on the ground.
0:11:15|0:11:18|At home, [Luliao Bishan] starts training [Chen Qi] in reverse.
0:11:19|0:11:24|Little Q, who should have been lying down, stood up instead upon hearing the command and walked towards [Simon].
0:11:24|0:11:29|Simon demonstrates teaching the dog to climb stairs.
0:11:29|0:11:32|Having watched the demonstration, [Chen Kangyaner] successfully led little Q up a flight of stairs.
0:11:35|0:11:48|At home, [Chen Zhiqiao] continues the reverse training for Little Q. On the stairs where one should pay attention to stepping down, [Chen Zhiqiao] keeps shouting to move forward.
0:11:48|0:11:58|In the training hall, the dogs are practicing navigating obstacles. When they encounter obstacles, they lead their owners around them. However, [Chen Zhiqiao] is training little Q to just jump over the obstacles directly.
0:12:2|0:12:7|At night, he only looked out the window and stuck three pencils into the sand.
0:12:28|0:12:31|The day of the first stage assessment for the guide dogs has finally arrived.
0:12:31|0:12:37|In the lobby, the American evaluator is leading a Labrador through obstacle courses and testing its focus.
0:12:59|0:13:1|Simon walked up to Chen Kangyaner and Chen Qi.
0:13:10|0:13:17|Li Qi was blindfolded with a guide saddle and began the test under the guidance of the examiner.
0:13:17|0:13:22|She smoothly navigated past the obstacles, with pigeons nearby and kites swaying in the air.
0:13:25|0:13:39|He continued to move forward with concentration, only glancing nervously at [Chen Kangyaner]. Even the delicious bones and dogs nearby, Little Q passed them without looking back.
0:13:43|0:13:50|Seeing how well Li Baoer did, some people are getting anxious. If Li Baoer passes, she will be taken away.
0:13:50|0:13:57|But [Chen Qi] successfully resisted all temptations and completed the test smoothly.
0:14:8|0:14:11|[Chen Zhiqiao] finds it hard to accept, tears welling up in her eyes.
0:14:11|0:14:15|Before long, [Simon] arrived at [Chen Zhiqiao]'s house to take Little Q away for training.
0:15:5|0:15:23|Xiao Q pushed the starlight lamp in front of [Chen Zhiqiao], gently patting his hand with his paw as if comforting [Chen Zhiqiao].
0:15:23|0:15:25|[Chen Zhiqiao] lights up the star lamp and hugs Little Qi tightly.
0:15:38|0:15:42|Chen Kangyaner is also a bit sad outside the door.
0:15:42|0:15:45|The door opened, and two people pushed it open and entered.
0:15:45|0:15:49|Simon squats in front of the paper bridge, embraced by Chen Kangyaner.
0:16:28|0:16:34|Li Qi tenderly licked Chen Zhiqiao's face, just like they did the first time they met.
0:16:36|0:16:42|Chen Kangyaner and Donggu bid farewell to Little Q as Simon carries him into the car.
0:16:48|0:16:49|[Chen Kangyaner] also held back her tears.
0:16:57|0:17:2|On the second-floor balcony, Zhiqiao looked sadly as the car carrying Chen Qi drove away.
0:17:2|0:17:5|He suddenly thought of something and ran downstairs.
