0:2:22|0:2:25|This is a rural area in North China.
0:2:25|0:2:29|In the distance is a mountain, with several houses at the foot of the mountain.
0:2:29|0:2:33|Nearby is a lake, the water is very clear.
0:2:33|0:2:39|Overlooking the vast land of North China from a high place, the mountains stretch continuously.
0:2:39|0:2:43|At the foot of the mountain lies a thousand acres of fertile land, with flat terrain and dense vegetation.
0:2:45|0:2:55|We now see a river with trees lining both banks, and in the distance, a person is slowly walking while carrying something.
0:2:55|0:3:1|We are now on a hillside with dozens of sheep grazing, among them is an old shepherd.
0:3:21|0:3:28|The millet in the valley below is growing very well, with full and heavy ears swaying in the wind.
0:3:50|0:3:52|The fertile land stretches as far as the eye can see.
0:4:32|0:4:42|Yang Bailao straightened up from the millet field and wiped his face with the cloth on his head.
0:4:42|0:4:47|Xi'er, the daughter of Yang Bailao, lifted her head and wiped the sweat off her forehead.
0:4:47|0:4:51|Yang Bailao pushed aside the millet and walked towards [Xi'er], saying to her.
0:5:1|0:5:14|[Xi'er] took the handkerchief handed to her by her father and wiped the sweat off her forehead and face.
0:5:14|0:5:19|[Xi'er] flicked her braid behind her and lowered her head to continue cutting the bones.
0:5:19|0:5:23|Auntie Wang came with food and met familiar neighbors on the way.
0:5:26|0:5:32|Auntie Wang looked out at the field and saw her son, Da Chun, still working.
0:5:32|0:5:47|Auntie Wang placed the meal in the shade under the tree, wiped her hands with her clothes, and shouted towards the millet field, "Da Chun, Da Chun, my son."
0:5:47|0:5:52|Auntie Wang laboriously stepped onto the field ridge and walked up to Da Chun.
0:5:59|0:6:3|Da Chun wiped the sweat off his forehead and shouted to Xi'er in the distance.
0:6:11|0:6:18|Yang Bailao and his daughter [Xi'er] walked towards the tree, while Auntie Wang carried food and walked to the tree.
0:6:21|0:6:23|Xi'er bends down to help Auntie Wang serve the rice.
0:6:43|0:6:47|Auntie Wang saw Xi'er's hand and said with a heartache.
0:7:2|0:7:10|[Xi'er] buried her head in embarrassment and continued eating. Suddenly, they heard a cough, and the four people eating looked towards Uncle Zhao coming down the hill.
0:7:27|0:7:50|Uncle Zhao waved the whip, walked down the hill, and stood up with a bowl of rice soup in his hand.
0:7:50|0:7:55|Auntie Wang squinted her eyes, threaded the needle, trying to mend clothes, but couldn't get it through.
0:8:3|0:8:9|Auntie Wang touched Xi'er's hair, her eyes full of love.
0:8:9|0:8:13|Uncle Zhao and Old Yang sat on the side smoking opium.
0:8:37|0:8:41|[Da Chun] and [Xi'er] met at first sight, and shyly ran away.
0:9:23|0:9:28|[Xi'er] is sewing clothes under a tree, while [Da Chun] is standing beside him, smiling brightly.
0:9:28|0:9:33|After listening to the elders' chatter, the two of them felt both happy and shy.
