0:3:33|0:3:40|[程勇]开着一辆印有王子神油广告的破旧面包车，停在了他父亲住的敬老院门前，
0:3:48|0:3:53|[程勇]接过故宫的碗。
0:4:4|0:4:20|[程勇]一勺接着一勺喂父亲吃饭。父亲倔强的闭着嘴巴。吃完饭后，[程勇]去给养老院续费。
0:4:36|0:5:22|[程勇]面色尴尬的从包里取出一包烟塞给收银男子，冲他挤了挤眼睛。[程勇]带儿子去了澡堂，他跟儿子在澡池嬉闹，用搓澡巾给儿子卖力搓澡，儿子脸上洋溢着幸福的笑容，[程勇]又用浴巾给儿子擦干全身，儿子害羞的捂住自己。两人洗完澡去了一家包子店。
0:5:30|0:6:10|[程勇]露出微妙的表情开口问儿子。他从一旁的包里掏出钱包，看了儿子一眼，从钱包里取出钱递给儿子。说着一个包子塞到嘴里，吃完饭后前妻过来接儿子。听到鸣笛声，[程勇]走到副驾驶窗户旁边，前妻身怀大肚坐在驾驶座上。
0:7:51|0:8:8|[曹斌]穿着皮衣推开警察局的大门，径直走向刚刚被调查的[程勇]，看见他就愤怒的冲过去了。周围的民警赶忙抱住他的腰拦住他。[曹斌]抓起桌上的东西就朝[程勇]砸过去，冲他喊道：
0:8:15|0:8:31|三个民警放开阻拦的手，[曹斌]没有再动手，恶狠狠的看了[程勇]一眼，他骂骂咧咧的走了，走时还撞了小民警一下，几个民警开始收拾残局，大家都悄声地捡着地上散落的文件。
0:8:31|0:9:4|[曹斌]出了警察局叼着烟上了车。[曹斌]看了姐姐一眼，把烟丢到窗外，扇了扇车上的烟。[曹斌]说着发动汽车送姐姐回去。隔壁宾馆的老板又来找[程勇]。
0:9:32|0:9:45|[程勇]带着牙膏墨搭着旧毛巾在门口站着，看了看坐在店里戴着三层口罩的[吕受益]。[吕受益]卸下口罩，朝他扯了扯嘴角点头示好。
0:10:27|0:10:42|[吕受益]掏出手机。[程勇]抽着烟看着电脑朝他摆了摆手，[吕受益]在一张小卡片上写下电话递给[程勇]。
0:10:45|0:11:17|[程勇]抬头看向[吕受益]，世俗的眼睛里有一丝怜悯。[吕受益]朝门口走去，给[程勇]摆了摆手，[程勇]看向门口欲言又止，吸了口烟，看了看面前的小纸条，不屑地甩到一旁杂乱无章的桌子上。画面转向养老院里，故宫推着餐车到房间，谁知刚开门[程勇]的父亲居然晕倒在地上，护工拿着饭盒淡定地离开，[医生]卸下手术帽走出手术室。
0:11:44|0:12:3|[医生]说完转身上楼，留下一脸焦急无奈的[程勇]，[程勇]紧紧地盯着[医生]上楼。[程勇]叼着烟开着破旧面包车，透过车窗他的脸上充满着盲目和焦躁，透着无能为力的愤恨和绝望。
0:12:3|0:12:18|前视镜里的父亲躺在后座紧闭双眼，[程勇]打开手机通讯录翻到小树妈妈。在烧烤摊喝着酒，终于决定要打过去，可还没拨通，他就立刻挂掉。
0:12:18|0:13:2|[程勇]脸上满是纠结和无奈，桌上的烧烤一口没动，他一口一口地抽着烟，一瓶一瓶地灌自己酒，这时有人发了一张名片给他。名片上的广告，让他若有所思，这时的他就像得到救命稻草一样，眼睛里仿佛看到了父亲活下去的希望，他在一个小巷子里快步走着，脸上写满了思索，他走到自己店门口。“交租开门”这四个字被贴在卷拉门上，[程勇]从一旁砸开窗户闯进去，拿着手电筒在神游殿里寻找着什么。
0:13:2|0:13:19|盒子、柜子、缝隙壁上，他一处一处的翻着，他翻到一张纸片看了看，又扔下来，他接着找，终于在键盘底下找到了一张写着[吕受益]电话的名片，
0:13:56|0:14:19|[程勇]第二天跑到医院咨询格列宁，他在楼道里看到一位慢性白血病病人，病人和[程勇]对视，[程勇]看到他腿上因为白血病产生的斑驳。格列宁生产公司门口一堆白血病人和家属在门口抗议，横幅上写着“抗议天价药”这样的话。
0:15:22|0:15:35|大家在喊抗议时，有人向医药代表扔了一把粪，医药代表仓皇而逃，大家的愤怒到达顶点。保安奋力拦住向前的人群，而[吕受益]在横幅下边吃盒饭边畅笑着，
0:15:37|0:15:55|[吕受益]随后来到长勇家里，[程勇]翻阅着关于格列宁的材料，[吕受益]把检验报告和印度格列宁的一颗药片推到[程勇]面前。
0:16:4|0:16:47|[吕受益]给[程勇]一个肯定的眼神，[程勇]脸上思索盘算着，随后转头给他说道。[吕受益]停滞一秒，点了点头。[程勇]坐上了去印度的飞机，下飞机后和印度翻译接上头。去药厂的路上，[程勇]也看到了印度的风土人情，[程勇]坐在小轿车上半开着窗户向外张望。
0:16:47|0:17:5|炎炎夏日，印度乌篷密集，人来人往。车上的[程勇]显得有些烦躁，狭窄的街道里人满为患，小轿车时不时鸣笛，缓慢地行驶在人群后面。街道两旁五花八门的商铺林立，牲畜也零散地混迹在街道上。
0:17:6|0:17:23|香料、食物、工艺制品的小摊小贩在街道热闹的营生，[程勇]无奈地驱散了跟着小轿车跑动的孩子们，顶着满头大汗。小轿车终于驶离了那条街道。
0:17:23|0:17:37|[程勇]和翻译到达药厂门口，他们走进去开始和老板谈判。
0:18:56|0:19:8|买到格列宁的[程勇]决定走水路，于是和水手开始讨价还价，
0:19:47|0:20:4|水手把这箱药藏到厨房冰柜的角落。夕阳下，[程勇]卸下眼镜，望着大海，回想着刚刚谈判时药商说过的话，
0:20:15|0:20:26|他正在抽烟的眼睛里透露出盘算。画面转到医院，[吕受益]正在被医生用水管一样粗的针管插在他脊椎上抽血。
0:20:45|0:20:58|[程勇]在家给[吕受益]看了看，他带回来的药。[吕受益]的眼睛里闪烁着光彩和激动，他的手激动地抓着[程勇]的腿。
0:21:21|0:21:29|[程勇]冷漠地关上行李箱，不理会[吕受益]开始吃面，[吕受益]拿出一盒药，对[程勇]说：
0:21:33|0:21:57|两个人第二天开着破旧面包车来到医院，他们俩见缝插针地向病人推荐印度格列宁，但是整个医院无人理会他们。两个人屡屡碰壁。
0:22:17|0:22:25|到了晚上，二人又开车来到一家在破旧巷子里的健康馆，两个人一个一个敲门询问，
0:22:39|0:22:54|[程勇]看推销无望，便抓着[吕受益]的衣服，揪着他，走出健康馆，正在吃面的[吕受益]，听完这句话看向[程勇]愣住了。
0:23:11|0:23:37|两个人来到一家夜店，这是[程勇]第一次见到[刘思慧]。夜店里充斥着激情和动感，尖叫声在音乐里此起彼伏，[吕受益]居然带着[程勇]来这儿找病友。[程勇]拉开一扇帘子，穿着单薄的舞女在台上扭动着性感的舞姿，两个人穿梭过夜店拥挤的人群，时不时地偷瞄两眼台上的舞女，
0:23:38|0:24:19|这里放松而充满活力，和癌症这个充满绝望的词语格格不入。[吕受益]突然指向台上。[程勇]看过去一个很漂亮的女人穿着黑色蕾丝套装，大波浪卷的长发在夜色里显得格外慵懒，他在钢管上极尽妩媚地扭动身姿，台下所有人都是她美色的俘虏
0:24:27|0:24:35|[吕受益]在餐馆大口吃着包子。
0:24:44|0:24:55|两个人正说着，突然门口来了一群戴口罩的人，[刘思慧]从人均后面探出头走上来。
0:26:10|0:26:50|[程勇]不高兴地撇开眼睛抽烟，[吕受益]看了看，带头拉下口罩，[刘思慧]眼神示意大家表态，来的所有病友纷纷摘下口罩，刚摘下口罩就已经有人开始咳嗽，[程勇]扫了大家一圈，[刘思慧]叹了口气，不停的咳嗽声和痛苦的表情让[程勇]有些不忍。[程勇]说完把烟头插进烟灰缸。上车后[程勇]翻着订货单。
