0:1:2|0:1:8|天色灰暗，几只健硕的六角怪飞进山谷中，地面上聚集了数以万计的怪物。
0:1:10|0:1:18|画面淡出，进入一片幽静的森林当中。
0:1:27|0:1:33|[老妖后]在草丛中4处张望着，
0:1:40|0:1:53|矮胖的[老妖后]和两名随从听到一声低吼，立马停下步子，随从说道：[老妖后]仓皇逃跑，两名随从相互对视了一眼，冲向后面这两个巨型血妖。
0:1:53|0:1:58|一名随从被血妖甩在树干上瞬间昏厥，另一名当场被捏晕。
0:1:58|0:2:4|[老妖后]躲在树后偷看，血妖一脚踩向随从，随从痛苦地哀嚎着。
0:2:4|0:2:14|[妖后]狼狈逃命又停下，面前是相差无几的高树，她不知该去向何处，血妖从天而降，死盯着[妖后]，张开了翅膀发出怒响。
0:2:14|0:2:20|[妖后]害怕地用两只触手挡在身前，远处竹蜻蜓小妖飞着观望着。
0:2:20|0:2:25|[妖后]被血妖的怒吼吓得扭头就跑，没跑几步就被血妖逮住了。
0:2:26|0:2:32|血妖的四只耳朵抖动起来，把[妖后]射向地面，围观的小妖吓得瞬间钻进地里。
0:2:32|0:2:47|妖后被血怪抓住动弹不得，便来央求他，然后说道：[竹高]突然出现扑在血妖头上，用力撕扯着血妖的上眼皮，血妖气得咬牙切齿，伸出巨掌却拍不到他。
0:2:52|0:2:56|圆乎乎的[胖莹]砸中血妖的头顶，血妖被结实地砸在地面上。
0:2:56|0:3:2|血妖晃动脑袋清醒过来，[竹高]说皇后小心，[竹高][胖莹]带着妖后赶紧逃跑。
0:3:2|0:3:11|血妖撞到树木追上去，妖后捂着肚子瘫倒在地，妖后喘着气说。血妖得意地大吼一声却呆住了。
0:3:11|0:3:14|[胖莹]舔着嘴唇搔首弄姿送出一串飞吻。
0:3:15|0:3:21|血妖顿时飙出鼻血来，[竹高]看到[胖莹]和血妖眉来眼去，立刻对血妖重拳出击。
0:3:23|0:3:28|他说道，[竹高]弹跳着攻击血妖，却被血妖一把抓住。
0:3:29|0:3:45|[竹高]用四只手臂用力撑开血妖的巨掌，血妖身后不远处有四棵间距狭窄的树木，[胖莹]高速旋转撞向血妖的肚子，血妖闷哼一声仰面倒下，它正好卡在4棵树中间。
0:3:47|0:3:51|[竹高]护着妖后匆忙逃离，血妖被卡在树中无法逃脱。
0:3:51|0:3:56|森林上空[竹蜻蜓]小妖皱着眉头飞向远处，
0:4:0|0:4:8|地面浮现出绿棚缠绕的石字，正是片名捉妖记。[霍小岚]此时从地上缓慢爬起，
0:4:8|0:4:19|身边的4棵树已经倒塌，根须裸露，画面接到永云村。
0:4:56|0:4:58|小五也被大娘摔了出去。
0:5:7|0:5:15|正说着一堆衣服扔到二人身上，屋内[宋天荫]小五二人乐呵呵地叠着衣服。
0:5:20|0:5:27|[宋天荫]起身调整了一下右腿的护具，他一瘸一拐地走进里屋中。
0:5:50|0:5:56|他用背篓挡住了棍棒。
0:6:57|0:7:15|[奶奶]离开后，[宋天荫]随即转身气鼓鼓地关上门。古城中央，一栋高耸的四方塔式阁楼异常醒目，楼体壮观，结构精巧，显得神秘又庄严。[葛千户]在铜镜前摸了摸自己的眉毛，露出满意的笑容。
0:7:15|0:7:22|身旁的竹蜻蜓小妖随即飞走。
0:7:31|0:7:36|一把铜的小椅子亦步亦趋地跟着[葛千户]，被示意后乖巧地停下。
0:7:55|0:8:2|女仆给站着的天师们端上酒杯，天师们点头感谢，可[葛千户]坐上椅子略感不适。
0:8:2|0:8:10|他抿着嘴扭头瞪眼，椅子收到指令立马升高了许多。
0:8:34|0:8:43|天师们饮酒，[葛千户]抿酒环视着众人。小河边翠意盎然，[宋天荫]百无聊赖地往河里丢石头。
0:8:50|0:9:4|化成人形的[胖莹]看到[宋天荫]，一身粉砂的[胖莹]手握雏菊走进[宋天荫]，靠近他的胸口，陶醉地闻了闻。
0:9:6|0:9:12|[胖莹]抬眼看了一眼[宋天荫]，绕着他走了一圈。
0:10:5|0:10:26|不远处竹蜻蜓想要跟上他们，三个人走进[宋天荫]的小屋。[宋天荫]把[竹高]的驴子拴在小屋外的门柱上，[竹高]在[胖莹]身后，吃力地抱着背篓，[竹高]抱着背篓闪到一边，不让[宋天荫]帮忙。
0:10:29|0:10:34|[霍小岚]杀气腾腾地走进来，直勾勾地看着[胖莹]二人。
0:10:34|0:10:40|[竹高]的脸快速抽搐，[霍小岚]紧盯着他们俩，掀起褂子豪迈地坐下了。
0:10:41|0:10:47|他胸口挂着两枚用红线穿起来的铜钱，[胖莹]收回目光嗤之以鼻。
0:10:47|0:11:6|这时[宋天荫]端着茶壶走了进来，对[霍小岚]点头微笑，[胖莹]二人顿时愣住，[霍小岚]神色淡然地看着他俩，[胖莹]和[竹高]对望着。
0:11:6|0:11:10|看此情形，[宋天荫]猛地一拍手。
0:11:12|0:11:16|[霍小岚]像看傻子一样看着[宋天荫]，[宋天荫]尬笑着，[竹高]笑而不语。
0:11:24|0:11:32|[竹高]扔出手中的弹弓，弹弓绕着屋子飞了一圈，关上了所有的窗户和门。
0:11:45|0:11:51|径直朝[霍小岚]飞过去。[霍小岚]躲过，[胖莹]和[霍小岚]随即开始激烈打斗。
0:11:59|0:12:3|[胖莹]越过房顶站定后双手呈爪状，骨骼吱吱作响。
0:12:3|0:12:12|[霍小岚]甩出鞭子将[胖莹]牢牢捆住，[胖莹]重摔在地。
0:12:12|0:12:17|[竹高]见状后，迅速拿出筷筒的筷子扔向[霍小岚]，[霍小岚]轻松挡掉。
0:12:20|0:12:29|[霍小岚]抱着柱子飞了一圈，扔出鞭子绑着[竹高]，[竹高]只能任其摆动。
0:12:31|0:12:37|[竹高]挨了一刀痛苦倒地，[宋天荫]惊慌逃离。
0:12:46|0:12:54|[竹高]撞得[霍小岚]连退好几步，他阴险一笑，脱下人皮，露出一头绿叶瘦瘦高高的原型。
0:13:2|0:13:10|[胖莹]也脱下人皮，她瞬间送回矮矮胖莹的身材，一头红叶，憨态可掬。
0:13:27|0:13:35|[竹高]突然亲吻[胖莹]，看到此景[霍小岚]扭头用鞭子打开两妖。
0:13:43|0:13:58|[霍小岚]反被打飞，[竹高]飞速连击[霍小岚]，[霍小岚]一个猛子一脚踹倒[竹高]。
0:14:5|0:14:20|然后仔细嗅着[宋天荫]身上的味道，似乎对他充满好奇，[宋天荫]却完全不敢动弹，[竹高]恶狠狠地压住[霍小岚]。
0:14:25|0:14:37|他被定住了，[胖莹]砸向[霍小岚]却被她躲开，[胖莹]挑走符咒。
0:14:49|0:14:58|[宋天荫]双手举过头顶，慢慢走出来，身后是举着棍子的妖后，[罗刚]突袭妖后，[霍小岚]立马挡住他。
0:14:58|0:15:3|妖后喷了[宋天荫]一脸水后破门逃走。
0:15:12|0:15:18|[宋天荫]谨慎地举起凳子靠近[霍小岚]，
0:15:44|0:16:4|[霍小岚]扭头看着他阴险一笑，左手伸向脖颈，装作要脱人皮。她猛拍瞪腿，示意[宋天荫]，放下凳子，[宋天荫]顺从地放下。
0:16:19|0:16:27|[宋天荫]被吓得踉跄默默走开，[霍小岚]举刀威胁道，[宋天荫]面带惧色猛点头，一瘸一拐地离开了。
0:16:34|0:16:41|[霍小岚]照着镜子甚是满意，夜晚村庄里仍旧炊烟袅袅，屋内[霍小岚]吸溜着碗里的面条。
0:16:58|0:17:8|[霍小岚]抬头盯着[宋天荫]，[宋天荫]收敛了笑容，[霍小岚]继续低头吃面，[宋天荫]自讨没趣地坐下看着她。
0:17:22|0:17:29|[宋天荫]被吓得一抖，他拿起筷子想夹菜，[霍小岚]猛地一拍桌，用眼神警告他别碰，
0:17:31|0:17:43|[宋天荫]委委屈屈地起身离开。[霍小岚]眼珠子抬头手托下巴，笑意盈盈地看向他。
0:17:52|0:18:4|夜色笼罩着村子，屋内[宋天荫]想碰[霍小岚]却被一巴掌打掉。
0:18:4|0:18:12|[霍小岚]推倒[宋天荫]，[宋天荫]害羞地想解衣服，双手却被[霍小岚]绑住，[霍小岚]邪笑着在[宋天荫]手腕上缠绕绳子。
0:18:14|0:18:22|[宋天荫]看着[霍小岚]兴致勃勃连扭向一边娇羞偷笑着，没想到他双脚却被绑紧了。
0:18:22|0:18:29|床的上房已经布下系着铃铛的网，[霍小岚]俯身趴在门身边，两个人痴笑着。
0:18:33|0:18:38|[霍小岚]突然变得凶神恶煞，随即换上笑脸，撅着嘴装作要亲他。
0:18:38|0:18:43|她快速抹了下[宋天荫]的嘴，嘴已经被她牢牢封住。
0:18:53|0:18:57|[霍小岚]解释完便翻身睡去，不再理会他。
0:18:57|0:19:9|[宋天荫]吃力地望着脚尖，自己全身已经被五花大绑。古树下有一个人靠着岩石休息，面前生着一堆篝火，
0:19:9|0:19:13|[罗刚]解开布包，拿起包内的一块干粮注视着。
0:19:15|0:19:20|他想了想之后把干粮掰成两块，一旁的[胖莹]和[竹高]馋得不行。
0:19:20|0:19:26|[罗刚]看了看干粮，把一半干粮装进布兜，开始享用另外一半。
0:19:26|0:19:37|他边嚼着边看着两个小妖，两个小妖沮丧低头突然间放声歌唱。
0:22:9|0:22:17|[宋天荫]的小屋内两个人睡得香甜，一把小刀偷偷锯着[宋天荫]下面的木板睡梦中，[霍小岚]似乎吵到了。
0:22:17|0:22:22|她皱着眉头翻身，双臂交叉接着睡觉。
