0:1:34|0:1:39|此时[李艳]对着镜子疯狂擦汗，然后张开嘴打开了电风扇。
0:1:57|0:2:14|画面一转，[司机华]正坐在驾驶座上听着歌手ICE穿过一众疯狂的歌迷，打开车门坐了进去，坐进去听见[司机华]在放歌，ICE立即命令他不要乱碰收音机，[司机华]立刻将音乐换成了HIP-HOP类型，并跟着节奏晃了晃头。
0:2:43|0:3:2|此时海滩边，老伯[阿威]拿着太阳伞蹲下身，镜头又回到了小卖部，[小方]拿着冰棍敲了敲，
0:3:7|0:3:15|[小琪]听完骑着自行车开心地进入了工厂，[小方]则是一脸留恋地望着他，这时一个穿高跟鞋的人升起卷帘门，
0:4:15|0:4:24|电视里记者正在报道，[阿威]一边喝着刚刚打开的罐装啤酒，一边抬头扶着挂在墙上的电视，
0:4:24|0:4:30|此时两个穿泳衣的男女从镜头前跑过。然后画面到了[阿威]屋外，
0:4:30|0:4:38|这是一片广阔的沙滩，大海也近在咫尺，炎炎夏日里，我们的电影《全城热恋》也正式开始了。
0:4:41|0:4:54|和刚才的香港不同，此刻我们到了深圳这个繁华的大都市中，[李艳]正坐在一架钢琴前演奏曲子，一曲结束，她十分满足地收起了弹奏的双手，旁边的男士听完后忍不住鼓起了掌，
0:5:20|0:5:40|[李艳]给了老板一巴掌后走了出去，走出公司蹭了蹭脸，发现脸上蹭脏了，刚好他路过一家足疗店，看到柜台上有镜子，[李艳]上前把脸擦干净，没想到注意到旁边的招聘广告，上面写着店里现在需要男女足疗以及松骨师，月薪大概在2000~4500之间。
0:5:40|0:5:43|[李艳]看完走进店中。
0:5:50|0:5:56|[李艳]说完傻傻地向老板娘笑了笑，眼睛睁得大大的，看上去十分真诚。
0:5:56|0:6:5|老板娘上下打量了一番，对她说道：说完将九十八号的牌子挂在身后的木板上，[李艳]看了看挂上去的木板，呆呆地道了谢。
0:6:7|0:6:14|此时镜头来到镇江市，那家小卖部屋外，[小方]正和老板下象棋。
0:7:0|0:7:9|[小方]此时突然站起来，从冰柜里拿出一根冰棍跑了出去，然后拦住了骑车的[小琪]，
0:7:46|0:8:22|[小琪]嘴角弯了弯，拿着冰棍骑车进入了工厂，[小方]看着她的身影大吼道：第一天中午的十二点，工厂的铃声响了，[小丽]停下填充娃娃的机器，冲工友们喊道：工友们立刻开心地向屋外跑去，[小方]拍了拍手看着还没有走的[小琪]，叫了一下她，然后突然发现窗户外有一个人，
0:8:31|0:9:9|然后立刻回头看向窗户外，此刻[小方]立刻站直了身体，并且玩起了溜溜球，[小琪]把手搭在腰间抹了抹，然后再次回头看向窗外，看到[小琪]望向自己，[小方]立刻举起右手向她挥了挥，[小琪]看到后立刻回了头，然后痴痴地笑着，随后她拿起一个玻璃瓶将一个小东西放进去，并拧上了盖子，拧紧之后她用双手捧着瓶子在手里转了转，
0:9:9|0:9:15|然后轻轻地放在桌子上，镜头拉近，原来瓶子里正是玩偶的塑料眼睛。
0:9:15|0:9:23|此时画面转到了夜晚的城市，几个身穿制服的女人正在为客人按摩，离镜头最近的女人正在按脚，
0:9:23|0:9:31|画面拉近，原来她正是[李艳]。按摩结束后，[李艳]一脸疲惫地抱着木盆到了天台，
0:9:32|0:9:49|[李艳]冲同事笑了笑，走到架子边弯下腰放下木盆，晾毯子时发现了手指上的水泡，[李艳]吹了吹手指，[李艳]急忙抱着木盆从架子下钻了出来。
0:9:49|0:9:54|此时镜头转到香港，[司机华]带着[Leslie Guan]行驶在路上，突然车停了下来。
0:10:7|0:10:14|[Leslie Guan]听完后立刻要求他下车去看一下，[司机华]打开了车的前盖，瞬间烟雾就笼罩住了镜头。
0:10:14|0:10:23|烈日之下[司机华]被晒得满脸是汗水，同时腋下还有胸前的衣服也被打湿了，就这样，他也晕了过去。
0:10:23|0:10:31|在医院病床上醒来之后，[司机华]拿着手机按了按，同样晕倒的[李艳]此时正在输液凳上输着液。
0:10:31|0:10:38|刚刚是她的手机响了，掏出手机后看到一条短信，上面写着：中暑小事不用担心。
0:10:38|0:10:44|她看到这里嘟着嘴，拿起手机摁了几下。
0:10:58|0:11:3|[李艳]一字一句地将这段话写进短信中，然后再次给对方发了出去。
0:11:4|0:11:13|[司机华]对于自己被叫成指挥家十分的疑惑，他再次发短信询问对方，你到底是谁。
