0:1:28|0:1:34|驾驶员下了车径直冲向俱乐部入口。
0:1:34|0:1:43|他轻车熟路地拐了个弯走进贴满海报的长廊。
0:2:48|0:2:56|[路小星]一个过肩摔将他摔到地上，周围的人目瞪口呆，她像押解犯人一样扭着[梁聪]走出俱乐部。
0:2:59|0:3:6|[梁聪]不断挣扎，终于在[路小星]开门的时候跑了出去，可还没跑几步，就被[路小星]一脚踹翻在地。
0:3:6|0:3:11|她不耐烦地扯下[梁聪]裤子上的装饰链，将[梁聪]双手捆在副驾头顶拉手上。
0:3:21|0:3:27|[路小星]冷着脸坐进驾驶座，她熟练地点火倒车再挂档，带着[梁聪]离开俱乐部。
0:3:27|0:3:38|此时已是深夜，轿车平稳地行驶在高架桥上，[梁聪]挣扎半天也没能挣脱铁链，有些气急败坏，而[路小星]星面无表情地开车，丝毫没有理会他。
0:3:38|0:3:44|[梁聪]哀求地看向[路小星]。
0:4:1|0:4:6|[梁聪]愤怒地瞪着[路小星]，突然把脚伸向驾驶座底部，一脚将油门踩到底。
0:4:9|0:4:18|车子猛然加速不受控制，[路小星]尽力扶好方向盘，没察觉到安全带纽扣被打开，此时一辆大巴车明练起来，[路小星]猛打方向盘。
0:4:18|0:4:27|暂时躲过一劫，然而车轮再次失去控制，一头撞向路边护栏，[路小星]直觉眼前一黑，什么都不知道了。
0:4:27|0:4:36|等她再有知觉时，发现自己正躺在地上，[路小星]浑身伤痕，迷茫地看向卡在护栏中间的轿车。
0:4:38|0:4:45|只见车子摇摇欲坠，而[梁聪]还被拴在车内。
0:4:53|0:5:1|快[梁聪]急于自救，不断挣扎着手腕，但随着动作幅度增大，车子倾斜越来越厉害，[梁聪]惊恐地看了一下桥下来往的车辆。
0:5:11|0:5:18|[梁聪]拼命向下拽着链子，孰不知围栏越来越支撑不住车子重量。
0:5:18|0:5:25|在他用尽全力刚把手挣脱下来时，车子终于支撑不住，从桥上翻了下去。
0:5:26|0:5:33|在车子跌落桥下的同时，一辆货车迎面驶来，将轿车撞出十几米远后才停了下来。
0:5:33|0:5:40|深夜的高架上没有一辆汽车路过，只剩下[路小星]一人不知生死地躺在地上。
0:5:40|0:5:46|桥下那辆货车打着双闪停在路中央，司机丝毫没有下车的意思。
0:5:46|0:5:51|[路小星]双眼紧闭，嘴唇喃喃地动了几下后再也没了反应。
0:5:57|0:6:2|转眼间三年过去了，今天是个大晴天，阳光洒进屋子暖洋洋的。
0:6:2|0:6:7|书架顶层摆放一排刑侦类书籍，下面陈列着打印机、订书机、电脑等各类物件。
0:6:10|0:6:18|桌上日历清楚显示着今天是2015年4月4。
0:6:18|0:6:25|此时[路小星]在床上沉沉地睡着，一只拉布拉多犬咬着窗帘将其拉到最边。
0:6:25|0:6:33|又轻车熟路地跳上[路小星]的床，扯开她身上的被子，随后它凑向[路小星]的脸不断地嗅着。
0:6:33|0:6:40|[路小星]迷糊地翻了个身，缓缓睁开眼睛，她的瞳孔并没有焦距，。
0:6:40|0:6:48|只是无神地看向前方，那次车祸让她失去弟弟，也失去了眼睛，[路小星]半撑在床上。
0:6:48|0:6:54|摸索着拿到手机后向上滑开屏幕，又熟练地点开屏幕左边APP，打开收音机。
0:6:54|0:6:58|做完这一切后，她摸着床边试探地穿上拖鞋。
0:7:32|0:7:38|在洗漱完毕后，[路小星]来到衣帽间，摸索着衣架上的盲文选择出适合今天穿的衣服。
0:7:38|0:7:45|换好衣服后，她将桌上的日记本塞进包里，又为拉布拉多犬套上导盲犬专用的牵引带。
0:7:45|0:7:53|在做完所有准备工作后，她在导盲犬带领下缓缓向大门走，去，盲人的生活依旧有诸多不便。
0:7:53|0:8:4|她跟随导盲犬停到门口后，小心翼翼地摸上门把手，又顺着移到保险钮上，打开旋钮，[路小星]深吸一口气，拧开门把手走出家门。
0:8:4|0:8:13|她牵着导盲犬迎着阳光缓步行走在走廊里，影子被拉得格外长，这也她向新生活迈出的第一步。
0:8:13|0:8:17|此刻[路小星]手牵导盲犬走进了燕州市警官学院。
0:8:17|0:8:24|这里是她最熟悉的地方，也是自己理想的起点，学院内到处都是身着正装的警察。
0:8:24|0:8:31|[路小星]约好老师，坐在长廊椅子上。
0:8:33|0:8:40|[路小星]侧过身，神色恳切地朝向马老师。
0:9:18|0:9:25|小星站在十字路口，按下盲人过街提示器的按钮。
0:9:25|0:9:33|可没想到的是，这个电箱的电线早已被人剪断，此时一个男人跑到路边四处张望了一下，就冲了过去。
0:9:33|0:9:44|丝毫没有顾及斑马线上的红灯，[路小星]捕捉到他的脚步声，以为绿灯已经亮起，于是她牵起[梁聪]，小心翼翼地踏上斑马线，[路小星]世界一片漆黑。
0:9:44|0:9:52|潜意识中只有绿灯在不远处闪烁微光，突然一辆轿车急刹在[路小星]面前。
0:9:55|0:10:0|一时间[路小星]有些慌忙无措，前方闪烁的红灯更是格外刺眼。
0:10:0|0:10:8|[路小星]慌忙转身，在她的世界里只能感受到黑暗中一辆货车感受强光向自己冲来。
0:10:8|0:10:15|只见一辆大巴车丝毫没有减速，贴着[路小星]开了过去，[路小星]更慌了，她无助地看向四周。
0:10:15|0:10:21|牵起[梁聪]快步向前走去，只想赶紧穿过马路，不料走到街边时她被台阶绊了一下。
0:10:21|0:10:27|小腿磕到石墩，[路小星]似乎早已习以为常，她摸索着坐到石墩上，撩起右边裤腿。
0:10:27|0:10:34|按压着找到两块淤青后，从包中掏出一瓶喷雾，对着小腿就是一顿喷，回到家后。
0:10:34|0:10:38|[路小星]将自己在警校期间所有的照片和证书都装进一个纸箱。
0:10:38|0:10:57|接着她要把书架上所有刑侦类书籍全部取下，放进纸箱里，然后她吃力地将纸箱搬进储藏室后关上了门，对[路小星]来说，这些东西她可能再也用不到了，此刻[梁聪]正认真地吃着食物，[路小星]坐在一旁地毯上听着周围声音。
0:10:57|0:11:2|聪聪抬头看了[路小星]一眼，将饭盆拱到[路小星]面前，并乖乖坐了下来。
0:11:10|0:11:20|窗外阳光依旧明媚，而厨房灶台上搁着切的乱七八糟的食物，通过食物残渣能辨认出厨房这片狼藉，只是给[梁聪]做一顿饭而造成的。
0:11:20|0:11:31|只见[梁聪]懒洋洋地躺在[路小星]怀里，十分享受，一个女孩扑到铁门旁，拼命拉着拉手，露出的手腕鲜血淋漓，铁门没有被拉开分毫。
0:11:31|0:11:42|她背靠铁门发出绝望的哭泣，突然她面色惶恐地惊了声，仔细辨别门外动静，只见女孩迅速爬到铁门旁的楼梯角落蹲了下来，一动不敢动。
0:11:42|0:11:55|随着脚步和口哨声越来越近，铁门被打开，一双黑色皮鞋踏了进来，这人似乎并没有发现角落中的女孩，他继续向里走去，女孩抓住时机扑上楼梯想往外跑。
0:11:55|0:12:1|却脚下一滑发出声响，她回过身绝望冲身后摇头，又拼命向楼梯上爬去。
0:12:1|0:12:10|然而那人拉住女孩双腿将她突进黑暗的拐角消失不见，铁门再次被关上，门上巨大铁锁让人不寒而栗。
0:12:22|0:12:30|[路小星]缓步走到玄关处，摸索墙面，打开面前的门禁电话。
0:12:30|0:12:33|屏幕上出现一位中年女子的身影。
0:12:48|0:12:54|[路小星]来到别墅，打开客厅的落地窗。
0:12:54|0:13:2|站在园中感受这里的气息，她无神地看向前方仿佛又回到小时候。
0:13:5|0:13:10|少年时期的[路小星]和[梁聪]欢乐地跑在园中，淘气的[梁聪]爬上一座雕塑。
0:13:11|0:13:18|[梁聪]爬到顶，欣喜地看着上面的鸟窝。
0:13:21|0:13:28|[路小星]收回视线，无声地叹了口气，院内已经许久没人来。
0:13:28|0:13:37|枯枝落叶铺了一地，而曾经供两人攀爬的洁白雕塑，如今也变得破旧不堪，[路小星]顺着扶手小心地来到顶层。
0:13:37|0:13:45|之前最熟悉的家如今只能靠摸索前行了，她站在[梁聪]卧室门口，曾经的一幕又浮现在眼前。
0:13:52|0:13:59|少年[梁聪]露出灿烂的微笑，拨动吉他的琴弦。
0:13:59|0:14:5|[路小星]仿佛真的看到了坐在床边弹吉他的[梁聪]，泪水霎时充满眼眶。
0:14:5|0:14:11|她稳住情绪，手轻轻扶上墙面，划过[梁聪]的海报照片，走到中间的斗柜前。
0:14:11|0:14:21|斗柜上立着当年[路小星]为[梁聪]买的吉他，[路小星]伸出双手，小心地拿起吉他捧在怀里细细磨梭着，这是她和[梁聪]的纽带。
0:14:21|0:14:23|也是唯一能用来回忆的东西。
0:14:23|0:14:32|拂过琴面后，她终于露出一丝笑容，突然她像是想起什么？霎时间笑意全无，慌张地要把吉他放回原处。
0:14:32|0:14:40|颤抖的手并没有将吉他顺利地放在架子上，只见她手一滑吉他瞬间摔落在地。
0:14:48|0:14:59|往事历历在目，始终是[路小星]过不去的坎，她紧闭双眼一动不动站在那里，如果当时没有那么激动，事情是不是不会像现在这样呢？可惜世界上没有如果.
0:14:59|0:15:5|过了许久，[路小星]楼上下来，[路小星]停下脚步。
0:15:6|0:15:13|母亲蹙着眉缓步走到[路小星]身后，她牵起[路小星]的手，将一个手机大小的仪器放进她手心。
0:16:3|0:16:13|母亲不忍地撇过头强忍泪水。而[路小星]此刻已是泪流满面。
0:16:13|0:16:21|母亲一时间不知如何应答。
0:16:21|0:16:26|[路小星]也不再理会母亲，面无表情地转身走向门口。
0:16:37|0:16:40|她自嘲地摇摇头，扶着门框走出家门。
0:16:42|0:16:52|夜间的雨意长大，没一会便积了好几个大水坑，[路小星]和一群人在路边的公交站牌下等车，很快好些人都打到出租车离开了。
