0:0:31|0:0:37|黑沉沉的夜仿佛浓墨涂抹在天际，连星星的一丝微光也不曾看见。
0:0:37|0:0:42|山林间一群妖精打扮成人类模样，载歌载舞，热闹至极。
0:1:9|0:1:15|本片即第一部剧情，讲述与[胡巴]分别后，[宋天荫]带着[霍小岚]踏上寻父之路。
0:1:15|0:1:22|在[云青]大哥帮助下，二人得知[宋天荫]父亲[宋天荫]的狐妖诡计，而重回永宁村的[胡巴]再度被妖王追杀。
0:2:6|0:2:11|小[胡巴]看着气喘吁吁的大家，蹦蹦跳跳的开心极了。
0:2:11|0:2:17|就在这时，血妖的半个脑袋从地底钻出来。
0:2:23|0:2:32|还没等众人缓过神来，一只体型巨大，身材健硕的血妖破土而出，冲向[胡巴]，[胖莹]见状连忙抱起[胡巴]向村外逃离。
0:2:39|0:2:46|走投无路的[胖莹]夫妻抱着[胡巴]，被三只血妖团团围住，就在几人不知所措时，脚下的地面突然开裂。
0:2:46|0:2:50|一只体型更大的四翼妖，从地底一跃而起，将众人弹飞数丈远。
0:2:50|0:2:58|[竹高]见[胡巴]即将落入逍遥之手，便大喊[胖莹]，跑。随后[胖莹]将瘦弱的[竹高]用力甩飞出去。
0:2:58|0:3:5|在千钧一发之际将[霍小岚]在空中接下来，围堵的血妖急忙上前拦截，[屠四谷]又迅速将[霍小岚]扔向小武。
0:3:5|0:3:12|这时4只血妖像疯了一样冲向逃跑的小武，[屠四谷]等人也一并追出去，[屠四谷]制定作战计划。
0:3:18|0:3:22|几人前后错落形成一个移动的阵型，互相默契地将[霍小岚]传来传去。
0:3:22|0:3:29|这时一只求急心切的血妖躲闪不及，一头撞在树上，随后一只血妖扑向小武。
0:3:35|0:3:42|[屠四谷]跳起将[霍小岚]一头顶到树干上，就在这时几个村民合力抬起一根树干砸向正飞来的两只血妖。
0:3:43|0:3:50|血妖应声倒地，瘫在地上，这时[霍小岚]也缓缓从树上下来，一旁的四翼妖见状生气地朝天怒吼。
0:3:51|0:3:56|随即用自己粗壮的尾巴将众人接连甩飞，又面目狰狞地看向如同婴儿的小胡巴。
0:3:56|0:4:4|以同样的方式将[霍小岚]甩飞到空中后，又牢牢抓住，完成任务的四翼妖，没有丝毫犹豫，张开翅膀便向空中飞去。
0:4:4|0:4:16|就在这时两个村民忽然抓住它的脚，四翼妖回头一看，又从地上飞来三个村民牢牢拖拽住它，不要它飞走，村民们紧紧拽着前一个人的脚踝，如同锁链一般拖拽着四翼妖。
0:4:20|0:4:29|说罢，[屠四谷]和胖莹一前一后攀上由村民组成的人梯，到四翼妖头顶后，两人高高跃起抱作一团，紧接着重重砸向四翼妖。
0:4:29|0:4:34|身形高大的[屠四谷]被众人合力惊晕在地，可它手中的小胡巴不慎滚落到一旁的河中。
0:4:34|0:4:43|这时[胖莹]和[竹高]刚站起来又被[屠四谷]倒下的尾巴压倒在地，[胖莹]担心地问道：
0:5:26|0:5:45|说罢，山洞中一股妖风卷起了地上的金沙，沙粒在空中交织着形成了本片的片名捉妖记2.可怜的小胡巴在小河里经历了一夜的漂流，突如其来的瀑布让胡巴睁大了眼，此时水流也急速起来。
0:5:47|0:5:51|胡巴猝不及防被冲到近百米高的瀑布下。
0:5:51|0:6:0|就在胡巴掉落崖底的一瞬间，远在驿馆中的[霍小岚]眉头一紧，看到了一瞬间湍急的水流。
0:6:2|0:6:8|听完后，哑巴医师号了一下小岚的脉搏，对一旁的助手说：
0:7:8|0:7:24|医师招了招手，[宋天荫]靠近后直接捏着他的鼻子晃了晃道：8528助手看到医生的手势后，便拿起一块白布，从一旁的花盆中取了一把土放在桌上。
0:7:24|0:7:30|正要打包时，医师拦住了她，医师伸出手指在土上粘了粘后，放进嘴里尝了下。
0:7:30|0:7:37|这时助手打包好后，递给小岚。
0:8:1|0:8:6|[霍小岚]拽着[宋天荫]急忙离开，前来就医的人们排起了长队。
0:8:6|0:8:12|[霍小岚]满眼温柔地看向一位母亲怀中的婴儿，顿时涌上对胡巴的思念之情。
0:8:13|0:8:29|小岚随后走到一旁对[宋天荫]说道：这时一个大肚子孕妇向小岚扑了过来，扶着她肚子的小岚感觉到异样，便用力一推，竟将自己弹出窗外。
0:8:29|0:8:35|小岚质问道，生孕妇毫发无伤，气势汹汹地问道。
0:8:37|0:8:45|说罢小岚以迅雷之势将符咒贴在她脑门上，孕妇便再不能动。
0:8:45|0:8:53|原来是一只妖怪，在她还沉浸在掌声之中时，只见屋顶又出现6只穿着人皮的妖怪。
0:8:53|0:9:1|六妖跃而下，落到刚才被定住的老大身旁，一把扯下脑门上的符咒，随即七妖低吼着摆出战斗的姿势。
0:9:1|0:9:11|小岚见势不利，一脚踹翻竹筐向人群中跑去，随着老大一声令下，妖怪们边追边发出古怪的叫声，百姓也急忙逃窜。
0:9:11|0:9:20|妖怪虽穿人皮，但追起人来，还是手脚并用，在地上爬行。在二楼的[宋天荫]见状也跳了下来，随即朝几人追去。
0:9:21|0:9:28|这时奔跑的小岚险些被越已的妖怪扑倒，她不敢有丝毫懈怠，面对妖怪只能拼命地跑。
0:9:28|0:9:35|就在这时，从前方小路猛地窜出一只妖怪挡住小岚的去路，陷入包围的小岚迅速抽出法绳一跃而起。
0:9:36|0:9:44|一鞭子将拦路妖怪戳倒在地，而后面的[宋天荫]则在安抚被撞老人后，又将行李托付给他。
0:9:50|0:9:55|面对妖怪们的攻势，有些吃力的[霍小岚]朝城墙上方甩出法绳，准备逃跑。
0:9:55|0:9:58|看着空中的[霍小岚]，妖怪似乎没有放弃。
0:9:58|0:10:8|用力一跃便抱住了她，这时其他妖怪也火速赶来，飞奔的妖怪撞到路上正抱着婴儿的母亲，手中的婴儿被扔飞好远。
