0:2:22|0:2:31|夕阳映在长城边上，[梁笑笑]趴在墙边，[秦奋]拿着钻戒单膝跪地。
0:3:54|0:3:57|说完了还亲吻了[梁笑笑]的手。
0:3:58|0:4:8|两人就这样在夕阳下的长城上求了婚，至于答没答应，却还不一定。属于他们二人的爱恨纠葛，这才刚刚开始。
0:4:9|0:4:21|雨过后的池塘生机盎然，一片片荷叶将水面铺得满满的。这个僻静的公园，今天要因为一场典礼热闹起来了。敞篷黑色轿车匆匆驶过，
0:4:21|0:4:24|车上的鲜花很难不引人注目，
0:4:24|0:4:34|而后哒哒的马蹄踩在水泥路面上更是清脆，也更是引人注目了。这还没完，后面还跟着好几辆低调的黑色轿车，
0:4:35|0:4:47|他们都朝着一个方向驶去，那便是典礼的现场。两架高头大马驾着一辆欧式风格的马车，除了最前面的车夫，这后面豪华车厢上坐着的两位也
0:4:47|0:4:49|也是少见的漂亮人。
0:4:49|0:4:56|精致典雅的打扮，衬着[芒果]和[梁笑笑]的俏丽容颜，二人长裙、头冠甚至面纱一样不落。
0:4:56|0:5:6|车夫驱着马车过了小桥，很快就来到了典礼现场。欧式建筑门前，迎接宾客的是身穿纱裙，头戴花环的女人，
0:5:6|0:5:17|还有穿一整套黑色西装的男人。他们神情肃穆，等待着宾客的到来。马车缓缓停下，包厢的摇铃阵阵像是宣告着今天的主角
0:5:17|0:5:26|将要登场。蓄着胡子，留着寸头的男人便是[李香山]，他快步走来，打开车门，他绅士地扶着[芒果]走下马车，而后的[梁笑笑]
0:5:26|0:5:32|也拎起长裙被车夫搀扶下来，两位司仪和[梁笑笑]并排走着。
0:5:32|0:5:40|三人提着长裙走在后面，前面的是挽着[李香山]的[芒果]，在乐声中，几人走进了这座欧式建筑。
0:5:40|0:5:47|后花园宾朋满座，[秦奋]主持。
0:6:1|0:6:12|交响乐奏起，在场宾客朝着地毯另一头望去，在众人的瞩目中，[芒果]挽着[李香山]朝台上走去，后面的[梁笑笑]和女伴缓缓跟随。
0:6:12|0:6:19|[李香山]眯着眼睛，神情严肃，[芒果]也不苟言笑。锃亮的皮鞋和长长的裙摆向前挪动，
0:6:19|0:6:27|地毯上的步伐随着音乐前进。几人很快来到了台前，展开了这场别开生面的离婚仪式。
0:6:27|0:6:35|台上的[秦奋]看着他们走来，转身朝着乐团挥手致意。
0:6:36|0:6:43|[李香山]、[芒果]站在[秦奋]左右，[梁笑笑]则是立在[芒果]身边。
0:6:59|0:7:6|[秦奋]奇葩的演说逗笑了在场的宾客，
0:7:51|0:8:5|[芒果]面无表情地斜了眼[李香山]，两人迅速地摘下戒指，仿佛生怕摘晚了，这婚离不了了。
0:8:30|0:8:34|[秦奋]举起一个大红色的喜字，二人各执一刀上下剪开。
0:8:34|0:8:44|[秦奋]把剪开的喜字放在铜盆里点燃，火焰很快吞噬了纸做的喜字，[秦奋]继续说道，
0:8:46|0:8:48|他说完看向了[芒果]，又转头看向[李香山]，
0:8:50|0:9:2|[芒果]、[李香山]到台前握手，在众人的起哄声中，[李香山]一把拽住[芒果]，搂在怀里。
0:9:8|0:9:19|现场的气氛格外的热烈，仿佛这场爱情的葬礼在他们眼中是出喜剧。激昂的交响乐伴着掌声，
0:9:19|0:9:26|仪式内容基本结束。酒会即将开始，[李香山]握着[芒果]的手切开蛋糕，
