0:2:20|0:2:27|拍完后，皮草男坐在中国女孩对面打量着她。
0:3:10|0:3:21|[荆如意]嫌弃地看了眼[吴富春]，无视了他伸向自己的手，[吴富春]见状略显尴尬地收回手，靠在椅子上，若有所思地盯着[荆如意]。
0:3:55|0:3:59|[吴富春]得意地看着[荆如意]，又顺着她的视线看向窗外。
0:4:1|0:4:9|只见[吴富春]从包里迅速掏出一架单反相机，对准窗外的企鹅就是一顿狂拍。
0:4:35|0:4:42|此时一片大雾弥漫开来，能见度变低，塔台呼叫飞行员表示前方有超大气旋正在形成。
0:5:4|0:5:8|飞机又重重颠簸了好几下，[吴富春]立马丢下相机，着急忙慌地系起安全带。
0:5:8|0:5:13|飞机慢慢驶入一片乌云层，云内黑压压一片，时不时还有闪电划过。
0:5:31|0:5:39|[荆如意]和娜塔莎并不理他，而是紧紧地握住对方的手，看到此状[吴富春]更慌了，把安全带死命往紧里系，此时塔台再次发出了警示。
0:5:42|0:5:50|驾驶员驾驶着飞机与雷电擦肩而过，雾云层能见度极低，飞行员只能凭借经验继续向前飞行。
0:5:50|0:6:1|[吴富春]看着窗外灰蒙蒙一片一副快哭出来的表情，飞机直到惊险地绕开一处山头后，这才有时间继续联系塔台。此时
0:6:1|0:6:8|飞机已经遭遇了强结冰，急需迫降，机舱仪表盘不地的闪烁着，[吴富春]自乱了阵脚。
0:6:10|0:6:21|飞行员尽全力控制着飞机，却依旧阻止不了飞机的颠簸，行李架摇晃得越来越厉害，突然飞机像被按了暂停键一样悬在半空。
0:6:21|0:6:39|随后不受控制地坠了下去，如同一片枯叶任由狂风吹落，此时的娜塔莎和[吴富春]不知所措地尖叫着，[荆如意]则抓着扶手，紧闭双眼，脸色也是惨白一片，飞机又不受控制地翻了好几个圈，让众人感到极为不适。
0:6:39|0:6:45|而行李架上的箱子也纷纷落下，箱子里面的物品撒满了整个机舱。
0:6:45|0:6:50|更要命的是一只保温杯飞起来砸在了飞行员的脑袋上。
0:6:50|0:6:58|只见飞行员直挺挺地摔在操纵杆上，飞机径直朝前面的山头冲去，机腹擦着山间冲了上去。
0:6:58|0:7:10|左引擎撞到石头，瞬间燃起一片火焰，螺旋桨因为惯性再次折回，直接搅进客舱，中央高速旋转的桨叶擦过了[荆如意]的衣角。
0:7:10|0:7:19|瞬间就将她的眼镜搅成碎片，同时机舱内压力失衡，大量物品飞出客舱，包括最重要的经纬度探测仪。
0:7:19|0:7:28|如今飞机已经彻底不受控制，特意擦着山体滑了下去，连翻撞击下，飞行员连人带椅刮了出去。
0:7:28|0:7:37|在划过这片山体后，飞机并没有停下来，而是顺着惯性再次向前面俯冲，飞机一头栽到了冰面上。
0:7:39|0:7:48|此刻客舱内的三人已经毫无知觉，生死未卜，本片就从这场飞机事故后开启。
0:7:52|0:8:5|不知过了多久，[吴富春]终于睁开了双眼，此刻他的脑子还是天旋地转，一时间反应不过来自己身在何处，只见他半个脑袋都栽在雪地里。
0:8:5|0:8:9|愣了半晌后才转转眼珠子，挣扎地想要爬起来。
0:8:9|0:8:16|原来[吴富春]带着椅子被扣倒在一片雪地中，他急忙解开腰间的安全扣。
0:8:16|0:8:27|这才从椅子上跌下来，[吴富春]用力眨眨眼，试图让自己清醒一些，随后站起身子，此时除了大片冰川和座椅没有其他的东西。
0:8:27|0:8:38|他捂着脖子转头走了两步后虚弱地倒在地上，他迷离着双眼，无意间侧头看向另一边，而这边的景象让他目瞪口呆。
0:8:38|0:8:53|只见眼前到处是飞机残骸，七零八落地铺了一地机尾在巨大的冲击下翘了起来，只有客舱勉强保持完整，[吴富春]恐惧地望着前面的一切，有点不敢面对。
0:8:53|0:9:4|突然他恐慌地摸着自己的脸，又看看双手还完整地摸了摸自己的脑袋，紧接着[吴富春]将自己的大腿、小腿、膝盖都捏了捏。
0:9:4|0:9:12|确认了自己没有受伤，突如其来的异响让[吴富春]不得不再次看向客机残骸。
0:9:13|0:9:24|他瞬间红了眼眶，不知所措地在原地踱着步子，此刻[荆如意]还倒在飞机的客舱内，她的头磕在一处柜子上。
0:9:24|0:9:35|鲜血顺着额头不断流下，过了许久她才缓缓睁开双眼，突然她感受到头顶上方有液体滴落，便迟钝地抬起了脑袋。
0:9:35|0:9:46|只见坐在自己隔壁的娜塔莎正倒挂在上方，鲜血正不断从她嘴里涌出，[荆如意]此刻无暇顾及娜塔莎，她抹抹脸上的鲜血。
0:9:46|0:9:57|强撑上半身，试图坐起来，然而她撑起一半身子，半天没能把自己的腿抽出来，原来她的小腿上压了一块巨大的钢板。
0:9:57|0:10:4|[荆如意]又气又恼用力推着腿上的钢板，但即便使上吃奶的力气，也没有将钢板挪动分毫。
0:10:5|0:10:21|此时娜塔莎终于有了知觉，皱起眉头睁开眼来，[荆如意]用力拍着机窗寻找求助闻声而来的[吴富春]冲进客舱，被眼前的场景吓到了。
0:10:22|0:10:28|[吴富春]趴在地上仔细看了铁板的位置，又看向气息微弱的娜塔莎。
