0:2:2|0:2:8|接着，他用力撑起上半身，坐了起来。随后走到屋外。
0:2:21|0:2:29|看着平静的湖面，男人仰头望天，并点燃了一支烟。至此，电影《非凡任务》正式开始。
0:2:29|0:2:34|画面一转，他正在洗脸，随后就听到。
0:2:36|0:2:43|原来他叫[林凯]，此时正望着脏兮兮的镜子，凝视自己。昏暗的室内，留胡子的男人，
0:2:43|0:2:51|从柜子中拿出了几包像面粉一样的东西，并将手里的单子，递给对面的年轻男子。
0:2:52|0:3:0|年轻男子迅速将面粉状的小包和纸收起来，放进了背包。然后向胡子男鞠了一躬，
0:3:0|0:3:2|接着转身离开了房间。
0:3:2|0:3:7|看样子，应该是胡子男的手下。
0:3:17|0:3:24|刚才的手下背着包，穿过狭长的通道，向他们走去。
0:3:42|0:3:49|[林凯]从彬哥手中接过单子。
0:3:50|0:3:56|看到[林凯]将面粉状的东西放进背包，[李建国]吩咐道。
0:3:58|0:4:6|[李建国]微笑着，目送其他几人离开后，转身走到正在收拾后备箱的[林凯]身边。
0:4:6|0:4:8|说完，[林凯]绕到驾驶座，上了车。
0:4:10|0:4:18|另一边，胡子男坐在老板椅上，从裤兜中掏出手机后，放在耳边，轻轻说道。
0:4:19|0:4:24|崎岖黑暗的山路上，只有[李建国]和[林凯]的车一前一后地开着。
0:4:24|0:4:33|[李建国]叼着烟，漫不经心地看了一眼后视镜，接着将手伸出窗外，向[林凯]示意，在前方的岔路口分开。
0:4:34|0:4:43|于是[林凯]直接转弯，向山下拐去。[李建国]看了眼后视镜，吐出一口烟后说道。
0:5:3|0:5:9|看了眼后视镜，[林凯]猛地回头，发现警车正在向他靠近。
0:5:9|0:5:17|回过头正要轰油门跑，却看到前面桥头，也放着临时路障。于是他只能硬着头皮向前开去。
0:5:33|0:5:42|[林凯]双手举起，转身趴在车上。警察在他身上摸索着，另外几个则搜查后备箱，然后发现一个轮胎。
0:5:44|0:5:50|此时，黑色小包漏了出来，其中一个警察拿着东西，向[林凯]走过来。
0:5:57|0:6:2|说完，警察就亮出了手铐。
0:6:2|0:6:6|就在这时，[林凯]猛地转身，迅速出拳，将对方打翻在地。
0:6:6|0:6:13|接着他小跑上车，动作麻利地挂挡，并在原地漂移起来。
0:6:16|0:6:22|[林凯]趁乱，推开车门，弯腰捡起小包，加速撞开路障后，立刻向前方冲去。
0:6:22|0:6:27|警察见状，先是放枪警告，随后，开车追击。
0:6:27|0:6:32|狭窄漆黑的山道上，[林凯]一边开车，一边透过后视镜观察着。
0:6:32|0:6:38|此时，一辆警车加速，来到他的右边，另一辆，则狠狠撞向车尾。
0:6:38|0:6:46|三辆车就维持着夹击的模样，向前高速行驶。突然，右侧的警车用力向左一撞，
0:6:46|0:6:49|瞬间，[林凯]的车头被狠狠顶上路沿。
0:6:50|0:6:58|警察乘胜追击，再次用力，[林凯]的左侧车身直接被掀起，架在了水泥护栏上，不断前行。
0:6:58|0:7:5|眼看就要翻下山崖，[林凯]向右用力一打方向盘，狠踩油门后，脱离了束缚。
0:7:6|0:7:13|谁知，刚开到弯道时，就被警车顶住左侧车身，接着，直接被推向路的边缘。
0:7:13|0:7:17|最终，[林凯]连人带车，不受控制地被推到了山崖下。
0:7:17|0:7:29|一阵尘土飞扬后，夜晚，再次恢复宁静。接着，几个警察拿着手电，从山坡上滑下，小心翼翼地来到[林凯]车边。
0:7:33|0:7:39|驾驶室竟空空如也。画面一转，来到昏暗的木材厂，
0:7:39|0:7:45|此时空地上站着两个男人。
0:7:55|0:8:2|留着短发的男人正冲胡子男怒吼。
0:8:17|0:8:24|短发男，也就是领导，听完后，眯着眼睛看了胡子男一眼，随后，不屑地转过身，
0:8:24|0:8:38|轻轻抿了一下嘴唇后，开口道。灯光打在领导身后的豪华轿车上，胡子男低头沉思了一会后。
0:8:38|0:8:43|在原地跺了跺脚，随后转身，走向身后狭窄的通道里。没过
0:8:43|0:8:58|一会儿，他就提着一个皮包走了出来，慢慢来到领导面前后，拉开拉链，给他看了看里面的东西。看完，领导后退了一步。
0:9:1|0:9:6|画面一转，回到了那间昏暗的室内，[李建国]被一凳子抡倒。
0:9:15|0:9:24|胡子男咬着牙怒骂道。毅哥，也就是胡子男，蹲下身。
0:9:39|0:9:41|[李建国]急忙爬起身，打开门落荒而逃。
0:9:41|0:9:43|深夜，
0:9:43|0:9:52|毅哥轻轻打开房门，回到家中，然后拖着疲惫的身子，走上了二楼。他的妻子正坐在沙发上，
0:9:52|0:9:53|痛苦地望着他。
0:9:55|0:10:3|毅哥先是疑惑地向左边的屋里看去，发现女儿正睡得香甜，然后转过头，不解地看着妻子。
0:10:6|0:10:11|突然他顿住，在走廊的尽头，[林凯]正狼吞虎咽地吃着面。
0:10:12|0:10:20|看到[李建国]终于发现自己，[林凯]慢慢放下碗，然后从桌子上拿起手枪，慢慢把玩着。
0:10:20|0:10:25|接着，整个人放松地靠在沙发上，目不转睛地盯着对方。
0:10:25|0:10:34|看到[林凯]漫不经心的样子，[李建国]挪着脚步，小心翼翼地来到走廊深处，坐在了离他几步远的椅子上。
0:10:58|0:11:4|随后，他慢慢地从沙发上坐起来，身体微微前倾。
