0:4:0|0:4:6|早已做好万全之策的[钟小年]紧紧地盯着[刘文世]，而[刘文世]故作镇定地说道，
0:4:47|0:4:56|封闭的桑拿室内热气腾腾，汗流浃背的[刘文世]按捺着燥热，对[钟小年]说道，
0:5:0|0:5:14|[钟小年]看着[刘文世]无奈地站起身，[钟小年]走到桑拿室火堆旁，弯腰拿起水瓢将炽热的木炭浇灭，被浇灭的木炭上方飘出阵阵白烟。
0:5:15|0:5:21|随后转身走到位置上，拿起毛巾擦脸，这时画面竟出现在屏幕上。
0:5:21|0:5:26|屏幕中的三人起身相继握手，并说道
0:5:33|0:5:40|随后画面出现在最中心的显示屏中，铁网笼罩的房间内悬挂着多台显示器和照片。
0:5:40|0:5:50|一男子坐在显示屏前注视着这一切，房间外的墙面上悬挂着LED灯拼成的片名《幕后玩家》闪着耀眼的光芒。
0:5:51|0:5:56|到了晚上，一道门突然从里面被人打开，[曾广文]走了出来。
0:5:57|0:6:26|他拖着沉重的步伐走在空旷的天台上，随后将手机从裤兜中拿出，心思沉重地拨打着电话，[曾广文]面无表情地回应着，[曾广文]放下手机将看向远方的目光落在手机上，毫无顾忌地合上了手机。
0:6:26|0:6:39|随后站上天台的一角的边沿，看着一座座高耸入云的高楼，[曾广文]深知他们的所作所为触犯了法律的禁忌，这时徒弟的态度也确切地证实了他的猜疑。
0:6:39|0:6:49|不甘面对法律的制裁，想要逃避这一切，曾广文选择了一条不归路，望着脚下令人眩晕的无底深渊，绝望地迈出了那一步。
0:6:50|0:7:1|此时在朦胧的月光下，天台的氛围变得格外阴森，凌晨正在熟睡的[钟小年]被惊醒，眼神空洞，显然还没从噩梦中缓过神来。
0:7:1|0:7:9|他手扶着头艰难地坐起身，枕边的妻子[魏思蒙]缓缓地睁开眼睛，听着[钟小年]的动静却没有出声。
0:7:9|0:7:17|[钟小年]起身走向卫生间，而[魏思蒙]也只是侧身用余光看了看。洗完脸的[钟小年]拿起毛巾擦着水珠，
0:7:17|0:7:24|余光看见了镜子里的[魏思蒙]，而[魏思蒙]不知所措地说道
0:7:32|0:7:40|[钟小年]不屑地将毛巾摔在洗漱台上，与[魏思蒙]擦肩离去，只留[魏思蒙]站在原地，抱紧单薄的双臂。
0:7:40|0:7:45|一大早[钟小年]来到云吞店，老板说道，
0:7:58|0:8:13|[钟小年]接过老板手中的饭盒后，转身走出云吞店，随后映入眼帘的是一条通向森林深处的林荫小道，两旁竖立着挺拔的松柏树，草坪上的草依然茂盛，小道两旁堆积着败落的枯黄树叶。
0:8:13|0:8:24|[钟小年]驾驶着豪华的轿车在小道上格外显眼，手指轻触设立在小道一旁的密码锁，智能科技的加入使得别墅多了一丝森严。
0:8:24|0:8:33|豪车继续行驶在高低起伏若隐若现的小路上，秋意的笼罩使周围的景象一片朦胧。
