0:2:2|0:2:5|镶在中间的大颗宝石闪闪发光。
0:2:5|0:2:13|随后中间的宝石，两边的钻石和下面的坠子被分成了三个部分，随之片名出现。
0:2:13|0:2:16|下面为您讲述正片。
0:2:16|0:2:25|盗窃案的主犯[张丹]入狱5年后刑满释放，在一片荒凉的郊外。法国弗雷讷监狱坐落在这里，
0:2:25|0:2:37|一个黑衣人狱警面无表情地打开一个抽屉，里面放着香烟、钱包、手机和一个观音吊坠，玻璃上映出[张丹]的身影，他默默地将东西拿走。
0:2:37|0:2:44|狱警按下了一个按钮，监狱的大门缓缓打开，阳光瞬间照进了黑暗的监狱里。
0:2:44|0:2:52|警探[皮埃尔]笔直地站在监狱门外，[张丹]一边往出走，一边将手中的吊坠戴在自己的脖子上。
0:2:52|0:2:54|[皮埃尔]上前说道，看起来你状态还不错，
0:3:6|0:3:28|[皮埃尔]打趣道：[张丹]长舒一口气说道：[张丹]颔首低眉表示赞同，随后却抬眼挑衅地说道：说罢便上前拍了拍脸色不悦的[皮埃尔]，径直离开了。
0:3:30|0:3:42|随后[皮埃尔]将车里的对讲机拿了出来说道：说完便直勾勾地盯着[张丹]的背影，[张丹]用衣服上的帽子将自己隐藏起来，潇洒地走在田野间的公路上。
0:3:43|0:4:6|一所加油站旁，一辆车尾随着[张丹]而来，车里坐着一个便衣女警，[张丹]坐在便利店的窗边，一边喝着饮料，一边看着窗外玩闹的小孩，这时一个陌生电话打了进来，车里的女警拿出摄影机对着[张丹]，将焦距拉近拍了张照片，突然一辆车从窗边驶过，[张丹]就消失不见了。
0:4:6|0:4:16|女警愣了一下，意识到不对劲，立马放下了相机下车查看，只见一辆直升机从加油站后方升起扬长而去。
0:4:16|0:4:39|女警追过去却发现为时已晚，一个烟盒从飞机上被扔了下来，女警脸色十分难看，站在原地目送飞机离去，一辆警车停在了一家古董店旁，[皮埃尔]推开了车门走了下来，古董店周围拉起了警戒线，一位警察在对案发现场进行拍照，[皮埃尔]走了进来对这屋里被挟持的男子说道：
0:4:57|0:5:4|他指了指嫌犯脖子上的项链说道，
0:5:16|0:5:22|[皮埃尔]不以为然，环顾四周后拿起了一个古董杯放到男子手中，说道，
0:5:32|0:5:55|话音刚落，另一边，一辆直升机划过天空，下面是一望无际的海洋，[老魔]驾驶着飞机，后面坐着[张丹]两人一路来到了法国戛纳，直升机开到城市边缘，[张丹]推开舱门与[老魔]对视了一眼，[老魔]扭头对他竖起大拇指，[张丹]便扶着舱门慢慢站直了身子，向下望去，海边的水面上是成群结
0:5:55|0:6:4|队的船，因为距离太远，看起来只有芝麻大小，[张丹]穿着飞行衣将整个身子探了出来，瞅准机会一跃而下。
0:6:4|0:6:20|他张开双臂，身体随着气流颠簸着，向着海岸边飞去，身下是一望无际的大海，远处是连绵不绝的山峰，与天空连成一线，[张丹]迎着风快速滑翔，寻找着即将要降落的目的地。
0:6:20|0:6:33|随后他打开身后的降落伞，速度瞬间慢了下来，逐渐开始下落，他选择了一个码头，周围亭靠着几只渔船，他距禖地面越来越近，不一会儿便稳稳地落在了地上。
