0:1:40|0:1:46|[林向宇]和[李大鹏]扎着马步，亮出了他们中间的秘密武器，羊驼。
0:2:6|0:2:11|[林向宇]用皮鞋在舞台上打着节拍，演出开始。
0:2:52|0:3:4|[林向宇]和[李大鹏]无奈地摘下帽子，用头顶地翻滚着滚出了一团，台下的观众兴奋地鼓掌，评委老师面对如此闹剧，却忍不住地挠了挠头。
0:3:5|0:3:19|校园里[李大鹏]开来一辆崭新的皮卡车，小混混[黄毛]一行人走过来。
0:3:26|0:3:44|[黄毛]不怀好意地端详羊柁，蹲下身子往羊驼裆下看去。刚站起来，[黄毛]就被羊头嘴里的胡萝卜碎喷了一脸，擦掉脸上的污渍之后，[黄毛]重重地往羊驼脖子上挥了一掌，[李大鹏]赶紧去追受惊的羊驼。
0:4:7|0:4:38|[管超]被[林向宇]拽走，[黄毛]也被三个兄弟拉起来，老子等着去。[林向宇]和[管超]回到了男生宿舍楼里，走廊里挂满了衣服，两人身穿表演服耍帅地走到330的宿舍门口，木门上挂着广告牌，上面写着泡椒凤爪、猪皮、马二香烟，两人开门走了进去，[谢训]正在数钱，招呼他们说。
0:5:45|0:5:51|[谢训]扯过[猴子]手里的50块钱，问他，[猴子]羞涩一笑回答道。
0:5:58|0:6:4|[谢训]端出一本金瓶梅，打开里面被抠出了大洞，装满了满满的避孕套。
0:7:17|0:7:26|[猴子]尿急跑去墙边，刚要脱下裤子，[谢训]喊道。
0:7:32|0:7:40|[猴子]听完只好拿起酒瓶避开众人，来到墙角正准备放水，[林向宇]却跑了过来，抢走了瓶子。
0:8:3|0:8:26|十几个瓶子被摆在了窗边，[李大鹏]激动地问众人一群人大声地回应着脚下的都市即将成为这些男孩闯荡世界的起点，[林向宇]的实习地平安大厦也在脚下，
0:8:54|0:9:2|不苟言笑的[王总]带着西装革履却满脸稚嫩的[林向宇]进入整洁有序的办公区，刷卡进门
0:9:13|0:9:18|[林向宇]好奇地打量着工作环境，
0:9:18|0:9:28|格子间里人们低头忙碌，没有人注意到[林向宇]。角落的书柜边上一身职业套装，乌黑长发，站在高凳上
0:9:28|0:9:31|整理文件夹的女性背影吸引了[林向宇]的目光。
0:9:31|0:9:57|等美女挑选好文件走下凳子，[林向宇]才看清她的正脸，一头黑发下面庞如玉般温柔，她走向[林向宇]，发丝柔软，脚步轻盈，这短短的几步好像走进了[林向宇]的心里，[林向宇]青涩的瞳孔控制不住的狂喜，根本挪不开目光，手心出汗，心跳加速，这大概就是一见钟情吧。
0:9:57|0:10:6|似乎发现了[林向宇]炙热的目光，美女朝这边看过来，面对如此直勾勾的眼神，他的脸上添了几分不悦。
0:10:6|0:10:11|就在这时[王总]打完电话走进办公室，对[林向宇]说，
0:10:13|0:10:17|走吧，[王总]带他径直往刚才的美女身边走去，
0:10:58|0:11:8|[徐美心]公事公办，交代完注意事项，干练地走向对面的格子间，[林向宇]一直站到[徐美心]坐下，才收起眷恋的目光，接着露出一个对美人志在必得的微笑。
0:11:10|0:11:19|[谢训]那边继续为钞票而忙碌着，他站在火车站门口吃着包子，等待外省土木工程队的到来，落雪落雪。
0:11:32|0:11:44|登哥坐上刚买的二手小汽车，[谢训]开心地抚摸着车内的装饰，摆弄着各种按钮和零部件，打火启动一拍方向盘，意气风发地开向街道。
