0:2:18|0:2:24|站在汉子身边的短发男子听完，边蹲下身边从口袋里找小刀，
0:2:27|0:2:42|还没来得及将汉子身上的麻绳割断，就被溅了一脸的鲜血。说要放人的老头开完枪扭头就走，催促短发男子不要管汉子的尸体赶紧剥羊皮。
0:2:44|0:2:50|但遭遇突如其来的变故，短发男子只是蹲在地上愣愣地盯着面前的身影。
0:2:51|0:2:59|至此我们今天要讲述的影片可可西里就正式开始了。
0:3:7|0:3:24|一个年轻男人正在严肃地记笔记，记录着关于可可西里的地理以及生态环境，述说着全球珍稀物种藏羚羊的悲惨命运。
0:3:37|0:3:44|保护藏羚羊迫在眉睫。
0:3:53|0:3:59|此时男人将此次冲突中死者的照片一张张罗列在桌子上，
0:4:8|0:4:42|原来，影片开头被杀害的汉子名字叫做[强巴]，而正在说话的年轻男人似乎是一名记者，越过戈壁进入县城，沾满泥土的面包车停在了一座气派的庙宇前，一个俊朗的年轻男人走了下来，环顾了一下四周，他背起挎包就朝着山的方向走去，来到山脚下在喇嘛打探的目光中，他拿起相机上山，
0:4:42|0:4:46|突然一群孩子迎面从山坡上冲下，
0:4:54|0:4:57|笑闹着让他给自己照相，
0:5:0|0:5:32|男人蹲下身问孩子们，哪料一听这话，原本笑着的孩子们扭过头瞬间向山下跑去，不过，其中一个男孩回过头，给男人指了指远处，于是原本要上山的他立即站起身向对面山脚处看去，积压成片的云牢牢地挡住太阳，山脚下更是一片阴沉的气息。
0:5:32|0:5:37|随后他踏步而上来，到了男孩指着的方向。
0:5:37|0:6:10|此时这里正在进行天葬仪式，强巴头朝下趴在地上，身上盖着一块写有经咒的布，四周除了喇嘛外，还有巡山队的各位队员，很快，尸体就招来了方圆几里的秃鹫，盘旋在天空之上的它们迅速直冲而下，然后站在强巴的头边，接着喇嘛们把强巴身上的布扯开并展平四肢，
0:6:10|0:6:24|最后其中一人拿着砍刀，一刀刀分解着他的身体，原本还老老实实站在强巴头边的秃鹫们立即上前分食着面前的美味，
0:6:26|0:6:35|它们挥动翅膀撕扯、啄食、急急吞食。[日泰]实在不忍心看下去，只得偏过了头。
0:6:36|0:6:44|此时队伍中一个身高1米7，看着异常沉默的男子引起了他的注意。
0:6:48|0:7:7|站在[日泰]身后的平措指点到叫住扭头离开的[日泰]，记者诚心地说，
0:7:12|0:7:44|三人站在屋前的小院中相互打量着[日泰]一听记者的来意，偏过头想了想，随后开口道，一个长发男人应声从不远处跑了过来，接着达瓦笑着从记者手中接过他身上的背包，然后领着人向二楼的方向走去看到人走远。
0:7:45|0:8:0|[日泰]对身后留着短卷发的平措说可以准备晚饭招待了，另一边，小院里的人们都停下了动作，暗暗打量着记者，直到上了二楼后视线才没那么炙热。
0:8:1|0:8:12|然而刚一走上二楼的平台，记者就愣住了，露台上藏羚羊的羊皮正在阳光的照射下散发出熠熠光辉。
0:8:13|0:8:18|数量之多甚至都堆叠在了一起。安置
0:8:18|0:8:53|好之后，记者从包中掏出了泛黄的文件，上面赫然是年轻的[日泰]和他的家庭身份信息，而后他又再次拿出此前巡山队和盗猎者冲突中死者们的照片，突然门被推开，于是他立刻合上笔记本将所有的文件盖住，一边倒酥油茶，[央金]一边对着记者微笑道，
0:8:53|0:9:12|随后转身坐在一旁的凳子上，用大胆又善良的目光看向记者，[央金]则顺手拿起记者剪贴好的报纸，里面都是关于可可西里的报道。
0:9:12|0:9:31|当看到一篇名为《“无人区”从枪声走向安宁》的文章后，她慢慢放下了报纸，轻声对记者说了一句，让他好好休息后就转身离开了房间。
0:9:31|0:9:48|而当记者收起报纸时，猛然发现下方竟然多出一串佛珠，夜幕降临，[央金]将饭菜端上桌便回了厨房，随后[日泰]带着记者走进来看了一眼众人问
0:9:50|0:10:24|话音刚落，两个队员就立刻起身向门外走去，一席九个人围坐在圆桌旁后，[央金]从厨房里端出的一口大锅，稳稳地放在了桌中央，[日泰]拿起一块肉先递给记者，然后又给他一把小刀，看到记者刀口向外割着肉吃，一个队员忍不住出声纠错，
