0:1:57|0:2:0|董宪洲手把手教年幼的[董海川]习武，
0:2:9|0:2:14|如今，他的拳法已刚劲有力。此时，他在院内习武，
0:2:18|0:2:30|背上背着箭囊，手上拿着弓箭，阔步从屋内走出来，笑着走近习武的他。
0:2:56|0:3:5|在得到父亲董宪洲准许后，董应满脸笑意地拉着[董海川]朝林子走去，并成功射中一只野兔。
0:3:15|0:3:28|一位富家少爷骑着马来到林子，身后还跟着众多仆役，就在此时，下人看到了一位正在采蘑菇的姑娘。
0:3:30|0:3:37|看到妙龄少女后，这位富家少爷伙同自己的仆人悄悄靠近了那位姑娘，
0:4:0|0:4:8|姑娘使出全力，一巴掌结结实实打在了富家少爷的脸上。
0:4:22|0:4:31|挣扎过程中，姑娘的衣服被撕裂开来，紧接着，贴身的内衣暴露得一览无余。
0:4:31|0:4:39|[董海川]二人听到呼救的声音，赶忙朝声音的方向跑过去，
0:4:44|0:4:55|只见[董海川]拿着棍棒横扫一通，几名仆人纷纷倒地，富家少爷见状，松开姑娘，咬牙切齿地看着这个破坏好事的人。
0:5:0|0:5:15|富家少爷从[罗管家]手里接过剑，朝着正在打斗中的[董海川]走去，还没等走近，随行的人全部倒地不起，富家少爷拉[罗管家]顶包，但立马被[董海川]撂倒在地。
0:5:44|0:5:50|[胡公子]抡起剑，[董海川]反应过来，随即拿着棍棒一劈一捣将他捅了出去。
0:6:35|0:6:46|在姑娘的引领下，[董海川]和董应来到了密林深处的草屋，院内一名老者正扎着马步，练着太极拳，
0:6:47|0:6:53|[董海川]看着老者的一招一式，不禁着了迷。老者的动作行云流水，
0:6:53|0:7:4|形如捉兔之狐，神如捕鼠之猫，将其收到丹田后全身放松，慢慢松垮提膝，转头看向门口的孙女。
0:8:29|0:8:44|[罗管家]带着几名仆役寻找[董海川]的下落，外面轰隆隆下起了雨，此时[董海川]三人正带着猎杀到的野兔，准备将它卖给一家酒楼。好巧不巧的是，这一幕被路过的[罗管家]看到了。
0:8:44|0:8:50|他先是仔细辨认一番，确认是[董海川]后，赶忙跑到府上。
0:10:28|0:10:37|[罗管家]的一番话，暂时平复了[胡大人]的心情。平静生活中的[雪莲]为[董海川]绣了一张带花的手帕，
0:10:48|0:10:52|[雪莲]避开[董海川]炽热的眼神，扭捏地笑了。
0:11:25|0:11:35|师徒二人夜间这番简单的对话，不仅解决了师傅心存已久的心事，也拉近了[董海川]和[雪莲]之间的距离。
0:11:35|0:11:41|一天清晨，[董海川]牵着[雪莲]的手，来到深林间的一处瀑布旁。
0:11:41|0:11:48|两个人欣赏着瀑布的雄伟宏大，深情地看着彼此，渐渐依偎在了一起。
