0:1:29|0:1:38|[孙悟空]啃了口手上的脆桃，把桃子甩了出去，桃子高速旋转着击中李天王，
0:1:38|0:1:46|李天王被打得凌空翻了个跟头。与天同高的巨灵神轰然而起，
0:1:46|0:1:54|抡起神斧就朝[孙悟空]劈下去，他定睛一瞧，却不见[孙悟空]踪影。
0:1:54|0:2:1|他刚抬起头就被从天而降的[孙悟空]一脚踹倒，[孙悟空]在空中盘旋而上。
0:2:2|0:2:7|哪咤用红缨枪直指[孙悟空]，却只划过了金箍棒和他的战甲。
0:2:7|0:2:15|哪咤脚踏风火轮，手持红缨枪，与[孙悟空]在空中对打，池国天王挥指拨动琵琶，
0:2:15|0:2:20|[孙悟空]当即被音波击飞。广目天王放出缠在身上的青蛇，
0:2:20|0:2:31|巨蛇张开血盆大口，扑向[孙悟空]，反被一把扔下云关。二郎神见状，拉开弓箭，金箭射进云霄，瞬间爆炸，[孙悟空]却跃下云层，
0:2:31|0:2:43|变成一尾红鱼。二郎神立马竖指挥法，挥动双臂，摇身一变，变作一只白眉雄鹰，掠过几位天王，冲入云海，用两只鹰爪向红鱼抓去，
0:2:43|0:2:49|红鱼跳出云层，变成一只燕子，从鹰爪下惊险逃生。
0:2:50|0:3:0|托塔李天王一下令，千万支箭穿云而出，射向[孙悟空]，[孙悟空]的瞳孔剧烈收缩，化作一团火，炸翻了云端的天兵天将。
0:3:0|0:3:8|[孙悟空]一把拽过李天王的胡子，将他扔下凡间。
0:3:10|0:3:20|佛文封印[孙悟空]的手腕，他被如来一掌打下天庭。
0:3:33|0:3:40|母亲低头亲吻怀里的婴孩，父亲站起身，看着车队。
0:3:52|0:4:0|陡峭的盘山小路上是连绵不断的车队，婴孩所在的木推车碰到一颗石头，险些掉下山崖。
0:4:0|0:4:9|母亲抱紧了婴孩。一只山妖爬了下来，
0:4:13|0:4:15|山妖把人撞下了山崖，母亲抱着婴孩，和车夫从原路折返。
0:4:16|0:4:25|不料对面的山上又跳下来一只山妖，母亲惊呼着护住怀里的孩子，父亲被孩子的哭声勾走注意力。
0:4:25|0:4:33|山妖趁他不备，猛扑过来，父亲举剑迎上去，划破了山妖的胸口，却被接二连三冲下来的山妖扑倒。
0:4:34|0:4:41|母亲正要跑，面前却缓缓爬起一只山妖，她无助地瘫坐在地。
0:4:41|0:4:49|山妖从四面八方聚拢过来，怀里的孩子天真地看着她，手上还拿着[孙悟空]的布偶。母亲抬眼，
0:4:49|0:5:3|父亲已经死在山路上，她眉间一紧，突然抱着孩子跑到崖边纵身一跃，山妖们急忙伸手却抓了个空，母子俩坠入了白雾弥漫的崖底。
0:5:3|0:5:16|山谷里，草木葱郁，两座山间静静淌过一条河流。戴着斗笠，留着长长白须的[法明]在河边举起一捧水，他突然听到婴孩的哭声。
0:5:16|0:5:21|河面漂着破碎的木板。
0:5:23|0:5:29|[法明]赶忙走进河里，把木筐里的婴孩抱了起来。
0:5:31|0:5:44|婴孩的唾沫、鼻涕喷了[法明]一脸，[法明]把婴孩抱进怀中。
0:5:45|0:5:48|[法明]抱着孩子走上岸，
0:5:48|0:5:54|回头看了看河流源头的方向，又再次走进幽深秀丽的山谷中。镜头上移，
0:5:56|0:6:4|山谷的上方是明朗沉静的天空，空中浮现片名《西游记之大圣归来》。
0:6:4|0:6:14|[法明]来到一个山寨前，对门楼上的守卫举起婴孩询问，对方摆了摆手，他便背着婴孩，拄着拐杖，跋山涉水。
0:6:14|0:6:17|雷雨夜，[法明]带着婴孩躲进山洞里，
0:6:19|0:6:25|他在山洞里点起篝火，用手指蘸着身边铁锅里的水喂给婴孩。暴风雪到来，
0:6:25|0:6:32|[法明]背着婴孩，迎着肆虐的雪花，艰难地行走在雪山上，目光所及之处，
0:6:32|0:6:39|都是白茫茫的一片。无边的田野上淌过一条蜿蜒曲折的河流，
0:6:42|0:6:54|孩子欢快地迎着微风，张开双手。茂密的丛林里，孩子跟在[法明]身后蹒跚学步，一不小心跌进草丛，[法明]赶紧转身扶他，
0:6:54|0:6:59|孩子却自己爬了起来，继续一步一踉跄地走着。
0:6:59|0:7:10|几年后，白色幕布上正上演[孙悟空]对战四大天王的皮影戏。
0:7:32|0:7:39|[江流儿]从皮影艺人手中挣脱，赶紧溜走。
0:7:39|0:7:54|傍晚的长安城，灯火渐明，桃花怒放枝头，[江流儿]画着悟空的脸谱在屋檐上乱窜，他踩落的石头砸中大叔，大叔的牙套飞了出去，掉进汤里。
0:7:57|0:8:6|[江流儿]耍着棍法，指向地上的一只小黄狗，他拿着棍子乱跑，却一头撞上[法明]。
0:8:12|0:8:17|[江流儿]举起手中的钵，路人配合地扔进一个铜板。
0:8:51|0:8:58|[法明]一身破衣烂衫，布鞋还破了一个洞。
0:9:42|0:9:46|雷雨突然而至，城里下起鼓点似的大雨。
0:9:46|0:9:52|[法明]拄着拐杖，缓步走下石桥，[江流儿]仰头望天，雨水顺着他的脸
0:9:52|0:9:58|滑进脖颈。雨后的树叶泛着光泽，水滴拍打着叶片又速速落下，
0:9:58|0:10:8|虫子振翅鸣叫，叶子压弯树枝扎进平静的河面，一只巨爪踩碎了此刻的平静。
0:10:12|0:10:19|一阵箭雨从天而降，全扎在不远处的山坡上，为首的女山妖发号施令。
0:10:22|0:10:28|她身边的山妖们瞬间奔腾而出，把她撞的左歪右倒。山妖攻上城墙，
0:10:28|0:10:34|扑倒后面的弓箭手，另一个弓箭手被山妖一掌拍飞，撞破一户人家的屋顶。
0:10:34|0:10:43|屋中的父母抱紧了孩子，山妖随后就闯了进来。
0:10:56|0:11:1|一只[山妖]从屋顶上跑来，左手抱着一个小女孩。
0:11:2|0:11:8|他突然被一个花盆砸中，还没反应过来，又挨了一盆仙人掌。
0:11:8|0:11:14|[山妖]看到楼上的江流儿，正要扑上去，却被一扇门拍懵了。
0:11:17|0:11:24|[法明]被江流儿的水桶砸中倒地，[山妖]扔出的小女孩正巧砸在他身上。
0:11:34|0:11:42|一大群[山妖]跟在他们身后，[山妖]跳下屋顶，爬到一只石狮子身上，江流儿几人却不见了踪影，
0:11:42|0:11:48|狮子踩着的石球却变成了一个发抖的光头。[山妖]四处观察着，
0:11:48|0:11:55|发现另外一只石狮子脚下有三个球，见江流儿暴露，[法明]推倒了身上的石狮子。
0:12:3|0:12:12|江流儿抱着小女孩逃窜，前路却爬来几只[山妖]，他急忙拐进一条窄道里，头顶跳下来一只[山妖]，却摔下竹篓。
0:12:12|0:12:28|江流儿在腾空的竹排上跑着，躲过扑来的[山妖]，却从高处的竹篓上跳了下来，他掉在了竹篓下方的瓦房上，从屋顶上滑下来，在屋檐边止住了脚，脚下便是深不见底的山谷。
0:12:28|0:12:39|女[山妖]滑下来，一把举起江流儿和小女孩，不料身后的几只[山妖]都没刹住，把她撞下屋檐。突然，山谷里飞出一个树桶，
0:12:39|0:12:54|[江流儿]抱着小女孩，踩着树桶在谷底荒凉的村落里滑行着，山妖也从山坡上滚落下来，拽着房屋中间的晾衣绳一路滑行，被一条鲜艳的床单盖住全身，又撞进一户人家。
0:12:54|0:13:7|树枝划破山妖身上的床单，他像是穿了一套比基尼，山妖滚落在地，撞飞了几只竹篓，其中一个套在[江流儿]的头上，山妖趁机抢走小女孩却甩飞了她。
0:13:7|0:13:13|[江流儿]踩着树桶滑向空中，用竹篓兜住小女孩，又跌入更深的谷底。
0:13:13|0:13:24|树桶在阴暗的谷底继续滑行着，山妖们仍紧追不舍。[江流儿]踩着树桶在山崖边紧急拐弯，一只山妖却措手不及地飞出山崖，在
0:13:24|0:13:32|高耸的石柱上四处弹跳着，意外撞飞了[江流儿]和紧随其后的女山妖，他们都跌进了深渊。
0:13:33|0:13:41|山妖递出竹篓，里面却是一个蜂窝。
0:13:43|0:13:52|女山妖用蜂窝怒砸手下，他俩顿时被马蜂包围，两妖仓皇而逃。一只亮着
0:13:52|0:14:0|盈盈微光的萤火虫飞出来，照亮了树根下方的巨石，巨石上是一张侧躺的石像脸。
0:14:0|0:14:9|萤火虫扑愣着翅膀飞出山谷，朝远处形如五指的群山飞去，[法明]在白雾里四处张望着。
0:14:14|0:14:18|山谷清幽，草木茂盛。
0:14:18|0:14:24|一只蝴蝶振翅飞离树叶。形如松鼠，长着白须的土地公公从土里钻出来，
0:14:24|0:14:35|他仰头看向石壁，五六只土地公公跟在[江流儿]身后向上攀爬。[江流儿]吃力地背着小女孩爬上山坡，土地公公见他上来，
0:14:35|0:14:40|便向前跳去。[江流儿]抬头，面前是一棵巨大的桃树，
0:14:40|0:14:51|树上结满了仙桃。正看着，[江流儿]发现地上有个桃子，便捡起来放进背篓里，地上都是桃子，[江流儿]捡也捡不过来。
0:14:51|0:14:59|几只土地公公抬着桃子送到他面前，身后的土地公公抬了三个桃子没站稳，憨憨地摔倒在地。
0:14:59|0:15:12|身旁的土地公公把桃子扔向他的背篓却扔偏了，桃子滚进一处水洼里，水洼竟是山妖的脚印，[江流儿]吓得扔掉怀里的桃子，连滚带
0:15:12|0:15:17|爬地躲在树根下。不远处的树冠抖动起来，
0:15:20|0:15:27|一只山妖从树里飞出来，[江流儿]赶忙爬上桃树，桃子纷纷砸下来，堵住山妖的双眼。
