0:3:28|0:3:37|[沉香]来到案前登记姓名，主太监站在她身后弹了弹她的耳朵，
0:3:39|0:3:48|[沉香]颤颤巍巍地转过身子，抬头看着。[沉香]不敢直视他的眼睛，低下头。
0:3:59|0:4:9|[沉香]的话音刚落，宫门被慢慢打开，入选的小宫女们站在门口好奇的向里张望。
0:4:34|0:4:46|走在主太监的带领下，[沉香]跟着队伍一路向皇宫深处走去，队伍走上台阶时，[沉香]摸耳朵大叫。
0:4:47|0:4:55|[沉香]追着稳落的珠子越跑越远，
0:4:57|0:5:10|[沉香]将珠子捡起抬头一看，眼前是一座荒凉的宫殿，她全然不知自己身处何地，仍由好奇心驱使着自己迈进院子。
0:5:10|0:5:23|宫殿破旧不堪，院子里面杂草丛生，[沉香]蹑手蹑脚地往里走去，四周突然阴风阵阵，[沉香]越走越觉得不对劲，便放慢脚步停了下来。
0:5:23|0:5:32|她扭头往门外跑去，身后却突然传来奇怪的声音，[沉香]转身一看，视线对上了门缝里的一只眼睛。
0:5:32|0:5:49|这时主太监寻了过来，一记耳光落在[沉香]脸上，耳坠被打飞出去。
0:5:53|0:5:59|门外突然闯进来一群太监，嘴里喊着十三爷。
0:5:59|0:6:5|主太监将[沉香]扛在肩上，并往外走，[沉香]忍不住回头望去。
0:6:6|0:6:13|紧闭的店门被打开，一个衣着华贵的少年走了出来，此人便是十三阿哥[胤祥]。
0:6:13|0:6:28|殿内飞出来一大群乌鸦，太监们被吓得乱作一团，[胤祥]立在门口，冷漠的眼神中藏着淡淡的忧伤，一个老太监冲上前去扑向[胤祥]，却被[胤祥]一把推开。
0:6:28|0:6:40|身后的一大帮太监一拥而上，[胤祥]嘶吼着奋力反抗，却被他们死死按在地上，手和脚都被束缚着，动弹不得。
0:6:40|0:6:51|而他们身后的店内竟然挂着一个巨大的黄金笼子，[沉香]瞪大了双眼，看着眼前发生的一切若有所思。
0:6:54|0:6:58|冰冷的笼子散发着光芒，慢慢化作一个公子，随之片名出现。
0:6:58|0:7:1|下面为您讲述电影正片。
0:7:13|0:7:27|姑姑训完话，抬头环视一周便慢慢转身离开，小宫女们站成两排，个个低着头不敢看她。姑姑走后，大家都长舒一口气笑闹起来。
0:7:27|0:7:36|年长一些的宫女横行霸道，冲进小宫女们的寝室。
0:7:36|0:7:45|[沉香]站在床边拿出一袋点心，引起了老宫女们的注意，她们上前将[沉香]围起来，[沉香]却还在傻笑。
0:7:59|0:8:6|撕扯中点心掉在了地上，[沉香]红着眼睛却被老宫女甩了一耳光。
0:8:10|0:8:16|[沉香]吓得缩成一团，四周传来诡异的笑声。
0:8:24|0:8:37|窗外站着一个长发女鬼，宫女们吓得大叫，一时之间屋子里只剩下了[沉香]一人，她只好蜷缩在角落里。
