0:3:2|0:3:9|于是，他拿起垂在耳边的对讲机迅速作出指示。五辆车兵分三路，寻找骊靬古城。
0:3:9|0:3:18|很快，四辆车迎着噬人的风雪继续向前开去，而[霍安]和[卢魁斯]则选择徒步翻山前行，
0:3:18|0:3:29|互相搀扶着翻过一座又一座山头之后，一片断壁残垣竟映入眼帘。大雪积压之下，
0:3:29|0:3:37|只能看出此地似乎是一处村庄的遗址，原本规划有序的房屋，如今只剩下房梁立于原地。
0:3:37|0:3:47|二人见此立刻相视一笑，并继续向前探索，很快就发现不远处，多个属于罗马式风格的拱柱。
0:3:47|0:3:52|看上去，[霍安]的军事手册是真的，[骊靬古城]并不是传说。
0:3:52|0:3:59|因此，他们加快脚步，迅速越过近乎入云的拱门，在一处阶梯前停下脚步。
0:3:59|0:4:7|[霍安]俯身挥开厚重的积雪后，雕刻于青铜之上的[骊靬]二字立刻显现出来。
0:4:8|0:4:18|[卢魁斯]欣喜地大呼，接着双手用力的挥开积雪，终于，青铜碑文在此刻全部显露而出。
0:4:19|0:4:24|即便历经风霜，也能看出当年气派又尊贵的模样。
0:4:27|0:4:34|此时，[克里斯提]卸下随身携带的电脑，吩咐[凯瑞娜]拿出扫描仪，插入雪地中，利用卫星技术复原骊靬古城当年的盛况。
0:5:21|0:5:30|正当二人都为之惊叹之时，突然，正前方高耸入云的柱身顶部竟复原出一尊微微石像。
0:5:32|0:5:41|定睛一看，此像头戴焦刚头盔，肩扛一副铁叶甲片，让拢一领金边飘零，前后两面护心悬甲。
0:5:41|0:5:45|一座石器的猛禽之翼与其背部相连。
0:5:46|0:5:56|凛冬之下，附在石像上的皑皑白雪，在阴冷的太阳宫中散发出阵阵光芒，恍惚之间竟能听到虎啸声。
0:5:59|0:6:5|稳坐于古城正中央，又俯视众生，想必这身盔甲一定属于战神[霍安]。
0:6:5|0:6:11|于是[克里斯提]和[凯瑞娜]赶忙利用卫星，着重对它进行扫描。
0:6:11|0:6:18|至此，通过这一身盔甲，我们今天要讲述的电影《天降雄狮》就正式开始了。
0:6:20|0:6:29|时光回到公元前48年，大汉丝路的边境，三十六外族为了生存，不得不互相残杀，以求活命。
0:6:31|0:6:40|作为西域都护府的大都督，[霍安]将维护西域和平为己任，因此听闻边关正在闹事，他便率领部下匆匆赶往。
0:6:42|0:6:59|头发扎于脑后，胡子编成小辫，身披都护府外袍的他，刚摸上一个山头，就看到正下方的山谷中，一黑一白两队人马蓄势待发。于是，他急忙示意身边的手下。
0:7:6|0:7:14|另一部下司马听闻，拿出厚重的文簿，边观察山谷中双方的服饰与兵器，边对照簿中的图案。
0:7:48|0:7:53|话音刚落，白戎一个部下手持长柄狼牙棒率马袭来。
0:7:54|0:8:6|还未近身，铁邪单于身边的[红日]就立刻放出雄雕，待其一口啄下战马的眼珠之后，他便驾马近身，一掌将对方拍翻在地。
0:8:6|0:8:13|眼见亢奋的[红日]已经翻身下马，[霍安]急忙率领众部下，从山顶处直冲而下。
0:8:14|0:8:22|骄阳的沙漠中，[红日]迅速绕至对方身后，多次将其举过头顶之后，径直用力将他拍入沙地。
0:8:31|0:8:42|哪料对方张口就骂娘，[冷月]瞬间被点燃怒火，脚点马步即刻冲出，右手一抖猛地甩开长鞭猛劈对方的后背。
0:8:45|0:8:50|眼看[冷月]自上而下直摆一腿，用斜钩重创白戎部下的下巴。
0:8:50|0:8:56|[霍安]急忙在左臂套上小盾，来到白戎部下的身边，成功挡下[冷月]的致命一击之后，
0:9:6|0:9:12|另一边亮明自己西域都护府大都的身份。看到他极富诚意地弯腰又鞠躬，白戎酋长示意众部下冷静。
0:9:45|0:9:47|[霍安]听完，看了身边的白戎人一眼。
0:9:47|0:9:55|先用小盾挡开石块，又拽住袭来的长鞭。
0:10:10|0:10:20|灵巧地躲开数次攻击之后，[霍安]找准时机拽住长鞭，一狠心踩住[冷月]袭来的脚面，直接将其禁锢在面前。
0:10:20|0:10:28|此时，[冷月]猛地向前发力，[霍安]倒地时双手竟直杵对方的胸部上，直接将她横亘在自己的上方。
0:10:30|0:10:38|被扇了耳光的[霍安]解释说。
0:10:46|0:10:55|说罢，[霍安]笑着将悬于身后的长剑随意扔去。发掘男人竟小看自己，[冷月]挥起双刀起身而上，
0:10:55|0:11:22|一转身竟直直刺中[霍安]胸口的护甲，接着，她乘胜追击，十指星动甩着弯刀悬向[霍安]的脖颈，遭其后仰伏低之后，[冷月]踏步上前，一步立于[霍安]双脚之间，脚腕使力，悬着身子轮番向前砍去，刀尖堪堪从他头顶掠过，哪料[霍安]径直逃开。
