0:2:29|0:2:34|[李行]说完盯着她弩了弩嘴，女孩被这一举动逗笑了。
0:2:34|0:2:43|眼里多出了几分温柔，男孩见状也开始吃饭，可因注意力都在女孩身上，碰掉了饭盒盖。
0:2:43|0:2:46|多年过去，长大后的[何俏俏]正在做着瓷器。
0:2:54|0:3:2|她拿起桌上的瓷器走向[李行]，[李行]捧起碗亲手喂汤。
0:3:7|0:3:13|[李行]大口喝着汤，[何俏俏]却发现了什么？她掏出创口贴，撕开包装，
0:3:13|0:3:20|贴好创口贴后，[何俏俏]对这伤口亲了一下。
0:3:33|0:3:36|[何俏俏]突然向[李行]吻去。
0:3:36|0:3:42|伴随着朋友们的起哄声，两人吻在一起，[何俏俏]害羞地捂住了脸。
0:3:42|0:3:50|转眼到了毕业季，[何俏俏]与[李行]激动地将学士帽抛向空中。画面来到5年前，一家餐厅内。
0:4:59|0:5:10|手一摁完，[李行]盯着对方一脸的不可置信。老板接过合约看向两人，[何俏俏]拎包欲走，扭头看向[李行]。
0:5:10|0:5:16|接着食指缓缓靠近对方，将[李行]嘴角上扬，摆出微笑的表情。
0:5:18|0:5:26|她表情复杂，盯着[李行]的双眼看了许久，[何俏俏]转身离去，留下[李行]，坐在原地。
0:5:26|0:5:34|画面一转，[何俏俏]缓缓走向街边的一家婚纱店，那是她分手时向[李行]提及过的品牌-兰玉。
0:5:34|0:5:46|她望向橱窗里的婚纱，随即拿起相机，隔着玻璃拍了张照片，相片缓缓滑出，她低头看了许久，场景渐渐隐去。
0:5:47|0:5:55|随着音乐响起，分手合约4个字缓缓出现在屏幕上，几年后的一天。
0:5:55|0:6:4|[何俏俏]打开柜子，拿出里面的瓶瓶罐罐，接着她扭开瓶盖，将药瓶用手合围在一起，对着马桶蹲下。
0:6:5|0:6:14|一粒粒药丸被[何俏俏]扔在马桶中，她长舒一口气，颇有仪式感地合上马桶盖，按下冲水按钮。
0:6:14|0:6:23|随着水的流走，她忍不住笑出了声，接着拿起洗手台上的手机打起电话。
0:6:28|0:6:33|[何俏俏]揭开汤碗，细细品尝，[毛毛]期待地看向她。
0:6:43|0:6:48|[毛毛]在一旁大笑，[何俏俏]也冲[毛毛]假笑了两声，随即走开了。
0:6:51|0:6:57|时隔多年，[李行]亦成为高级餐厅的主厨，服务员把一盘菜品端到[李行]面前。
0:6:58|0:7:1|[李行]对菜品进行最后的修饰。
0:7:1|0:7:9|另一边，[何俏俏]和[毛毛]来到了另一个餐厅，[何俏俏]上下打量着意大利面。
0:7:13|0:7:20|[何俏俏]手指沿着装满食物的餐盘旋转。
0:7:31|0:7:34|[毛毛]尴尬地应和着。
0:7:34|0:7:37|另一边，[李行]在厨房里熟练的切着鱼。
0:7:37|0:7:44|他边浇边示范，此时的[何俏俏]夹起了生鱼片。
0:7:44|0:7:52|[何俏俏]把生鱼片放入口中，随着咀嚼，细细品尝着。
0:8:0|0:8:5|厨房里，[李行]在一旁观察厨师切鱼，他随手拿起切好的鱼。
0:9:1|0:9:7|[何俏俏]跑去看手机消息，她放下手机拿起药，[毛毛]看到连忙赶来。
0:11:1|0:11:10|[何俏俏]白了[毛毛]一眼吃起面来。
0:11:10|0:11:19|手机震动响起，[李行]发来短信，内容为：方便时回电话。[何俏俏]看到后骄傲地向[毛毛]展示着短信的内容。
0:11:53|0:12:2|她撕开包装，小心翼翼地贴在[毛毛]伤口上，[何俏俏]回到卧室里，满脸笑容地拨通了电话。
0:12:2|0:12:9|另一边，[李行]裹着浴巾擦着头发从浴室走出来，是[何俏俏]打来的电话。
0:12:9|0:12:16|[李行]连忙拿起手机，接起电话。
0:12:19|0:12:27|[李行]犹豫了一下。
0:13:33|0:13:42|懊恼着刚才自己的反应，接着她来到客厅，她取下烧制好的盘子，用报纸小心地包装起来。
0:13:43|0:13:45|伴随着飞机降落，[何俏俏]来到了北京。
0:13:47|0:13:51|城市里车来人往，她拎着行李箱来到了一家高档餐厅门口。
0:13:51|0:14:1|奔跑的她，在门口突然停下，整理了一下有些炸起来的头发，叹了口气，拉着行李箱走进了餐厅。
0:14:1|0:14:6|餐厅门口伫立着清新设计后的门牌，上面写着蕊居艺术计划。
0:14:8|0:14:12|进了餐厅，[何俏俏]选了一个靠窗的位置坐下。
0:14:12|0:14:21|服务员拿着餐单随即赶来。
0:14:36|0:14:42|服务员被她的眼神折服，鞠了个躬，转身离开。
0:14:58|0:15:12|他将出菜单贴在柜子上，餐厅里：[何俏俏]看着盖好的汤碗，她叹了口气，带着微笑揭开碗盖，接着闭眼低头闻去。
0:15:12|0:15:19|这时换好西装的[李行]走了出来，[何俏俏]仍旧沉浸在汤的香气里，没有发现[李行]。
0:15:19|0:15:28|[李行]走向[何俏俏]，拉开椅子坐在了她的对面，[何俏俏]注视着多年未见的前男友，两人相视一笑。
0:15:28|0:15:38|随即[何俏俏]笑容有些凝固。[李行]看在眼里，他用眼神示意[何俏俏]喝汤，[何俏俏]拿起勺子品尝起来。
0:16:30|0:16:37|[李行]绅士地拉出椅子，[周蕊]向他致谢，[何俏俏]也尴尬地坐下。
0:17:1|0:17:6|[李行]说完亲向[周蕊]，[何俏俏]脸色有些难看，[周蕊]关心道：
0:17:27|0:17:37|[何俏俏]喝了一口汤，紧接着皱起眉头。她仔细品尝后思考了一下，看向[李行]。
0:17:47|0:17:53|她迎着[李行]的目光继续说道。
0:18:43|0:18:51|[周蕊]碰掉了[何俏俏]的礼物，婚纱店前，[李行]帮未婚妻打开车门，二人携手向前。
0:18:51|0:18:59|[何俏俏]关上车门紧随其后，到了店门口，她有些吃惊，[何俏俏]跟着二人进了婚纱店。
0:19:37|0:19:45|[何俏俏]与[李行]赌气地盯着对方，[周蕊]见状赶忙圆场[李行]。
0:20:12|0:20:18|[李行]亲手挑选婚纱，[何俏俏]看到这一幕，眉头都竖了起来。
0:20:25|0:20:34|[周蕊]跟随店员走向试衣间，[李行]似笑非笑地盯着[何俏俏]，[何俏俏]看到后眯起双眼，试衣间内：
0:21:35|0:21:41|[周蕊]说完擦着[何俏俏]肩膀走过，她端起水杯递给[何俏俏]。
0:23:14|0:23:24|[何俏俏]无奈地看着二人。画面转到豪华别墅区，这里湖水相伴景色优美，一辆挂着北京车牌的奥迪停在了别墅区门口。
0:23:25|0:23:32|[何俏俏]在后排看着二人亲吻告别，[周蕊]打开车门离开。
0:23:37|0:23:41|[何俏俏]松了口气，[李行]扭头看向她，启动了车子。
0:23:41|0:23:46|奥迪车行驶在公路上，[李行]专注地开着车，[何俏俏]听后假笑一声。
0:23:48|0:23:53|[李行]收起笑容，注视着前方道路。
0:24:3|0:24:9|[李行]欣慰地笑了一下，[何俏俏]追问道：
0:25:15|0:25:20|[何俏俏]斜眼看向[李行]没有回话，车辆飞驰转眼来到一处公寓内。
0:25:48|0:26:1|[何俏俏]听后转头就走，[李行]追上前将她搂进房间，房门打开。[李行]一把将[何俏俏]推了进去，[何俏俏]惊讶地拿帽子捂住脸观察着房间。
0:27:8|0:27:14|[何俏俏]面带笑容，想要走进浴室，[李行]忽然伸出胳膊拦住她。
0:27:35|0:27:41|[何俏俏]紧随其后，她扑到灶台前。
0:28:2|0:28:10|[何俏俏]伸手欲打，[李行]拦下后，发现她的伤口。
0:28:12|0:28:19|[何俏俏]白了[李行]一眼，[李行]伸出手盯着她一动不动，[何俏俏]从上衣口袋摸出创可贴丢到[李行]手上。
0:28:37|0:28:42|[何俏俏]再次被打痛，叫出了声，离去的[李行]突然转身。
0:28:45|0:28:53|[何俏俏]盖住桌上的礼盒，[李行]把房门钥匙扔给[何俏俏]，他转身离开。
0:28:55|0:29:9|[何俏俏]目送他离去，她嘟着嘴把钥匙扔在桌上，接着吹了吹受伤的手指，撕开创可贴包装时，突然想到什么愣住了，接着他打开精心准备的礼盒。
0:29:10|0:29:17|看这盒子内被摔碎的盘子，她非常难过，她拿起盘子碎片试图将二者合一。
0:29:17|0:29:26|可惜覆水难收，盘子无法复原，画面一转[何俏俏]换上了睡衣，在[李行]婚床上大肆跳动着。
0:29:26|0:29:33|随后她打开行李箱将衣服一股脑倒在床上，她拿起内衣挂在衣架上。
0:29:33|0:29:41|画面转到卫生间，她一边刷牙一边将护肤品放在柜子上，她将牙刷当作玩具，把水泼在镜子上。
0:29:41|0:29:44|屋内灯光全亮，[何俏俏]在沙发上扔着抱枕。
0:29:44|0:29:52|不一会儿又扔起抽纸，她又到厨房拿出零食，一边剥着小龙虾，一边打电话。
0:30:5|0:30:10|[毛毛]敷着面膜从沙发上坐起，[何俏俏]不停咀嚼食物。
0:30:27|0:30:32|[何俏俏]听完瞬间扔掉小龙虾，同时将送入嘴的食物吐出。
0:30:41|0:30:51|[何俏俏]在浴缸里享受了闭上了眼，[何俏俏]又来到客厅练瑜伽。
0:30:51|0:30:58|她左手前伸，右手提着右脚，没过多久就栽倒在沙发上呼呼大睡起来。
0:31:0|0:31:14|到了第二天[李行]在车前踱步，像是在等人，一辆出租车驶来，他伸手拦住，接着绕过车头，走到出租车旁，打开车门，[何俏俏]下车。
0:31:19|0:31:25|[周蕊]在路对面打招呼了，[何俏俏]尴尬地向她挥手。
0:33:34|0:33:42|[毛毛]挂断电话跑上前抢走男子手中的包，男客人随即夺回，[毛毛]撒娇道，继而拿回包包。
0:33:55|0:34:3|站在镜子前整理着衣服，她看着镜子中的自己，双手交叉放在胸前。
0:34:3|0:34:20|鼓励一般地点了下头，拿起手边的包包翻找着，她拿出准备好的洋酒，盯着它看了一会儿，接着小心翼翼的拧开瓶盖，洋酒打开后，她闭着眼闻去，接着被刺鼻的酒味劝退。
0:34:20|0:34:31|接着她把头仰起将瓶中酒大口喝了下去，客厅内饮酒后的[何俏俏]探出脑袋，[李行]背对着她坐在沙发上看杂志。
0:34:32|0:34:37|[何俏俏]缩回脑袋，接着将整个身体探出，右手倚着墙缓缓踱步。
0:34:40|0:34:46|[李行]离开沙发，偏向靠近的[何俏俏]，她突然脱下外套露出吊带裙，[李行]有些惊讶。
0:34:46|0:34:54|[何俏俏]素手微抬，将对方的手放到香肩上，喝了酒的她眼里含春紧盯着[李行]。
0:34:54|0:34:57|突然[李行]的手向下滑去。
0:34:59|0:35:3|[何俏俏]仍不放弃，抓住机会握着[李行]的脸想要强吻上去。
0:35:3|0:35:9|[李行]频频躲避，不断向后退去，二人在客厅里如同跳探戈一般，一个在进攻，
0:35:9|0:35:17|一个在躲避，他们互相转身，擦面而过的[何俏俏]仍不放弃，[李行]紧盯着她被不断扭动的[何俏俏]逼着倒。，
0:35:17|0:35:32|突然间一个闪身，[李行]下腰似的搂住了她，随着[李行]的脸缓缓贴近，[何俏俏]也慢慢闭上了双眼，即将吻上的时候，[何俏俏]突然睁眼张嘴，[李行]经闻到了对方嘴里的酒味，松开了手。
0:35:49|0:36:2|[何俏俏]从厨房拿出精心准备的礼物，整理着头发走到[李行]身边，随后一个冲刺，[李行]被礼物推倒在了沙发上，[何俏俏]也跟着坐下，[何俏俏]目光不变点了点头。
