0:3:58|0:4:3|神秘人物走出来，一把掀开身上的斗篷露出真面目，[龙师傅]大吃一惊。
0:4:3|0:4:9|豆大的汗水不断从[龙师傅]的脸上流下来，
0:4:21|0:4:31|[张阿姨]快速做出一道菜，味道让在场的人眼皮皱眉。
0:5:11|0:5:36|[张阿姨]舀起一勺汤放进嘴里，艰难咽下之后，她的瞳孔瞬间放大，汤的味道在口腔内扩散，经过她的喉管再进入胃里，疼痛难忍，倒地抽搐。
0:5:56|0:6:2|突然身后的一个声音吸引了他，转身后他看到一个人捧着自己的黑暗料理，用筷子将食物不断的送进嘴里。
0:6:37|0:6:48|厨神[卢小鱼]的出现让集团的人沸腾了，纷纷涌上去要签名。[卢小鱼]在众人的簇拥之下离去，小秘书凑近[蔡老板]的耳边对他说。
0:8:50|0:9:0|[卢小鱼]嘴上说着艰巨，手却拿起了旁边的卫生纸。一晚过后，[哮天]看到满是卫生纸的地面立马清醒过来。
0:9:43|0:9:54|[哮天]无意间推开了商场一道门，
0:9:54|0:10:5|门外是一个陡坡，两人一连踩空，从坡上滚下去，又撞开了另一道门。门外是另一番天地，最先映入眼帘的是一个吃面的小孩，
0:10:10|0:10:19|[卢小鱼]的目光从吃不到面条的小孩身上转向了[哮天]所指的名叫堕落街的街道，
0:10:31|0:10:47|街道鳞次栉比地被高楼包围着，低矮的建筑和高楼形成鲜明的对比。街道上人流不断，一家小饭馆门前，身姿妖娆的[梅姐]正唱着歌，将自己手上秘制的绝美龙虾放在客人的餐桌上。
0:10:47|0:10:57|烤肉健将[李建国]就拿着牛肉罐头练习举重，技术宅男[勇俊]吆喝着几个小孩在喧闹的街上给他们讲化学方程式。
0:10:57|0:11:2|[卢小鱼]的脸贴在[啸天]的胳膊上，仔细观察着街道上的人。
0:11:2|0:11:15|[啸天]转头垂眼看着他，他觉察到气氛不对劲，直起身朝街道里走去，来到一家号称堕落街唯一指定仅此一家正宗招牌小吃店的门前。
