0:1:49|0:1:54|[朱广生]看着手上的烤肉，说完他将手中的烤肉串放在碟边，
0:2:39|0:2:45|气馁的[朱广生]将紧握的拳头放在桌上，他立刻站起身。
0:2:52|0:3:1|桌上其余的二人将目送[朱广生]的眼神看向男人，刚出门的[朱广生]被叫住，
0:3:31|0:3:57|胖子甩开[朱广生]的手，[朱广生]便冲他们的背影喊道，无言以对的他看着怀中的小狗满眼心疼，而这个刚脱离魔爪的小狗睁着一双水汪汪的大眼睛，满脸无辜，接着他点点头，继续说道，随后他带着小狗走在回家的路上，可没走一会儿便将怀中的小狗放在路边，
0:3:57|0:4:1|他看着眼前活蹦乱跳的小狗心情也很是愉悦。
0:4:4|0:4:31|不知所以的小狗端坐在原地看他甩起围脖间的围巾，紧接着他面向小狗做出戏剧的动作，随后便迈着碎步向前移动，[朱广生]的身影渐行渐远，小狗便起身朝他的方向走去，画面逐渐变黑，片名血狼犬三个字从中间浮现出来，伴随的还有两只恶狼的悲怆叫声，
0:5:4|0:5:25|警惕性极高的雪狼回头望着周围的一切，漫天的白云在它眼里快速地流动着，突然，被大雪覆盖的地面里，一顶黑色的帽子下面缓缓睁开一双布满雪霜的眼睛，他紧紧盯着不远处的雪狼，最后树枝上的积雪向下坠落，平坦的地面也凹陷下去。
0:5:25|0:5:30|听见动静的雪狼发出低吼声，可暗处的猎枪早已瞄准，
0:5:31|0:5:37|蓄谋已久的枪声终于响起，而此刻的雪狼也倒在血泊中。另一边
0:5:37|0:5:44|闻声前往的护林员[朱广生]正快马加鞭的向深山里赶去，紧随其后的猎狗为他找明方向。
0:5:44|0:6:3|与此同时，藏在雪地里的一行人爬了出来，他们不顾及身上的积雪，眼神紧紧地盯着不远处倒地的雪狼，而拿有猎枪的[张彪]，胳膊上还带着护林员的标识，接着两人拿出随身携带的编织袋向雪狼走去，并将其装了进去。
0:6:3|0:6:13|随后[朱广生]先是来到萨尔达板大峡谷的林场派出所，骑坐在马上的他扯下围在嘴上的围脖，环顾四周，像是在寻找什么？
0:6:14|0:6:35|深山里扛着装有雪狼编织袋的狩猎者们走向林子，殊不知站在半山腰上的三只雪狼正恶狠狠地注视着他们，紧接着他们便走到雪狼的巢穴，在看到小狼崽后，为首的男人立刻将其捉了出来，被抓住的狼仔看着狩猎者不断发出凄婉哀怨的叫声，
0:6:39|0:6:49|抓伤狩猎者的狼崽被扔向树干摔落在地上，而他又一把拽出洞中另一只狼崽，这时猎枪对准他俩，拿有猎枪的[张彪]说道，
0:7:20|0:7:29|烦躁的[刘所长]听了[朱广生]的话瞬间变得谨慎起来，随后[刘所长]便召集警务人员迅速前往野狼沟，由于对地形格外熟悉，
0:7:35|0:7:53|逃跑的4人分别向不同方向奔去，赶来的警察下车举起枪械追向他们，随后下车的[朱广生]唤起爱犬也追了上去，地面上厚厚的积雪为警察的追击带来了阻碍，无所畏惧的警察顺着狩猎者踩出的脚印艰难前行。
0:7:55|0:8:5|就在这时，[朱广生]的爱犬猛子派上了用场，英勇威猛的它飞快扑向[张彪]，它一口咬住[张彪]的胳膊，任凭[张彪]如何甩动都无法挣脱它的嘴巴。
0:8:5|0:8:8|随后[刘所长]一把拽开[张彪]的面罩，
0:8:13|0:8:33|警察推了一把被铐上的[张彪]，忽然他抬眼看向站在一旁的[朱广生]，此时他的眼里充满怨恨，而朴实的[朱广生]紧皱眉头与他对视着，接着身后的[刘所长]推了推催促他赶紧走，可他走了没两步，又转过头用眼神警示[朱广生]，在这一刻，憨厚的[朱广生]才后知后觉地担忧起来。
0:8:33|0:8:45|昏暗的天空中大片雪花纷纷扬扬地飘落下来，好像是在将这一段杀戮藏于白雪之中，而躲过一劫的雪狼却默默地将这一切记在心里。
0:8:45|0:8:55|第二天阳光洒落，照耀大地。在萨尔达板大峡谷的护林站里，羊群成堆，站在还未消融的山腰上，咩咩地叫着
0:8:55|0:8:58|伴随的还有被关在狗场里的狗发出的狂吠。
0:8:58|0:9:4|随后[老周]挑着扁担向狗场走去，[猛子]则兴奋地撒腿跑在最前面，
0:9:6|0:9:15|耐心的[朱广生]一一打开牢笼为狼狗们添饭，被食物吸引的狼狗们立刻停止了吠叫。随后[朱广生]带着[猛子]来到训练场地，
0:9:18|0:9:23|[猛子]一跃而上，快速穿过障碍器材，行驶在盘山公路的车传出广播声。
0:9:35|0:9:57|[朱广生]边开车边听电话，努力看清前方道路的他坚定地回道，此时的盘山公路上仅有他一辆车，于是他迅速踩下刹车，将车掉头，迫切回家的他一路开着双闪，他驾驶车子飞速闪过漆黑一片的道路，不一会儿出现在狗舍里的他拿着手电筒走向最里面，
0:9:57|0:10:3|映入眼帘的是躺在狗窝里的母狗和几只小狗崽，
0:10:9|0:10:21|说完爱狗如命的他便将身上的外套脱下来盖在母狗身上，此刻刚刚生产完的母狗不停地舔着小狗为它做清洁。
