0:1:55|0:2:3|五岳之地，深山奇里，竹林繁茂生长，冬雪两无痕迹。
0:2:3|0:2:11|小楼内有丝竹管乐悠悠，十数伶人或站立或坐服余地皆身着白麻戏装。
0:2:11|0:2:20|附以面具遮掩真容，随歌月起舞，姿态若晶石初开顿而再进，举手投足间纠葛哀怨。
0:2:20|0:2:28|会逢吴越之苦寒，幽临之清冷，只觉此间人等心有私怀怀而不得，故此郁郁忧思。
0:2:30|0:2:39|与此同时有数架轻骑披风踏水奔驰于山野间，往竹楼处来。
0:3:21|0:3:35|小楼内[厉帝]与众陵人尚不知情，游字歌舞起落于竹榻之上，或挽袖于身前绰太可怜，或无怨与短见做愤恨之状，浑然不知栖身竹林将有人到访。
0:3:35|0:3:42|跋涉山林江河内侍宦官领侍卫，四人携皇后懿旨而来。
0:3:42|0:3:52|却见此伶人接以面具隐去真容，内侍不知[厉帝]于何处，遂岭一干人等推门而入，行至楼内中央开阔之地。
0:3:52|0:3:57|而后取意旨于身前展开，朗声宣读道
0:4:16|0:4:31|面具之后有君子消消素素，听流水潺潺，仰天而叹道先帝风俗，[厉帝]虽与其友爱，然而君臣上下一体，父子血脉相连，实难割舍。
0:4:31|0:4:40|故此文内侍所言，[厉帝]已是泪染长今，新驰于旧城，魂妄于故里，归乡之情溢于言表。
0:4:40|0:4:49|[厉帝]唤作[无鸾]，鸾者瑞鸟也，见泽天下安宁。所谓[无鸾]便是暗喻，此时战乱不止，争斗不休。
0:4:49|0:4:54|镜头一转有画卷，成于岸上，会[殷太常]出行之仪仗。
0:4:54|0:4:58|帝坐于华盖罗伞之下气宇轩昂。
0:4:58|0:5:7|同行之内侍宫娥无数生世无双，却见有毒蝎跃然纸上，停留于[殷太常]之所在，涉毒液而出，侵蚀画卷。
0:5:8|0:5:15|需于片刻之后，罗伞之下为留皇后一人，可见[殷太常]之轰另有隐情。
0:5:15|0:5:21|画面一转就建都城，皇宫之内烛光兮威，举目之处皆为暗沉。
0:5:22|0:5:39|大殿之中有一华服女子缓步而行，观其背影，只觉，云鬓峨，峨体讯飞拂方泽，若兰芝，玉树，形而飘忽若神，农先德中修短河渡，衣着如月夜飞雪，应得陇光离合。
0:5:39|0:6:4|女子行至大殿尽头，便见一对羽林，卫立身于此处，身着七凯赋以兽头假面，一手执原文火炬，以观唐氏，一手煮黑铁战矛，固守电门，肃杀之气贯穿宫廷凡见者皆心生敬畏，关起身后有青铜巨门一座，装潢华贵，兽首门环，以纯金打造，
0:6:4|0:6:13|镌刻草木，鱼虫嵌凿细致纹路，没有夹缝，仿佛若有光然不见其底，亦不知此处为何地。
0:6:13|0:6:20|女子立身于[婉后]灵位之前，安之若素，未见丝毫慌乱。
0:6:20|0:6:24|此番举止已然成名女子身份之尊崇。
0:6:24|0:6:35|待其站定之后，见一众羽林卫并无避让之势，既不恼怒亦不心急，只将仪态端庄，平视众人，而后便再无动作。
0:6:35|0:6:40|见女子止步于己方生前，不言不语不动如山。
0:6:40|0:6:48|众羽林卫一时无措与之僵持片刻之后，便听高兵甲咒铿锵，便一对为二分裂左右，
0:6:48|0:6:56|让出堪堪供一人而行之通道静观其变。但见那女子毫无惧色，迈步进羽林卫中，
0:6:56|0:7:9|拖曳成群，姿态依旧行，行道处虽狭窄，然女子行而款款，比邻刀兵火炬却视而不见，置身肃杀之中，宜容易不改分毫，缓步往电门处前行。
0:7:9|0:7:16|临近之时就见数名内侍宦官，躬身将同门拉开，于是见得其中景致。
0:7:16|0:7:20|店内凡目所能及之处皆为搞宿。
0:7:20|0:7:42|方知此乃先帝，就是另有主举无数置于平台之上，随唐风摇曳，又见一身着黄金甲胄者置身其中，近看女子走来，顺着黄金甲中那人的目光终是见得女子真容，所谓仿佛兮若青云之闭月，飘摇兮，若风流之回雪。
0:7:42|0:7:48|当是如此，女子行至那人面前注视良久，方才有些敌意地说道，
0:8:6|0:8:11|闻女子所言，新帝卸下头盔，面具置身面前细查，又俯身以鼻嗅之，此乃先帝之物。
0:8:12|0:8:20|女子见她举止轻浮，于是面露不快，却见新帝缓缓直起身子低声说道
0:8:22|0:8:56|真要大富地说吧他将头盔放回木架上安置好，转身往店外行去，走到女子身旁，新帝在其病边轻声说道，而后继续朝殿外走去，那女子终是有些慌了神，耳上所垂的坠子也随其微微颤动的躯体轻轻摇晃着，新帝迈步朝前行至殿外见身后之人始终没有传来动静，方才对周深内侍说道
0:8:56|0:9:5|言出法随，便见，青铜大门渐次闭合，宫殿清，冷门轴击破，转动之声盘旋于空，经久不绝。
0:9:5|0:9:33|唐风适时而来，浮动主举火把之光，阴阳离合，恰如殿中女子之心绪一般纠葛难安，但见同门尚存侠客之时，新帝转身抬手幻停了，众人击破转动之声戛然而止，先帝伸手往电门之内轻声换道，便见有玉首纤纤缓缓置于星地掌上店内，女子终是开口
0:9:35|0:9:39|二人掌心相合，又听女子方才所言，便知此间一二室。
0:9:39|0:9:45|先帝风俗，齐帝继位，预测封长兄之妻为皇后。
0:9:45|0:9:49|如若不然，先皇后便需追随，先帝而逝。
0:9:49|0:9:54|女子思量再三为求，自保终是尾声与小叔。
0:9:54|0:10:18|与此同时，清帝派遣羽林卫一中的正暗中某一月竹楼赶去，只见众人七甲劈身，兽头眼雁侧满临边，踏破西流东草，不止不休，寻[婉后]所遣，传旨宦官之踪迹，一路逼向太子所在，置于星夜，[婉后]独坐于寝宫之中，将诉眷捧于眼前，悼念先帝，
0:10:18|0:10:25|却被悄然而来的新帝将素绢从手中抽走，肆意扔到了一旁，燃着的烛炬上。
0:10:25|0:10:33|焦味和火光引来一众内侍宫娥，急忙上前将明火扑灭，新帝不以为然，立身于[婉后]之背。
0:10:33|0:10:41|炙手与其乡间上青陇蔓延，感受其芳泽之华逆，却听[婉后]说道
0:10:42|0:10:51|听[婉后]如此说道，新帝抬起他的下巴冷冷开口
0:10:56|0:11:6|新帝从琳琅红粉坠式中取出一小瓶递给[婉后]，而后说道，
0:11:14|0:11:26|新帝不答，只是副手与[婉后]相间上拨开轻杀，抚宁止而下，往纤弱娇躯丰润处挤去，又在其耳边撕咬道，只是写着
0:11:33|0:11:56|[婉后]护住胸口，止住新帝动作，郑重问道，新帝不答，思量片刻之后，将唇齿贴近[婉后]芸病发丝，继而轻声问道[婉后]闻言便知其意，遂任由新帝之手驰骋于粉逆之中，只是某种水雾，不知何时泛起，徜徉牵华之上。
0:11:57|0:12:9|另一边吴越竹林当中，[婉后]左倾侍卫不稳，远处有竹叶凌落之声响，抬眼眺望却无所察觉，便继续守卫太子所在小楼。
0:12:9|0:12:14|殊不知此异动在见识呼啸于竹林当中所致。
0:12:14|0:12:46|新帝所潜雨林近卫于百米之外拉弓引箭，霎时就将楼外值守之人击杀，众人步伐一致，冲身向前往竹楼中去，却见河水中忽然飞出两道身影，待其水花如龙，声势之浩，大一时间令[羽灵卫]等不敢寸劲，再看那两人以少敌多而丝毫不惧，二人挥舞手中长剑，以攻代守，执朝[羽林未杀]，去剑乃短兵之祖，近战之王。
0:12:46|0:13:14|电光火石之间就有数名[羽林卫]被击伤后撤，短兵相接之际，二人虽力敌[羽林卫]，却也深受重创，血流如注，渗透脚下，竹桥染河水为赤线涓涓流淌，然纵使二人苟延残喘，却仍仗剑于桥上阻拦，一切胆敢劲犯之敌忠勇事业交手之初，[羽林卫]虽吃下暗亏，
0:13:14|0:13:43|然身为皇帝禁军皆是身经百战之骁，[龙带]其回过神来，已然想好应对之策，便见[羽林卫]中掌持长刀者向后撤去，擅用[毛寿]者带而攻之，仅是一个照面，那两名侍卫就觉压力倍增，难以抵御正所谓一寸长一寸强[羽林卫]以此番战法克敌，便知其深谙兵道变换，果不其然片刻之后，竖柄战毛穿山而过，
0:13:43|0:14:7|两名侍卫皆无抵抗之力，战毙于桥上，如此一来[皇后所请]，市委以除其三为胜一人，正当此时就见竹叶繁茂中，一道人影手持关刀从天而降，力劈在[羽林卫]后脊上，此出其不意之举，又是令[羽林卫]阵型大乱，在其挥侃之下人仰马翻，血溅竹桥。
0:14:7|0:14:26|重整阵型之后双方继续缠斗，与此同时方才争斗中撤下善始，长刀者已然潜入竹楼之内，其内之蒙面伶人手无寸铁，却仍游字歌舞，好似无惧生死，又宛如对周遭一切视若无睹，任由[羽林卫]斩杀。
0:14:26|0:14:45|楼外关刀侍卫难敌众人败下阵来[羽林卫]冰河一处往竹楼之中大开杀戒，不时此处以血溅三尺，在无从前丝竹悦耳，歌舞清幽，蒙面伶人起舞于楼层之间，引得[羽林卫]奔驰于楼内各处绞杀。
0:14:45|0:15:9|竹楼中央之地悬挂有白袍一匹，上书越国文字若干，乃是太子[无鸾]亲手所传阅人歌是也，如今血溅于其上，宛如冬梅有穴，触目惊心，然杀戮依旧不止，凌人死伤无数，沉身于竹楼各处，所受刀伤或劈砍或刺穿皆一击致命，血肉模糊，惨不忍睹。
0:15:10|0:15:38|正代此时却见有一蒙面伶人溢于其他，摆脱周身[羽林卫]，飞身蒙小卢之巅俯瞰众人朗声开孔道此话以丹田之际，陈声传音至方圆天地所在，声声入耳，可见此人功力之深后，楼内[仲雨玲]为闻声举头而望便见，那伶人身长八尺炎炎若孤松之独立，
0:15:38|0:15:58|虽以面具遮掩真容，却仍有封神俊秀姿容盖世之错觉，如此之无双气度，在场[羽林卫]当下便觉此人乃当朝太子[无鸾]也，于是快速料听急于凌人，飞身往小楼之巅，只见那八尺凌人虽手无寸铁，竟丝毫不落下风。
0:16:1|0:16:7|数人掌持刀兵尚不能近其身，[羽林卫]由此确认此乃太子无疑。
0:16:9|0:16:13|于是场内近卫接网伶人所在欲将其斩杀。
0:16:13|0:16:36|哪知太子非但武艺高深，其身法意识无双，扭转于楼层之间，不配兵刃，将零落之羽林卫个个击破，羽林卫不敢拖大，借以己方人数众多之优势，将太子逼行至竹楼中央平台之上群起攻之，太子依然无惧夺长刀一柄，与众人纠缠见招拆招，
0:16:37|0:16:50|寻得机会挥舞刀兵，将周深敬畏逼退而后腾空跃起，以全身气力挎刀为剑，突刺而出，竟直接破开羽林卫身上铠甲的，深入其里穿山而过。
0:16:50|0:16:57|受此一击者当时与命，围而观者无不胆战心惊，然帝命难为。
0:16:57|0:17:0|众羽林卫只得与太子以命相搏。
0:17:0|0:17:13|正当众人僵持之际，便见一道人影藏于太子目不能及之死角，背身而下，刀劈在其后脊背上，当时便见血染白衣，伤口至深可见骨肉。
0:17:13|0:17:22|太子吃痛却也不敢大意，举刀转身刀劈而下，将那羽林卫击杀，趁周遭近卫愣神之际，飞身往竹楼高处避战。
0:17:22|0:17:41|众羽林卫一路逼近，随太子奔至竹楼之巅，太子正欲借此处之弟弟将敌人一网打尽，却见左右竹林高耸无风而动，便觉隐逸，果不其然，蓄鱼之客便见敬畏三人，从繁茂竹林中冲身而出，直朝竹楼逼来。
0:17:41|0:18:3|太子见状立刻横刀防御，却牵动背脊伤口行动一致，正是这分毫的尸神，两名羽林卫立刀劈在太子兵刃之上，怪力之大令太子难以动弹，又闻羽林卫一人于背后横刀劈来，呼声烈烈然太子已是无力阻拦，只得缓缓合眼，静待刀锋。
0:18:3|0:18:7|长刀掠过只是一瞬之间，[厉帝]已然身首异处。
0:18:7|0:18:26|那羽林卫刀法之霸道，令太子头颅飞入空中，周转无数，最终落入楼外河水之中，渗出鲜血阵阵，河水清澈有意，[殷太常]藏身其中，敬而观之竟是当朝太子方才之伶人，不过是为太子遁逃拖延时间罢了。
0:18:26|0:18:36|与此同时，皇城甬道中有女子行色匆匆做奔逃之状，行道织染居中，贵服余地，开口道，
0:18:43|0:18:58|闻皇后所言，织女立身于其侧，将其所选布匹悬挂至木架之上，皇后仰而望之，又将布匹扎落手中开口对[青女]说道
0:20:4|0:20:31|与[无鸾]青梅竹马，按续终生，只因先帝纳其为妃，封其为后，自此情人相隔不得正果，而[青女]对太子一时痴情。此二女如今相见，颇具敌意，[青女]献太子与[婉后]之真情，[婉后]则慕[青女]，可与太子婚嫁相见，梦中归于寝宫，皇后与新帝行闯子之事玲珑玉体横沉于榻上，
0:20:31|0:20:50|坚若消成妖如约束，严谨绣像好制成，露柔情绰态，昧于言语新帝见家人如斯，玩味兴起，取玉龙一枚置于舱内浸泡，待到美育温润，又搁置于家人相继之上，轻推慢抹强弱有度，
0:20:50|0:20:56|便听皇后极尽慵懒之意，缓而开口。轻纱曼帐内，
0:20:58|0:21:6|新帝府宁止如雪，开口道
0:21:50|0:22:8|顿了顿，新帝思摩于皇后耳畔说道清浊美人玉臂，他继续说后莞尔一笑，自云中彩霞愈发动人。
0:22:53|0:23:19|新帝便将那梅玉龙顶在皇后下颌，受此一击，皇后咀嚼浑身酥软，化作琼浆玉液纠缠踏上另一边太子[无鸾]侥幸活命，已然潜入皇城之中，在先帝黄金甲胄前道厮聊，以未戒阴阳交媾及闭皇后往宫内浴池清洗身躯，但见此处内饰与皇宫大为不同，帝之所居阴暗。
0:23:19|0:23:37|此处却执掌灯烛，宛若白昼，青石堆，砌围墙，白玉雕画围柱浴池置于大殿其中，灌注温泉水后抛洒花冠，于其内同舟遭烛光映照，令水波粼粼皇后退尽衣衫往池中去，淋漓清泉，洗尽疲惫。
0:23:37|0:23:54|至于深夜，太子召[青女]入寝殿解心中困惑，殿内僻静之地，[青女]掌持灯烛枉太子所在，福贵于地缓缓开口道躺于怪石之上，太子开口
0:24:0|0:24:6|太子稍加思索，缓缓问道，
0:24:33|0:24:57|当今皇上太子汀罢气息有些止不住的纷乱，从前青梅竹马之家人先是嫁为人妇，成了自己的母后，而如今先帝暴蹦不过数日，尚在国丧期，内叔父竟要娶兄嫂为妻，册封当朝皇后，心爱之人被如此对待，太子心中五味杂陈，镜头一转，
0:24:57|0:25:4|画面来到皇城之中，梳洗完毕，皇后在一众宫娥地服侍下换上轻纱，往楼上寝室走去。
0:25:5|0:25:14|在此处执守宫娥早已将烛火更迭，燃起了香炉，静待皇后驾临，步入寝室，坐于蒲团之上。
0:25:14|0:25:35|皇后烛肘于香炉明目小气，却听身后有异响传来连忙呼唤道：[婉后]轻快地朝着[无鸾]跑去，却被太子这一声母后叫地愣在了原地，顿了顿
0:25:52|0:26:1|[婉后]听罢拘束着向后退了几步，轻声问道：
0:26:21|0:26:56|目光灼灼望向[婉后]，随后竟跪在了地上盯着[婉后]，沉沉开口说：听着[无鸾]之恳切，[婉后]眼眸中水雾朦胧，缓缓看向眼前富贵的那人，四目相投便听[无鸾]问道：两人目光互通悲喜[婉后]无可忍受，一双玉璧将[无鸾]宛入怀中，谋光闪烁产生道：
0:26:58|0:27:2|[无鸾]轻轻唤了一声[婉后]，将下巴抵在[无鸾]额上，继续说道，
0:27:33|0:27:39|情志深处，[婉后]愈发迷离，低垂眼眸，正要将一顶朱唇素女[无鸾]却被猛地推开。
0:27:49|0:27:54|见[无鸾]如此冷漠，[婉后]匀趁着自己纷乱的喘息，二人拉开了一段距离。
0:27:54|0:28:22|正当此时，新帝仪仗呼至皇后寝宫之女儿正要前去通报，便被新帝挥手制止，只得怯生生的福贵在台阶边沿，请店内的二人尚不知新帝已至，[婉后]行到乌兰身边，甩动手臂打在他的肩膀上，而后一双美眸复杂至极，时而成露，万般清苦，时而浮现无边伎俩，最终又痴的一声笑了出来开口说道：
0:28:26|0:28:29|[无鸾]不知[婉后]意在何为，却也顺应其意。
0:28:29|0:28:40|起身后将附在背上的竹筒取下，双手捧于身前，只见[婉后]推开箭筒，将其中素色卷轴握于手中，笑看一眼[无鸾]。
0:28:40|0:29:2|而后五手中卷轴如风，又忽而止住，抬脚一踢，只见绫罗，青纱下柳腰纤纤，绣腿风雨，将卷轴中短剑踢出，又腾空而舞踢，避开[无鸾]所托竹筒手捧越女剑将卷轴扔还无滦，[婉后]开口道越女剑长翅短剑与身前比划一二[婉后]，脸色一冷，
0:29:2|0:29:19|继续说到醉意贴身格斗，说罢便举荐朝[无鸾]次来，[无鸾]以手中卷轴党阁[婉后]之攻势，二人与寝殿内之游转，曲池进退间不步伐见此一致，共舞于唐氏之下，仿弱化周遭一切为虚无得有间隙。
0:29:19|0:29:21|[无鸾]方才开口说道
0:29:24|0:29:30|闻[无鸾]所言，[婉后]只是清点下巴，随后不动声色化突刺为劈砍向[无鸾]工具。
0:29:30|0:29:39|二人招式相仿于店内追逐，一人披青纱系衣，舞动若仙凤，一人着筹码口诉，姿态如松柏。
0:29:39|0:29:47|[婉后]似是以练剑为引，试图将[无鸾]往昔之记忆唤醒，只是[婉后]昭示伶俐，步步紧逼。
0:29:47|0:29:56|反观[无鸾]则侃侃闪避，不愿与之纠葛，终是被[婉后]寻得破绽，此处一剑抵在其咽喉之前，而后笑着说。
0:30:2|0:30:8|说罢将束缚卷轴之绳索挑开，渐渐其垂落而下，正是吴越小楼中血染之乐人歌。
0:30:8|0:30:17|[无鸾]福贵余地将之铺陈倾覆平整，但见其上血迹斑斑，更填萧索，又听[婉后]说道。
0:31:31|0:31:38|寝殿外新帝闻皇后所言，将权杖攥于手中，又束手于臂蓦然离去。
0:31:42|0:31:56|听闻[无鸾]如是说[婉后]几乎脱口而出一个他字，但凡听者皆可体会，其中蕴含不屑与厌恶，可身处皇城之中还需万分小心[婉后]终究只吐这一字便不再多言。
0:31:56|0:32:0|今夜漫漫，命运纠葛的几人今夜注定难眠。
