0:1:32|0:1:38|夜色渐深，身着破漏衫的[马尚来]在电脑屏幕前与好友视频聊天。
0:1:38|0:1:41|摄像头缓缓下移，好友回嗓道。
0:2:30|0:2:34|镜头一转，屋内的电话铃声吸引了少年的注意。
0:2:34|0:2:43|他停下运动，从擦满绿植的阳台走进客厅，拿起电话的同时不忘带上一个苹果。
0:2:47|0:2:59|话音未落，[马尚来]已经穿上衬衫，右手将柜子上的钥匙拔下，顺手拿起长柄雨伞，用弯曲的伞尾勾起衣帽架上的头盔，随后下楼着车，骑着他的摩托绝尘而去。
0:3:21|0:3:30|[马尚来]扭头看向歹徒，[马尚来]敲向路边的窗户，屋内人危言开窗，刚好撞倒歹徒。
0:3:30|0:3:43|女事主赶到后，狠狠向歹徒踹了两脚，此时，一位宝妈正带着宝宝散步，专注于手机的她，没有注意到飞驰而来的篮球，一个身影一闪而过，路过的[马尚来]稳稳接住了篮球。
0:3:43|0:3:48|斑马线上，路过的[马尚来]用车后胎盖上井盖，恰好帮助了路过的盲人。
0:3:49|0:3:55|镜头一转，祥和的街道上人来人往，路边的平房内，一对夫妻正在吵架。
0:3:55|0:3:59|只见[吵架天后]扔出一支透明水杯，穿透玻璃，穿过街道。
0:3:59|0:4:3|幸福[马尚来]五个字，也随着镜头移动，缓缓出现。
0:4:4|0:4:10|水杯继续移动，在街道另一旁刷牙的男子身旁爆开。
0:4:10|0:4:16|男子被吓了一跳，漱口水也喷了一墙，他扭头看去。
0:4:16|0:4:17|他向街对面走去。
0:4:24|0:4:41|话音未落，老马骑着摩托飞驰而过，宇鹏带走了刷牙男的假发，他变成了一个光头。
0:4:41|0:4:45|光头紧跟[马尚来]。
0:4:45|0:4:50|街坊们都围了过来，期待[马尚来]接下来的动作。
0:4:57|0:5:1|狼[马尚来]打开门，随后立刻闪身躲避。
0:5:1|0:5:11|按板、扫帚、铁锅，一件件物品不断飞出，每件物品的落地声都引起街坊的一阵惊呼。
0:5:11|0:5:20|狼[马尚来]扭头就要进门，谁知一碗面飞出，正扣在他头上，街坊们投来幸灾乐祸的目光。
0:5:20|0:5:23|脸上挂着面条的[马尚来]，扭头缓缓说。
0:5:28|0:5:36|街坊们闻言哄堂大笑，[马尚来]此时也进入屋内调解。
0:5:36|0:5:39|画面缓缓拉远定格，[马尚来]此时从屏幕外走近。
0:5:59|0:6:4|小两口推门而出，女方看到[马尚来]头上的面条后，立刻整理。
0:6:17|0:6:29|[马尚来]的调侃斗了大火，画面一转，扛着武器的两个团伙面带凶色走向对方。
0:6:29|0:6:39|[马尚来]向中间挤去。
0:6:39|0:6:40|两伙人被[马尚来]气势惊退。
0:6:56|0:6:59|两伙人立刻扭打成一团。
0:6:59|0:7:4|狭窄的小桥上，双方势力混战，[马尚来]猫着腰穿梭在人群中。
0:7:4|0:7:8|混战仍在继续，双方都采取手段攻击对手。
0:7:9|0:7:17|[马尚来]被人群挤到桥边，一个闪身跌进了水里，双方首领正在交战，一个老头发现了溺水挣扎的[马尚来]。
0:7:27|0:7:34|[马尚来]的帽子浮在水上，人却不见了踪影。
0:7:34|0:7:41|老大发言后，立刻跃入水中，小弟们也紧随其后，一个个如同下饺子一般填满了水面。
0:7:41|0:7:43|另一边，[马尚来]依靠着烟斗在水底前行。
0:8:7|0:8:12|画面再转，一位哭花了妆的女子站在高楼上。
0:8:12|0:8:33|36G是好东西，你就说这回吧，我用的是调虎离山，[马尚来]缓缓靠近，女子被[马尚来]吓到，一个辆枪从高楼跌落，[马尚来]立刻飞奔而出，拉住女子的手，两人就这么挂在阳台上。
0:8:33|0:8:38|楼下的围观群众仰头看去，议论纷纷，消防队员也紧急做着救援准备。
0:8:40|0:8:48|伴随着一阵惊呼，[马尚来]终于支撑不住，连同女子从几十米的高空中坠落下来，救生气垫稳稳当当地接住了二人。
0:9:6|0:9:12|商业街上，身着长裙的姑娘毫不吝啬地扭动着她的腰肢，青春四溢。
0:10:8|0:10:11|[马尚来]扭头离去，光头紧随气候。
0:10:12|0:10:16|小两口在台上随着音乐队伍，显得十分开心。
0:10:16|0:10:25|夜色渐深，回到家中的[马尚来]打了一盆洗脚水，端着木桶走向阳台，[马尚来妻子]正在欣赏风景。
0:10:26|0:10:32|还没等开始动手，[马尚来妻子]将自己的位置与[马尚来]兑换，开始为他洗洗脚来。
0:10:36|0:10:38|[马尚来]闻言，立刻心领神会。
0:10:38|0:10:43|[马尚来]享受着[马尚来妻子]的洗脚服务。
0:11:4|0:11:20|[马尚来妻子]闻言会心一笑，[马尚来妻子]走向[马尚来]，其脚水飞驰而下，[马尚来]瞬间成了卤汤鸡。
0:11:20|0:11:20|第二天，
0:11:31|0:11:35|江边小路上，[马尚来徒弟]刚自手托广告牌，追赶着[马尚来]飞驰的摩托车。
0:11:53|0:12:7|班公室内，老[马尚来妻子]打包着书本。
0:12:7|0:12:11|老[马尚来妻子]表情沉重，费品小哥听懂了。
0:12:23|0:12:38|老[马尚来妻子]继续砍价，费品小哥也停下了手中的动作，感受到对方的认真之后，他继续试探。
0:12:38|0:12:43|费品小哥仿佛捡到了大便宜，手指紧张地乱动，不敢相信这一切。
0:12:47|0:12:54|老[马尚来妻子]又送出枕头。
0:12:59|0:13:4|老[马尚来妻子]的豪爽惊呆了儿子，一时间不知如何开口，费品小哥满载而归。
0:13:5|0:13:9|一路大笑地回到了三轮车上。
0:13:9|0:13:12|他整理着收来的废品。
0:13:12|0:13:18|屋内的母子二人此时却着急地跑了出来。
0:14:3|0:14:11|街坊们掌声自起，舞蹈队也天天起舞，[马尚来]和朋友们一起自拍。
0:14:11|0:14:14|理发店内，[马尚来]儿子正陪着妈妈烫头发。
0:14:14|0:14:15|儿子举着手机。
0:14:15|0:14:18|儿子说吧，将手机递给[马尚来妻子]。
0:14:28|0:14:38|进宫一转，[马尚来]正准备讲话。
0:14:38|0:14:48|正在讲话的[马尚来]被歌曲打断，身着长裙的姑娘们围着[马尚来]跳起了舞，[马尚来]有些不知所措。
0:14:48|0:14:55|他轻笑几声缓解尴尬，只得配合舞蹈演出，台下的徒弟们有些着急。
0:15:1|0:15:9|台下的黑人老妹应声而来。
0:15:9|0:15:14|假老婆在台上挑逗[马尚来]，[马尚来妻子]在台下注视着这一切。
0:15:14|0:15:15|西装男应声答道。
0:15:42|0:15:44|[茅雪旺]向众人展示营业执照。
0:15:50|0:15:52|[马尚来妻子]此时站了出来。
0:16:15|0:16:17|老[马尚来妻子]扔掉牌匾。
0:16:23|0:16:24|画面一短。
0:17:6|0:17:13|[茅雪旺]看到视频后气急罢坏，一位饿挪多姿的女性笑着离开现场，镜头转到[马尚来]办公室内。
0:18:1|0:18:5|街道主任嫌弃地看向光头，画面来到门路上。
0:18:27|0:18:30|[茅雪旺]在车内气愤地说道。
0:18:30|0:18:40|豪华别墅内，身着西装的[江边]总站在落地窗前欣赏风景，坐在楼梯上的儿子抹了抹眼泪，抱着航拍无人机走了下来，[江边]总眼神忧郁。
0:18:42|0:18:50|[江边]总应声回头，他摸向儿子。
0:18:50|0:18:51|[马尚来]一行人出现。
0:19:1|0:19:2|[江边]总看向儿子。
0:19:6|0:19:7|保姆将儿子带离客厅。
0:19:35|0:19:36|毛雪望突然出现。
0:20:23|0:20:25|[马尚来]儿子无奈说道。
0:20:45|0:20:47|门外的[马尚来]只得继续说道。
0:20:51|0:20:52|门突然被打开。
0:20:57|0:20:59|大门应声而合。
