0:0:44|0:0:50|女子坐在银行的椅子上，把怀里的八哥放到了地上。
0:0:50|0:0:55|此时的街道上，一人拉上皮衣拉链，扣紧了皮手套。
0:1:2|0:1:4|有人订来一张报纸。
0:1:6|0:1:19|与此同时，街道上的皮衣男戴上头盔，随着女子走出银行，皮衣男骑着电动车，一把球都抱着。
0:1:19|0:1:25|一个骑自行车的男子正好碰上这一幕，快速刹车对女子说完后，就去追皮衣男。
0:1:25|0:1:30|尽管女子抱着狗，挥手示意不用追，但他还是一流鸭就赶上去。
0:1:31|0:1:42|故事从这里拉开序幕，影片主要讲述了一对80父亲女为了梦想、爱情等不断努力奋进拼搏的故事。
0:1:42|0:1:52|主角[王小坡]由朱雨晨饰演，女友[张俐]由[张俐]饰演，范明饰演[张警官]的父亲[张警官]，聚兆杰饰演总编[郑谨]。
0:1:54|0:1:59|而前面追逐皮衣男的就是[张警官]。
0:1:59|0:2:4|画面来到了审讯室内，故事由此正式开始。
0:2:4|0:2:8|显然，皮衣男被追上了，正抱着头盔被问话。
0:2:55|0:3:4|[张警官]拿起桌上的报纸展开来，旁边的女警捂住口鼻。
0:3:4|0:3:10|[张警官]别着头给正警看，报纸里竟然是狗屎，正警愣住了。
0:3:10|0:3:11|[张警官]包住狗屎。
0:3:44|0:3:45|[郑谨]动了动眉毛说。
0:4:10|0:4:13|[郑谨]伸着一只手指示意，又接着说。
0:4:18|0:4:19|说吧，[郑谨]准备起身。
0:4:28|0:4:29|[张警官]白白手。
0:4:59|0:5:7|售楼部内，女销售[张俐]正站在门口偷笑，她手忙脚乱地掏出手机，跑到门口接电话。
0:5:7|0:5:11|男友[王小坡]一边说话，一边向车的位置走去。
0:5:22|0:5:25|同时，另一辆车上，[王小坡]对着沈云说。
0:5:54|0:6:0|沈彦的车和[王小坡]的车在十字路口撞在一起，[王小坡]连忙下车查看。
0:6:10|0:6:12|小唐说完转身就要走了。
0:6:29|0:6:30|[大徐]举着筷子，吹响一声。
0:6:45|0:6:48|[王小坡]的表情突然就变了，[大徐]见状急忙陪笑。
0:7:39|0:7:41|三人碰杯，随后[大徐]扭头说道。
0:8:24|0:8:39|听着无名的话，[王小坡]和[大徐]呆住了。
0:8:39|0:8:47|三人再次碰杯后，画面随之转向了一间放满模型的室内，人们各自忙碌着手中的工作。
0:8:47|0:8:52|[王小坡]和[大徐]坐在隔壁，对着桌子上的画指指点点。
0:9:37|0:9:44|吴明拿出马克笔，在纸上写着，[王小坡]吃惊地低下头，吴明递过纸。
0:9:44|0:9:47|大徐连忙拿起一看，两人难免兴奋。
0:9:51|0:9:56|吴明江只顾了过去，看了眼说道。
0:9:56|0:10:10|画面转向南京的中心地带，马路边的一座高楼里，一个农村妇女走进门张望着，打量了一圈大大的办公室后，走进来露着惬意的笑容问道。
0:10:45|0:10:50|正紧紧地趴在桌子上，朝妇女身后看去，查看员工的情况。
0:10:50|0:10:52|妇女也跟着看了看。
0:10:52|0:11:4|另一边，[张警官]家里，张丽母亲坐在沙发上看着杂志，张丽一边按遥控器，一边和男友[王小坡]打着电话。
0:11:4|0:11:11|张母听到这话，转过头看了眼女儿，又低头看了看手中的杂志。
0:11:11|0:11:12|张丽突然想到什么？
0:11:24|0:11:25|张力合上手机。
0:11:34|0:11:41|张力不耐烦地起身离开，之后[张警官]打开家门，把钥匙放进公文包，向沙发走去。
0:11:44|0:11:51|[张太太]指了指屋里，拍拍老公的腿。
0:12:5|0:12:9|快给我弄点吃的，[张太太]起身。
0:12:15|0:12:20|[张警官]喝了口茶，拿起茶几上的报纸，又拿了一颗裹盘里的枣。
0:12:20|0:12:22|他翻动着报纸，枣却掉了下来。
