0:2:20|0:2:26|画面来到夜晚的开封捕房当中，捕快们聚在一起赌钱。
0:2:26|0:2:32|人头攒动中，一位肌肉健硕的年轻人奋力想将身下的巨石拎起。
0:2:32|0:2:38|其不远处的暗毒之侧，一位满面阴影的老捕快点着烟杆，正望向那年轻人。
0:2:40|0:2:50|这个就是新来我们捕房报到的小伙子——[刀宜长]。
0:2:50|0:3:0|片刻公府只见那[刀宜长]崩坏了数副巨石的铁锁，竟直将石块举上了头顶。
0:3:0|0:3:5|见如此，那[诸葛青云]捕快用烟杆敲了敲桌子，对身后的画师说道。
0:3:37|0:4:0|刚入虎房就能和赌当老板搭线伙同骗钱看来这[刀宜长]也并非等闲之辈说话的功夫，镜头攀升便见此时夜深开封城灯火阑珊就于这稀微光火之上奇门遁甲四个大字凌空坠入影幕，又见天外一血色与时，硕大无比，往开封重交入去。
0:4:0|0:4:18|此物非同一般，周身有碎石相伴，而其本体勾鹤纵横，并无金石之相，反倒有几分肉质感觉，周身天火缭绕，砸入陵墓当中，引起山中火光映天，其所冲撞之处，方圆周遭皆被荡为平地，又见其本体上有妖光盈盈。
0:4:19|0:4:21|与临终山火互为映照，分外要挟。
0:4:21|0:4:26|画面一转，[刀宜长]正于闹市中，一烧饼铺前，与老板攀谈。
0:5:2|0:5:12|[刀宜长]看着卖豆腐的大婶说道。
0:5:12|0:5:17|正于此百无聊赖之际，[刀宜长]偶然一瞥，却被一人吸引住了目光。
0:5:20|0:5:42|原来在其身后闹事中有一彪形大汉独目求然怀抱巨大鱼缸行于人群中到渔场注视那人半赏又取通缉令置于眼前对比查看那画师随意胡周的画像竟与此人有七分相像到一场最收拢的桌上的杂务，立即跟上那大汉。
0:5:42|0:5:53|待其走远之后，半嘴的大婶一扫方才刁蛮，从衣巾下取出一块罗盘，定睛一看，罗盘上指针所指，正是那大汉行去的方向。
0:5:53|0:5:56|大婶见状，直朝罗盘所示方向追去。
0:5:56|0:6:2|画面一转，那大汉行至一间客栈之中，将鱼缸摔在桌上，大喊道。
0:7:2|0:7:20|眼出把随，便见鱼缸中那条小鱼忽然壮大，化作一只生长着三只眼睛，满口獠牙的怪鱼，一口就将那大汉半个身子吞了下去。
0:7:20|0:7:28|就在此时，[刀宜长]自屋顶方跃下，持刀朝那怪鱼劈去，怎料那怪物灵狐飞长，摆动鱼尾躲了过去。
0:7:31|0:7:42|就如此，那位大婶终于出手，并拢双齿做硬诀，画面前的木桌围牢，封死怪鱼行动，又从袖中换出赤垫，取周遭木桌家户封锁。
0:7:59|0:8:16|话音刚落，便见牢笼松动，那怪鱼摆动身躯，瞬间就挣脱了束缚，掉着头朝大婶推去，只见那大婶不慌不忙抬手上市，掰开怪鱼之口，伸手入其中，于血盆大口中将那怪鱼舌头扯出半米有余。
0:8:16|0:8:28|怪鱼吃痛失神之际，被大婶一脚踢飞到客栈二楼，遂顺势破开屋顶向外逃窜，见怪物逃往闹市，到一场急忙飞身追去。
0:8:31|0:8:53|在客栈中见掌柜与店员受惊不轻那大婶便伸手入怀取出法器五支烟花纸便见手中之物化作飞蛾巫术朝周遭瓶领脸上飞去临近之时又见那飞蛾消失为积粉盈盈闪烁，融入进掌柜等人眼中，随后大神又取花布一匹，于屏中招展。
0:8:53|0:9:11|将自己纳入布匹之中，随风而动，往怪鱼行铺追去，再看掌柜等人，金飞蛾一扑，已然忘乎所以，不知方才之惊险，行之闹事，大神难寻怪鱼踪迹，于是从花布中探出身来，易容成道士模样，取罗盘探寻。
0:9:11|0:9:15|经其指引来到开封城风月之地，三生阁。
