0:0:44|0:0:47|[戚佳]目光空洞地上了一辆公交车。
0:0:47|0:0:51|一个小女孩看到他愿站起身。
0:0:51|0:0:54|[戚佳]斜眼看向女孩。
0:0:54|0:1:1|[戚佳]看了看四周，确定女孩口中的大妈就是自己。
0:1:1|0:1:4|[戚佳]用力地捏住女孩的脸。
0:1:4|0:1:10|她抱负似的来回抖动着女孩的脸颊，毫不客气地坐到女孩让出的位置上。
0:1:11|0:1:16|前面的几个乘客都扭过头来怒气冲冲地瞪着他。
0:1:16|0:1:20|[戚佳]看向身后，全车人都投来了责备的目光。
0:1:23|0:1:29|围观群众的眼神不依不饶，[戚佳]懒得搭理他们，扭头望向窗外。
0:1:29|0:1:32|一片郁郁葱葱划过，他的眼中渐渐蓄满了泪水。
0:1:45|0:1:50|[戚佳]的眼中映出一抹身穿婚纱的曼妙身影。
0:1:50|0:1:52|时间回到2009年。
0:1:54|0:2:1|[戚佳]身上穿着婚纱，脚下踩着绑带细跟鞋，奋力奔跑在大学校园的树荫下。
0:2:1|0:2:5|她跑得气喘吁吁，一路上引得同学集体侧目。
0:2:7|0:2:16|[戚佳]推开礼堂的大门，面前的地毯一路通向鲜艳的主席台，礼堂两旁穿着学士服的毕业生坐得满满当当。
0:2:16|0:2:25|他走进礼堂，身后的林舒尔帮他拽起垂地的婚纱，[戚佳]在欢呼声中调皮地仰头笑着，指着过道旁边的同学。
0:2:29|0:2:41|他走到第一排，转头向大家挥了挥手，和林书儿一起，走到一位长相英俊又斯文的男生旁边，对方小声问道。
0:2:58|0:3:4|[戚佳]身旁的刘冲，拿着手稿缓慢起身走上讲台，对大家深深鞠躬。
0:3:4|0:3:9|[戚佳]的目光一刻不离，笑着冲她鼓掌。
0:3:25|0:3:33|刘冲激情地演讲结束，正要从台上走下来，[戚佳]却猛地站起来迎向他。
0:3:33|0:3:37|[戚佳]笑盈盈地看着大家，又看向刘冲。
0:3:37|0:3:41|台上的校长示意大家安静，站在立麦前说道。
0:3:54|0:3:59|[戚佳]提起裙摆，跑到刘冲身边，挽起他的手臂，把他拉到校长的面前。
0:4:16|0:4:20|李腾再次沸腾，[戚佳]挽着刘冲的手臂转向他。
0:4:45|0:4:53|刘冲尴尬万分，同学们聚精会神地定睛台上，[林书儿]更是把双手交握在胸前。
0:4:55|0:5:1|刘冲拨开[戚佳]的手，[戚佳]的眼神瞬间失焦，大脑一片空白。
0:5:7|0:5:9|而下一刻发生了什么。
0:5:12|0:5:23|[戚佳]神情恍惚地被[林书儿]扶着离开了礼堂，画面中，几个字掉下来，与一张妇科病历记录渐渐贴合，片名出现，我的早更女友。
0:5:23|0:5:37|本片中，[戚佳]同[前男友]交往多年，两人的感情一直很要好，但令[戚佳]没想到的是，本以为能够与其顺利步入婚礼殿堂的[前男友]，竟然在毕业的那一天拒绝了他。
0:5:37|0:5:40|从此以后，[戚佳]的噩梦就开始了。
0:5:41|0:5:46|失败的爱情经历让[戚佳]陷入痛苦中无法自拔。
0:5:46|0:5:50|一连串更年期的症状接连出现在年轻的[戚佳]身上。
0:5:50|0:6:1|就在此时，一个名叫[袁晓鸥]的男人突然闯进了他的生活，医院走廊里嘻嘻嚷嚷，人头攒动，[戚佳]坐在妇科诊室外的长椅上。
0:6:1|0:6:7|他剪了短发，留着眉上的短刘海，与身旁格格不入的大哥对视一眼之后又收回目光。
0:6:8|0:6:11|诊室里的中年妇女擦着汗对[医生]说。
0:6:55|0:6:58|[医生]凑近[戚佳]的脸，仔细打量一番。
0:7:0|0:7:2|[医生]低头翻看病历。
0:7:16|0:7:20|[戚佳]愤而起身，在[医生]面前坐起深蹲。
0:7:20|0:7:23|[医生]的眼珠随[戚佳]的身影上下移动着。
0:7:24|0:7:27|[戚佳]边骂边抄起桌子上的仙人球，扎向[医生]的脸。
0:7:51|0:7:54|[戚佳]带着墨镜躺在草坪上。
0:7:54|0:7:56|[林书二]弯腰，看着她说。
0:7:58|0:8:0|[林书二]跪坐在[戚佳]身旁。
0:8:18|0:8:21|[凌树儿]把[戚佳]塞进跑车的副驾。
0:8:31|0:8:36|每年这个时候，毕业的人总把宁静的夏夜打扮得狂乱而赶上。
0:8:49|0:8:56|毕业那天，[戚佳]身穿婚纱，扶着栏杆呕吐一番，和林书儿坐在树荫下的台阶上。
0:9:3|0:9:10|[戚佳]委屈地嘟起嘴巴，挖着头倒在了林书儿的肩膀上，林书儿赶紧拍拍她以表示安慰。
0:9:31|0:9:44|宿舍楼的阳台上垂下无数的床单，书写着离别的伤感。有人在草地上点着蜡烛喝啤酒，有人围坐一圈放声歌唱。一个长发男子死命抓着短发男子喊道。
0:9:48|0:9:56|[戚佳]和林书儿笑得肚子疼，路上又冲出来两个只穿着内裤的男生。
0:10:9|0:10:12|一米八的林书儿索性扛起了[戚佳]。
0:10:15|0:10:22|凌舒儿抱着其家一溜小跑，两人爬上楼梯，跌跌撞撞地走到宿舍门口。
0:10:22|0:10:25|凌舒儿伸手扭动把手。
0:10:27|0:10:31|凌舒儿贴在门上侧耳继听。
0:10:50|0:10:59|又扭头看看房内，面色羞懒，失魂落魄地抱着衣物匆匆跑下楼梯。
0:10:59|0:11:5|惊慌中，她还把一只球鞋落在了走廊里，[戚佳]赶紧打开灯冲进宿舍。
0:11:59|0:12:10|上衣都没穿好的老白端着收纳箱走向门口，又扭身道别。
0:12:10|0:12:15|宿舍门被老白关上，门上的油画渐渐变为真实的弄堂。
0:12:27|0:12:33|弄堂的墙头上卧着一只梨花猫，墙脚下躺着一个打卧铺的流浪汉。
0:12:33|0:12:39|他起身看向不远处，[袁晓鸥]正坐在墙角边啃着甘蔗，身旁放着一堆行李。
0:12:43|0:12:50|[袁晓鸥]啃着甘蔗不予理会，流浪汉站起身念念叨叨。
0:12:50|0:13:5|他看到其家出门，立马冲上去抢包。
0:13:5|0:13:9|[袁晓鸥]扭头看到，有人被流浪汉拉扯，立马咬着甘蔗冲了过去。
0:13:13|0:13:18|[袁晓鸥]把[戚佳]护在身后，用甘蔗指着流浪汉。
0:13:18|0:13:22|[袁晓鸥]把嘴里的甘蔗渣全喷在了流浪汉身上。
0:13:32|0:13:37|[袁晓鸥]把裤兜里的钥匙交给了流浪汉，只见对方蹲下哭骂道。
0:13:42|0:13:46|她与[戚佳]四目相对，立马扭头不再言语。
0:13:51|0:13:57|房门被推开，[戚佳]带着[袁晓鸥]走进屋里，沙发上的林书儿惊得站起来。
0:14:26|0:14:29|齐家拉着林书儿走到窗边，央求道。
0:15:14|0:15:16|两人腾出一间房，让[袁晓鸥]住。
0:15:16|0:15:18|林书儿不忘嘱咐。
0:15:22|0:15:28|目送着林书儿离开，[袁晓鸥]松了口气，得逞一般的低头一笑。
0:15:28|0:15:29|时间流逝。
0:15:32|0:15:39|一辆跑车来到弄堂的楼梯口，林书儿停好车，[戚佳]也从副驾上爬了下来。
0:15:40|0:15:42|林书儿把[戚佳]拎起来。
0:15:48|0:15:49|两人亮亮翘翘。
0:17:3|0:17:6|[袁晓鸥]抱着[戚佳]回到房里。
0:17:6|0:17:8|[戚佳]今天去医院了。
0:17:8|0:17:10|林淑儿拿着水杯继续说道。
0:17:26|0:17:28|身上还系着围裙的[袁晓鸥]问道。
0:17:37|0:17:40|[袁晓鸥]紧闭双眼，吐出一个字。
0:17:41|0:17:43|林书儿饶有兴致地看着她。
0:18:8|0:18:12|林书儿转身离去，[袁晓鸥]呆愣在原地。
0:18:12|0:18:17|卧室的灯光昏暗，[袁晓鸥]坐在床边用毛巾给[戚佳]擦手。
0:18:17|0:18:23|[戚佳]倒是酣睡不醒，手却不安分地从毛巾中抽离。
0:18:23|0:18:28|[袁晓鸥]不厌其烦地抓住她的手腕，继续用毛巾温柔地擦拭着。
0:18:30|0:18:41|戚佳像个孩子般发出梦意，脑袋在枕头上，一会儿正着一会儿侧着，突然甩开被[袁晓鸥]握住的手。
0:18:41|0:18:49|[袁晓鸥]终于停下动作，久久地凝视着戚佳，她温润的脸庞一同大学时偷看戚佳的样子。
0:18:50|0:18:57|那时，他躲在图书馆的书架后面，透过缝隙凝望着正在读书的戚佳。
0:18:57|0:19:2|戚佳抬头看过来，他却像缩头乌龟似的瞬间蹲了下去。
0:19:2|0:19:7|直到戚佳收回目光，他才肯扒着书架朝前移动几步。
0:19:7|0:19:13|[袁晓鸥]轻手轻脚地走着，眼神却一刻不离在沙发上看书的戚佳。
0:19:13|0:19:15|刘冲抱着猫闯进他的视线。
0:19:18|0:19:23|刘冲环抱住戚佳，和他一起逗着手中的小奶猫。
0:19:23|0:19:29|两人亲密地在沙发上搭了一会儿，就抱起猫咪互相挽着离开了图书馆。
0:19:29|0:19:37|[袁晓鸥]放下挡在脸前的书本，趴在窗口咬着手，低声哭泣。
0:19:37|0:19:45|梦醒，[袁晓鸥]看到[戚佳]正坐在床边盯着他。
0:19:50|0:19:52|[袁晓鸥]抬手擦了擦眼。
0:19:57|0:20:3|[戚佳]站起身，却惯性地倒向墙壁，只能用肩膀蹭着墙，一点点挪动。
0:20:3|0:20:8|她转过身来背靠墙，不禁皱着眉头捂住胃部。
0:20:18|0:20:23|[戚佳]边喝水边走到窗口旁，把整杯水都灌了下去。
0:20:23|0:20:25|他望向窗外，长舒了一口气。
0:20:25|0:20:28|[袁晓鸥]也跟着他放松下来。
0:21:9|0:21:11|[戚佳]瞪着[袁晓鸥]，显然这句话戳到了她的痛处。
0:21:11|0:21:13|[戚佳]捂着肚子走开，[袁晓鸥]依旧喋喋不休。
0:21:53|0:21:58|[戚佳]被气得无语，当即下令赶人。
0:21:58|0:22:2|[袁晓鸥]气了一声，扭头就走，门也没关。
0:22:2|0:22:5|[戚佳]正要猛力关上门，却被[袁晓鸥]挡住。
0:22:5|0:22:7|她举着一张照片说。
0:22:19|0:22:23|[戚佳]在门里顺着气，[袁晓鸥]靠在门外下定决心。
0:22:27|0:22:31|齐家从地上捡起照片，那是他们的毕业照。
0:22:31|0:22:36|齐家穿着一身婚纱，在黑袍之间异样醒目。
0:22:36|0:22:38|他直起身子，半张着嘴。
0:22:53|0:23:1|齐家垂下手臂，眼泪扑溯溯地滑落下来。一所中西结合的医院里，[医生]正在讲经。
0:24:25|0:24:30|[袁晓鸥]拿着仙人球回来，把它放在桌上，推到[医生]面前。
0:24:30|0:24:32|医生吓得往后一缩。
0:24:32|0:24:37|看着[袁晓鸥]出了门，赶紧把仙人球扔进了垃圾桶里。
0:24:37|0:24:40|露天雅坐上，林树儿优雅地倒着红酒。
0:25:10|0:25:16|[袁晓鸥]一指凌舒尔，静止离去，夜晚的弄堂静谧又温馨。
0:25:16|0:25:25|[戚佳]坐在卧室的窗口上，双腿搭到窗外晃动着，她双手抓着头顶的窗框，闭着眼睛沉醉地呼吸着室外的空气。
0:25:25|0:25:31|拎着大包小包归来的[袁晓鸥]，抬头看到悬空的双腿，只待瞬间松落。
0:26:10|0:26:18|文生拒过来的路人在弄堂口围观着，[袁晓鸥]火速冲进家门，跑到[戚佳]的卧室里关上窗户。
0:26:24|0:26:26|[袁晓鸥]搭在[戚佳]肩上的手存在半空中。
0:27:0|0:27:4|[袁晓鸥]捂住一只眼，流淌着鼻血走出了门。
0:27:6|0:27:8|路边的烧烤摊上。
0:27:51|0:27:55|[袁晓鸥]赶忙安抚[戚佳]坐下，又按下她拿起的酒瓶。
0:28:18|0:28:26|原小欧接过服务员端过来的烤肉，又按下[戚佳]手里的酒，递给他一串鸡翅，自己才拿起另一串。
0:28:30|0:28:34|[戚佳]咬下一块，立马开口。
0:28:34|0:28:38|[袁晓鸥]赶忙示意服务员别再说。
0:28:38|0:28:40|又劝[戚佳]坐下。
0:28:55|0:28:58|[戚佳]拿起酒瓶，在桌上砸了两下。
0:28:58|0:29:1|见酒瓶没碎，便向[袁晓鸥]的头上砸去。
0:29:1|0:29:7|酒瓶碎了半截，[戚佳]走向服务员。
0:29:7|0:29:9|[袁晓鸥]拦腰抱着[戚佳]。
0:29:17|0:29:21|[袁晓鸥]拖着[戚佳]来到路边，把他塞进出租车里。
0:29:21|0:29:29|出租车急驶而去。
0:29:29|0:29:34|车子差点撞到一伙棒大腰圆的纹身男，见这帮人往烧烤摊走。
0:29:34|0:29:37|[袁晓鸥]急忙冲到他们前面走进店里。
0:29:39|0:29:43|他学着纹身男的姿势，大摇大摆地朝服务员走去。
0:29:43|0:29:46|服务员慌了。
0:29:46|0:29:49|[袁晓鸥]提了提裤腰，搭着服务员说道。
0:30:15|0:30:18|服务员连忙原地坐起蹲起。
0:30:25|0:30:31|服务员边坐蹲起，边给纹身的那桌人陪笑。
0:30:31|0:30:38|[袁晓鸥]吹着口哨，走进弄堂，竟然看到七家醉醺醺地靠着墙壁摇摇欲坠。
0:30:38|0:30:48|[袁晓鸥]冲上前，手忙脚乱地环抱住他，七家像个木偶似的任由他摆布。
0:30:51|0:30:53|[袁晓鸥]鼓劲，打横抱起[戚佳]。
0:30:56|0:31:0|又一夜，[戚佳]再次醉醺醺地靠在墙上，[袁晓鸥]冲过来。
0:31:1|0:31:3|门口的快递小哥问道。
