0:0:22|0:0:25|夜幕降临，整个小镇仿佛陷入沉睡。
0:0:25|0:0:28|放眼望去，只有镇子中央的房屋仍亮着灯。
0:0:29|0:0:44|屋顶的牌匾上写着《人间天上》，露台上的歌女展示着曼妙的舞姿，大门口，[老K]挽着男人送客。
0:1:9|0:1:13|胖男人正坐在屋外，给一群风尘女子讲着八卦。
0:1:13|0:1:18|一个背着行囊，身穿农民装的年轻男子从旁边走过。
0:1:18|0:1:25|年轻男子来到一条小吃街，他看着五大郎吹饼，攀经莲子洲等小商贩，心里发怵。
0:1:25|0:1:28|这时，身后大喊一声，让他回头望去。
0:1:30|0:1:35|只见一个身穿夜行衣的人从人间天上的二楼一跃而下。
0:1:35|0:1:42|他在空中翻滚了几圈之后，落在了小伤犯身后的屋顶上，之后一个翻滚平稳落地。
0:1:42|0:1:48|紧接着，他又在平地上连坐了几个晴空帆，躲在了横在地面上的棺材后面。
0:1:48|0:1:54|他刚一转身，谁知就被人用枪打在了眉心处，身体直接倒在了地上。
0:2:20|0:2:26|欢迎刚落，官兵们都举起枪开火，在刚刚的棺材上打下一个字——死。
0:2:26|0:2:41|画面随着棺材上的字拉近，电影正式拉开文物，该片讲述了民国初年，鱼龙混杂，三教九流聚集的[红桃]城中，都听好了，能来猫老爷家当厂工，是你们祖上积德，是天大的造化。
0:3:21|0:3:34|他话音刚落，身后的房门就打开了，只见走出来的女子身穿紧身高开叉旗袍，手拿一把油纸伞，紧接着从后面走出一个身材矮小的富太男人。
0:3:34|0:3:40|刚刚还大放厥词的歪嘴男赶紧扇了自己一耳光，急忙改口道，
0:3:45|0:3:48|外嘴难说完，赶紧扶手站在一旁。
0:3:48|0:4:5|太太给老爷打着油纸伞，缓缓走向院子里，老爷则面无表情地坐在院子中央的老板椅上，而太太则是不屑一顾地打量着第一个面试者，而后犀利地翻了个白眼，刚走到第二个面试者跟前。
0:4:5|0:4:9|就捂着鼻子一脸嫌弃地快步走到第三位面试者身前。
0:4:10|0:4:14|轻蔑地瞥了一眼后，就来到了第四位面试者跟前。
0:4:14|0:4:20|他上下打量着眼前的年轻人，年轻人也眼神坚定地看向他。
0:4:20|0:4:23|两句之后，太太才缓缓开口说道。
0:4:26|0:4:30|说完，她转身迈着摇曳的身姿向[老K]身边走去。
0:4:30|0:4:34|站定后，像坐在老板椅上的[老K]说道。
0:4:36|0:4:43|[老K]听完太太说的话，面无表情地从自己的袖口里，缓缓拿出一幅老旧的扑克牌。
0:4:43|0:4:54|只见他看着前来面试的年轻人，然后拿着扑克牌，以面前的小桌子作为支点，手法娴熟地洗着牌，并且切换着不同的洗牌方式。
0:4:54|0:5:2|终于，将手里的牌洗好之后，[老K]缓缓举起[红桃]A，对着面前的面试者们，随后开口说道。
0:5:4|0:5:19|说完，他拿着扑克牌一把向空中散去，一时间，天空中全部都是分散了扑克牌，歪嘴男则一脸痴傻地看着掉下的牌，而[老K]则是闭上双眼享受着这一切，面试者们呆愣在原地。
0:5:20|0:5:34|看着眼前的景象，其中一位面试者目光坚定地看着一个[方片]，仿佛胸有成竹。[刘太太]凝重地看着散落的复刻牌，丝毫没有意识到有一张牌已经掉在了自己的胸口处。
0:5:34|0:5:41|随着众人的目光，[刘太太]也意识到不对劲，她朝自己的胸口处看去。面试者见状，都疯狂地朝着她抓去。
0:5:41|0:5:48|[刘太太]看着向自己奔来的这几人，吓得连忙后退，谁知却崴了脚，身体向后倒去。
0:5:48|0:6:2|手里的油脂散因为失重被抛到空中。就在身体快接触到地面时，一双有力的大手将他接住。[刘太太]惊魂未定地看着静在咫尺的地面，又转头看向接住自己的男人。
0:6:2|0:6:12|这男人正是刚才他夸了还不错的第四位面试者。四号面试者用嘴将[刘太太]胸口处的牌叼起，正是让人能留下的[红桃]A。
0:6:12|0:6:16|[老K]这时也像是感应到了一样，猛然睁开双眼。
0:6:23|0:6:26|[老K]领着[顺子]拉到一处庭院。
0:6:27|0:6:29|随后对着守在屋子前的人说。
0:6:49|0:6:54|但又想到了什么，转头嘱咐道。
0:6:54|0:7:7|待[老K]走后，[顺子]悄摸摸地打开了二太太的房门，走进屋后，又十分谨慎地转身关上门，谁知一转头，一把剪刀横在自己的脖子上，他惊魂未定地开口说道。
0:7:7|0:7:15|听到声音，二太太看向眼前的[顺子]，不禁流下了泪水。
0:7:15|0:7:21|二人喜极而泣，拥抱在一起，二太太开口道。
0:7:21|0:7:25|短暂的拥抱过后，[顺子]拉开二太太，询问道。
0:7:30|0:7:37|[春天]说起爹爹几经哽咽，他那双有神的大眼睛也变得暗淡无光。
0:7:37|0:7:56|出事的那天，[春天]的父亲坐在台下，闭着眼睛弹奏琵琶，而[春天]身穿素雅的舞蹈服，在楼梯的交叉处跳舞，他如玉的素手婉转榴莲，一双水眸郁郁还休，就在他身陷其中之时，琵琶声戛然而止，他放眼望去。
0:8:15|0:8:18|他坐在椅子上，手还不忘像跪在地上的[春天]摸去。
0:8:18|0:8:25|父亲最终离世，[春天]跪在墓前，这时，猫老爷带着一众手下走上前开口说道。
0:8:41|0:8:45|听完[春天]讲述的一切，顺泽冷静地问道。
0:8:56|0:8:59|[顺子]将双手搭在[春天]的肩上，安慰道。
0:9:4|0:9:7|他将[春天]搂入怀中，冷静地思考着对策。
0:9:8|0:9:10|另一边，[王大猫]惊讶道。
0:9:27|0:9:32|听了这话，[红桃]不可思议道。
0:9:32|0:9:43|表达了自己的情绪后，[红桃]起身向门外走去，[王大猫]紧接着也赶紧起身，在他身后喊道。
0:9:43|0:9:49|看着[春天]的背影，[王大猫]说道。
0:9:55|0:9:57|[顺子]急忙拉住[王大猫]，说道。
0:10:7|0:10:11|[顺子]是以[王大猫]尽声，随后说道。
0:10:18|0:10:20|[王大猫]看着[顺子]惊讶道。
0:10:21|0:10:23|随后若有所思地说道。
0:10:24|0:10:33|另一边，[红桃]在房间里身穿华丽的旗袍，手里端着一杯红酒，昧眼如斯地问，你说。
0:10:43|0:10:45|歪嘴男赤裸着上身，笑着回答道。
0:10:54|0:10:56|歪嘴男一脸猥琐地说。
0:11:0|0:11:6|说完，他向[王大猫]抛了个媚眼，这个小骚货来了之后。
0:11:11|0:11:17|[王大猫]一脸凶狠地说着，歪嘴男从她身后走来，一把搭在她的肩上安慰道。
0:11:22|0:11:27|听了这话，[王大猫]的面容缓和下来，笑眯眯地对歪嘴男说。
0:11:32|0:11:39|说吧，[王大猫]身形一转，轻靠在桌上，歪嘴男赶忙凑上去表忠心。
0:11:39|0:11:47|[王大猫]用手推开了歪嘴男，然后抬脚抵在了歪嘴男的胸口。
0:11:47|0:11:54|就在这时，房间的门突然被打开，[老K]垮着脸，手背后从外面走进来问道。
0:11:55|0:11:58|这时，房里已经没有了歪嘴男的身影。
0:12:4|0:12:18|[红桃]训完话后转身离开，[王大猫]立马就变了脸，一脸忧怨地从桌上起身离开了房间，而歪嘴男则是从桌底探出头来，一副惊魂未定的样子。
0:12:18|0:12:27|另一边，[顺子]背着行囊进入了庸人休息的房间，他看着炕上睡着的一排排男人，沉默地坐在了椅子上。
0:12:27|0:12:32|谁知，刚刚还在沉睡的[庸人们]突然冷不丁地围上来，问道。
0:12:36|0:12:43|[顺子]吓得转身，他赶忙点燃油灯，[庸人]却对他苦口婆心地说道。
0:13:18|0:13:27|第二天，[王大猫]坐在院子里看着[庸人们]干活，[歪嘴男]则只拿着西瓜，殷勤地对[红桃]说道。
0:13:28|0:13:35|[红桃]微微一笑，娇羞地拿过[歪嘴男]递过来的西瓜，而后又一脸不耐烦地将西瓜递给了[王大猫]。
0:13:37|0:13:43|[王大猫]接过[红桃]的西瓜，又将它递给了站在旁边的[春天]。
0:13:45|0:13:50|[顺子]在院子里看着这一切，[春天]结果西瓜，融在了一旁的地下。
0:13:53|0:13:58|还在推着石磨的[顺子]，看见[春天]的行为后，便对着[春天]傻兮兮地笑。
0:13:58|0:14:8|谁知，[红桃]看见[顺子]的笑后，惊讶地眨了眨眼，以为她在对自己示好，立马娇羞地朝她抛了个媚眼。
0:14:8|0:14:11|而[顺子]看到之后，垮着脸开始干活。
0:14:18|0:14:30|他装作眼睛不舒服，侧身靠向[王大猫]，夜幕降临，王家大院的门口挂了两盏守夜灯，护卫都坐在地上睡着了，[王大猫]和[红桃]在房间也熟睡着。
0:14:30|0:14:38|庸人房里，歪嘴男和一众庸人也进入了梦乡，只有[顺子]的床位上不见人影。
0:14:38|0:14:46|夜色正浓，[顺子]偷偷带着[春天]，谁知猫老爷像是有感应一般，突然从床上惊坐起来。
0:14:53|0:14:57|说完，猫老爷掀开被子，起身出了房门。
0:14:57|0:15:3|[顺子]和[春天]在院里小跑着，马上就要跨过门庭，却突然停了下来。
0:15:32|0:15:37|二人急忙从[王大猫]的旁边穿过，然后赶紧走向门外。
0:15:37|0:15:44|[王大猫]突然出声叫住二人，二人均是一愣，然后缓缓地转身看向他，甚至冷静地问道。
0:15:50|0:15:53|猫老爷说完，就自顾自的朝门口走去。
0:15:53|0:15:55|[顺子]和[春天]在他身后跟着。
0:15:58|0:16:0|他缓缓转身面向二人。
0:16:0|0:16:4|心思忐忑之时，[顺子]壮着胆子问道。
0:16:26|0:16:27|歪嘴男叫住了[王大猫]。
0:16:30|0:16:34|[王大猫]低头看了看自己的抹胸肚兜。
0:16:35|0:16:38|等到了坟前，[王大猫]老爷跪地痛哭。
0:16:49|0:16:53|哭声戛然而止，[王大猫]老爷转头看向[王大猫]和歪嘴男。
0:17:13|0:17:15|又看向[顺子]和[春天]。
0:17:18|0:17:23|[春天]只向另一处。
0:17:23|0:17:28|本想表现一番的[王大猫]老爷，不禁开口问道。
0:17:28|0:17:45|很快到了天明，众人回了宅邸，[顺子]在院里压着石磨，累得他满头大汗，而[王大猫]手拿木桶走过来，眼睛盯着[顺子]直看，两久，[王大猫]狡猾造作地哼唧了一声，[顺子]停下手里的活，向他鞠躬道。
0:18:6|0:18:14|[顺子]低着头不敢看他，而[王大猫]一脸娇羞地转身走向了洗澡房。
0:18:16|0:18:24|说完，她摇曳着身姿进入了洗澡房，[顺子]这才抬起头，一脸阴沉地望向她，然后离开了院子。
0:18:24|0:18:31|洗澡房内，[大太太]坐在木桶里，她撅着嘴，勾搂着背，将腿抬到木桶的边缘，姿势不雅地搓着脚。
0:18:31|0:18:39|正当她洗得起劲儿时，房门却慢慢地打开，背对着门的[大太太]停下了手里的动作，身体微微扭动，害羞地说。
0:18:52|0:19:0|本以为来的人是[顺子]，一回头却发现是家里的两个庸人，气得[大太太]将毛巾扔向他们。
0:19:0|0:19:6|穿上衣服，[大太太]趾高气昂地走进[春天]房内，连[顺子]跟她问好都没理。
0:19:6|0:19:13|她眼睛犀利地向屋内走去，看到[王大猫]坐在[春天]的身旁，[大太太]摇曳着身姿开口说道。
0:19:47|0:19:52|夜幕降临，歪嘴男只穿了个大裤衩，仰面躺在一张大餐桌上。
0:19:52|0:19:58|他右腿弯曲，左腿搭在右腿上，一只脚翘得老高，像是在等谁的到来。
0:19:58|0:20:15|院子里，[顺子]偷偷摸摸地靠在墙壁上，他谨慎地朝四周看了看，然后快步小跑，到一间房门前停下，伸手敲了敲房门，房门应声打开，探出头来的正是[春天]，二人谨慎地朝着大门外走去。
0:20:16|0:20:27|谁知[大太太]这时也从房门里走了出来，她慢悠悠地摇着扇子，却看到了想要逃跑的[顺子]和[春天]，然后连忙上前喊住了两人。
0:20:27|0:20:31|[顺子]和[春天]愣在原地，只听[大太太]又说道。
0:20:47|0:20:50|二人转身要去厨房，却听[王大猫]又喊道。
0:20:53|0:20:57|[王大猫]推开厨房门，[顺子]和[春天]也跟了上来。
0:20:57|0:21:1|三人看到屋内的场景，都愣在原地。
0:21:1|0:21:6|[方片]管家一看来人，立马起身盘腿坐着，双臂向上举起。
0:21:6|0:21:8|[顺子]看他这样，开口问道。
0:21:14|0:21:24|[王大猫]眼睛转来转去，一脸无奈地走向餐桌。
0:21:24|0:21:29|[春天]也紧跟其后，[方片]管家满脸猥琐地瞧着二人。
0:21:29|0:21:34|随后，二人落坐在餐桌两旁，[顺子]则是站在一边。
0:21:34|0:21:37|[王大猫]尴尬地问道，
0:21:37|0:21:41|[方片]管家扭扭捏捏地说道。
0:21:59|0:22:4|几人站起身想要离开，谁知[王大猫]老爷进入了房间，看着几人说道。
0:22:26|0:22:33|大太太说完走出了房门，[春天]也紧跟其后，[顺子]说完也离开了房间。
0:22:33|0:22:38|这时，屋内只剩下穿着裤衩坐在餐桌上的[方片]管家。
0:22:49|0:22:52|[方片]管家在桌上跟[顺子]对峙着。
0:23:20|0:23:28|他将插在桌子上的刀拔下，恶狠狠地瞪着对面的人，把刀推了出去。
0:23:45|0:23:49|房管家冷哼一声，然后从座位上站起来，走到了[顺子]那边。
0:23:49|0:23:55|紧接着，从桌上拿起一张纸，又随手拿起毛笔，在纸上写弄死两个字。
0:23:55|0:23:59|他抬头看着[顺子]，将手里的笔递给他。
0:23:59|0:24:3|[顺子]会意借过毛笔，随即在纸上写下[王大猫]这几个字。
0:24:3|0:24:8|二人抬头互相看着对方，这时，门却被人打开。
0:24:13|0:24:22|来人正是纸上的主人公，[顺子]和[方管家]都赶紧转身想撕回刚刚写的东西，谁知却被[王大猫]拦住。
0:24:22|0:24:29|[王大猫]慢悠悠地走到二人的面前，[方管家]和[顺子]盯着[王大猫]，紧张得满脸都是汗。
0:24:29|0:24:34|而[王大猫]看着两人这防备的样子，面无表情地拿起桌上的纸看了看。
0:24:35|0:24:39|突然，他眉头欲皱，看向[方管家]和[顺子]二人。
0:24:59|0:25:16|[王大猫]喜笑颜开，[王大猫]笑着对着[方管家]点头，得到准许的[方管家]赶紧走出了房间，他关上房门，然后扶着墙，一瘸一拐小跑着走出了院子。
0:25:39|0:25:45|[王大猫]将刚刚的纸揉成一团扔向一边，然后重新拿出纸和笔。
0:25:45|0:25:54|正当他准备拿笔写字时，却突然愣了愣，然后扭头对着身旁的[顺子]问道。
0:25:54|0:26:2|[顺子]接过[王大猫]手里的笔，然后在纸上按照要求写着，[顺子]写完之后又将笔递给[王大猫]。
0:26:14|0:26:21|话音刚落，门就被人打开，[大太太]从门外慢悠悠地走了进来，她看着二人问道。
0:26:24|0:26:27|[顺子]转头向[王大猫]求救。
0:26:29|0:26:36|[王大猫]说完，转头看向[顺子]，并示意他将纸上的内容处理掉，然后就离开了房间。
0:26:36|0:26:45|大太太看着[王大猫]离去，然后眼神犀利地盯着[顺子]，[顺子]也强装镇定，直勾勾地看着他。
0:26:45|0:26:51|大太太静止走到[顺子]面前，[顺子]则是理不过大太太强势的眼神，继而低下了脑袋。
0:26:53|0:26:58|[顺子]用眼睛看着大太太，但手却偷偷地想从桌上把纸拿走。
0:26:58|0:27:4|谁知被大太太制止，大太太从他手里抽过纸看了看，上面写着我爱大太太。
0:27:20|0:27:26|大太太笑眯眯地将纸叠好，然后塞进了自己的胸前，[顺子]开口解释道。
0:27:36|0:27:46|大太太一个转圈身体后仰，[顺子]则是一手扶住她的肩膀，一手搂着她的腰，两人面带笑意地对视着，美好的像一幅画卷，两久。
0:28:19|0:28:27|大太太说完，仰着头笑眯眯地看着[顺子]，而[顺子]也看着他的脸上露出了令人捉摸不透的笑容。
