0:3:40|0:3:44|另一边，女主[沙律]踩着一双精美的高跟鞋。
0:3:57|0:4:2|律师将协议放在[沙律]面前，[沙律]低头看了看。
0:4:21|0:4:30|律师拿起桌上的笔地给[沙律]，[沙律]接过后签下了自己的名字，律师快速收起协议。
0:4:38|0:4:40|律师将协议装好，笑着离开。
0:4:40|0:4:45|另一边，[项少龙]开着车在繁华的街道上行驶。
0:4:45|0:4:50|眼前突然冒出一名拉着大筐货物的快递员。
0:5:7|0:5:10|女儿[阿黑]素面朝天，穿着脏兮兮的工装。
0:5:10|0:5:13|两人随后来到一家餐厅门口。
0:5:15|0:5:19|[项少龙]掀开门帘走了进去，[阿黑]随后跟上。
0:5:19|0:5:23|他看到许多客人正埋头就餐，愣了一下。
0:6:38|0:6:43|[项少龙]将手伸入口袋，[阿黑]直直地瞪着他。
0:6:43|0:6:49|他拿出一张纸巾擦了擦嘴，继续大口吃着饭。
0:6:50|0:6:55|他又从另一边的口袋里取出一根牙签剃了剃牙。
0:6:55|0:6:58|[阿黑]翻了个白眼。
0:7:8|0:7:10|另一边，[沙律]来到医院。
0:7:10|0:7:11|镜头一转，一扇房门打开。
0:7:38|0:7:44|[项少龙]带着未婚妻[蒋怡]来到新家，并解开她眼睛上的丝巾，拉开窗帘。
0:7:44|0:7:46|[项少龙]站在窗前。
0:8:0|0:8:1|他举起钥匙，单膝跪地。
0:8:1|0:8:3|蒋姨眼含泪水，捂住嘴走向另一间屋子。
0:9:27|0:9:29|蒋姨看着[项少龙]说。
0:9:51|0:9:53|[项少龙]抱住哭泣的蒋姨。
0:10:2|0:10:7|很快，到了晚上，[沙律]路过一家房产中介，拿起了门口的宣传单。
0:10:7|0:10:11|[项少龙]独自靠在街边的墙上抽着烟。
0:10:15|0:10:23|[项少龙]手上提着盒饭，走向打工的房产中介公司，被公司门口的跑车吸引了目光。
0:10:23|0:10:28|另一边，年轻的同事 [Very Wong] 正摆弄着见习生的桌牌。
