0:2:2|0:2:9|十年之约一晃而过，如今的[吴邪]手持寄满各种古墓信息的盗墓笔记，立于青铜门前。
0:2:9|0:2:20|这青铜门虽在盗墓界威名远扬，但单凭[吴邪]和王[胖子]脸上新鲜的伤痕，和二人疲惫的体态便可看出，若能立于门前，绝不是一件容易的事。
0:2:20|0:2:32|[吴邪]在确认面前就是青铜门后，王[胖子]心领神会一般拿出麒麟印章，按照书中记载，将印章插在巨石底部的机关之上。
0:2:32|0:2:39|印章与机关触碰的瞬间，刚才还死气沉沉的青铜大门，便如同通电的机器一般开始有了动静。
0:2:39|0:2:49|随着大门两旁雕刻着精美图案的齿轮不停地旋转，大门缓缓打开，[吴邪]想要努力看清门后的世界，可被传来的金光照得睁不开眼。
0:2:49|0:3:4|就在此时，一只脚穿过了青铜门，门前的无邪和王[胖子]强忍着刺眼的光芒，眯着眼，看到门后缓缓走出一个身穿毛衫，外表美艳冷峻的男子，此人正是护灵族长张启灵。
0:4:20|0:4:26|[曾小贤]竟犹如神力一般，轻轻打了个嗝，就把持枪的二人震飞到树林开外。
0:4:26|0:4:30|这时，从天而降的一道光柱打在[曾小贤]身上。
0:5:24|0:5:30|伴随着[曾小贤]的相声终于回到现实中，吃着早饭的吕子乔几人一脸无语地看向他。
0:5:32|0:5:59|你成了盗墓笔记的主角[曾小贤]得意地点了点头爱情公寓中其余几人都是盗墓笔记的忠实粉丝他们自然也接受不了[曾小贤]是主角这个设定一阵干呕过后[曾小贤]也讲述起自己读盗墓笔记的缘由要不是你的《月亮我的心》改成了盗墓笔记深夜广播剧我才不会看这种破小说呢自乔突然岔开话题问道，
0:5:59|0:6:5|一提到[胡一菲]，[曾小贤]瞬间回忆起诺兰抱自己时被一飞撞到的尴尬场面。
0:6:5|0:6:8|[曾小贤]立刻缩了起来。
0:6:39|0:6:47|恰巧这时，[胡一菲]从阳台走了进来，可[曾小贤]显然不再相信自己。
0:6:54|0:6:57|话还没说完的[曾小贤]，看到[胡一菲]后，立马闭上嘴。
0:7:57|0:8:13|说到这时，[曾小贤]的眼眶逐渐湿润，他喝了一口旁边的酒后，继续对寥寥无几的听众说道。
0:10:2|0:10:19|[曾小贤]虽然一脸疑惑，但看到[胡一菲]的号码，还是走进电梯准备赴约，而奇怪的事就在此刻发生了，[曾小贤]突然发现，电梯的楼层按键竟全部变成了庆典二字，似乎这部电梯只有一个目的地，满是不解的他，随便按下一个。
0:10:19|0:10:21|这时电梯传来提示声。
0:10:28|0:10:54|没想到这部电梯的上升速度极快，毫无防备的[曾小贤]被摔倒在地上，他挣扎着起身叫嚣小杨我已经适应了，话音刚落，电梯内灯光骤变，上升速度成几何倍增长，眨眼间竟到了500层的高度。而在电梯内的[曾小贤]也被撞得四脚朝天，片刻后电梯门缓缓打开，[张伟]看着人仰马翻的[曾小贤]后说道：“[曾老师]，你怎么才来，快报警。”
0:11:0|0:11:24|[吕子乔]看着穿着随意的[曾小贤]说道，一头雾水的[曾小贤]被[张伟]和[吕子乔]拽出电梯来到了科技感十足的庆典大堂。此时庆典活动也正式开始，欢迎来到主角光环升级庆典，主角光环可真有。
0:11:26|0:11:39|我不是在做梦吗？还没缓过神的[曾小贤]就被从楼梯上缓缓下来的[唐悠悠]、[陈美嘉]、[胡一飞]三人所吸引，只见盛装出席的三人各个美艳动人，走在最后的[胡一飞]更是让[曾小贤]目不转睛。
0:12:1|0:12:14|多年来的艰辛冒险耗尽了他们主角光环的能量，今天冒险即将重启。勇敢无畏的盗墓三人组将备受于全新的主角光环。
0:12:14|0:12:27|0plus新一代主角光环全面升级，处理器更强，能量更持久。十大功能为您的精彩冒险保驾护航，每个人都是生活。
0:12:32|0:12:49|主角光环的广告展示完之后，几人便迫不及待地准备进入场馆内部。只见保安手持主角光环检测器，扫描着入场的每一个人。不同的主角会显示不同的等级，每[吕子乔]几人的等级均是D，可到了自信满满的[曾小贤]时。
0:13:43|0:13:47|[曾小贤]不情愿地接下了装着盗版主角光环的手提箱。
0:13:47|0:13:56|就在这时，[吴邪]三人组伴随着粉丝的尖叫声走了出来。
0:14:10|0:14:17|本部想合影的[曾小贤]突然看到。
0:14:46|0:14:53|[吴邪]三人告别完热情的[陈美嘉]和[张伟]后，来到了一个人赏的角落，迫不及待地打开了手提箱。
0:14:53|0:14:57|只见箱子中，一个塑料感极强的玩具圆环静置其中。
0:14:57|0:15:3|[吴邪]拿起圆环后，用力地扒了一下，这圆环才像荧光棒一样，发出淡淡的光芒。
0:15:3|0:15:4|[吴邪]见状诧异地说道。
0:15:12|0:15:24|随后，[无邪]按照箱子中的说明书，将配件安装好后套在了头上，只见模型圆环上绑着一圈闪烁的霓虹灯，在搭配这儿搁，简直十分幼稚。
0:15:29|0:15:46|这时[张起灵]也看着[吴邪]认真地点了点头，对高科技一窍不通的三人就这样带着玩具圆环，自认为很帅地走进了电梯，而这雷人的一幕刚好被悄悄跟踪的[曾小贤]几人尽收眼底，待[吴邪]三人的电梯门彻底关上后，
0:15:46|0:15:49|就连身为死忠粉的[张伟]都看不下去地说道，
0:15:58|0:16:10|在众人的怂恿之下，[曾小贤]谨慎地打开被他掉了包的正品手提箱，在光环与众人相见的一瞬间，他便开始伴随众人的心跳频率忽明忽暗。
0:16:10|0:16:15|众人无一不被眼前的光环所吸引，片刻后，[张伟]看到箱子上的说明书，
0:16:15|0:16:46|居然还有说明书而就在几人准备阅读说明书时乡中的光环突然上升至数十米高的大堂楼顶就在下一秒从散发着微弱光亮的光环内瞬间迸发出足以撼天动地的能量巨大的光环散发出无比耀眼的光芒将整个大堂所有的角落全部照亮紧接着主角光环将能量分别注入到六人的体内并在他们的后脖颈上留下印记此时的[吕子乔]惊讶道模型比正品好多了都没道理啊。
0:17:23|0:17:41|几人开心地上了电梯离开大堂，而当电梯门再次打开时，几人就来到了盗墓笔记的世界，当他们满怀期待地走出大厅后，就被眼前的景象吓得驻足而立，只见这昏暗的盗墓笔记世界里，弥漫着一股令人不寒而栗的恐怖气息，
0:17:41|0:17:53|这里聚集着来自世界各地的盗墓精英团队，他们个个都全副武装，面露凶色，而爱琴公寓六人的穿着还是戴大唐时的西装与长裙，与这里的盗墓者们格格不入。
0:17:53|0:18:1|路过的盗墓者们看到他们的眼神，就如同恶狼看到绵羊一般，仿佛在下一秒，就要将他们吞噬殆尽。
0:18:1|0:18:9|就在这时，广播声突然响起，紧接着，沿路的各家商贩也开灯营业，瞬间就将死气沉沉的街道变得灯火通明。
0:18:9|0:18:16|这里的商家种类更是丰富，除了吃喝玩乐，还有军火商以及红灯区，看的人应接不暇。
0:18:16|0:18:23|另一边，[吴邪]和王胖子早上遛完狗回到祖宅中，而老管家却着急慌忙地对[吴邪]说道。
0:19:5|0:19:8|王胖子见状对[吴邪]说道。
0:19:10|0:19:21|二大爷听到身后的动静，又缓缓起身面向二人，可令人没想到的是，二大爷手中竟端着一碗面条，原来刚才的抽气，只是因为面条太辣所导致。
0:20:52|0:20:54|王胖子接过名片说道。
0:21:8|0:21:18|黄黑红说吧便带着保镖，笑盈盈地从[吴邪]和王胖子二人之间穿过，待行人走后，[吴邪]和王胖子合计起来黄黑红的阴谋。
0:22:7|0:22:14|[吴邪]闭上眼开始冥想，片刻之后，盗版的主角光环就浮现在其脑海之中。
0:22:14|0:22:20|而那盗版主角光环，终究只是一个模型罢了，它根本就承受不住[吴邪]强大的精神力。
0:22:20|0:22:29|而精神力注入的那一刻开始，盗版的主角光环瞬间崩坏，而[吴邪]也因为精神力的大量损毁，愈发开始痛苦。
0:22:34|0:22:49|王胖子话音刚落，[吴邪]两眼一翻便昏了过去。
0:22:49|0:22:55|众人听完张伟的话后恍然大悟，都不约而同地将埋怨的目光投向[曾小贤]。
0:23:48|0:23:55|爱情公寓几人虽然功夫不行，但逃跑还是很有一手，一眨眼的时间便消失在这闹市之中。
0:23:55|0:24:3|[张起灵]手握长刀，在闹市中仔细地搜查着，可分明穿着打扮与这里格格不入的几人，却仿佛隐身了一般。
