0:0:39|0:0:46|开门的是一个戴着贝雷帽的年轻男子，二人对视后，眼镜男提着篮子进入了报馆。
0:0:46|0:0:55|报馆内部，众多工作人员都在各自的岗位上忙碌着，一张张报纸被印好，上面则是报道着现在的抗战局势。
0:2:8|0:2:13|沿岸的黄土地上，[林翔]还在给战士们讲解着电台知识。
0:2:13|0:2:19|另一边，正坐在楼顶的天台上画着儿童联合画。
0:2:19|0:2:24|突然，他像是知道些什么，站起身往天台边缘处走去。
0:2:24|0:2:29|[秦凤梧]合上画本，双手冲在边缘处的护栏上，看向楼下的小巷子。
0:2:35|0:2:40|只见狭窄的巷子里，突然出现了几辆军用大卡车。
0:2:40|0:2:48|卡车上的日本军人，各个手举着横端步枪，围守着那辆车毫无征兆地散开了向返民生报馆的大门。
0:3:20|0:3:27|屋外，日本官兵已经开始投掷守围，官士长坚持不和妙。
0:3:27|0:3:35|此时，日军首领走进残破不堪的上海民生报馆，打亮着二楼的楼梯，手指向上方，大声喊道：
0:3:38|0:3:50|只见一个年轻男人手持枪支从二楼的一角冲过来对着楼下的日军小社官社长在秘密电台屋内用大柜子顶住房门。
0:3:50|0:4:7|而拿着电台重要零件的两名男子已经悄悄来到报馆的屋顶上准备分开行动，报馆内刚刚和日军交战的年轻男子此时已经满脸是血的躺在楼梯口，他看着大批日军向二楼走来，在弥留之际引爆了手雷。
0:4:12|0:4:30|巨大的冲击力将日本官兵震飞出去，报馆内已经变得一片狼藉，这时，贝雷帽男紧拿着一个小包袱跑到了大街上，日军的大卡车开到了小岛的小巷里，街边的商贩摊子也被带入欺凌大陆，无论是逛街的老百姓还是小商贩。
0:4:30|0:4:45|都吓得赶紧向四处躲去，贝雷帽男子将包裹斜挎在身上，然后疯狂地向着安全区跑去，大卡车在他身后紧追不舍，狭窄的小巷内，两边搭的茅草棚子全部都被撞塌。
0:4:45|0:5:0|另一边，和贝雷帽男子一起逃出报馆的眼镜男则是来到了一处相对安全的街上，他快步跑进了街边的万国储蓄银行内，调整了一下局促的状态，双手插到口，从容地向屋内走去。
0:5:0|0:5:5|迎面走来一位身穿日本军装的女人，[秋山雅子]。
0:5:5|0:5:7|她昂首挺胸，面无表情地走着。
0:5:7|0:5:13|谁知，就在她和眼镜男擦肩而过时，突然一个高边腿踢向眼镜男。
0:5:13|0:5:17|眼镜男被这一情况打得措手不及，但也迅速做出了反击。
0:5:17|0:5:32|随即，二人赤手拼拳地挡了起来，画面来到贝雷帽男子这边，他跨着包裹脚步飞快地跑向大桥上，后面的大批日本官兵手持长杆步枪在他紧追不舍，贝雷帽男子跑向大桥的中央。
0:5:32|0:5:41|谁知迎面也跑来了一群日本官兵，在两队敌人的包围下，被雷冒男子没有犹豫地跑向大桥的边缘，纵身一跃，落在桥中。
0:5:41|0:5:56|落水的他向河的深处游去，而在桥上的日军拿枪对着他开始射击，被礼貌男子在河里身中竖枪，河水里满是鲜血，包裹内电弹的重要文件也随着他的死亡慢慢渗入河底。
