0:4:8|0:4:11|故事要从狐族的居住地青丘开始讲起。
0:4:11|0:4:18|在宛如天边之境，猴仙正和松鼠仙争抢一颗食物。
0:4:26|0:4:39|见[白浅]朝远处跑去，猴仙抓耳囊腮，伸出手臂抓住头顶的一根细藤，跃上树枝之后恢复成猴子的真身，等了等脚步伤慢的松鼠仙后，便和他一起追逐[白浅]。
0:4:39|0:4:44|陆仙正蹲坐在地上，仔细端详着刚刚采到的蘑菇。
0:4:44|0:4:50|他看到猴仙着急慌忙，忍不住轻笑了一声，随后也化作真身。
0:4:50|0:4:54|他体态优美，饺子英俊，身上布满圆形的斑点。
0:4:54|0:5:3|在松鼠仙的带领下，朝猴仙的方向奔跑过去，[白浅]青丝飘逸，长裙在身体的带动下在身后散开。
0:5:3|0:5:8|奔跑途中，他遇到一根倒地的树桩，欢托地跃起身子，变成一只九尾狐。
0:5:9|0:5:17|毛茸茸的尾巴高高翘起，身子轻轻移动，纹身柔软的毛发便随风飘动，样子隐蔑可人。
0:5:17|0:5:22|猴仙借助树藤在林间游荡，很快便追上了[白浅]。
0:5:22|0:5:28|狼仙也不甘示弱，在林间肆意地奔跑，不远处的米谷也在林间奔跑着。
0:5:28|0:5:32|米谷是一棵吸收日月精华，修炼成人形的树仙。
0:5:38|0:5:43|[白浅]充耳不闻，一番下头奔跑后，她回到了自己的住处。
0:6:16|0:6:22|弥谷递上东海水君送来的请柬，[白浅]接过后看了半晌。
0:7:29|0:7:34|弥谷小至已晴，冻至已临，[白浅]才决定去一趟东海龙宫。
0:7:34|0:7:45|一只巨型水母随着阵阵海浪游到了[白浅]身边，她完全舒展开自己的伞盖，等到[白浅]稳稳站上来之后，她便将伞盖收起来。
0:7:46|0:7:57|将[白浅]包裹其中，整个形态像极了一个气球，身后丝丝缠绕的触角跟着身子飘来飘去，就这样朝着东海下的龙宫游去。
0:7:57|0:8:14|四海之一的东海，景色奇妙瑰丽，山湖、海礁流光溢彩，奇妙的小鱼漫游在绚丽的珊瑚丛中，一眼望去，竟是各式各样毫无止境的珊瑚丛，突然间豁然开朗，华丽的龙宫出现在眼前。
0:8:21|0:8:25|她攒着眉，用手遮住眼睛，连忙戴上弥谷事先准备的丝带。
0:9:0|0:9:3|两位仙子被[白浅]略施小计绊倒。
0:9:11|0:9:16|[白浅]早已离开大殿，独自来到了珊瑚园。
0:9:21|0:9:29|说吧，他喝完酒壶里的最后一口酒，气恼地丢掉酒壶。
0:9:29|0:9:31|[白浅]转头看到一个小男孩。
0:9:54|0:9:58|[白浅]听到他说这话，忍不住笑了一声。
0:9:58|0:10:4|[白浅]起身跟着小糯米团子，来到了一处隐蔽的珊瑚丛。
0:10:15|0:10:19|[白浅]在珊瑚迷宫里四处寻找，也没有找到她的踪迹。
0:10:19|0:10:24|她不知道的是，一个乔装打扮，穿着虾兵蟹将衣服的女人，将团子劫走。
0:10:24|0:10:34|半路，那只被团子拿走的扇子掉了下来，[白浅]气愤不已，一掌击打在那人的肩颈处，只见那人丢下孩子，差点摔倒在地上。
0:10:47|0:10:52|谁料，这时团子捡起地上的扇子，对着两人的方向轻轻一扇。
0:10:52|0:11:0|顿时，一阵狂风平地而起，[玄女]趁乱逃跑，[白浅]意识到后，联盟从她手中夺回扇子。
0:11:2|0:11:8|团子低下头，满脸写着委屈。
0:11:10|0:11:16|[白浅]误以为来人又是鬼族[玄女]乔装打扮，便冷言相向。
0:11:23|0:11:42|说完，他直接挥剑朝那人刺过去，打斗中，那人试图拿掉他眼前缝住的丝带，屡刺未得手后，并用长剑挑开了丝带，利落地将剑收回剑鞘后，他看着面部毫不遮挡的[白浅]，眼里立刻充满震惊，丢失掉遮阳丝带的[白浅]。
0:11:42|0:11:43|用手气恼地遮挡住眼睛。
0:11:46|0:11:51|旁边的阿离看到后，眼里也全是不敢相信，她冲过去就抱住[白浅]。
0:13:18|0:13:21|叶华露出得意的微笑，朝[白浅]的方向走了一步。
0:14:6|0:14:13|[白浅]被这对父子气得不轻，转身欲离开现场。
0:14:13|0:14:28|一女子步履匆匆，直奔[夜华]的方向而来，但看到[白浅]后竟愣在了原地。
0:14:28|0:14:30|听到这话，女子连忙避开[白浅]的眼神。
0:14:48|0:15:3|说完，[白浅]便拂袖离开了珊瑚园，等到宴会结束之后，她准备从海底回青丘，但想到闲来无事，便中途便到，前往东海以东的十里桃林，准备向哲言上神讨要两坛桃花醉。
0:15:4|0:15:13|此时正是桃花盛开的时节，十里桃林从头到尾开满了十里桃花，漫山遍野，色彩鲜艳的如同烈火。
0:15:13|0:15:32|折岩吹响一声口哨之后，数万只蜂鸟在桃林间游窜，无数只翅膀颤动，引得桃树哗哗作响，桃树纷纷落下花瓣，上万片花瓣飘飘洒洒，掉落进林间的溪水里，又从一处石缝间，跌入折岩的酿酒池内，桃花酒就这样诞生。
0:15:57|0:16:0|[白浅]对哲言细细道出了事情的经过。
0:16:23|0:16:38|[白浅]将口中的桃花醉咽下后，道出了心里的疑问。
0:16:38|0:16:44|见[白浅]追问，哲言停下手上品酒的动作。
0:16:44|0:16:48|听到这儿，[白浅]便没再问下去，过后回到了清秋。
0:17:35|0:17:44|你若是存心想找麻烦，索性你也别啰嗦，[夜华]听货物站起身，脸上挂着微笑，难掩开心之情。
0:18:12|0:18:15|[夜华]转头对[白浅]说。
0:18:40|0:18:44|[白浅]赌气似的猛拽衣袖，随后离开了屋子。
0:18:44|0:18:48|第二天一早，她像往常一样在床上睡觉。
0:18:48|0:18:50|[夜华]却带着阿离来找她。
0:19:5|0:19:10|[白浅]将被子蒙在头上，长叹一口气，还是和两人出了门。
0:20:23|0:20:25|米谷不幸被毒火熏了一身。
0:20:25|0:20:28|[夜华]看了滑稽的他，笑出了声。
0:20:28|0:20:32|随后，他拽下控水的藤蔓，让水流进装满蔬菜的盆里。
0:20:32|0:20:37|洗净之后，又用自己绝佳的刀钩，快速将它们切好。
0:20:37|0:20:39|阿黎看到之后，都佩服不已。
0:20:39|0:20:42|他用刀背拍了下鱼尾，全身的鱼鳞接连退去。
0:20:43|0:21:2|又用仙术烧柴煮水，紧接着又将面和水同时泡向空中，瞬间面团成形，面条在他两手间上下摆动着，一旁的[白浅]看得目不转睛，[夜华]将手中的面条甩向[白浅]，又恰当好处地收回，随即又来到[白浅]的面前。
