0:0:47|0:0:54|雄鹰掠过天际，伴随着苍劲有力的喊叫，沉寂多年的[岳峰]眼神坚毅，徐徐向前。
0:0:57|0:1:8|他从黑暗中走来，终于在一片光影中停下，眼神复杂而坚定，有怒，有恨，有满腔抱负等待施展。
0:1:8|0:1:15|他似乎囚定在方寸，又好像浮游于天地。
0:1:15|0:1:22|跟随一阵急促有力的音乐，一个神秘的少年迈着有力的步伐，带着我们走向球场。
0:1:24|0:1:37|球场里早就站定了20多个人，各个扛着棍棒，拎着武器，转动着脑袋活动筋骨，神色里却是掩盖不住的慌张。
0:1:37|0:1:47|而这个神秘的少年赤手空拳，眼神中满是侵略感，带着奔赴战场的精神走进了球场，朝浩浩荡荡的人群走去。
0:1:50|0:1:56|看到神秘少年来势汹汹，球场里的一群人也顺势而上。
0:1:56|0:2:1|随着神秘少年站定，一阵枪响，打出了他的名字。
0:2:6|0:2:9|他向对方领头的少年问道。
0:2:17|0:2:26|顶头状元一声令下，对面的十几个小弟立马蜂拥而上，拎着棍棒就要朝[岳峰]打去。
0:2:26|0:2:37|[岳峰]也不识省油的灯，一眼就看出了飞奔而来的小流氓，一一比十也不在话下，三两下就将身边围围的敌人打趴下来。
0:2:37|0:2:44|侧后方有如壮汉，趁[岳峰]不备就要偷袭，反被[岳峰]一把扛起，重重地摔在地上。
0:2:45|0:2:50|[岳峰]十多个动作，招招不敌，没有一个多余的动作。
0:2:50|0:2:55|一拳一腿，每一招都精准地打出一个敌人。
0:2:55|0:2:59|小喽啰们不死心，一个个小心地试探。
0:2:59|0:3:4|一个穿着卫衣的男孩朝着家伙，朝[岳峰]的头上打去。
0:3:4|0:3:10|[岳峰]将男孩手中的武器一把抢了过来，还顺便给了身后要偷袭自己的人一腿。
0:3:12|0:3:18|一拳跳打在男孩脸上，男孩被打得神志不清，脸上倒地。
0:3:18|0:3:25|几番对击后，纵然[岳峰]武功高强，也避不住众人轮番上背一起攻击。
0:3:25|0:3:33|三个男子合力将[岳峰]击倒，[岳峰]起身后被从从萎住，为首的领头少年推向[岳峰]的脸。
0:3:34|0:3:38|[岳峰]随即爬起，甩飞的领头少年。
0:3:38|0:3:45|格斗还在进行，看到领头少年被无情甩飞，其他人形成图地，一起上阵。
0:3:45|0:3:50|带着投定的少年领着兄弟几个直接冲上去，将[岳峰]绊倒。
0:3:50|0:3:55|其他六人眼疾手快，抓住[岳峰]的四肢往球场中间拖。
0:4:3|0:4:12|一逃脱，[岳峰]就顺着球场的围栏向上爬，随即逃走，却又被众人转向，逃跑没有成功。
0:4:12|0:4:19|寡不敌众的[岳峰]被逼到绝路，众人将他包围，重重的拳头和棍棒都砸在了他的身上。
0:4:26|0:4:35|其他人连忙让开空出位置，枉头少年挥着棍棒准备重重砸下，对决的胜负无人知晓。
