0:1:58|0:2:3|可在[凉夏]回家的路上，被暗恋自己已久的[茅亮]表白了。
0:2:3|0:2:11|在众人的起哄声中，[凉夏]终于答应了做他的女朋友，二人从此就进入到了热恋期，每天都形影不离。
0:2:12|0:2:23|[凉夏]为了让[茅亮]对自己的爱不过期，一改往常的风格，打扮得特别精致，爱吃的零食也避而不见，将它们全部锁进了保险柜里。
0:2:23|0:2:38|随着时间的推移，[茅亮]的事业步步高升，忙碌与压力突然不告而至，行云流水般的舒缓节奏被猛然切断，工作的道道关卡接踵而来，他每天都沉浸在工作之中，根本无暇去照顾[凉夏]。
0:2:39|0:2:48|而此时的[凉夏]，早已被感情吞噬，被生活打磨出锐气，被岁月摧残到放弃，被现状迷失了理想。
0:2:48|0:2:59|她过度依赖[茅亮]，失去自我，失去了原本的生活方式，满脑子憧憬着与[茅亮]的幸福生活，期待着与他携手走进婚姻的殿堂。
0:2:59|0:3:7|此刻，一袭白裙映入眼帘，削尖细腰，高挑的身材，裸露着两条修长白皙的手臂，正在拉着背后的拉链。
0:3:8|0:3:14|待他整理好着装，顺手拿起桌上的口红，涂上性感的嘴唇。
0:3:14|0:3:23|紧接着，他打开一旁的香水，喷向手腕，然后抬起手腕放在鼻尖处，闭上眼睛，感受着这份独有的魅力。
0:3:23|0:3:30|他看着电子秤上满意的数字，迈着轻快的步伐走向镜子前独自欣赏着。
0:3:39|0:3:51|就在这时，一只手伸向闹钟，关掉了嘈杂的声音，[凉夏]则站在水池旁，仔细揉搓着手中的橙子，随后将橙子切成多个小芽。
0:3:51|0:3:59|[茅亮]即刻起床，走出了卧室，边走边看着手里的平板，而平板里正播放的是当天最新的新闻消息。
0:3:59|0:4:6|另一边的厨房里，[凉夏]独自忙碌着，为他们准备早餐，鸡蛋在爱心模具里摊开，不停地滋滋作响。
0:4:12|0:4:25|洗完澡的[茅亮]对着阳台伸了个大大的懒腰，随后他来到衣帽间，认真地挑选着衣服，简单的黑色衬衫，把他的身材衬托得格外修长，两下端着做好的早餐看向他。
0:4:33|0:4:37|[凉夏]害羞地低下头，转身将早餐放到餐桌上。
0:4:37|0:4:43|突然，[茅亮]被平板里的声音吸引，转身拿起平板走向餐桌。
0:4:43|0:4:47|二人对立而坐，[凉夏]单手撑着脸颊，痴痴地望着[茅亮]。
0:4:51|0:4:55|[茅亮]一脸疑惑地看向[凉夏]，接着继续吃早餐。
0:4:55|0:5:10|可[凉夏]按捺不住好奇心，立即站起身，从他的西装口袋里掏出一个装着钻石的盒子，满心欢喜地期待着他的回答。
0:5:10|0:5:14|[凉夏]失落地盯着他，而他又自顾自地说道。
0:5:21|0:5:29|[凉夏]缓慢地将盒子放在餐桌中间，可她的脑海里浮现的却是[茅亮]曾经对自己表白时的画面。
0:5:43|0:5:49|此时的[凉夏]坐在原位，目光呆滞地盯着桌面，嘴巴还不停地啃着手里的面包。
0:5:49|0:5:54|随即，门框上的气球一同爆开，里面的彩带飘落而下。
0:5:54|0:6:0|不久，[凉夏]冲到衣帽间，拨开悬挂的衣服，将里面的保险箱挪出来。
0:6:0|0:6:10|看着封死的保险箱，他神叹一口气，一把撕开封条，拿起钥匙打开保险箱，将里面的零食全部拿出来，摆放在客厅里。
0:6:10|0:6:17|随后，他半躺在沙发中间，大口地塞着零食，目光呆滞地看着电视。
0:6:17|0:6:19|突然，电视出现故障，整个画面花屏。
0:7:9|0:7:17|[凉夏]成功订购魔法巧克力，学姐片名28岁未成年，在色彩的蕴染下逐渐展开。
0:7:17|0:7:24|另一边，穿着华丽的闺蜜紧闭双眼，摇动着手中的龟壳，铜钱在里面不停地翻滚。
0:7:24|0:7:36|不一会儿，她将铜钱全部倒出，她掐算手指还念着咒语。
0:7:36|0:7:39|还没等[凉夏]反应过来，闺蜜拿出一本古书。
0:8:12|0:8:14|听闺蜜这么说。
0:8:14|0:8:16|[凉夏]很是欣慰，可忧郁地说道。
0:8:29|0:8:33|第二天很快到来，宾客如约而至，依次驶入别墅。
0:8:33|0:8:41|而此时，[凉夏]也在随行的队伍中，正当他开车时，突然一个身影挡到他的车前。
0:8:41|0:8:50|[凉夏]目瞪口呆地看着正前方，主持人调皮地比划着，随即他来到驾驶室的窗前，示意[凉夏]放下车窗。
0:8:56|0:9:5|已送到[凉夏]不可置信地看着他并接过礼盒，拿在怀里观察着。
0:9:6|0:9:15|总之，他比划着笑脸，当[凉夏]在抬头时，他早已不见踪影。
0:9:15|0:9:18|[凉夏]环顾四周，试图寻找他的身影。
0:9:18|0:9:24|紧接着，他一把撕开外包装，打开盒子，每一颗巧克力都是独立包装，陈列在礼盒里。
0:9:28|0:9:36|让我们祝贺今天婚礼的主角奥利亚夫妇，两人却看向台下的空位。
0:9:36|0:9:43|我们的新郎还为新娘准备了一份惊喜。
0:9:43|0:9:49|所后，新郎从伴郎送上的盒子中拿出一个镶满钻石的纯金乌龟壳。
0:9:49|0:9:51|新娘看着乌龟壳激动地捂住嘴巴。
0:9:53|0:9:56|新郎深情地向新娘表达着爱意。
0:9:56|0:9:59|随后，二人幸福地拥吻在一起。
0:9:59|0:10:1|[凉夏]站在新娘身后，十分感动。
0:10:1|0:10:5|看着闺蜜如此幸福，她高举双手为她鼓掌。
0:10:5|0:10:11|就在这时，[茅亮]悄悄走了进来，[凉夏]一眼就注意到他。
0:10:11|0:10:14|[茅亮]尴尬地穿过人群，走向自己的座位。
0:10:26|0:10:28|巨光灯下的[凉夏]，内心一阵窃喜。
0:10:36|0:10:39|刚坐下的[茅亮]，连忙站起身走向台上。
0:11:4|0:11:11|此时，仿佛让二人回到了十年前，[茅亮]向[凉夏]表白的时候。
0:11:51|0:11:59|[凉夏]满怀期待地望着[茅亮]，而[茅亮]却牵强地挤出一丝微笑，随后接过话筒。
0:12:7|0:12:14|两下听后，脸上的笑容瞬间消失，他一脸认真地盯着[凉夏]，却得不到回应。
0:12:14|0:12:17|[茅亮]心虚地低下头，不敢看他的眼睛。
0:12:17|0:12:25|就在这时，[茅亮]的手机突然响了起来，他连忙掏出手机，看了看来电显示。
0:12:25|0:12:27|说完，他便转身离去，边走边打电话。
0:12:30|0:12:38|此时的[凉夏]不知所措地看着周围，闺蜜一脸心疼地看向他，随后[凉夏]立刻穿上外套追了出来。
0:12:38|0:12:46|[茅亮]驾车从他面前驶过，他着急得跺脚，下一秒他跑向自己的车坐了进去，立刻追了上去。
0:12:46|0:12:55|不一会儿，他便追上了[茅亮]，可近在咫尺的距离，他却无法使[茅亮]停下来，于是他给[茅亮]打电话，谁料电话中却传来。
0:12:58|0:13:1|见[茅亮]没有接电话，他着急地重新拨打。
0:13:1|0:13:8|电话持续震零，此时，[茅亮]的车不停地加速超越前方的车，他在后面穷追不舍。
0:13:8|0:13:13|突然，前方的车想超车，他随即横踩刹车，狂按喇叭。
0:13:13|0:13:17|前车避开后，他一脚由门追了上去，途中将巧克力一颠散开来。
0:13:31|0:13:40|这时，[茅亮]的车驶过十字路口，[凉夏]却被红灯拦了下来，她看着[茅亮]车子的背影，心中五味杂陈。
0:13:40|0:13:44|这次[茅亮]彻底失望，可[凉夏]只是想跟他有个结果而已。
0:13:44|0:13:53|就在[凉夏]目光呆滞地看着正前方时，天空下起了雨，一颗冰凉的雨珠率先从天而降，打在车窗上。
0:13:53|0:14:0|煞时间，雨势变大，从天边狂泻而下，斗笠般大小的雨点有节奏地打击着车身。
0:14:0|0:14:6|而车内，[凉夏]再也藏不住内心的脆弱，放声地哭了起来，感觉全世界都将她抛弃。
0:14:6|0:14:10|慌乱中，她环顾四周试图寻找一丝安慰。
0:14:10|0:14:15|突然，她注意到放在副驾上的魔法巧克力，便立刻抓起一颗塞进嘴里。
0:14:16|0:14:34|他捂住嘴巴失声痛哭，乌云笼罩的天空突然响起一阵雷声，接着一道闪电划破天空，此时红灯也变成了绿灯，[凉夏]在后车的催促中停止了哭泣，目光呆滞地驾车前进，雨刮气履行着自己的职责。
0:14:34|0:14:43|一遍遍地为[凉夏]刮干挡风玻璃上的雨水，可他的泪水却无人帮他擦去，就在这时，挡风玻璃上的雨水奇迹般地回流了。
0:14:44|0:14:50|画面追溯到[凉夏]的眼睛里，只见无数条神经脉络发出奇异的光芒。
0:14:50|0:14:54|不一会儿，画面回到[凉夏]坐在车内的情景。
0:14:54|0:14:59|她眨了眨眼睛，却没有注意到前方车辆的指示灯，直接撞了上去。
0:14:59|0:15:5|她缓缓抬头看向前方，眼前的一切竟是模糊的，就连对面的车子都出现了重影。
0:15:6|0:15:15|就在[凉夏]晕头转向时，被撞的司机早已下车站在窗前，他疯狂地拍打窗子，大喊着让[凉夏]下来。
0:15:15|0:15:21|[凉夏]疑惑地看着他，却始终看不清他的长相，无奈只能打开车门走下去。
0:15:21|0:15:27|他站在车旁，依旧听不见司机在说什么，反而只觉得今天阳光格外的耀眼。
0:15:27|0:15:32|他瞇着眼睛看着太阳，却看到周围的一切无比的陌生。
0:15:32|0:15:38|就在他侧过身看向车时，竟无意间看到了车窗上映射的自己。
0:15:38|0:15:41|他一脸震惊地弯下腰，仔细观察着。
0:15:41|0:15:50|看着这张他既熟悉又陌生的脸，突然，一旁的司机推了他一把，紧接着又说道。
0:15:50|0:15:53|[凉夏]侧过头，一脸天真地看向他。
0:16:0|0:16:16|说完，被撞司机掏出手机打了电话，[凉夏]则继续欣赏自己，一脸无所谓地把玩着耳饰。
0:16:16|0:16:18|听后，[凉夏]转头就跑。
0:16:23|0:16:31|他在骂骂声中逃跑，边跑边提着裙子，好不容易穿过车辆跑了出来，回头却发现自己迷路了。
0:16:31|0:16:37|他站在路边弯腰喘着粗气，竟意外看到对面显示屏播放欧洲杯的时间是2016年。
0:16:50|0:17:12|突然，[凉夏]兜里的手机响起，她翻出手机，看到是闺蜜[白晓柠]的来电，脸上露出了笑容，可她怎么都无法接通，她着急地翻着手机寻找办法。
0:17:41|0:17:52|闺蜜一脸震惊地捂住嘴巴，随即又捏起[凉夏]的脸左右地看着，闺蜜回想着刚才发生的一切，肯定地对[凉夏]说，
0:18:18|0:18:25|她张开双手，幻想着站在聚光灯下，而闺蜜咬着手指将头转向一边。
0:18:48|0:18:51|[凉夏]一脸委屈的看向闺蜜。
0:18:51|0:18:54|他紧皱眉头，不敢相信的说，
0:19:17|0:19:21|闺蜜不停地晃着脑袋。
