0:1:54|0:2:2|画面中，羊孤独的身影在冰雪中前行，艳阳当空，两只狼悄悄地跟在它的身后。
0:2:2|0:2:5|画面一转，影片正式开始。
0:2:5|0:2:14|此处是借山达坂，海拔5248米，是沿昆仑山南辕，横穿羌塘无人区的起点三叉路口。
0:2:15|0:2:31|淡淡的积雪覆盖山顶，一只小帐篷矗立在茫茫的荒原中，[大狼]躺在帐篷里，身旁的烧水瓶滋滋沸腾着，水蒸气弥漫在他的脸上，他咳嗽不断，眼神空洞，陷入沉思。
0:2:31|0:2:34|两久，帐篷外出现一个人影。
0:2:35|0:2:39|人影在外张望一阵，走向帐篷的出口。
0:2:39|0:2:44|[杨柳松]坐起身，警觉地打量着，随后拉开拉链。
0:2:44|0:2:47|眼前是一个穿着迷彩军装的军人。
0:3:6|0:3:11|军人严肃地将[杨柳松]上下打量了一番，看得[杨柳松]有些尴尬。
0:3:21|0:3:28|[小乔]拿了药，跑来交给军人，军人接过后递给[杨柳松]，[杨柳松]感激地看向他。
0:3:43|0:3:59|敬礼握手后，军人们坐上车离开，车子驶向一望无际的前方，黄土上覆盖着皑皑白雪，丝绿云雾漂浮在蓝天上，与地平线相互交融，几只大雁在远方展翅飞过。
0:3:59|0:4:8|[杨柳松]愁愁地走到公路边，目送着车子渐渐消失，他转过头，身后依然是望不到边际的荒漠和干冷的日照。
0:4:9|0:4:12|难以预测的未知危险将他包围。
0:4:12|0:4:20|片刻的思索和犹豫过后，他收拾起帐篷和行装，推上自行车，决定继续出发。
0:4:24|0:4:27|独自一人徒步穿越。
0:4:27|0:4:36|八十天，没有人烟没有后援。
0:4:42|0:4:46|戴好手套，整理好帽子，仰目光坚定。
0:4:46|0:4:56|他深深吸了一口气，推起车子，艰难地通过了一个纵向横跨的沟壑，随后大步向前走去。
0:4:56|0:5:1|镜头逐渐拉远，茫茫的荒漠沿途上，只有车轮使过的痕迹。
0:5:2|0:5:8|脚下是坚硬的泥土，石块和沙粒密密麻麻地镶嵌在其中。
0:5:8|0:5:16|远方望不到头，天际与大地无限蔓延，羊的身影孤独，渺小却格外坚毅。
0:5:21|0:5:33|遥阔的高原荒漠与天际相接，云层低垂密布在空中，被阳光微微打亮，远镜头下，[杨柳松]的身影缓慢地在交界线上移动。
0:5:45|0:5:50|根据路况的不同，他时而步行前进，时而登车而行。
0:5:50|0:5:54|在广袤的平地上，留下他义无反顾的身影。
0:5:54|0:5:59|自然的浩瀚在此时被放大到极致，映照着人类的渺小。
0:5:59|0:6:2|也正因如此，[杨柳松]所迈出的每一步，
0:6:5|0:6:12|[杨柳松]所迈出的每一步，都更像是为人类明知不可为而为之的勇敢与坚韧的宣告。
0:6:12|0:6:20|慢慢地，他走过荒漠中的一汪湖泊，以湖泊水解渴，水的清澈荡漾着天空中的白云。
0:6:20|0:6:26|他走过渐渐消融的冰川，举起相机记录下积雪的融化，汇聚成河。
0:6:26|0:6:36|河中微微涌动的浪花，舒缓地翻涌着，云层随着时间的推移，越压越低，渐渐将天空演成黑色。
0:6:36|0:6:42|黑云之下，狂风大作，尘土飞扬，扬的前进变得十分的困难。
0:6:42|0:6:52|他撑起一把大伞，绑在自行车的尾部，以此对抗风的阻力，朝着它刮来的方向，在起伏崎岖的山脉间尖龙前行。
0:6:53|0:6:57|[杨柳松]的内心是急迫的，它身体腾空，蹬得飞快。
0:6:57|0:7:2|头部满石块，凹凸不平的草地，很快让它失去重心。
0:7:2|0:7:8|它从车上摔了下来，不过很快便重振旗鼓，继续前进。
0:7:8|0:7:11|风过天晴，云层散开。
0:7:11|0:7:16|[杨柳松]到达了一片草地，不远处是成群的藏羚羊。
0:7:16|0:7:20|它下车步行，一边走一边注视着羊群奔跑而过。
0:7:30|0:7:36|画面一转，天色微暗，他推车走过一座山丘，来到一处湖泊。
0:7:36|0:7:41|夕阳西下将湖面打亮，泛起淋漓的波光。
0:7:41|0:7:47|一旁的草地上，两只小松鼠面朝着日落，探头探脑地张望着。
0:7:47|0:7:51|羊在湖边卸下行装，搭起帐篷，这里便是今晚的过夜处。
0:7:53|0:8:2|[杨柳松]已然完全黑掉，[杨柳松]在帐篷里用便携的打气筒升起火炉，摆上小锅，养出几勺蛋白粉，放进了锅里。
0:8:38|0:8:42|2010年4月20日，苏营地海拔4658米。
0:8:55|0:9:1|[杨柳松]陷入回忆中，那是他来到借山打板的第一天，他乘的是一辆运羊群的顺风车。
0:9:8|0:9:21|卡车停在借山打板的入口公路，[杨柳松]从卡车后一群羊群里站起身，将行李一一扔下车，最后抬着自行车穿过羊群，将车从上面放下。
0:9:21|0:9:25|他下了车，向准备离开的司机师傅挥手致谢。
0:9:25|0:9:30|在高原上，这一套简单的程序做下来，已经让他有些上不来气。
0:9:31|0:9:34|他一边收拾，一边沉重地喘息着。
0:9:34|0:9:40|卡车缓缓开走，他低头扫视，好像总觉得少了些什么。
0:9:40|0:9:44|猛然惊觉，是自己落下了两个重要的包裹。
0:9:44|0:9:47|他惊慌地扔下扶着手里的自行车，向卡车追去。
0:9:55|0:10:5|可是司机师傅并没有听到[杨柳松]的呼喊，车越开越远，[杨柳松]骑上自行车追赶，[杨柳松]使劲蹬，可距离还是不断拉大。
0:10:5|0:10:12|渐渐地，[杨柳松]感到上不来气，只能停下，张着嘴大口喘息着。
0:10:12|0:10:22|两年的精心准备，抵不上老天的一次愚弄，两个头包忘在了卡车上，只好返回拉萨，补充装备。
0:10:23|0:10:33|场景来到拉萨市内，低矮的楼房林立被群山包裹，布达拉宫鹤立其中，依山而聚，慧红气派。
0:10:33|0:10:44|沿着枝子形阶梯盘旋而上，只见边马墙承接着白宫，而红宫则坐落于山顶，显露着古老而神秘的威严。
0:10:44|0:10:47|小巷里，女主[蓝天]正趴在车下修理轮胎。
0:10:55|0:11:5|他艰难地从车底爬出，喘着气靠在车身上，并将拉链外套拉开，用手将两条贪软没有知觉的腿摆好。
0:11:5|0:11:8|擦了把汗后，继续准备将轮胎拆卸下来。
0:11:8|0:11:11|正巧，[杨柳松]这时骑着自行车路过。
0:11:14|0:11:18|一个没扶稳，[蓝天]被轮胎郑重压住。
0:11:18|0:11:22|他努力地用腰部和手指劲，想将轮胎挪开。
0:11:22|0:11:25|看到这一幕，[杨柳松]连忙下车，帮他将轮胎扶起。
0:11:32|0:11:40|推开了[杨柳松]，[蓝天]费力地将轮胎装上，[杨柳松]有些不解，可看着对方坚定固执的模样，他还是推着车子离开。
0:11:40|0:11:46|走到拐弯处，他回头，看到了轮椅，原来[蓝天]是残疾人。
0:11:46|0:11:49|随后，[杨柳松]来到了[老队长]的家中。
0:11:56|0:11:58|[老队长]对[杨柳松]说。
0:12:4|0:12:8|这时，[蓝天]划着轮椅进来了。
0:12:38|0:12:39|冰雪风暴。
0:13:3|0:13:6|[老队长]无奈地点了点头。
0:13:33|0:13:36|到了谢的[蓝天]，划着轮椅离开。
0:13:36|0:13:39|[杨柳松]惊讶地看着客栈墙上的照片。
0:13:39|0:13:45|照片里，[蓝天]潇洒地站在高原上，脸上洋溢着幸福的微笑。
0:13:45|0:13:49|一阵歌声响起，[杨柳松]跟着声音来到客栈里。
0:13:49|0:13:53|原来是[蓝天]正弹着吉他，在为住店的旅友们歌唱。
0:14:53|0:14:58|演唱结束，[蓝天]开始为残疾人们讲授生活技巧。
0:14:58|0:15:2|跟着音乐，[蓝天]快乐地在轮椅上摇摆舞动。
0:15:37|0:15:42|[杨柳松]在一旁搭起画架，描绘着腔堂无人区的地图。
0:15:42|0:15:47|[蓝天]热情地与残疾人们合力引后，向[杨柳松]的方向往去，出神地看下那幅图。
0:15:49|0:15:57|人群散去，夜深人静中，[蓝天]划着轮椅，独自来到地图前。
0:16:11|0:16:16|他拿出笔，在[杨柳松]写下的八十天后面，画上了一个问号。
0:16:16|0:16:24|清晨，阳光照进房间，[小狼]狗从窗台上跳下去跑开，镜头进入屋内。
0:16:24|0:16:29|[蓝天]从床上坐起，拿起保温杯喝了一大杯水，身旁还放着尿袋。
0:16:30|0:16:36|他坐上轮椅，用手将腿抬到胸前活动拉伸，随后艰难地穿上鞋。
0:16:36|0:16:44|另一边，[杨柳松]也醒过来，他眉头紧皱，平躺在床上沉思两久后猛地坐起身。
0:16:44|0:16:55|拿着行李，登上自行车来到客栈外院的公告板前，板上密密麻麻地贴着各自的便利贴，写着寻找结伴、拼车、导游等的信息。
0:16:56|0:17:16|[杨柳松]也在上面贴上一张纸，纸上写着阿里球代，[杨柳松]，13910093013。之后，他来到地图前，看着那个被[蓝天]打上的问号，思索了片刻后，他重重地划过问号，在上面画了一个指向东边的箭头。
0:17:16|0:17:20|画面一转，院子里，[蓝天]正在接受记者的采访。
0:18:4|0:18:7|[杨柳松]默默地来到天台，向下注视[蓝天]。
0:18:7|0:18:18|[蓝天]送走记者们，拿起一本书，安静地看了起来，书的内页里是一张他的照片，他手指轻轻捂摸着照片中自己微笑的脸庞。
0:18:20|0:18:33|一阵失落和痛苦袭来，他猛地将书扔掉，转身进到屋里，看到了地图上[杨柳松]留下的箭头，他愣住了，此后嘴角勾起了一抹淡淡的微笑。
0:18:33|0:18:37|另一边，[杨柳松]在房间里，回想着[老队长]说的话。
0:18:50|0:18:53|想到这些，[杨柳松]的表情愈发凝重。
0:18:53|0:18:58|而与此同时，[蓝天]正在一个人静静地坐在天台上。
0:18:58|0:19:8|他仰起头，看着天空，又看向远处的屋檐瓦舍，群山峻岭，那些此生再难以实现的向往，让他感到无比的惆怅与忧伤。
0:19:26|0:19:46|夜晚，[蓝天]摇着轮椅来到客栈的院子，路过墙上那张自己的照片时，他停了下来，他看着照片里那个自由、快乐、完整的自己，看着曾经在自己身后的壮阔山河，一个大胆的决定在他心里燃起，他的脸上慢慢浮现出笑容。
0:19:48|0:19:57|第二天清晨，[蓝天]收拾好行李，将房间的钥匙放在憨睡中的[老队长]的身旁后，滑着轮椅离开了客栈。
0:19:57|0:20:9|他开着车向山的方向驶去，车开到一个钉字路口时，前方出现了一个熟悉的身影，一个推着自行车的男人正在拦过路的车。
