0:1:45|0:1:50|[黑羽]族生活在天都城。
0:2:18|0:2:25|在天都城内，幼年时期的[泥空空]正躲在狭窄的山洞内，用篱笆挡在洞口，紧张地向洞外望去。
0:2:42|0:2:47|一个稍微年长几岁的大孩子将其他人赶走后对[泥空空]说。
0:3:9|0:3:17|[泥空空]缓缓移开篱笆，胆怯地看着洞前陌生的大孩子。
0:3:17|0:3:21|大孩子设法将[泥空空]骗了出来。
0:3:21|0:3:26|这时，一个小孩竟掏出匕首，滑向[泥空空]那散发着光芒的手心。
0:3:29|0:3:40|多年后的一天下午，已经成年的[泥空空]坐在天都城的房檐上，看着自己仍然发光的手心，想着儿时痛苦的回忆。
0:3:40|0:3:47|这时，他的宠物欧咖蹦蹦跳跳地在他身边比划着，[泥空空]看了看，无奈地说道。
0:3:57|0:4:3|[泥空空]说吧，便带着欧咖跃下屋檐，来到了天都城最热闹的大街上。
0:4:3|0:4:13|宽阔的大街被往来的百姓围得水泄不通，沿街的商户更是生意兴隆，慕名而来的商人们游走在各个商铺之间。
0:4:55|0:5:4|这时，[泥空空]扔给他一块金子。
0:5:4|0:5:8|可老板刚一转身，[泥空空]顺手又将金子偷了回来。
0:5:26|0:5:33|[泥空空]瞬时回忆起儿子的遭遇，直接掏出匕首，将壮汉刺倒在地。
0:5:33|0:5:37|起身后，发现周围已经被数名手持砍刀的打手包围。
0:5:37|0:5:45|在江湖藏荡多年的[泥空空]丝毫不慌，只见他将一根铁锁甩到地上，欧咖立刻抓紧铁锁，身体全缩成球状。
0:5:46|0:5:49|[泥空空]竟然把欧卡甩散几人。
0:5:49|0:5:56|有着坚硬外壳的欧卡丝毫不适于任何兵器，犹如铁锤一般无情地将几人砸倒在地。
0:5:59|0:6:2|[泥空空]见形势不妙，便释放捏雾弹，准备逃跑。
0:6:2|0:6:7|无量还是被上空的大王给拦住了。
0:6:7|0:6:12|将[泥空空]捆绑住后，打手的主人拿着假货，走到他面前说道。
0:6:50|0:6:55|你公公无奈，只能铤而走险。
0:7:19|0:7:27|等到夜幕降临，利用轻功，飞檐走壁般地来到了郡王府的屋顶之上，寻找着时机。
0:7:40|0:7:48|此时的郡王府已经是冰棚满座，院中的奇珍异宝数不胜数，就算是顶级的翡翠玛瑙在这里也不算什么。
0:7:48|0:7:51|这时，府中总管向众人喊道，
0:8:31|0:8:40|郡王将步转下，只见水晶石中竟有一只散发着奇光的海马，海马的头酷似龙头，身后还长着两对翅膀。
0:8:40|0:8:46|虽然天都城奇珍异宝花样繁多，但如此宝物在世上绝找不出第二件。
0:8:46|0:8:56|就在郡王还沉浸在众人羡慕的目光中，丝毫没有察觉到[泥空空]和欧卡已经神不知鬼不觉地来到了郡王府专门放置宝物的地宫之中。
0:8:57|0:9:1|一[泥空空]看着面前数不胜数的宝物，心里乐开了花。
0:9:1|0:9:6|但听到侍卫巡逻的脚步声后，便急忙带着欧咖藏于房梁之上。
0:9:6|0:9:9|可是嗅觉敏锐的侍卫，还是觉察到了异样。
0:9:14|0:9:19|侍卫以为自己听错了便没在意，转身要走。
0:9:19|0:9:25|不料，他刚一转身，被面如蝙蝠一样的语族杀手[黑羽]用匕首洞穿头颅。
0:9:25|0:9:32|紧接着，长相更为恐怖的[雷暴]手持一柄巨大铁斧，将周围的侍卫逐个劈成两半。
0:9:32|0:9:36|可他们刚踏进地宫门口，这被战斗力高强的[风啸]瞬间解决。
0:9:44|0:9:50|这时，还没断气的侍卫砍向[风啸]，与此同时，[贺颖]引向[风啸]扔出飞镖。
0:10:45|0:10:50|欧咖的屁味儿逐渐从房梁传到了下面。
0:11:0|0:11:4|就在这时，郡王府的灯笼被诡异的风吹灭。
0:11:4|0:11:6|[贺颖]见状，媚笑着说道。
0:11:12|0:11:15|[泥空空]见几人走后，也跟了出去。
0:11:15|0:11:17|午中的王妃对[郡王]说道。
0:11:19|0:11:22|[郡王]拿着天空之眼，继续介绍。
0:11:42|0:11:52|语族的主人[血烈]，话音刚落便从大门瞬移到了[郡王]面前，这时，[风啸]三人也及时赶到，玩世不恭的[郡王]见此情景嬉笑说。
0:12:1|0:12:6|[血烈]冷笑一声后，从后背突然伸出六根受损的骨头。
0:12:6|0:12:12|紧接着，[黑羽]也开始从骨头上转开，一对硕大无比的翅膀展现在众人面前。
0:12:12|0:12:17|没想到，[血烈]正用翅膀上的肩骨刺向腹中的宾客。
0:12:17|0:12:22|一瞬间，宾客拼命地四散逃跑，可残忍的[血烈]将众人逐一刺死。
0:12:23|0:12:31|这时，[郡王]拿着宝物在地上爬着准备溜走，不料[血烈]猛地一甩，将王妃的尸体甩到他的面前。
0:12:31|0:12:36|[郡王]虽然玩世不恭，但看着爱人死于面前，他愤怒地站起身来。
0:12:36|0:12:44|可无奈，二人的实力差距过大，[血烈]用骨刺洞穿了[郡王]的肩胛骨，并将其牢牢钉在墙上。
0:12:44|0:12:47|[血烈]伸手拿走郡王手中的天空之眼，并说道。
0:13:2|0:13:8|第二天一早，得知此事的将军快马加鞭地穿过闹市，直奔[皇帝]宫而去。
0:13:8|0:13:11|这[皇帝]宫傍山而见，足有百米之高。
0:13:11|0:13:14|在山峰的衬托下，气势显得格外挥霍。
0:13:14|0:13:21|将军进入城内，摇旗快马，独步穿过小路，再乘坐如电梯般的风梯，才赶到[皇帝]上面前。
0:14:15|0:14:21|[杨震虎]听到命令后，一边听属下讲，一边推开郡王府的大门，只见府中尸横遍野。
0:14:21|0:14:24|这时，手下发现[黑羽]悄悄跟来。
0:14:40|0:14:46|面对虎牙的推搡，[飞龙]自然是没说二话，几下便将己人放到虾地。
0:15:20|0:15:27|与此同时，当天在地宫中得知消息的[泥空空]已经带着欧卡先一步来到了灵异山。
0:15:27|0:15:32|这灵异山上坐落着一尊巨大石雕，而山洞正在其脚下。
0:15:42|0:15:55|此后，[泥空空]打开暗道的石门，将开关用力转向，只见石壁上缓缓出现一面铜镜，这铜镜将阳光折射到洞底深处。
0:15:55|0:15:59|欧卡爬到他身上后，[泥空空]便抓住绳索，缓缓向洞底爬去。
0:15:59|0:16:4|下滑到一半时，[泥空空]那有着奇异裂缝的右手忽然刺痛。
0:16:37|0:16:42|在互动的灰尘散去，只见石墙后是一个精心挖掘处的洞穴。
0:16:42|0:16:47|洞穴四周的石墙上，到处都是价值不菲的荧光石。
0:16:47|0:16:48|[泥空空]弓箭状激动地说。
0:16:53|0:17:0|说吧，他便掏出勾锁挂在墙上，随后兴奋地将墙上的荧光石逐个摘下放进布袋里。
0:17:0|0:17:4|他正享受发财的喜悦时，右手突然又传来一次剧痛。
0:17:4|0:17:9|他摘下手套后，发现右手裂缝的光芒竟异常的耀眼。
0:17:9|0:17:16|此时，他也顾不上偷盗荧光石，凝视了裂缝许久后，似乎感受到一股神秘的力量。
0:17:16|0:17:20|他抬头看向面前的瀑布，随后将掌心对着瀑布的方向。
0:17:21|0:17:27|这时，瀑布后竟也散发出了和掌心裂缝同样的光芒。
0:17:27|0:17:35|[泥空空]见状，将手掌用力举过头顶，没想到，他瞬间被瀑布后神秘的光芒吸了进去。
0:17:35|0:17:43|穿过瀑布才看见，那可以与[泥空空]掌心呼应的神秘光芒，是由一个巴龙柱铁盒散发出的。
0:17:43|0:17:46|离那铁盒越近，[泥空空]则是越能感受到那股神秘的力量。
0:17:48|0:17:53|他为了揭开掌心的秘密，咬紧牙关用尽全力将铁盒握在掌心。
0:17:53|0:17:59|神奇的是，铁盒上的光芒在接触到掌心的裂缝后竟被[泥空空]给吸收了。
0:17:59|0:18:3|可他还是没能得知裂缝与铁盒的真相。
0:18:3|0:18:12|此时，[风啸]带着两名羽人侍卫也来到了洞穴底部，可毫不知情的[泥空空]还在用石头拼命地想要砸开铁盒。
0:18:23|0:18:31|直接射出两支箭弩，被[泥空空]凌空躲避，[风啸]缓缓走过来，说道。
0:18:31|0:18:34|[泥空空]很识趣，将盒子放在地上，踢到[风啸]脚下。
0:18:34|0:18:37|这时，欧卡跑到[泥空空]的身边。
0:18:57|0:19:3|[泥空空]趁敌人分清时，迅速扔出欧咖，将侍卫砸晕，随后拿到剑弩，射向[风啸]。
0:19:3|0:19:6|没想到，[风啸]竟将剑弩反弹回来。
0:19:6|0:19:9|此时，[黑羽]突然出现，救下[泥空空]。
0:19:32|0:19:40|[泥空空]突然发难，将欧卡猛地踢向[风向]，紧接着一拳直奔面门，可这种把戏在[风向]面前毫无作用。
