0:1:9|0:1:13|一条宽阔的小巷上，阳光洒在街道上显得特别明亮。
0:1:14|0:1:18|风和日丽的日子里，百姓各自忙碌着。
0:1:18|0:1:26|就在这时，视线随着镜头来到街边的一家铁匠铺，里面站着两位男子，不停敲击着木墩上的铁料。
0:1:30|0:1:37|火堆持续燃烧，烟像铁蛇一样盘绕成一圈圈，愈盘愈高，渐渐离去。
0:1:37|0:1:45|在大小锤交替锤下，被火烧拌成了铁料，发出滚烫的光，照得[尉迟恭]浑身冒汗，掉下斗大的颗粒。
0:1:46|0:1:56|[尉迟恭]继续将铁放进火里锻造，路过的人无不惊叹他的打铁技术，铁滚在锋利下一闪一闪，似乎要化成水。
0:1:56|0:2:7|在铁针上，[尉迟恭]趁热打铁，每打一下火星飞溅，[尉迟恭]抡大锤敲，老者持小锤点，一大一小，一敲一点，一灼一清。
0:2:7|0:2:14|声音有了节奏，引得路人注目，纷纷夸赞二人的打铁技术高超，感叹着炼铁工艺的复杂。
0:2:15|0:2:30|在众人的注视下，[尉迟恭]高举酒葫芦，大喝一口并没有咽下去，在众人期待下，他对准铁棍被火烧过的地方喷出了酒，铁棍火星四溅，引得众人拍手叫好。
0:2:30|0:2:42|男人又来到铁砧旁盛满水的大木桶，将铁器入水冷却后，伴随着呲啦声，表面的水蒸发冒出蒸汽，[尉迟恭]露出满意的笑容。
0:2:42|0:2:48|男人拿出水中冷却的铁料，已然变成了一把精美的铁鞭。
0:2:48|0:2:53|屋里的女人此时走出来，呼唤着男人和[尉迟恭]。
0:3:19|0:3:23|妻子转身，走进屋内。
0:3:23|0:3:34|男人坐在[尉迟恭]的正对面，捧着比自己脸还大的碗，边吃面边感叹道。
0:3:44|0:3:51|男人借过妻子怀中的婴儿，抱着孩子慢慢坐下，妻子逗弄孩子的小脸，一家三口，其乐融融。
0:4:21|0:4:23|孩子摸着母亲挂在铁边上的铃铛。
0:4:28|0:4:33|妻子抱起孩子上下颠倒，[苏玉梅]则继续捧起碗吃饭。
