0:0:58|0:1:3|清晨，太阳在城市上空升起，停车场忽然抬起，使劲一辆轿车。
0:1:3|0:1:6|建筑工地内，传出男子打电话的声音。
0:1:12|0:1:17|画面一转，女子打开档案柜，熟练地开启电脑。
0:1:17|0:1:24|电话那头的男子神色紧张，另一边的会议室，两名女子在堆满文件的桌前低声讨论。
0:1:24|0:1:30|随着一阵油门声，画面来到会议室内，一杯茶被重重地放到女子旁边。
0:1:37|0:1:42|[金岚岚]礼貌道谢，头却没抬一下，一门心思全在面前的文件上。
0:1:42|0:1:47|[黄龙彪]深吸一口气，直勾勾地盯着认真工作的[金岚岚]。
0:1:47|0:1:51|她缓慢走出会议室，随即又回头，面露紧张。
0:1:51|0:1:56|[黄龙彪]无奈走出，一抬头便被阳光刺得打了个喷嚏。
0:1:56|0:2:1|她四处张望着面前的工地，又回头看了眼[金岚岚]。
0:2:3|0:2:6|她面对着空无一人的场地，大声喊道。
0:2:26|0:2:33|画面一转，[金岚岚]一行人被[黄龙彪]带到工地上。
0:2:48|0:2:53|[黄龙彪]一阵吹嘘，[金岚岚]却盯着钢筋一言不发，他摸着钢筋发出疑问。
0:3:6|0:3:9|[黄龙彪]谎言被戳穿，尴尬地低下头。
0:3:9|0:3:19|大厅内，随着一阵雷鸣般的掌声，[金岚岚]带着微笑走上舞台，台上挂着热烈欢送[金岚岚]同志赴农村基地挂折的横幅。
0:3:19|0:3:23|掌声不断，[金岚岚]看着台下众人，深深地鞠了一躬。
0:3:24|0:3:30|夜晚，城市内万家灯火通明，一名小女孩坐在桌前安静地拼积木。
0:3:30|0:3:35|[金岚岚]敲击键盘，正在为女儿乔乔制定起居饮食程序表。
0:3:35|0:3:41|她拿着打印出来的程序表，边看边露出欣慰的笑容，对着屋内大喊。
0:3:48|0:3:55|丈夫放下菜刀，看着饮食表，推了推眼镜说。
0:3:55|0:3:59|丈夫说话到一半，[金岚岚]回头看着他笑出声。
0:3:59|0:4:5|丈夫拿着饮食表走向[金岚岚]。
0:4:13|0:4:20|画面一转，薄雾笼罩着[罗根新]村，远处的山坡若隐若现，房屋整齐排列着。
0:4:20|0:4:25|[黄龙彪]身着西装，夹着皮包，悠闲地吹着口哨走在乡间小路上。
0:4:25|0:4:30|一个转弯正好碰到半路出来的女子，见状男子立刻往回走。
0:4:37|0:4:44|[黄龙彪]边跑边回头看，他拿出车钥匙开门，随着重重的关门声，便扬长而去。
0:4:44|0:4:50|女子看着跑远的[黄龙彪]，气愤地说道。
0:4:50|0:5:0|女子快步走在空无一人的乡村小路，时不时还用手拨着被风吹起的刘海，她跑入村委会，推开村委会广播室的大门，打开话筒。
0:5:24|0:5:30|男子放下碗筷出门，正好碰到身披夹克外套，满脸愁容的[罗善仁]。
0:5:30|0:5:33|远处的[罗善仁]因为着急，竟将鞋都走掉了。
0:5:33|0:5:34|男子嘲笑道。
0:5:43|0:5:49|薄雾笼罩的乡村，地面湿漉漉的，[罗善仁]一个转弯，已来到村委会门口。
0:6:43|0:6:48|[陶花]面目狰狞，起身对[罗根新]说道。
0:6:48|0:6:54|[陶花]气愤离开，[罗根新]也跟着走出去，[罗善仁]看着离开的二人呆呆地站在原地。
