0:0:8|0:0:26|伴随着音乐的声音，画面逐渐出现缓缓走动的脚步，而后镜头一转。
0:0:26|0:0:38|一场西式婚礼现场出现在我们面前，只见新娘在众人的注视下慢慢走向台上。她身后的花童不断向空中抛洒花瓣，而新娘的脸上洋溢着幸福的笑容。
0:0:38|0:0:52|不一会儿，她便来至台下，台上的新郎此时也向前几步牵起新娘，将她引至台上。而后，新娘转身与新郎并肩，台下的宾客随即响起掌声。此时，台上的司仪开口道。
0:2:12|0:2:27|画面渐渐出现几只蝴蝶，不一会儿，蝴蝶缓缓飞走，带出本片的片名《爱爱九世》。而后画面一转，一座城市渐渐浮现在眼前，城市中的高楼大厦排列整齐，画面缓缓停在一栋楼宇前。
0:3:46|0:3:49|画面一转，高大的写字楼随即出现。
0:3:49|0:3:56|画面来到写字楼内，只见一个女孩此时走进来，她一边整理背包，一边忙着向路人打招呼。
0:4:44|0:4:48|她最擅长的就是讨好高层，打压下属。
0:5:13|0:5:23|说吧。正走在公司走廊的[曹爱爱]突然停下脚步，看向对面，只见[颜朗]此时正缓缓走来。[曹爱爱]随即将文件抱在胸前，低头缓缓向前走去。
0:5:24|0:5:32|二人擦肩而过的瞬间，[曹爱爱]突然转身倒下，一旁的[颜朗]顺势抱住她，只见她双眼微闭，嘴唇撅起。
0:5:32|0:5:37|此时，[曹爱爱]的脑海中出现[颜朗]微闭双眼，缓缓靠近她的画面。
0:5:37|0:5:41|突然，她猛地睁开双眼，而后连忙起身站好。
0:5:41|0:5:44|颜朗则转身，捡起地上的文件递给她。
0:6:6|0:6:8|说完，颜朗便转身离开。
0:6:8|0:6:12|[曹爱爱]看着颜朗的背影，恼恨地拍着额头转身离去。
0:6:12|0:6:17|而后画面一转，出现一家咖啡店，紧接着出现一个男子的照片。
0:6:17|0:6:22|只见[曹爱爱]此时拿着照片仔细端详，还时不时看向对面。
0:10:8|0:10:10|[曹爱爱]随即用英语说道。
0:10:12|0:10:16|只见对方叹了口气，转身拿出一个东西递给他。
0:10:16|0:10:21|他接过东西，只见手中的身份证上写着"讲英语"三个字。
