0:1:18|0:1:26|雾蒙蒙的天色中，整个城市冷障在一片昏暗里，清晨的道路上响起了稀稀落落的鸣笛声。
0:1:26|0:1:36|一个穿着军大衣的女人走进我们的视野，她拉着一辆破旧的木板车，脱落的螺丝昭示着这辆车的破旧，她的车上拉了一塔粗质的被旧纸板。
0:1:37|0:1:42|乱七八糟地堆在板车的一侧，还有一个废弃的塑料瓶压在上面。
0:1:42|0:1:49|女人用双手拉着车，缓慢地向前挪动着，一步一顿，在地上踩出深深的雪坑。
0:1:49|0:1:57|道路两行，玩味工人们都裹在厚厚的围巾之中，低下头勤恳地扫着地，扬起的尘土在空气中飞舞着。
0:1:57|0:2:3|拉板车的女人看了看，随后，仍旧一拳一拐地走着自己的路。
0:2:3|0:2:9|临近深冬，寒冷的空气紧紧笼罩在这片大地上，为城市送来一场大雪。
0:2:9|0:2:15|女人的每一步都踏在雪中，口中呼出着因为寒冷凝结的雾气。
0:2:15|0:2:24|女人停在了一处老旧的垃圾箱前，她将车子放在一边，半个身子都探进垃圾箱里，想在里面翻一翻，看看能不能翻到什么卖钱的东西。
0:2:28|0:2:32|此时，一声婴儿的啼哭，引起了女人的注意。
0:2:32|0:2:40|她拿着纸盒子四处张望，寻找声音的来源。
0:2:40|0:2:48|婴儿的啼哭越来越近，女人瘸着腿走到旁边，发现是一个破旧的竹篮上，带着一块布。
0:2:48|0:2:52|在冰天雪地前，女人揭开布，顶面居然是一个婴儿。
0:3:19|0:3:25|红艳南飞，蓄日出生，苍茫的天空无言地注视着大地上的一切。
0:3:25|0:3:32|在漫天飞舞的雪花中，女人颤颤巍巍地抱起了眼前的孩子，脸上露出慈爱的微笑。
0:3:32|0:3:41|这个孩子是这么小，但又具有那么顽强的生命力，她顾不上放在一旁木制推车，抱着孩子在雪地里，恍然地走了几步。
0:3:42|0:3:46|她向四周张望了半天，好像在寻找遗落下这个孩子的人。
0:3:46|0:3:52|天气是如此寒冷，女人呼出的每一口气都在空气中凝成一片雾气。
0:3:52|0:3:58|怀里的孩子却非常懂事，不知是不是天气的影响，并没有挣扎。
0:3:58|0:4:1|举目望去，唯有雪原无垠，楼影寂静。
0:4:1|0:4:6|见四下无人，[韩少芬]决定把这个孩子带回家自己照顾。
0:4:6|0:4:23|就这样，在破旧的小屋中，[韩少芬]一边勤恳地干活，一边照顾着孩子。她将孩子用厚厚的花被子裹了起来，拿绳子绑在自己的背上，同时将洗好的尿布用双手拧干，在一旁甩掉上面的水，然后再有条不紊地挂在院子中。
0:4:23|0:4:27|孩子在她的背上，始终默默地陪伴着。
0:4:53|0:5:2|即便在四下无人的深夜里，[韩少芬]也不辞辛苦地背着孩子，拖着想推车，在夜晚的垃圾箱中翻找着可用的物资。
0:5:8|0:5:14|在外面，她用自己的双手，一点点地搬着尽可能多的废品，希望能换个好价钱。
0:5:14|0:5:18|在家里，[韩少芬]不辞辛劳地包揽了抚养孩子的所有义务。
0:5:18|0:5:22|即便她的腿脚不方便，但她还是一个人努力着。
0:5:22|0:5:29|他掀开孩子的被子，将孩子抱在怀里，孩子的小脸抽搐着，很是不满的样子。
0:5:29|0:5:33|他用另一只手拍着孩子的脑袋，想让孩子安静下来。
0:5:33|0:5:38|片刻之后，他又拿起床上的毛线帽，给孩子戴上。
0:5:38|0:5:46|孩子渐渐止住了哭声，他将孩子抱得高了一些，拿起右边桌上的奶瓶，在试了试温度之后，慢慢地给孩子喂奶。
0:5:46|0:5:55|日子就这样，一天天地过去，[韩少芬]不仅要照顾年幼的孩子，更要用年迈的几倍，承担起两个人的生活重量。
0:5:55|0:5:59|白天的时候，[韩少芬]需要定时去跟收垃圾的西湖男见一面。
0:5:59|0:6:4|他拖着沉重而巨大的废旧纸板，一步一步走进垃圾场里。
0:6:4|0:6:13|他紧紧盯着撑住的天平，态度谦卑的男人谈价钱，[韩少芬]拖着自己勾搂的腿，穿行在回收站的每个角落。
0:6:13|0:6:22|男人似乎也能体谅她的难处，一直耐心地与她交谈，直到她卖完车上厚厚的纸板，拉着自己的木板车往回走。
0:6:22|0:6:26|就这样，在[韩少芬]的奋斗中，日子一天天地过去。
0:6:26|0:6:31|这天，一位年轻的美女来到了她的家里，并将孩子抱在怀里哄着玩。
0:6:48|0:6:54|带着毛线帽的小孩被残脸的阿姨抱在怀里，用小小的眼睛看着奶奶。
0:6:54|0:6:58|奶奶看着孩子明媚的笑容，自己也跟着微笑起来。
0:6:58|0:7:2|她微微点了头，对着残脸的阿姨露出了满意的笑容。
0:7:23|0:7:26|只见奶奶颤巍巍地走进办公室。
0:7:48|0:7:51|奶奶像一时的低下头，回避眼前人的目光。
0:7:54|0:7:58|奶奶再一次低下头，看着地面，长叹口气。
0:8:35|0:8:46|见左右说不过办手续的工作人员，奶奶无奈地低下头，拄着拐棍往外走，一边走一边频频回头，似乎想说什么，然而还是无言。
0:8:46|0:8:56|奶奶再次拄着拐棍，来到了一个看起来像是负责人的办公室里，甚至不肯坐下，她言辞恳切地希望面前的人能够帮到她。
0:8:56|0:9:4|两个人站在窗户前，隔着太远，听不到他们的声音，只能看见日光洒在脸上，奶奶脸上的焦急一览无遗。
0:9:5|0:9:9|似乎连对面的人也被触动，二人像是达成了什么共识。
0:9:9|0:9:15|奶奶居了一宫，这才从公安局离开，随后，她继续向政府的人解释着。
0:12:9|0:12:12|更理解他对孩子的感情。
0:12:16|0:12:20|但是，[韩少芬]确实有困难。
0:12:41|0:12:48|负责的女人心事重重地接过局长手中的水，觉得还是不妥，放下水杯再次开口。
0:13:34|0:13:36|孩子到了儿童村。
0:13:42|0:13:45|听吧，女人犹豫不决地点点头。
0:13:45|0:13:48|这天，奶奶[韩雪]和小女孩起着个大早。
0:13:48|0:13:55|女孩背着一个崭新的书包，在屋子里蹦蹦跳跳，时不时还对奶奶露出笑脸，很开心。
0:13:55|0:14:0|但是奶奶却只是一个人站在窗边，紧紧地盯着窗外的大门。
0:14:0|0:14:5|日光勾勒出奶奶脸上的轮廓，也勾勒出她脸上的不安与焦虑。
0:14:5|0:14:9|小女孩仍在屋子里蹦跳着，浑身散发着喜悦的气息。
0:14:10|0:14:17|但他发现奶奶一直站在窗户旁，迟迟不肯挪步，于是他跑上前，抓住奶奶的胳膊。
0:14:36|0:14:37|奶奶和女孩匆忙出门。
0:15:10|0:15:19|刘阿姨此时简直不敢直视奶奶的眼睛，她挽着奶奶的胳膊，三步并坐两步，往旁边走去。
