0:0:44|0:0:50|忽然，一阵急促的电话铃声响起。[徐常春]只顾整理报纸，门外工人对他喊道。
0:2:30|0:2:38|父母的争吵愈演愈烈，女儿终于忍不住夺门而出。父亲站在房门外一脸愧疚，对着女儿轻轻叹了口气。
0:2:56|0:3:12|冬天，厚厚的雪覆盖地面。[徐常春]坐上面包车离开了家，屋内一片狼藉，摔碎的杯子，衣服被扔到满地都是。妻子坐在窗前，看着门外低声啜泣，眼里竟是不甘、怀疑和委屈。
0:3:12|0:3:21|碎碎想到了伤心事，一口气憋在胸口，转身扶住额头。女儿从门外缓缓走来，试探性地叫道。
0:4:33|0:4:41|[徐常春]拿着从厂里预支的300块钱，先来到电影胶片站，看着大小一致摆放整齐的电影胶卷，一时一跳花了眼。
0:4:41|0:4:55|终于，他停在一处货架前，将下方的胶片一一抱走。被吓到的收音员还来不及反应，只见[徐常春]已经拿出200块。接着，他又来到超市，看到什么就往购物车里放。
0:4:55|0:5:3|他将货架上的方便面红扫一空，又拿起一大把火土糖，将预支的最后一百块也挖了出去。
0:5:3|0:5:8|画面一转，一辆空的面包车出来。
0:5:16|0:5:21|许长春和同伴将面前的东西一一搬上车。
0:5:38|0:5:44|大伙一一上车，心情好极了，汽车缓缓发动，在一片雪地中驶向前方。
0:6:4|0:6:13|汽车慢慢地开向山间，大雪像给大地盖上了被子，一片洁净，远处时不时传来鸟儿悠扬的叫声。
0:6:13|0:6:28|汽车行驶在山路上，转过一道道弯，翻过一座座小山丘，大雪引落了大山和道路，汽车缓慢行走着，只留下一道道车胎轨迹在山间蔓延，不一会儿，汽车也已走远消失。
0:6:29|0:6:33|只听见风光弯的发动机声从山头传来。
0:6:33|0:6:39|女人裹得严严实实，下一秒摘下头盔，望向汽车开往的方向。
0:6:39|0:6:42|原来是[徐常春]的女儿，清清。
0:6:42|0:6:53|她骑着摩托车一路跟着父亲来到乡间，思索片刻后，像是下定了决心，她重新戴上了头盔，拧了拧油门，继续开往前方，天气阴沉沉淡。
0:6:53|0:7:12|大雪将道路层层覆盖，耳边的风呼呼地吼叫，即使穿着厚的棉袄，也难敌寒冷，地面又湿又滑，轻轻车速不快，但每一个拐弯，摩托车仍旧摇摇晃晃，轻轻寻着留下的车胎痕迹，一路追寻，身边异常安静，
0:7:12|0:7:19|只能听到摩托车发动机的轰隆声，[徐常春]行人继续前行，丝毫没有停下的意思。
0:7:19|0:7:25|大雪覆盖的山路上，只看到一辆面包车，摇摇晃晃地缓慢移动着。
0:7:25|0:7:29|身后的[徐青青]也是一颗不敢停留，紧紧追随着。
0:7:29|0:7:34|只听见一声紧急的刹车声，尽头给她山下的一处村庄。
0:7:34|0:7:38|[徐青青]站在山上，俯视着山下的村庄。
0:7:38|0:7:45|随后打开头盔，叹了口气，她知道自己离真相越来越近了。
0:8:28|0:8:33|另一边，[徐青青]骑着摩托车来到兴发屯。
0:8:37|0:8:43|说吧，[徐常春]离开兴发屯的村委会，门口偷看的孩子们一脸好奇。
0:8:43|0:8:49|随后，从村委会走出一男子，思考片刻后向另一个方向走去。
0:8:49|0:9:1|离开村委会后，[徐常春]行人便开始忙活，只见一个人抱着树慢慢地向上爬，另一人踩着梯子爬上篮球架，将方方正正的小电视平放在篮球框上。
0:9:1|0:9:6|画面一转，男子将木布的绳子绑在木头上，引来许多孩子。
0:9:11|0:9:21|[徐常春]将一大拳封线平铺到地上，同伴将木布的线压在石头下拉紧，眼睛看着木布方向，为调整木布做最后的准备。
0:12:33|0:12:43|听到远处的残杀声，同伴一把拉开车门，赶紧向放弹机伙伴去。
0:15:23|0:15:38|话名一种，静静骑着摩托车松散来去。
0:16:5|0:16:10|这一争让准备离开的村民愣在原地，[徐青青]也正好感到。
0:16:10|0:16:11|[徐常春]说道。
0:16:27|0:16:29|同伴一听，立马瞪大双眼。
0:18:24|0:18:29|他的精神影响着一代人，两代人，三代人。
0:18:44|0:18:48|三十多年后，中国发生了巨大的变化。
0:20:23|0:20:33|呜的一声，响亮的火车汽笛声从远方传来，[徐常春]行人身姿挺拔，将右手拇指并起，缓缓举起，放在耳边。
0:20:33|0:20:38|这一镜是感谢村民的信任，也是镜曾为人民群众服务的老兵们。
0:20:38|0:20:43|远处的村长看到这一幕也被他们打动，他拿起话筒对全村人喊道。
