0:0:53|0:0:58|影片开始，[成哥]的女婿[万Sir]在天桥上抽着烟等人。
0:0:58|0:1:5|不一会儿，男子带着老婆和女儿乘坐着出租车，来到了和[万Sir]提前约好的天桥下。
0:1:5|0:1:9|男子下车后，十分宠溺地将女儿抱了出来，和女儿细心地说道。
0:1:32|0:1:36|男子刚一回头，便发现杀手持枪站在不远处。
0:1:36|0:1:38|他一个闪动，杀手扣动了扳机。
0:1:41|0:1:44|这一枪不偏不倚，刚好打在女儿身上。
0:1:44|0:1:48|男子来不及关心女儿的伤势，只能趁机逃跑。
0:1:48|0:1:51|男子翻过灌木丛后，竟是一片空旷的马路。
0:1:51|0:1:55|在这种环境下，没跑多远便被杀手击中，倒在血泊中。
0:1:55|0:2:0|听到动静的[万Sir]毫不犹豫地从天桥上跳下，掏出配枪对杀手进行还击。
0:2:0|0:2:7|杀手见状便开始从小路逃窜，[万Sir]沿着杀手的踪迹紧追不舍，并对杀手喊道：
0:2:9|0:2:12|这不喊还没事，一喊反遭到杀手的还击。
0:2:12|0:2:14|[万Sir]见状，心里便已知道。
0:2:17|0:2:23|于是他又不断寻找时机进行开枪，这枪声惊动了两名巡逻的警察。
0:2:35|0:2:41|就在两名警察说话间，杀手已经横穿高速公路，跑到了一座废弃的天桥上。
0:2:41|0:2:49|虽然高速公路的车又多又快，但这也难不住身经百战的[万Sir]，他很快便追上了杀手。
0:2:49|0:2:56|天桥上，眼看[万Sir]和杀手的距离越来越远，就在杀手即将得逞时，天桥的另一端巡警围了过来。
0:2:59|0:3:3|杀手眼看无路可逃，便朝巡警开了一枪，跳下桥去。
0:3:3|0:3:7|[万Sir]连忙开枪，可惜关键时刻没了子弹。
0:3:7|0:3:11|杀手跳下天桥时，刚好落进一辆装满垃圾的卡车内。
0:3:11|0:3:14|这时，巡警果断开枪，击毙了杀手。
0:3:34|0:3:35|今天是[祖儿]生日。
0:3:44|0:3:49|[祖儿]的好友兴致勃勃地爬到猫眼一看，立马扫兴地说道。
0:4:22|0:4:27|[祖儿]满怀期待的拆开礼物，不料却是一副耳机，他失望地说道。
0:4:49|0:4:52|见[祖儿]笨手笨脚的，便说。
0:4:56|0:4:58|[祖儿]看到礼物后惊喜地说道。
0:5:21|0:5:33|父亲听后，并没有继续打趣地回应二人，而是一改刚才的笑脸，拿起了旁边的照片，随后拿出老花镜，仔细地看了看后，满脸愁容地对[祖儿]说道。
0:5:52|0:5:55|[祖儿]眼眶湿润，抱住父亲。
0:5:59|0:6:13|与此同时，祖儿的哥哥[阿华]开着敞篷跑车在闹市内穿梭，目的性十分明确地将车开到了一家有名的珠宝店门前，随后将车原地停在马路上，头也不回地朝店里走去。
0:6:13|0:6:19|长相帅气的[阿华]还不忘和路过的美女来一个眉目传情，在一旁的交警也被这阵势吸引过来。
0:6:28|0:6:33|随后，[阿华]接过罚单，还不忘礼貌地感谢警察。
0:6:33|0:6:37|说吧，便潇洒地跳进敞篷车内，朝家中赶去。
0:6:37|0:6:40|与此同时，[万Sir]端着蛋糕走了出来。
0:6:54|0:7:0|[祖儿]许完愿后，鞭一把将蜡烛吹灭。
0:7:0|0:7:3|[祖儿]的朋友直接下手抓起蛋糕塞进嘴里。
0:7:50|0:8:7|[万Sir]说吧，便起身给[阿华]开门，两人简单地打招呼，[大傻]看到[阿华]后，也是满脸开心地起身迎接。
0:8:18|0:8:21|边说边把珍珠项链带到[大傻]脖子上。
0:8:23|0:8:28|在结束了生日聚会后，父亲和[阿华]在地库中说道。
0:8:53|0:8:57|此后，[阿华]便发动了自己的敞篷跑车。
0:8:57|0:9:6|第二天，在警察局里的[同事]们演示着如何审讯。
0:9:16|0:9:18|这是女警察抓来一帮舞女。
0:9:42|0:9:55|斗鸡眼警察刚想动手，不料便被女人一拳一脚踢翻在地，竟还顺手将吃了一半的冰棍插在他的嘴里，随后同样干净利落地将上前的警察全部打翻。
0:10:11|0:10:20|警局领导将[万Sir]和女人一起叫到办公室，在办公室里的女人一脸得意，而[万Sir]很不满他刚才的行为。
0:10:20|0:10:22|这时，领导为二人介绍道。
0:10:22|0:10:23|[万Sir]不情愿地和他握了握手。
0:10:54|0:10:58|谭玲说吧，便将已经准备好的档案袋放到了桌上。
0:10:58|0:11:3|汪永强拿过档案袋，大概扫了一眼调查公司的名字后，便和领导说道。
0:11:30|0:11:34|随后二人便驾车来到公司门口取证。
0:12:20|0:12:25|汪永强话音刚落，只见一辆颇为高调的豪华轿车缓缓地停在了大厦门口。
0:12:25|0:12:32|带车停稳后，副驾驶的小弟先下车，随后为坐在后台的老板[大傻]打开车门。
0:12:34|0:12:43|[万Sir]看到[大傻]后，连忙趴到谭林腿上来隐藏自己。
0:12:43|0:12:50|而就在这时，[祖儿]看到了这一幕，他生气地将东西扔到车上，转身就走。
0:12:50|0:12:53|[万Sir]看到是[祖儿]后，急忙从天窗爬出去解释。
0:12:57|0:13:3|面对[万Sir]的呼喊，[祖儿]根本没有停下的一嘴，反而在愤怒的趋势下越走越快。
0:13:39|0:13:43|在红袍组而后，[大傻]也带着小弟走进了大厦。
0:13:43|0:13:47|片刻之后，毒品的走私卖家也来到了[大傻]的办公室。
0:13:47|0:13:53|为首的曹老板身着西装，戴着墨镜，礼貌地向[大傻]双手合十，微微鞠躬示意。
0:13:53|0:13:56|[大傻]并没有多言，抬手示意他坐下。
0:13:56|0:14:1|曹老板一旁的小弟，拿出提前准备好的样品，扔到[大傻]面前。
0:14:1|0:14:5|在一旁的[阿华]接过毒品后尝了一口，朝[大傻]点了点头。
0:14:8|0:14:14|这是[大傻]扭头看向[阿华]，[阿华]面带微笑的走到曹老板的面前。
0:15:6|0:15:22|另一边，身为体操教练的[祖儿]沈卓紧身体操服，正在教室里认真地看着学生们训练，他们有的人在练习吊环，有的在练习双杠，可[左儿]发现，有两名学生坐在角落里，于是上节问道。
