0:0:26|0:0:31|成家共有十三口人，这天是一年一度的新年。
0:0:31|0:0:37|[成大叔]在外奔波大半年，这天也满心欢喜地回家和家人团聚。
0:0:37|0:0:47|可一直等到了大年初一，儿孙们才陆陆续续地回家，本以为终于能吃上一顿和家欢乐的团圆饭，却接二连三发生不愉快。
0:0:48|0:0:59|这下[父亲] [母亲]也没有了过年的兴致，而且大家张口闭口都是钱，这一年就吃一顿的团圆饭，最终也以难堪、尴尬的结局收尾。
0:0:59|0:1:10|不花而散的场面一直在[成大叔]的脑海里挥之不去，于是他在闹剧后的某一天，和老伴一起远走高飞，离开了这个生活了一辈子的家。
0:1:13|0:1:18|二老的[大儿子]从小慕纳老师，却找了个泼辣刁蛮的媳妇。
0:1:18|0:1:23|[大姐夫]虽然是个有头有脸的干部，却难改风流成性的习惯。
0:1:23|0:1:32|还有[二姐]，当初一心只想嫁给架子公，和家里闹得不可开交，小两口自食其力，如今日子也算过得和和美美。
0:1:33|0:1:46|但糟心的还在后面，自己的[小儿子]，吃喝玩乐样样都沾，就是不做实业，还找了一个和自己一样的无业有名的女朋友，每天除了伸手要钱，就是贪图享乐。
0:1:46|0:1:55|[父亲] [母亲]回忆起去年年夜饭的场景，[大嫂]怒砸镜子，其他人吵得不可开交，一顿年夜饭终究是闹得不欢而散。
0:1:56|0:2:3|中国的家庭也许是最耐人寻味的，这是人们最不想承认，但也不得不面对的现实。
0:2:3|0:2:7|一年一次的团圆饭，也是中国式家庭的照妖镜。
0:2:7|0:2:16|饭桌上[父亲]慈子孝，兄弟轴力相亲相爱的背后，实际上作者的是一群老死不相往来的世仇亲人。
0:2:16|0:2:19|庆幸的是，并非所有家庭都是如此。
0:2:19|0:2:25|感受完这部电影，你会对改革开放后，中国农村民俗生活有更加深刻的理解。
0:2:26|0:2:35|演员赵丽蓉老师凭借这部电影获得了第四届东京国际电影节和第15届大众电影百花奖两个影后桂冠。
0:2:35|0:2:40|即便拍摄于上个世纪90年代，如今看来也仍旧是经典。
0:2:42|0:2:48|故事的开端在熙熙攘攘的市场，人群嘈杂，到处都是赶集和置办年货的人。
0:2:48|0:2:55|有一个女人正气喘吁吁地往家里赶，她满脸倦容，身后拖着一车的肉和其他年货。
0:2:55|0:2:59|她一个人拖不动，还有热心的小孩帮她在身后推着年货。
0:3:8|0:3:14|在市场讨价还价的声音中显得格格不入，周围每个人脸上都挂了笑容。
0:3:16|0:3:28|这个女人就是[程大娘]，孩子们跟在她的身后，使出全身力气帮她推展，她一边窘迫地打开钱包，一边往家的方向走去。
0:3:28|0:3:33|[程大娘]刚到家，另一头是[程家]的老[父亲]，[程大娘]回来了。
0:3:34|0:3:38|他勾罗着背，在积雪落满的山头上自由滑行。
0:3:38|0:3:41|这是他离家半年多来，第一次回家。
0:3:41|0:3:47|这次回来，他用自制的爬梨置办了一堆年货，准备和儿女们一起过年。
0:3:47|0:3:53|[建成大叔]跌跌撞撞地滑下高高的雪坡，爬梨后的两个灯笼随风飘荡。
0:3:53|0:3:56|他一边下山，一边不忘给自己加油打气。
0:4:3|0:4:10|即便亮枪了一下，他也是开花大笑，拖着爬梨快到家时，院里竟然传来一阵快板声。
0:4:28|0:4:50|原来是有三五个快板演员来讨好彩头，只见[程大娘]不情不愿地从小布包里掏出一张五元的纸币。
0:4:50|0:4:52|大娘又掏出十元纸币。
0:5:8|0:5:15|他不知道[程大叔]已经在家门口，此时不远处传来了一个熟悉的声音。
0:5:15|0:5:20|他一扭头，皱纹一下都舒展开了，原来是[程大叔]回来了。
0:5:34|0:5:37|[程大叔]抬手又让他戴回去，满眼都是宠溺。
0:5:37|0:5:47|[程大叔]拿出准备好的银货。
0:5:53|0:6:18|[成大娘]疑惑地问。随即，[成大娘]又转身补充了一句。[成大叔]满脸不屑。随即装起年货。他将一辆自行车从爬梨上笨重地卸下来，脸上写满失落和生气，问道。
0:6:27|0:6:32|[妈妈]咧咧地静止走回家。
0:6:48|0:6:50|欢迎刚落，两人亮相了一下。
0:6:50|0:6:55|天色渐暗，厨房的桌上是[程大娘]早已做好的年夜饭。
0:6:55|0:7:1|[程大叔]独自坐在桌前发呆，双目低垂，似乎对这顿年夜饭丝毫不感兴趣。
0:7:1|0:7:10|程[父亲]不是先弄筷子品尝这一顿年夜饭，而是先拿起一瓶酒，边说边给两人满上。
0:7:19|0:7:30|陈[父亲]既惊讶又惊喜。
0:7:30|0:7:31|夫妻俩相视一笑。
0:7:43|0:7:50|片刻之后，气氛突然安静，老两口的脸色都突然暗淡下来。
0:7:50|0:7:54|为了缓解沉默的尴尬，程[父亲]边笑边把酒放到一边。
0:8:1|0:8:1|程[母亲]满脸羞涩。
0:8:26|0:8:29|程[母亲]搭拉着脸，紧接着程[父亲]又说。
0:8:32|0:8:35|黑暗中，程[父亲]又将酒一饮而尽。
0:8:35|0:8:39|桌上的菜闻似未冻，程[父亲]却已经连着喝了好几杯。
0:8:39|0:8:42|程[母亲]看着丈夫独自喝着闷酒，表情凝重。
0:8:52|0:8:55|酒杯一放，两人相对无言。
0:8:55|0:8:59|窗外热闹斑斓的烟花，衬得这个家更加冷清。
0:8:59|0:9:4|烟花在天上绽放，屋内是沉默的二老，四目相对的场景。
0:9:4|0:9:7|这时，[程大叔]捂着肚子发出一声冷笑。
0:9:9|0:9:17|一边解开包裹的严严实实的衣服口袋，只见里面是好几塔厚厚的钞票，约莫有十万元。
0:9:17|0:9:24|他将钞票全部取出，颇有七管严的架势，[程大叔]将钞票摆在桌上，一塔，两塔，三塔。
0:9:25|0:9:29|这都是他大半年的血汗钱，已经将桌子一余全部占满。
0:9:30|0:9:37|[程大娘]神情惊恐，有些不解，从没见过这么多钱的[程大娘]，顿时感到手足无措。
0:9:37|0:9:42|[程大叔]手里拿着一塔钞票，眼神轻蔑，似乎没有把钱当做钱。
0:9:42|0:9:50|他笑意盈盈，[程大娘]在一旁默不作声，他便直接将钱全部推到[程大娘]面前。
0:9:50|0:9:54|一双有黑的手，不难看出这些年饱经岁月的风霜。
0:9:54|0:9:57|程[父亲]看出妻子左右为难的神情，便开口道。
0:10:0|0:10:12|这下，程[母亲]彻底绷不住了，双眉紧锁，哒啦的眼皮忽然闪了一道泪光，因为常年被风吹日晒的皮肤刻满了沟壑，已经下垂的两颊形成了鲜明的法令纹。
0:10:12|0:10:16|面对此情此景，她哽咽地抽起一声，艰难地挤出几个字。
0:10:26|0:10:31|话音刚落，她便开始放声大哭起来，单手掩面抹掉几滴眼泪。
0:10:31|0:10:37|或许是想到自己一个人独守了大半年的家，这下终于看到了一点希望。
0:10:37|0:10:39|看到她这样，程[父亲]轻声安慰道。
0:10:46|0:10:51|程[母亲]此刻下巴微微内收，委屈瞬间达到了顶峰。
0:11:1|0:11:5|夫妻俩相对无言，但心里都跟明镜似的。
0:11:5|0:11:12|程[父亲]见状，拿出火柴盒准备点根烟，背后柴火燃烧冒出的水蒸气仍然在暗流涌动。
0:11:12|0:11:20|一滑，一点，连贯的动作无异于老烟枪，鸟鸟飘散的烟圈应运在空气里，[程大娘]的脸慢慢地变得模糊。
0:11:21|0:11:26|烟雾缭绕中，[程大娘]的泪水更加汹涌，眉头拧成一道。
0:11:26|0:11:27|透露出痛苦和失忆。
0:11:27|0:11:30|于是，[程大叔]示意他也浅尝一口。
0:11:30|0:11:33|[程大娘]接过烟，熟练地吐出烟圈。
0:11:33|0:11:38|[程大叔]问，[程大娘]小心地点点头。
0:11:44|0:11:48|他只见弥留几圈烟雾，将烟还给[程大叔]。
0:11:48|0:11:51|此刻的[程大叔]甚是深邃和悠然。
0:11:51|0:11:55|不一会儿，一句话又将两人从幻想拉回现实。
0:12:3|0:12:11|[程大娘]面露惊恐和纠结，开始回避丈夫的目光，而[程大叔]目不作声，只是用猛吸了一口香烟。
0:12:14|0:12:25|此时，窗外响起炮竹和孩子们的喧闹声，东北农村还要将装有硬币的碗摔碎，意味着碎碎平安，孩子们就会一哄而上，抢起硬币来。
0:12:25|0:12:37|然而，窗外的喧嚣仿佛与[父亲][母亲]无关，在自家犒赏，[大哥]正在帮[大嫂]拔罐，也许是由于寒风凛冽，[大嫂]风湿的毛病又犯了，只见[大嫂]用被子围住裸露的身体。
