0:0:38|0:0:41|城郊偏僻的小路上，一辆大巴车急乘而过。
0:0:45|0:1:0|请不吝点赞订阅转发打赏支持明镜与点点栏目。请不吝点赞订阅转发打赏支持明镜与点点栏目。请不吝点赞订阅转发打赏支持明镜与点点栏目。
0:1:22|0:1:28|伴随着欢快的音乐声，满载着从城里来打工的姑娘们的大巴车穿过隧道。
0:1:28|0:1:42|顺着两旁长满了稻田的小路伸向乡村，不远处的建筑也慢慢从城里的高楼大厦，变成独具乡村特色的瓦房。
0:1:42|0:1:43|村里的路越来越颠簸。
0:2:20|0:2:28|[宋大雄]放下手机后，回头望了望还沉浸在新鲜感中的姑娘们，大声地向她们介绍道。
0:2:40|0:2:46|[宋大雄]说完，伴随着音乐在座位上愉快地摆动身体。
0:2:46|0:2:52|先前问话的令友情一听时间立马泄了气，面无表情地重重地挡在了靠背上。
0:2:52|0:2:55|大巴绕过盘山小路，路过林片水塘。
0:3:35|0:3:39|伴随着姑娘们的打闹声，大巴也离目的地越来越近。
0:3:39|0:3:47|他没安静多久，只见大巴一个急刹车，一个姑娘抱着银杆的手没拿稳，水洒出来了一大半。
0:3:47|0:3:54|这一切的罪魁祸首，是一个木桶正悠哉游哉的骑着牛，慢慢地从大巴面前经过。
0:4:31|0:4:49|过了许久大巴终于到达了目的地，一溜烟地驶过挂着横幅的村口。上面写着"武山巢文明石花酒飘香"。向更深处开去，在村口打闹的小孩一见大巴车来，自觉地列成两队给车让路，然后打闹着追逐急迟而去的大巴车舟。
0:4:52|0:4:59|车劳顿后，一行人总算来到了村里，姑娘们拎着行李箱，踉跄着走到村子的空地前。
0:4:59|0:5:8|此时，这里已经聚集了许多村民，每个人都探究着打量着这些从城里来的时髦姑娘们。
0:5:8|0:5:14|姑娘们身穿紧身牛仔裤，与鹿腰短上衣，与穿着宽松衬衫的村妇截然不同。
0:5:34|0:5:40|嚷嚷着去厕所的姑娘们，被穿铃铬外套的[宋大雄]说得一愣，纷纷又走了回来。
0:6:9|0:6:15|村委会里，一个絮着大胡子的中年人正仔细地称量着桌上摆放整齐的茶叶。
0:6:15|0:6:19|他小心地捏起一撮茶叶，放在嘴中细细品味着。
0:6:19|0:6:25|待他拿起暖水壶，准备泡一杯热茶时，一个戴着眼镜的中年男人慌慌张张地跑了进来。
0:6:31|0:6:35|村长被吓了一跳，滚烫的开水倒在手上，茶杯摔落在地。
0:6:51|0:7:0|一望无际的长园边，大巴车副驾驶上的[宋大雄]，正在一块黑板上写下芽茶二字。
0:7:0|0:7:4|他的周围围满了凑热闹的村民和前来参加培训的城里姑娘们。
0:8:1|0:8:5|姑娘们一哄而散，争先地推开了宿舍门。
0:8:5|0:8:10|你一言我一语地打乱了宿舍，闹乎乎地分配着床位。
0:8:10|0:8:14|拿鱼缸的姑娘差点和抱着猫的姑娘吵了起来。
0:8:14|0:8:19|原本朴素的房间很快就被姑娘们用时尚的海报与小动物装点了温馨起来。
0:8:20|0:8:28|领他们进门的[骆民英]呆愣愣地看着他们行流水的动作，有些局促地拿手搅着衣服，别扭地站在门外。
0:8:40|0:8:48|洛明英因为这个问题一愣，吵闹的姑娘们瞬间安静下来，一起转头看向问问题的[章丽蕾]。
0:8:48|0:8:53|[章丽蕾]也没料想到是这种结局，无辜地嘟了嘟嘴，没再说话。
0:8:53|0:9:3|姑娘们收拾妥当后，又来到了先前的空地，排队依次从洛明英与[宋大雄]手中接过采茶楼与围裙。
0:9:15|0:9:19|姑娘们跟着村民与[宋大雄]来到茶园。
