0:1:7|0:1:12|镜头缓缓扫过，这水乡美景如同画卷一般徐徐展开。
0:1:12|0:1:20|远处的村庄显得格外宁静，有几个孩子正在池塘中戏水玩耍，大人们则聚在[王昭]家打起麻将。
0:1:20|0:1:25|牌桌上，正对着[王昭]那人开口说道。
0:2:0|0:2:2|亲戚带着孩子和礼物登门拜访。
0:2:17|0:2:21|为了招待远道而来的亲戚，[王昭]又开始撑起船。
0:2:21|0:2:25|他打算再捕些鱼回家，作为待客的晚餐。
0:2:25|0:2:36|在撑船前去捕鱼的路上，[王昭]和邻里相互问好。
0:2:36|0:2:38|[王昭]捕完鱼后便回到村里。
0:2:38|0:2:41|这时，老村长突然急呼着跑了过来。
0:2:57|0:3:18|下了船之后，二人急忙赶往现场，这时池塘附近已经围了很多人，[王昭]上前查看情况，是之前池塘里蓄水的孩子。
0:3:18|0:3:21|[王昭]把孩子翻过来，力度适中地又紧又拍。
0:3:41|0:3:48|入夜，老村长在[王昭]家白酒庆功，他率先开口说道。
0:5:28|0:5:30|众人谈笑之间，晚餐结束了。
0:5:30|0:5:37|第二天一早，[王昭]起床洗漱时惊讶地发现，门前的池塘里居然飘着数不清的死鱼。
0:5:37|0:5:45|看着这浑浊不堪的池水和无数翻起白土的鱼，[王昭]的心里充满了怨气。
0:5:45|0:5:51|早起的众人发现这一异象，开始聚集在一起，和[王昭]一块打捞起池塘里的死鱼。
0:5:59|0:6:4|气愤的村民都一股脑地拥进了村长家里，想要为此事讨个公道。
0:6:22|0:6:26|没有得到满意的结果，众人便又气冲冲的起车赶往化工厂。
0:8:49|0:8:56|这时，村长也骑车赶了过来。
0:8:56|0:9:0|村长对众人言辞呵斥，把事态平复了下来。
0:9:12|0:9:21|在村长的劝说下，事情不了了之，大伙不情不愿地推车离开，很多人不想就这么轻易地放过化工厂。
0:9:21|0:9:26|在回村的路上，村民们便又开始七嘴八舌地议论起来。
0:9:46|0:9:49|村长带着三人去乡里反映问题。
0:9:49|0:9:52|在乡长办公室里，气氛显得格外凝重。
0:9:52|0:9:53|乡长开口说道。
0:10:7|0:10:10|听了村民的诉苦，他也倍感无奈。
0:10:10|0:10:29|沉默片刻之后，他拿起桌上的电话打给了卫生院，试着为村民解决眼下的问题。
0:10:29|0:10:32|乡长和村里的人来到水边开始取样检查。
0:10:39|0:10:43|在取样过程中，他蹲在水边检查了一番。
0:10:46|0:10:51|乡长稍微思索了一下，站起身转向村民。
0:11:20|0:11:32|众人得到了满意的答复欣然离开，只有[王昭]还在继续撑着船，在芦苇丛中打捞死鱼，这池塘曾是他生活中的一切，但现在他却无所适从。
0:11:32|0:11:39|他把辛苦打捞起来的死鱼全部送到化工厂的门口，像是在无声地表达着自己的愤怒。
