0:3:12|0:3:17|弄堂里，两个小男孩捏手捏脚地走到杂货店门口。
0:3:17|0:3:20|弟弟小虫在冰柜前兴奋地停住了脚步。
0:3:27|0:3:33|哥哥[阿轩]拉着弟弟小虫的手走进杂货店，老板正在打盹。
0:3:33|0:3:37|[阿轩]偷偷地拉开放钱的小抽屉。
0:3:37|0:3:44|小虫不小心碰出了声响，[阿轩]飞快地抽出几张纸币。
0:3:44|0:3:50|临走前，小虫还是没忍住拉开了冰柜。
0:3:50|0:3:51|这时，老板醒了。
0:3:57|0:4:0|老板在后面追着两人跑，边跑边骂。
0:4:0|0:4:17|他们中途撞倒了一个阿婆，小虫把阿婆扶了起来，给她鞠躬道歉。
0:4:17|0:4:23|老板从背后抱住小虫，[阿轩]扔石块砸中老板的头，小虫趁机逃脱。
0:4:28|0:4:33|两人坐在高高的台阶上吃冰棍，面前是一望无际的大海。
0:4:56|0:5:0|不知不觉，小虫长大了。
0:5:0|0:5:7|他拉开窗帘，坚定地看着窗外。
0:5:7|0:5:12|他背着书包准备出门，爸爸问道。
0:5:26|0:5:34|爸爸从柜子里拿出一个奖杯，放到小虫眼前。
0:5:35|0:5:37|爸爸把奖杯摔在地上。
0:5:50|0:6:0|爸爸用手指点着小虫的胸口，小虫反驳。
0:6:0|0:6:6|小虫转身跑出家门，爸爸气愤地挥了一下拳头。
0:6:6|0:6:12|高中操场上，田径队正在训练，[周以晴]骑着摩托车竟直开到了跑道边停下。
0:6:14|0:6:21|潘教练看到他，示意队员们停下，队员们向潘教练问好。
0:6:21|0:6:26|周以晴摘下头盔，走到[潘教练]身边。
0:7:30|0:7:35|小虫从书包里拿出马拉松海报，盯着[阿轩]继续问。
0:7:57|0:8:3|[阿轩]把小虫推到了地上，狠狠地瞪了他一眼，转身跑去训练。
0:8:3|0:8:7|这时，[方崇宇]走过来，向小虫伸出一只手。
0:8:7|0:8:11|小虫看到了[方崇宇]手臂上的伤疤，自己站了起来。
0:8:17|0:8:19|他看向田径队训练的方向。
0:8:19|0:8:24|周以晴看着他专注的样子，若有所思。
0:8:24|0:8:32|田径队跑过来，最前面的小胖把跑道上小虫的书包踢向一边。
0:8:36|0:8:39|周以晴想要拉住生气的小虫，小虫甩开他的手。
0:8:58|0:9:10|小[崇]趁乱跑走，[潘教练]跑来。
0:9:15|0:9:19|[周以晴]走到教练身边，看着小崇跑走的方向。
0:10:5|0:10:9|益勤低下头沉默着。
0:10:20|0:10:28|小崇被潘教练的话逗笑了。
0:10:28|0:10:33|小崇脸上的笑容顿时消失。
