0:0:25|0:0:32|黄土高原上的一条小道蜿蜒曲折。
0:0:32|0:0:42|少年[游天鸣]跟在父亲[尤本胜]的身后走着，他们要赶去索纳匠[焦三爷]的家中拜师学艺，[游天鸣]撅着嘴一脸不情愿。
0:0:42|0:0:48|父亲捡起一块小石头朝[游天鸣]扔去，[游天鸣]做了个躲闪的动作。
0:0:51|0:0:56|他们继续走着，村民赶着羊群经过。
0:0:56|0:1:2|站在高处，父亲驻足喘了口气，似火的骄阳使他满头大汗。
0:1:2|0:1:5|父亲望着下方黄河畔的村落说，
0:1:10|0:1:16|父亲把随身带的包裹放到地上，摘下遮阳草帽，用衣袖擦了擦汗，开始用草帽扇风。
0:1:16|0:1:17|父子二人来到了[焦三爷]的家，父亲小心翼翼地开了一条门缝向里张望，
0:1:39|0:1:44|然后打开大门，领着[游天鸣]走了进去。
0:1:44|0:1:50|[焦三爷]养的徒狗妞妞听到动静跑出来，父子俩吓了一跳，躲在墙后。
0:1:52|0:2:0|[焦三爷]把妞妞换回屋里，父亲领着[游天鸣]走进院子。
0:2:0|0:2:4|父亲站在院子里直直地望向屋子。
0:2:4|0:2:9|[焦三爷]过了好一会儿才慢悠悠地走出来，坐在屋前的木制堂椅上。
0:2:14|0:2:21|父亲从口袋里掏出烟向[焦三爷]跑去，可他没注意地上的台阶，狠狠摔在了地上。
0:2:36|0:2:42|父亲的头磕破了，[游天鸣]心疼地捂住伤口，眼角流出一滴眼泪。
0:2:42|0:2:53|[焦三爷]看到这个情景若有所思，父亲爬起来从水坑里捡起已经被浸湿的烟。
0:2:53|0:2:58|[焦三爷]指了指手里的烟斗，父亲与[游天鸣]尴尬地对视了一眼。
0:3:0|0:3:9|知了鸣叫，太阳当空，父子俩和[焦三爷]都不约而同地抬头看了一眼这大太阳。
0:3:15|0:3:22|有本盛给[焦三爷]点着了烟斗，[焦三爷]使劲地做了两口烟。
0:3:28|0:3:34|这时，[师娘]端着两碗水从屋里走出来。
0:3:34|0:3:42|父子二人接过水，大口喝着，一饮而尽。
0:4:19|0:4:26|[师娘]把一个水瓢放到院子里的小木桌上，并且递给犹天明一小节芦苇干。
0:4:26|0:4:29|犹天明的入门考验开始了。
0:4:33|0:4:40|犹天明为难地转头看了眼父亲，父亲伸了伸头让他赶紧照做。
0:4:40|0:4:46|犹天明不情愿地走到水瓢前，开始用力地吸水。
0:4:56|0:5:3|年幼的犹天明没能吸干瓢里的水，嘴里的水也一口喷了出来，淌到了地上。
0:5:3|0:5:8|[师娘]关切地看着小天明，父亲走到[焦三爷]身边祈求。
0:5:24|0:5:30|[焦三爷]依旧不肯收由天明为徒，父亲转身看了眼躺在地上的刘天明，开始骂了。
0:5:47|0:5:55|见[焦三爷]依旧不为所动，父亲继续用水条打他。
0:5:55|0:6:3|突然，[焦三爷]牵制住了父亲扬在半空中的胳膊，这也意味着他接受了[游天鸣]。
0:6:3|0:6:11|父亲走出[焦三爷]的家门，[游天鸣]依旧跟在后面。
0:6:36|0:6:38|顿时变成了深深的依恋。
0:6:39|0:6:45|[焦三爷]家中，[师娘]端着午饭从厨房走到堂屋，放到饭桌上。
0:6:45|0:6:49|[游天鸣]见[师娘]坐下后，自己才坐下。
0:6:52|0:7:4|三人拿起筷子开始吃饭，[游天鸣]低头喝起自己碗里的稀饭糊糊，发出的响声让三人的第一顿午饭有些尴尬。
0:7:37|0:7:41|[师娘]把一根根五颜六色的细线搓在一起。
0:8:0|0:8:5|说起自己的孩子，[师娘]不禁流露出悲伤的神情。
