0:1:51|0:1:58|在日口侵占的金浦铁路临沼支线上，日本鬼子的列车载着抢夺而来的煤炭疾驰着。
0:1:58|0:2:10|突然，几个黑影飞速地爬上火车，他们是来抢回煤炭的工人，[彭亮]，[鲁汉]，[小坡]。
0:2:10|0:2:14|这时，鬼子发现了他们，[彭亮]吹响口哨报警。
0:2:14|0:2:16|[鲁汉]听到警报，立即提醒[小坡]。
0:2:16|0:2:18|[小坡]急忙回头，一个鬼子兵朝他扑了过来。
0:2:25|0:2:29|一旁的[鲁汉]举起煤块，把鬼子砸晕了。
0:2:29|0:2:38|又一名鬼子吹响了哨子，火车紧急制动，很快停了下来。
0:2:38|0:2:42|煤炭工人们纷纷跳下火车，朝荒野里跑去。
0:2:42|0:2:44|鬼子兵们一边追击，一边开枪。
0:2:44|0:2:47|一名煤炭工人中弹，滚倒在草地上，被鬼子摁住了。
0:2:53|0:2:59|[小坡]拼命朝铁路边的一片茂密的丛林跑去。
0:2:59|0:3:9|他跑进丛林后，实在是跑不动了，不停地喘着粗气。
0:3:9|0:3:17|鬼子们跑进树林，用枪尖拨开草丛，四处搜寻了一会儿。
0:3:28|0:3:33|一个鬼子示意，他们就离开了这片丛林。
0:3:33|0:3:40|刘红和[小坡]这才从土坑里探出头来，确信鬼子已经走远了。
0:3:40|0:3:53|[小坡]兴奋地询问刘红，刘红点点头，他们从土坑里出来，朝丛林外悄悄走去。
0:3:56|0:4:4|趁着夜色，他们来到了城庄，一队鬼子的骑兵跑过。
0:4:4|0:4:10|刘红和[小坡]背靠一堵土墙隐蔽，躲过了巡逻队。
0:4:10|0:4:14|接着，他们翻墙，跳进了[王强]的院子。
0:4:14|0:4:21|一列鬼子的火车冒着蒸汽，从远处的铁路上开过，他们躲在院墙下。
0:4:21|0:4:25|等火车驶过后，跑到院子里的房屋前，[小坡]敲了敲窗。
0:4:33|0:4:37|屋里的灯亮起，游击队员[王强]打开了房门。
0:4:42|0:4:44|他们一起走进屋内，[王强]叫着小破。
0:4:47|0:4:50|小破出门。
0:4:54|0:4:57|[王强]坐了下来。
0:5:30|0:5:33|王清听到屋外的动静，急忙起身，打开屋门，是[鲁汉]和[彭亮]。
0:6:2|0:6:7|[刘红]揽着[鲁汉]和[彭亮]的肩，三人笑着端详对方。
0:6:7|0:6:13|[鲁汉]将[刘红]腰间的伯克枪拔了出来，他摸着枪神情激动。
0:6:31|0:6:36|[王强]说着，便和[刘红]、[鲁汉]、[彭亮]一起坐到了方桌旁。
0:7:3|0:7:11|画面来到城庄火车站的洋行货场，工人们都背着沉重的货物。
0:7:11|0:7:15|鬼子行长山口拄着双拐，站在洋行门口，督促工人干活。
0:7:15|0:7:26|他说完，碰到了往外走的[王强]。
0:7:26|0:7:35|[王强]催促着工人，说完，自己走到一个运送货物的大车前，帮助一个工人将货物扛上肩。
0:7:35|0:7:45|之后，他自己披上背肩布，也扛起了一件由稻草包裹的长条形货物，朝列车的货车车厢走去。
0:7:45|0:7:51|[王强]扛着货物走到车厢前，将货物装进了车厢。
0:7:51|0:7:57|之后，他抬头朝车厢里望去，镜头扫过，只见车厢里装的全是枪支弹药。
0:8:0|0:8:10|这时，工作人员关上了车门，并扭紧了门栓，他走到[王强]面前。
0:8:10|0:8:16|[王强]注意到装军火的车厢是1263号，他陷入了沉思。
0:8:16|0:8:23|当天晚上，刘红带领[王强]、庞亮、小坡、[鲁汉]等人来到了铁路旁。
0:8:23|0:8:28|鬼子的火车驶了过来，隐蔽在铁路旁草丛中的刘红密切地关注着车厢。
0:8:30|0:8:42|当装有军火的1263号车厢就要过来时，[刘红]冲了出来，一跃而起，飞升爬上了火车。
0:8:42|0:8:50|她拔出枪，悄悄从车门窗望向车厢里，这时，一名鬼子军官朝车厢门走了过来。
0:8:50|0:8:51|[刘红]急忙动了身子。
0:8:53|0:9:9|鬼子军官朝车门外看了看，便将里面的窗帘拉了下来，离开了。[刘红]将枪插在了腰间，并从车厢朝1263号车厢跨去，她用力地扣住车厢外的凸起，脚踏在车厢的外沿，满头是汗。
0:9:17|0:9:30|终于，他爬到了1263号车厢的车门外，并用钳子搅断了缠在门栓上的铁丝，打开了车厢门，翻进了车厢。
0:9:30|0:9:36|[刘红]将车厢里的一捆捆枪支和一箱箱弹药扔下了火车。
0:9:36|0:9:42|在铁路银线等待的[王强]，[鲁汉]，[彭亮]等健壮，迅速捡起[刘红]扔下的枪支弹药。
0:9:47|0:9:53|他们激动地拆开弹药箱，取出里面的枪，相视而笑。
0:9:53|0:10:1|拆开弹药箱的两人十分激动。
0:10:18|0:10:33|[王强]分完收缴的手枪，[刘红]抽着烟走到了另一边，[王强]跟了过来。
0:10:33|0:10:44|装甲列车在铁道上行驶着，车厢内是鬼子[小林]，[钢村]。
0:10:44|0:10:47|[小林]与[钢村]一起在桌前坐了下来。
0:10:49|0:10:52|特务队的院子里，几位抗日人士被日军枪杀。
0:11:16|0:11:21|[江村]在特务队的办公室里看到这一幕，脸上露出了奸笑。
0:11:21|0:11:31|他转过身，走到不久前因抢夺煤炭而被抓的煤炭工人面前，只见他已经被鬼子打得遍体鳞伤。
0:11:31|0:11:38|[江村]拿出一盒烟放到他的面前，煤炭工人将头一扭，拒绝他的香烟。
0:11:38|0:11:42|[江村]只好自己掏出打火机，煤炭工人仍不为所动。
0:11:44|0:12:11|刚从奇迹败坏的用皮鞭抽向他，顿时鲜血从他的脸颊和嘴里流了出来，外面突然传来枪响，清晨，大批的鬼子兵来到城庄，并对火车站的洋行附近进行警戒和搜查，鬼子的骑兵车队在大街上轰冲直撞，村民们四散而逃。
0:12:40|0:12:44|在[刚村]面前停了停，便招呼着离开了。
0:12:44|0:12:52|镜头来到早庄的市场上，[刚村]率部队前来搜查。
0:12:52|0:12:58|刚村打了路边商贩一巴掌，商贩摊位上的水果也被打落一地，并被鬼子踩了稀烂。
0:13:1|0:13:25|听着不远处传来的鞭炮声，[鲁汉]停下了脚步，许多百姓朝响鞭炮的地方跑了过去，原来是义和探战开渣，只见探战的工人正一筐一筐将煤炭排进去，这个探战是铁道游击队为掩护自己的活动而开办的，工人们高声点着树木。
0:13:25|0:13:30|他们热情地招待着客户，声誉红火，这时一名游击队员匆匆跑了进来。
0:13:33|0:13:45|江村气势汹汹的带领鬼子兵闯了进来，[小坡]拿着土琵琶对江村鞠躬，假以笑脸相迎。
0:13:45|0:13:49|刘红一身老板的打扮，和[鲁汉]站在院内，[王强]走向江村。
0:13:57|0:14:5|刚春拒绝了他，用怀疑的目光往探战里看了看，便牵着狼狗带着鬼子们离开了。
0:14:5|0:14:10|[小坡]见鬼子离去，便高兴地弹起了手里的土琵琶。
0:14:10|0:14:17|这时，新派上任的铁道游击队政委李正走进了探战，刘红看到他，吃了一惊。
0:14:26|0:14:30|刘红说着，便引着李政往屋里走去。
0:14:30|0:14:34|他们进屋后，[王强]转身看了看门外的情况，也跟着走进了屋子。
0:14:34|0:14:34|刘红掏出藏在帽子里的命令信。
0:14:57|0:15:10|此任命，刘红，[王强]，为[鲁汉]军区铁道游击队政府大队长，李政，为政治委员。
0:15:13|0:15:15|时间已经来到晚上。
0:16:4|0:16:7|[鲁汉]站起来，想敬他一杯酒。
0:16:22|0:16:24|[鲁汉]倒满了一杯酒，一饮而尽。
0:16:37|0:16:40|[鲁汉]亲切地掏出一个苹果笛给他。
0:16:51|0:16:53|[鲁汉]掏出了手枪。
0:16:55|0:16:57|李政摆直了桌上的两根筷子。
0:17:41|0:17:47|李政用眼神示意坐在一旁的刘红，刘红起身，大家都坐下热切地望着他。
0:17:52|0:18:0|刘红一挥衣袖，气冲冲地坐下，大家都不吱声了，也纷纷低头坐回了原位，气氛一时沉闷了起来。
0:18:22|0:18:33|蓬亮看了一眼大家，慢慢起身说。
0:18:33|0:18:49|刘红一抬眼，李正刚准备讲话，望风的人突然进屋，大家急忙起身，[鲁汉]突出手枪就要冲出去，[王强]及时拦住了他，并夺下了他手里的枪。
0:18:51|0:18:56|外面村头的道路上，岗村带着一队鬼子巡查来了。
0:18:56|0:19:9|而在探战里，[小坡]将枪藏进了煤堆，盖上铁锹，然后拿起一旁的土琵琶弹奏了起来。
0:19:9|0:19:17|原来是李正扮成管事先生，其他人则假装探战工人分领工钱，这时鬼子们进了院子。
0:19:33|0:19:40|鬼子踹开门，闯了进来。
0:19:40|0:19:47|岗村趾高气昂地审视着屋内，挥手示意鬼子兵们进屋，并皱着眉头，一个个查着众人的良民症。
0:19:49|0:19:54|鬼子兵们也随他一起审查。
0:19:54|0:20:3|这时，刚从迁来的狼狗使劲绣着[小坡]藏枪的煤堆。
0:20:3|0:20:5|这时，狼狗碰到了铁锹。
0:20:14|0:20:18|[鲁汉]心生疑惑，[小坡]悄悄地扶起铁锹。
0:20:18|0:20:23|[鲁汉]走到煤堆旁，众人的心一下子提了起来。
0:20:23|0:20:26|狼狗叼起煤堆上的土琵琶。
0:20:26|0:20:38|[鲁汉]怀疑地看了看，什么也没发现，将土琵琶扔在地上，愤愤地离开了。
0:20:38|0:20:41|[王强]假作恭敬地送他们走出院子。
0:20:46|0:20:54|鬼子走后，小破连忙捡起琵琶，发现摔断了弦，他气愤的脆了一口。
0:20:54|0:20:57|李正接着说之前的想法。
0:21:15|0:21:16|刘红认真地思索着，紧锁眉头。
0:21:16|0:21:16|晚上，[鲁汉]回到指挥部。
0:21:16|0:21:20|特务取出一张合影，只见上面是游击队员们。
0:21:50|0:22:13|早庄村口深沉的夜幕中，岗村的摩托队来势汹汹，车灯划破了夜色，鬼子的大队人马包围了[义和探战]，想要将游击队员们一网打尽。
0:22:13|0:22:14|他们冲进[探战]的院内。
0:22:17|0:22:23|只见炭炉熊熊燃烧，屋里灯火通明。
0:22:23|0:22:34|无人回应，[彭亮]领着鬼子的机枪手，开始不断朝亮灯的屋内扫射。
0:22:34|0:22:42|游击队员们走在山路上，原来他们早已离开了。
0:22:46|0:22:49|李正笑着拍了拍[鲁汉]的肩。
0:23:31|0:23:36|远处有一列火车飞驰而过。
0:23:36|0:23:42|镜头一转，游击队员们来到了苗庄地下党[芳林嫂]的家中。
0:24:2|0:24:21|他们在桌边坐下，[小坡]抱着[芳林嫂]的女儿凤儿走了进来，说着她便打水去了，[小坡]抱着凤儿和她一起坐在门边，教她弹土琵琶，另外几人在桌边交谈起来，我有这么个想法。
0:24:46|0:24:47|[芳林嫂]提了水壶。
0:25:18|0:25:20|众人对视一眼，觉得可行。
0:25:51|0:25:58|夜里，在早庄火车站的进站口，人来人往，旅客们都拿着行李排队检票。
0:25:58|0:26:8|游击队员们假扮商人，装作旅客，通过检票口登上了火车。
0:26:8|0:26:13|在行驶的列车上，[王强]拿着一瓶酒和一只烧鸡推门走进了一个车厢。
0:26:17|0:26:26|他走到一个躺在座椅上的鬼子军官面前，脱下帽子，点头哈腰地说。
