0:1:58|0:2:5|画面开始于上海护士学校的大门口，几个女学生正陆陆续续地走进校门。
0:2:5|0:2:10|学校里绿树成荫，学生们三三两两围坐在草坪上交谈。
0:2:17|0:2:20|歌声是从学校宿舍的走廊里传来的。
0:2:20|0:2:28|一个姑娘坐在栏杆上唱着歌，还有三个站在走廊上搭着肩，边唱边随着歌声摇摆。
0:2:28|0:2:33|她们都穿着护士服，脸上的微笑散发着青春的朝气。
0:2:47|0:3:10|宿舍里几个姑娘在嬉笑打闹，两个姑娘坐下来，其他三个也围上来。
0:3:10|0:3:14|[马飞霞]正在床上照镜子，姑娘们凑过来。
0:3:41|0:3:54|刚才说话的是护士学校的校长，他叮嘱完后轻轻关上了门，熄了学生宿舍的灯，离开了。
0:3:54|0:3:59|这个夜晚天气晴朗，树影摇曳，此时已是深夜。
0:4:7|0:4:15|主人公[简素华]悄悄地走进了宿舍的门，坐在自己的床上。
0:4:15|0:4:32|他双膝并拢而坐，将日记本在腿上摊开，拔开笔帽，开始写日记。
0:4:43|0:4:48|整个护士学校都浮腾起来了。
0:4:53|0:5:0|此刻，躺在床上的女孩们都醒着，有的玩弄着小辫子思考着自己的未来。
0:5:2|0:5:5|睡在上铺的唐晓芳在床上翻来覆去。
0:5:5|0:5:10|她推了推眼镜，探头，向坐在下面的[简素华]问道。
0:5:14|0:5:16|[简素华]俏皮地眨了眨眼睛。
0:5:24|0:5:29|唐晓芳爬到下铺来，与[简素华]面对面盘腿坐着。
0:5:36|0:5:37|[简素华]紧紧地抱住她。
0:5:37|0:5:40|[简素华]笑着捧起唐晓芳的脸。
0:6:23|0:6:30|画面转到一家医院，两个医生和[沈浩如]从一间病房走出来。
0:6:43|0:6:48|老医生满意地点了点头，一位护士走来。
0:6:48|0:6:57|老医生向[沈浩如]点头表示许可，[沈浩如]随护士快步走开。
0:6:57|0:7:1|两位医生一边聊着对[沈浩如]的看法，一边走开了。
0:7:3|0:7:5|[沈浩如]接起了电话。
0:7:13|0:7:19|[唐晓芳]在校长办公室外的走廊上踱步，里面传出了校长和[简素华]的谈话。
0:8:7|0:8:9|校长从抽屉里拿出一摞电报。
0:8:34|0:8:36|[简素华]有些迟疑。
0:9:9|0:9:21|站在窗外的[唐晓芳]用力地指了指自己，暗示[简素华]，[简素华]笑了。
0:9:40|0:9:44|十七位护士。
0:9:44|0:9:47|这时，[简素华]才注意到办公室的[高昌平]。
0:10:0|0:10:2|[高昌平]走近[简素华]。
0:10:16|0:10:21|校长从桌子上拿起编制名册。
0:10:23|0:10:25|[简素华]看到名单，开心地笑了。
0:10:58|0:11:3|[简素华]没有回答，继续向前走着。
0:11:3|0:11:6|他们在家门口停了下来。
0:11:20|0:11:25|沈昊如搂住[简素华]，二人笑着跑进了楼道。
0:11:25|0:11:27|沈昊如关上楼道的门，正要上楼。
0:11:28|0:11:38|[简素华]激动地抱住他，他说完，害羞地跑上楼。
0:11:38|0:11:44|[简素华]在家门口前停下，而沈浩如却继续往楼上的房间跑去。
0:11:44|0:11:50|[简素华]十分疑惑，沈浩如站在楼上向[简素华]招手，[简素华]跟了上去。
0:11:54|0:12:1|[简素华]站在门口，顺着沈浩如指的方向环视这间家具齐全的屋子。
0:12:1|0:12:9|沈浩如得意地笑了。
0:12:9|0:12:15|沈浩如面色凝重，上前抱住他。
0:12:15|0:12:18|[简素华]低下了头，推开沈浩如走到窗前。
0:12:22|0:12:26|沈浩如伤心地跑到了楼下的房间。
0:12:26|0:12:31|[简素华]望着她的背影，不知如何是好。
0:12:32|0:12:39|[简素华]眉头紧皱，走到桌前坐了下来。
0:12:39|0:12:44|[简素华]转身向楼下的房间走去。
0:12:44|0:12:47|此刻，沈浩如正拖着额头坐在床边。
0:12:48|0:12:53|看到[简素华]，[沈昊如]扯了扯衣服，不满地说。
0:13:7|0:13:8|[沈昊如]有些哽咽。
0:13:14|0:13:22|[简素华]望着[沈浩如]，慢慢地走到她身旁坐了下来。
0:13:27|0:13:29|[沈浩如]紧紧地握住了[简素华]的手。
0:13:42|0:13:43|[沈昊如]气愤地站起身来走到桌边。
0:14:4|0:14:14|[简素华]轻轻地抓住[沈昊如]的衣巾，用目光向她求情，[沈昊如]不愿面对她，向一侧转过身去。
0:14:14|0:14:18|[简素华]笑着望向[沈昊如]，轻轻地抚摸着她。
0:14:18|0:14:23|[沈昊如]无奈地点了点头。
0:14:28|0:14:38|车站妈妈正在为[简素华]送行。
0:14:38|0:14:43|听完妈妈的叮嘱，[简素华]与妈妈拥抱在一起。
0:14:43|0:14:49|车站人山人海，不断有人催促上车。
0:14:49|0:14:52|听到[高昌平]的催促，[简素华]擦擦眼泪。
0:15:1|0:15:10|[简素华]碰到了唐晓芳。
0:15:10|0:15:13|[简素华]焦急地向四处望了望。
0:15:18|0:15:22|[简素华]和唐晓芳从车窗探出头，与家人道别。
0:15:24|0:15:34|沈昊如捧着一束鲜花，拿着一个包裹向[简素华]乘坐的火车跑来，可火车已经开动了。
0:15:34|0:15:38|[简素华]和唐晓芳向沈昊如招手，沈昊如随着开动的火车奔跑。
0:15:45|0:15:50|沈昊如想把鲜花从车窗递给[简素华]，却不小心掉在地上。
0:15:50|0:15:55|他迅速捡起鲜花，将花和包裹一起从车窗递给[简素华]。
0:16:0|0:16:5|沈昊如恋恋不舍地望着[简素华]，跟着火车继续奔跑。
0:16:5|0:16:11|他将手伸向车窗，试图与[简素华]再牵一次手，但他却不小心摔倒了。
0:16:11|0:16:13|等站起身来，火车已经走远。
0:16:16|0:16:22|沈昊如与[简素华]的妈妈站在一起。
0:16:22|0:16:31|[简素华]的妈妈担忧地看了看沈昊如。
0:16:31|0:16:41|火车车厢内，唐晓芳在读书，[简素华]坐在唐晓芳的对面，捧着沈昊如送来的鲜花望向窗外，神色凝重。
0:16:43|0:16:48|这时，[高昌平]笑着走到他们身边。
0:16:56|0:17:0|[高昌平]在唐晓芳旁边的空位上坐了下来。
0:17:14|0:17:32|同行的人们满怀着对未来的期待，快乐地放声高歌。
0:17:32|0:17:37|唐晓芳向[高昌平]指了指望向窗外的[简素华]，同行的人在一旁歌唱。
0:17:48|0:17:50|[简素华]回过神来和他们一起唱歌。
