0:0:37|0:0:44|影片开始，画面上一群可爱的小狗趴在狗妈妈的身边争先恐后地吃奶。
0:0:44|0:0:45|它们是小拉布拉多。
0:0:45|0:0:49|拉布拉多犬是这个世界上最聪明的狗狗之一。
0:0:49|0:0:55|小狗们渐渐长大，它们以次排开，开心地吃着自己碗中的狗粮。
0:0:56|0:1:0|在一排小狗最边上的，就是我们的主角，[小Q]。
0:1:0|0:1:5|他戴着红色项圈，肚子上有个灰色的海鸥形状的胎记。
0:1:5|0:1:11|显然，[小Q]对这个世界还陌生得很，他喜欢在屋子里乱跑，四处瞧瞧。
0:1:11|0:1:19|他跑到窗边，透过玻璃，看到一男一女向门口走来，是[李宝庭]先生和他的妹妹[李宝儿]。
0:1:20|0:1:24|[李宝庭]先生手里还提着一个蛋糕，小Q有些疑惑。
0:1:24|0:1:27|女主人Jessica打开门，二人热情地打招呼。
0:1:32|0:1:35|男主人Ryan也热情地欢迎他们。
0:1:55|0:1:55|[李宝庭]先生很生气。
0:2:10|0:2:16|Ryan带着大家去到外面的花园，打开蛋糕盒，里面是个精致的奶油蛋糕。
0:2:34|0:2:38|Ran向[李宝儿]示意，让他安抚下[李宝庭]先生。
0:2:38|0:2:45|小Q跑到了二楼阳台，透过栅栏的缝隙，他看到花园里[李宝庭]先生和妹妹在沙发就坐。
0:2:47|0:2:53|[李宝庭]先生接过红酒瓶，他右手握着酒瓶微微颤抖。
0:2:53|0:2:57|不久前，他的视力开始退化，只能看到模糊的亮光。
0:2:57|0:3:1|给自己倒好酒，他又艰难地摸索着给妹妹的酒杯倒上酒。
0:3:6|0:3:8|接着，他把酒杯举起。
0:3:10|0:3:15|由于看不清，[李宝庭]把自己的酒杯碰倒，红酒洒到他的裤腿上。
0:3:33|0:3:36|小Q在阳台一边看，一边往栅栏的缝隙里钻。
0:3:36|0:3:49|突然，他从缝隙里掉了出来，正好落在[李宝庭]怀里，被他牢牢抱住。
0:3:49|0:3:54|[李宝庭]很冷漠，摸索着前进。
0:3:54|0:3:56|小Q看着他，眼神里充满了懵懂。
0:4:6|0:4:12|一辆车开到Run家门前停下，车上写着国际导盲犬协会。
0:4:12|0:4:22|[Simon]和B山从车上下来。
0:4:22|0:4:29|屋内被小狗们搞得一团糟，Jessica细心地看管着小狗们，但面对这么多调皮的小狗。
0:4:33|0:4:36|小Q向外跑去，[Simon]和[卢廖碧珊]随[Ryan]进来。
0:4:42|0:4:47|[Simon]和[卢廖碧珊]抱起一只只小狗，把它们放进笼子里。
0:4:54|0:4:58|小Q还在桌子底下玩球，被[Simon]抱了出来。
0:5:8|0:5:14|[Ryan]和[Jessica]看着，有点舍不得。
