0:1:24|0:1:33|1949年1月，中国人民解放军将国民党50万军队围困于北平、天津两地。
0:1:33|0:1:40|平津战役总攻在即，能否和平解放北平取决于天津一战。
0:1:43|0:2:4|此时的天津城内，暗宝攻势林立，解放军炮兵侦察连的侦察兵[马宝树]冲进一处防御高楼奔跑前进，以躲避对面高空平台的枪弹，但一枚迫击炮透过炸空的窗户直射而来，[马宝树]差点被炸出高楼，幸好战友们及时将他拽回楼内。
0:2:6|0:2:10|救起[马宝树]的是他的连长[蔡兴福]和连队战友二毛。
0:2:10|0:2:19|面对对面高楼的枪带，三人还来不及喘息，[蔡兴福]就赶忙拍了拍[马宝树]，示意赶紧前往楼顶高处躲避。
0:2:19|0:2:28|三人在楼顶一处低矮的楼墙下隐蔽起来，[蔡兴福]与[马宝树]稍稍探头，观察敌军火力情况，又举起步枪朝敌军扫射了一阵。
0:2:55|0:3:2|瞬间，两枚炮弹就精准地投向那处据点，[蔡兴福]又比起大拇指，朝高处的一个据点瞄准。
0:3:8|0:3:21|高处的敌军据点被迅速炸毁，随着[蔡兴福]一次次精准的测距，解放军的炮弹连续炸毁敌军火力据点，最终解放军主力军顺利攻下这片区域。
0:3:21|0:3:31|[蔡兴福]三人从楼顶顺利撤离，[马宝树]边走边掏出包里的一块饼，三人依次咬下一口，画面转黑。
0:3:40|0:3:49|[蔡兴福]回到解放军的营地。
0:3:58|0:4:0|新兵看了[蔡兴福]一眼。
0:4:14|0:4:19|减少对天津市的破坏，所以必须做得精准打击。
0:4:24|0:4:29|天津的防守系统，陈长杰花了二百五十亿法币，和锦州、长春不一样。
0:4:41|0:4:45|南马路这个监狱里，之前关押的政治犯都已经转移了。
0:4:47|0:4:51|地下是个兵工厂，最近几天车辆出入平凡。
0:5:10|0:5:17|距离天津总工还有四天，营地里解放军们一边加固着防御战壕，一边大声喊着。
0:5:22|0:5:26|一波主力步兵正对着稻草人操练着进攻枪法。
0:5:26|0:5:29|营地里的红旗迎风飘扬。
0:5:29|0:5:32|另一边，中正桥上插着国民党军旗。
0:5:32|0:5:37|一辆军队医疗卡车紧跟着一波国民党步兵队伍从桥上驶来。
0:5:37|0:5:41|车里坐的是[蔡兴福]和[马宝树]。
0:5:49|0:5:56|两个国民党少兵立刻跑到车后，撩开车后帘幕，发现卡车里载着两名血肉模糊的士兵，便放心地向长官汇报。
0:6:0|0:6:22|卡车顺利地驶进宪兵营地，当时正值严冬，天空飘着零星的雪花，[马宝树]开着车，他和[蔡兴福]看到营地道路沿线有不少被俘虏的解放军，他们有的被拴在路灯杆上，有的被绑着跪在台阶上，触目惊心。
0:6:25|0:6:34|画面一转，国民党军校官[姚哲]将女儿放在船上。
0:6:34|0:6:44|许多老百姓提着行李，要奔向港口的一辆船舶。
0:6:44|0:6:50|[姚哲]帮小男孩捡回了小号，小男孩随着人流涌向港口的船舶，人们争抢着上船。
0:6:51|0:6:59|在[姚哲]的高喊声中，船正要驶离天津港，但船还没完全驶离，就突然间翻了。
0:6:59|0:7:5|[姚哲]和女儿也失散了，船上的人纷纷落水了。
0:7:5|0:7:9|这是[姚哲]的回忆。
0:7:9|0:7:15|国民党宪兵营长钱卓群正对着镜子刮着胡子。
0:7:15|0:7:17|[姚哲]怯懦地走进屋内。
0:7:51|0:7:54|[姚哲]悄悄拿了桌上的官方印章，将印章盖在了一块糕点上。
0:8:37|0:8:47|两人看向窗外，窗外那些军官家属的人群中，一个小女孩看向房子里的[姚哲]。
0:9:18|0:9:28|前桌人放下手中的刀叉。
0:9:28|0:9:31|军官家属中一个小男孩抱着球跑到隔离封锁边界。
0:9:37|0:9:40|[姚哲]从前桌人那儿出来，找到兵站副官[万三]。
0:9:40|0:9:43|[万三]把车钥匙塞给[姚哲]。
0:10:3|0:10:12|[姚哲]递给[万三]那块印有章的糕点，[万三]招了下手表示知道。
0:10:12|0:10:14|然后迅速走了。
0:10:14|0:10:25|夜晚，地下二层的暗门处，一个小铁环从暗门覆窗的缝隙慢慢上移，推动门栓逐渐打开了覆窗。
0:11:0|0:11:8|暗门打开，[姚哲]悄悄探出头，左右查看，见四下无人，就迅速抱起女儿朝后门外跑去。
0:11:8|0:11:14|此时，一辆卡车正停靠在后门外空荡的街道上。
0:11:14|0:11:24|而在远处一栋高楼内，[蔡兴福]和战友们正通过望远镜观察着这一切。
0:11:24|0:11:26|此时的[姚哲]已走进了一家酒吧。
0:11:32|0:11:52|遥者走向吧台前的万三，而酒吧外，[蔡兴福]和[马宝树]也已开车赶到，见酒吧正门外停靠的卡车上没人，[蔡兴福]又扭头瞧了瞧正营业的埃米酒吧，带着[马宝树]走了进去。
0:11:52|0:11:57|酒吧里，吧台的老板见宪兵军官装扮的[蔡兴福]二人，迅速迎上来。
0:12:14|0:12:20|[马宝树]拿起酒瓶看了看，[蔡兴福]镇定地碰了下[马宝树]的酒瓶，示意他喝。
0:12:20|0:12:27|[马宝树]喝了一大口后，放下酒瓶，朝[蔡兴福]使了个眼色，就向酒吧门外走去。
0:12:27|0:12:31|酒吧老板朝[蔡兴福]递来烟，[蔡兴福]拿了一根。
0:13:10|0:13:18|万三从包里翻出一个小本子是离开天津的通行证摇着接过通行证万三拿了表正要离开厕所又掏了把手枪
0:13:47|0:13:52|[姚哲]收下了枪。
0:13:52|0:13:58|万三离开后，[姚哲]握着枪看了许久，然后走出厕所。
0:13:58|0:14:4|此时坐在吧台的[蔡兴福]注意到[姚哲]正要离开酒吧。
0:14:4|0:14:9|当[姚哲]走出酒吧，打算驱车离开时，[蔡兴福]迅速出了酒吧跟上来。
0:14:16|0:14:19|[蔡兴福]拉住[姚哲]并用枪抵住他。
0:14:19|0:14:25|[马宝树]从[姚哲]身后出现，用绳子将他双手绑住。
0:14:25|0:14:36|[姚哲]女儿从车后探出头。
0:14:36|0:14:40|[马宝树]迅速扔出飞刀，直接击中举着枪的士兵。
0:14:40|0:14:41|士兵倒地时扣动了枪的扳机。
0:14:43|0:15:11|站在高楼上的二毛和小葛看到[蔡兴福]，车是向边防封锁区，士兵们都警觉地冲车的方向举起枪，车上被束缚住的摇车看到自己的通行证一落在街边，车后围追的士兵快要逼近。
0:15:31|0:15:35|三发炮弹瞬间炸毁了车前的封锁线。
0:15:35|0:15:37|[蔡兴福]驾车急速冲出封锁。
0:15:45|0:15:58|另一边，[万三]拨通了[钱卓群]的电话。
0:15:58|0:16:8|镜头一转，一辆小轿车在维多利夜总会门口停下，一个黑男子从车上下来走进夜总会，找到夜总会里的[钱卓群]。
0:16:8|0:16:14|[钱卓群]正斜靠在沙发上，看着舞女[梅艳]在舞台上纵情歌唱，饶有兴致。
0:16:47|0:16:53|黑衣男子从公文包里翻到一个小皮包递给[钱卓群]。
0:17:15|0:17:16|秦卓旬给黑衣男子倒了杯酒。
0:17:42|0:17:51|之后[钱卓群]来到夜总会后台，[梅艳]正坐在梳妆台前，[钱卓群]从皮包中拿出一条项链为她戴上。
0:18:25|0:18:34|[梅艳]并不领情，她摸了摸项链，从镜子中看到[钱卓群]在身后的沙发上坐下，读着报纸。
0:18:34|0:18:44|[梅艳]思索了一下，缓缓起身，背靠着桌柜，双手悄悄拉开柜子的抽屉，从里面拿出一把枪。
0:18:49|0:19:1|她双手举枪，对准[钱卓群]的后脑勺，悄悄靠近，但眉眼扣动扳机，发现枪里根本没有子弹，原来[钱卓群]早已察觉。
0:19:45|0:19:55|[梅艳]气愤的将留声机狠狠砸在地上。
0:19:55|0:20:6|钱卓群反手就给了[梅艳]一巴掌。
0:20:6|0:20:11|[梅艳]不甘心地抓起桌上的剪刀就要向钱卓群扎过去，但[梅艳]瞬间就被制服了。
0:20:13|0:20:19|一个士兵进来对钱卓群说。
0:20:19|0:20:21|钱卓群听罢，继续对[梅艳]说。
0:20:26|0:20:30|钱卓群转身就走，找人把摄影机修好。
0:20:30|0:20:36|之后，钱卓群赶到出事的南马路，在地上捡到了[姚哲]的通行证。
0:20:36|0:20:42|宪兵迫击炮连连长李兵带队正在检查现场。
0:21:16|0:21:21|与此同时，[姚哲]和女儿被堵住嘴，绑在一处钟楼的阁楼上。
0:21:21|0:21:24|这是解放军炮兵侦察连的一处炮兵点。
0:21:24|0:21:29|[马宝树]跑上阁楼，带了点水喂给[姚哲]女儿小兰喝。
0:21:29|0:21:31|[蔡兴福]卸下堵着[姚哲]嘴的毛巾。
0:22:34|0:22:42|[马宝树]把[蔡兴福]拉到阁楼平台，小葛和二毛此时正在平台上调试着炮兵设备。
0:23:5|0:23:7|小可疑惑地探头看去。
0:23:11|0:23:17|一发炮弹瞬间炸向平台，二毛被炸飞出去，正好挂在了楼旁的电线杆上。
